name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
Dell Technologies Inc.,$38.16 B,DELL,United States,Technology,Computer Hardware,"RoundRock,TX,UnitedStates"," September 7, 2016"," 133,000", Mr. Michael Saul Dell
"Banco Bilbao Vizcaya Argentaria, SA",$38.25 B,BBVA,Spain,Financials,Banks,"Bilbao,Spain",," 110,432", Mr. Onur  Genc
Baker Hughes Company,$38.39 B,BKR,United States,Energy,Oil & Gas Equipment & Services,"Houston,TX,UnitedStates", 1907," 54,000", Mr. Lorenzo  Simonelli
Ecopetrol SA,$38.69 B,EC,Colombia,                                        Energy                                    ,                                        Oil & Gas Integrated                                    ,"BogotÃ¡,Colombia", 1921," 18,000",
Alcon Inc.,$38.90 B,ALC,Switzerland,Healthcare,Medical Instruments & Supplies,"Geneva,Switzerland"," 1945, Fort Worth, Texas, United States"," 24,389", Mr. David J. Endicott
Prudential plc,$39.00 B,PRU,United Kingdom,Financials,Insurance—Life,"London,UnitedKingdom", 1848," 23,000",
Novozymes A-S,$39.03 B,NZYM.B,Denmark,Basic Materials,Chemicals,"Bagsvaerd,Denmark",," 6,184", Ms. Ester  Baiget
Givaudan SA,$39.29 B,GIVN,Switzerland,Basic Materials,Specialty Chemicals,"Vernier,Switzerland",," 16,842",
eBay Inc.,$39.34 B,EBAY,United States,Consumer Discretionary,Internet Retail,"SanJose,CA,UnitedStates"," September 3, 1995"," 10,800", Mr. Jamie J. Iannone
Alimentation Couche-Tard Inc.,$39.56 B,ATD.B,Canada,Consumer Staples,Grocery Stores,"Laval,QC,Canada", 1980," 98,000", Mr. Brian P. Hannasch
EQT AB,$39.71 B,6EQ,Japan,Financials,Asset Management,"Tokyo,Japan",," 1,059", Mr. Christian  Sinding
Hess Corporation,$32.81 B,HES,United States,Energy,Oil & Gas E&P,"NewYork,NY,UnitedStates"," December 11, 1919"," 1,545", Mr. John B. Hess
Orange SA,$32.84 B,ORA,France,Communication Services,Telecom Services,"Paris,France", 1 January 1988," 132,002", Mr. Stephane  Richard
Deutsche Börse AG,$32.99 B,DB1,Germany,Financials,Financial Data & Stock Exchanges,"Eschborn,Germany",," 8,855", Dr. Theodor  Weimer
Cenovus Energy Inc.,$33.02 B,CVE,Canada,Energy,Oil & Gas Integrated,"Calgary,AB,Canada", 2009," 5,938", Mr. Alexander J. Pourbaix
Aptiv PLC,$33.02 B,APTV,Ireland,Consumer Discretionary,Auto Parts,"Dublin,Ireland", 1994," 155,000", Mr. Kevin P. Clark
"Rockwell Automation, Inc.",$33.05 B,ROK,United States,Industrials,Specialty Industrial Machinery,"Milwaukee,WI,UnitedStates", 1903," 24,500", Mr. Blake D. Moret
Sun Life Financial Inc.,$33.08 B,SLF,Canada,Financials,Insurance—Diversified,"Toronto,ON,Canada",," 22,719"," Mr. Kevin David Strain C.A., CPA"
Otis Worldwide Corporation,$33.09 B,OTIS,United States,Industrials,Specialty Industrial Machinery,"Farmington,CT,UnitedStates", 20 September 1853," 70,000", Ms. Judith F. Marks
"Zoom Video Communications, Inc.",$33.22 B,ZM,United States,Communication Services,Telecom Services,"SanJose,CA,UnitedStates"," April 21, 2011"," 6,787", Mr. Eric S. Yuan
China Resources Land Ltd,$33.26 B,1109,Hong Kong,Real Estate,Real Estate—Development,"WanChai,HongKong",," 47,537",
Telefonaktiebolaget LM Ericsson,$33.29 B,ERIC.A,Sweden,Technology,Communication Equipment,"Stockholm,Sweden"," Stockholm, Sweden 1876"," 100,454"," Mr. E. Borje Ekholm MBA, MSc"
International Flavors & Fragrances Inc.,$33.32 B,IFF,United States,Basic Materials,Specialty Chemicals,"NewYork,NY,UnitedStates", 1889 ," 24,000", Mr. Franklin K. Clyburn Jr.
China Vanke Co. Ltd,$33.35 B,000002,China,Real Estate,Real Estate—Development,"Shenzhen,China",," 140,565", Mr. Jiusheng  Zhu MBA
Koninklijke Ahold Delhaize N.V.,$33.43 B,AD,Netherlands,Consumer Staples,Grocery Stores,"Zaandam,Netherlands",," 144,550", Mr. Frans W. H. Muller
PTT PCL,$33.46 B,PTT,Thailand,Energy,Oil & Gas Integrated,"Bangkok,Thailand",,, Mr. Auttapol  Rerkpiboon
"Mizuho Financial Group, Inc.",$33.47 B,8411,Japan,Financials,Banks,"Tokyo,Japan", 2001," 54,492", Mr. Masahiro  Kihara
KKR & Co. Inc.,$33.49 B,KKR,United States,Financials,Asset Management,"NewYork,NY,UnitedStates", 1976," 3,238", Mr. Joseph Y. Bae
Poly Developments and Holdings Group Co. Ltd,$33.64 B,600048,China,Real Estate,Real Estate—Development,"Guangzhou,China",," 61,201",
MTR Corp Ltd,$33.66 B,0066,Hong Kong,Industrials,Railroads,"KowloonBay,HongKong",," 31,968", Dr. Chak-pui  Kam
FANUC Corp,$33.68 B,6954,Japan,Industrials,Specialty Industrial Machinery,"Yamanashi,Japan",," 8,256", Mr. Kenji  Yamaguchi
Kuehne + Nagel International AG,$33.69 B,KNIN,Switzerland,Industrials,Integrated Freight & Logistics,"Schindellegi,Switzerland",," 73,516", Dr. Detlef A. Trefzger
Discover Financial Services,$33.73 B,DFS,United States,Financials,Credit Services,"Riverwoods,IL,UnitedStates", 1985," 16,700", Mr. Roger Crosby Hochschild
"Tyson Foods, Inc.",$33.73 B,TSN,United States,Consumer Staples,Farm Products,"Springdale,AR,UnitedStates", 1935," 137,000", Mr. Donnie D. King
Halliburton Company,$33.95 B,HAL,United States,Energy,Oil & Gas Equipment & Services,"Houston,TX,UnitedStates", 1919," 40,000", Mr. Jeffrey Allen Miller
"T. Rowe Price Group, Inc.",$34.01 B,TROW,United States,Financials,Asset Management,"Baltimore,MD,UnitedStates", 1937," 7,529"," Mr. Robert W. Sharps C.F.A., CPA, CFA, CPA"
"Chunghwa Telecom Co., Ltd.",$34.06 B,2412,Taiwan,Communication Services,Telecom Services,"TaipeiCity,Taiwan"," June 15, 1996"," 20,341", Mr. Chi-Mau  Sheih
Equity Residential,$34.11 B,EQR,United States,Real Estate,REIT—Residential,"Chicago,IL,UnitedStates", 1969," 2,400", Mr. Mark J. Parrell
Chongqing Zhifei Biological Products Co. Ltd,$34.13 B,300122,China,Healthcare,Biotechnology,"Chongqing,China",," 3,380",
Arthur J. Gallagher & Co.,$34.22 B,AJG,United States,Financials,Insurance Brokers,"RollingMeadows,IL,UnitedStates", 1927," 39,000", Mr. J. Patrick Gallagher Jr.
Z Holdings Corp,$34.24 B,4689,Japan,Consumer Discretionary,Internet Retail,"Tokyo,Japan",," 22,531", Mr. Kentaro  Kawabe
"Verisk Analytics, Inc.",$34.39 B,VRSK,United States,Industrials,Consulting Services,"JerseyCity,NJ,UnitedStates", 1971," 9,367", Mr. Scott G. Stephenson
Sydney Airport Limited,$34.40 B,SYD,Australia,Industrials,Airports & Air Services,"Sydney,NSW,Australia", 2002, 418,
VERBUND AG,$34.44 B,OEW,Austria,                                        Utilities                                    ,                                        Utilities—Renewable                                    ,"Vienna,Austria",," 2,870", Dr. Michael  Strugl M.B.A.
"Align Technology, Inc.",$34.49 B,ALGN,United States,Healthcare,Medical Devices,"Tempe,AZ,UnitedStates", 1997," 22,540", Mr. Joseph M. Hogan
Fastenal Company,$34.58 B,FAST,United States,Industrials,Industrial Distribution,"Winona,MN,UnitedStates", 1967," 18,370", Mr. Daniel L. Florness
"Ameriprise Financial, Inc.",$34.64 B,AMP,United States,Financials,Asset Management,"Minneapolis,MN,UnitedStates", 1894," 12,000", Mr. James M. Cracchiolo
ArcelorMittal,$34.66 B,MT,Luxembourg,                                        Basic Materials                                    ,                                        Steel                                    ,"LuxembourgCity,Luxembourg",," 158,000", Mr. Aditya  Mittal
Budweiser Brewing Company APAC Ltd,$34.73 B,1876,Hong Kong,Consumer Staples,Beverages—Brewers,"CausewayBay,HongKong",," 26,038", Mr. Jan Eli B.  Craps
China CITIC Bank Corp Ltd,$34.84 B,601998,China,Financials,Banks,"Beijing,China",," 57,062",
"Consolidated Edison, Inc.",$34.89 B,ED,United States,Utilities,Utilities—Regulated Electric,"NewYork,NY,UnitedStates", 1823 as the New York Gas Light Company," 13,871", Mr. Timothy P. Cawley
"Cheniere Energy, Inc.",$34.92 B,LNG,United States,Energy,Oil & Gas Midstream,"Houston,TX,UnitedStates", 1996," 1,550", Mr. Jack A. Fusco
"Old Dominion Freight Line, Inc.",$34.94 B,ODFL,United States,Industrials,Trucking,"Thomasville,NC,UnitedStates", 1934," 23,663", Mr. Greg C. Gantt
Sun Hung Kai Properties Ltd,$35.04 B,0016,Hong Kong,Real Estate,Real Estate—Development,"WanChai,HongKong",," 38,500",
"Yum! Brands, Inc.",$35.12 B,YUM,United States,Consumer Discretionary,Restaurants,"Louisville,KY,UnitedStates"," October 6, 1997"," 36,000", Mr. David W. Gibbs
Imperial Oil Limited,$35.13 B,IMO,Canada,Energy,Oil & Gas Integrated,"Calgary,AB,Canada", 1880," 5,400", Mr. Bradley William Corson BS
"AvalonBay Communities, Inc.",$35.19 B,AVB,United States,Real Estate,REIT—Residential,"Arlington,VA,UnitedStates", 1978," 2,839", Mr. Benjamin W. Schall
Assicurazioni Generali,$35.20 B,G,Italy,Financials,Insurance—Diversified,"Trieste,Italy",," 74,621", Mr. Philippe Roger Donnet
Hexagon AB,$35.21 B,HXG,Sweden,Technology,Scientific & Technical Instruments,"Stockholm,Sweden",," 22,097"," Mr. Ola  RollÃ©n B.Sc., B.Sc. (Econ.)"
Telstra Corporation Limited,$35.24 B,TLS,Australia,Communication Services,Telecom Services,"Melbourne,VIC,Australia", 1 July 1975," 26,728"," Mr. Andrew Richard Penn M.B.A., AMP, MBA, BEc, FCCA, HFAIPM"
Henkel AG & Co KGaA,$30.53 B,HEN,Germany,Consumer Staples,Household & Personal Products,"Düsseldorf,Germany",," 52,450", Dr. Carsten  Knobel
"Twitter, Inc.",$30.83 B,TWTR,United States,Communication Services,Internet Content & Information,"SanFrancisco,CA,UnitedStates"," March 21, 2006"," 7,500", Mr. Parag  Agrawal
Energy Transfer LP,$30.69 B,ET,United States,Energy,Oil & Gas Midstream,"Dallas,TX,UnitedStates", 1995," 12,558", Mr. Marshall S. McCrea III
Loblaw Companies Limited,$30.70 B,L,Canada,Consumer Staples,Grocery Stores,"Brampton,ON,Canada"," Toronto, Ontario, Canada 1956"," 200,000"," Mr. Galen G. Weston B.A., M.B.A, M.B.A."
Veeva Systems Inc.,$30.76 B,VEEV,United States,Healthcare,Health Information Services,"Pleasanton,CA,UnitedStates", 2007," 4,506", Mr. Peter P. Gassner
Nokia Corporation,$30.91 B,NOKIA.SEK,Finland,Technology,Communication Equipment,"Espoo,Finland", 12 May 1865," 87,927", Mr. Pekka Ilmari Lundmark
SAIC Motor Corp Ltd,$30.93 B,600104,China,Consumer Discretionary,Auto Manufacturers,"Shanghai,China",," 204,815",
State Street Corporation,$30.95 B,STT,United States,Financials,Asset Management,"Boston,MA,UnitedStates", 1792," 38,784", Mr. Ronald Philip O'Hanley
Engie SA,$31.00 B,ENGI,France,Utilities,Utilities—Diversified,"Courbevoie,France",," 154,364", Ms. Catherine  MacGregor
Anhui Conch Cement Company Ltd,$31.02 B,600585,China,Basic Materials,Building Materials,"Wuhu,China",," 47,539",
Franco-Nevada Corporation,$31.00 B,FNV,Canada,Basic Materials,Gold,"Toronto,ON,Canada",, 38, Mr. Paul  Brink
China Pacific Insurance,$31.04 B,601601,China,Financials,Insurance—Life,"Shanghai,China",," 110,940",
"Zscaler, Inc.",$31.03 B,ZS,United States,Technology,Software—Infrastructure,"SanJose,CA,UnitedStates", 2007," 3,153", Mr. Jagtar Singh Chaudhry
E.ON SE,$31.12 B,EOAA,Germany,Utilities,Utilities—Diversified,"Essen,Germany",," 63,227", Dr. Leonhard  Birnbaum
"AMETEK, Inc.",$31.15 B,AME,United States,Industrials,Specialty Industrial Machinery,"Berwyn,PA,UnitedStates", 1930," 18,500", Mr. David A. Zapico
Zhangzhou Pientzehuang Pharmaceutical. Ltd,$31.17 B,600436,China,Healthcare,Drug Manufacturers—General,"Zhangzhou,China",," 2,526",
Formosa Petrochemical Corp,$31.22 B,6505,Taiwan,Energy,Oil & Gas Refining & Marketing,"Mailiao,Taiwan",,,
Koninklijke DSM N.V.,$31.25 B,DSM,Netherlands,Basic Materials,Specialty Chemicals,"Heerlen,Netherlands",," 21,358", Mr. Dimitri  de Vreeze
Swisscom AG,$31.26 B,SCMN,Switzerland,Communication Services,Telecom Services,"Bern,Switzerland",," 18,905", Mr. Urs  Schaeppi lic. oec. HSG
Biogen Inc.,$31.35 B,BIIB,United States,Healthcare,Drug Manufacturers—General,"Cambridge,MA,UnitedStates", 1978," 9,610", Mr. Michel  Vounatsos
Japan Post Holdings Co. Ltd,$31.41 B,6178,Japan,Financials,Banks,"Tokyo,Japan",," 243,612", Mr. Hiroya  Masuda
CRH plc,$31.45 B,CRH,Ireland,Basic Materials,Building Materials,"Dublin,Ireland"," Cement Limited 1936, Roadstone Limited 1949 & merger to form Cement Roadstone Holdings 1970"," 77,400",
China Telecom Corp Ltd,$31.49 B,0728,Hong Kong,Communication Services,Telecom Services,"WanChai,HongKong",," 278,922", Mr. Ruiwen  Ke
Eversource Energy,$31.56 B,ES,United States,Utilities,Utilities—Regulated Electric,"Springfield,MA,UnitedStates", 1966," 9,227", Mr. Joseph R. Nolan Jr.
Foxconn Industrial Internet Co. Ltd,$31.58 B,601138,China,Technology,Communication Equipment,"Shenzhen,China",," 196,159", Mr. Hongmeng  Cheng
"Japan Tobacco, Inc.",$31.59 B,2914,Japan,Consumer Staples,Tobacco,"Tokyo,Japan",," 55,381", Mr. Masamichi  Terabatake
Corning Incorporated,$31.60 B,GLW,United States,Technology,Electronic Components,"Corning,NY,UnitedStates", 1851," 61,200", Mr. Wendell P. Weeks
Goodman Group,$31.64 B,GMG,Australia,Real Estate,REIT—Diversified,"Rosebery,NSW,Australia", 1989, 941, Mr. Gregory Leith Goodman
"ONEOK, Inc.",$31.66 B,OKE,United States,Energy,Oil & Gas Midstream,"Tulsa,OK,UnitedStates", 1906," 2,847", Mr. Pierce H. Norton II
Mettler-Toledo International Inc.,$31.78 B,MTD,United States,Healthcare,Diagnostics & Research,"Columbus,OH,UnitedStates", 1945," 15,600", Mr. Patrick K. Kaltenbach
Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,$31.78 B,TLK,Indonesia,Communication Services,Telecom Services,"Bandung,Indonesia", 23 October 1856," 20,817",
"PPG Industries, Inc.",$31.89 B,PPG,United States,Basic Materials,Specialty Chemicals,"Pittsburgh,PA,UnitedStates", 1883," 49,300", Mr. Michael H. McGarry
"JAPAN POST BANK Co.,Ltd.",$31.93 B,7182,Japan,Financials,Banks,"Tokyo,Japan",," 12,451",
Longfor Group Holdings Ltd,$31.98 B,0960,China,Real Estate,Real Estate—Development,"Beijing,China",," 44,065", Mr. Xuping  Chen
Great Wall Motor Co Ltd,$32.01 B,601633,China,Consumer Discretionary,Auto Manufacturers,"Baoding,China",," 63,174",
PACCAR Inc,$32.04 B,PCAR,United States,Industrials,Farm & Heavy Construction Machinery,"Bellevue,WA,UnitedStates", 1905," 28,500", Mr. R. Preston Feight
WEG SA,$32.05 B,WEGE3,Brazil,Industrials,Specialty Industrial Machinery,"JaraguádoSul,SC,Brazil",," 36,987", Mr. Harry  Schmelzer Jr.
Brown-Forman Corporation,$32.07 B,BF.B,United States,Consumer Staples,Beverages—Wineries & Distilleries,"Louisville,KY,UnitedStates", 1870," 4,700", Mr. Lawson E. Whiting
Barclays plc,$32.19 B,BARC,United Kingdom,Financials,Banks,"London,UnitedKingdom", 17 November 1690," 81,600", Mr. Coimbatore Sundararajan Venkatakrishnan
ANTA Sports Products Ltd,$32.20 B,2020,China,Consumer Discretionary,Leisure,"Jinjiang,China",," 52,000", Mr. Shizhong  Ding
Singapore Telecommunications Ltd,$32.23 B,Z74,Singapore,Communication Services,Telecom Services,"Singapore,Singapore",," 22,914", Mr. Kuan Moon  Yuen
Haier Smart Home Co Ltd,$32.31 B,600690,China,Consumer Discretionary,"Furnishings, Fixtures & Appliances","Qingdao,China",," 99,299",
"Cellnex Telecom, SA",$32.32 B,CLNX,Spain,Communication Services,Telecom Services,"Madrid,Spain",," 2,877", Mr. Tobias  Martinez Gimeno
CITIC Ltd,$32.33 B,0267,Hong Kong,Industrials,Conglomerates,"Central,HongKong",," 135,304",
WuXi Biologics,$32.41 B,2269,China,Healthcare,Biotechnology,"Wuxi,China",," 9,864", Dr. Zhisheng  Chen
China Overseas Land & Investment Ltd,$32.49 B,0688,Hong Kong,Real Estate,Real Estate—Development,"Central,HongKong",," 5,916", Mr. ZhiChao  Zhang
AmerisourceBergen Corporation,$32.51 B,ABC,United States,Healthcare,Medical Distribution,"Chesterbrook,PA,UnitedStates", Merger between AmeriSource Health and Bergen Brunswig in 2001," 38,000", Mr. Steven H. Collis
"WEC Energy Group, Inc.",$32.54 B,WEC,United States,Utilities,Utilities—Regulated Electric,"Milwaukee,WI,UnitedStates", 1896," 6,938", Mr. Scott J. Lauber
"Ross Stores, Inc.",$32.71 B,ROST,United States,Consumer Discretionary,Apparel Retail,"Dublin,CA,UnitedStates", 1982," 88,100", Ms. Barbara  Rentler
CGN Power Co. Ltd,$19.25 B,003816,China,Utilities,Utilities—Independent Power Producers,"Shenzhen,China",," 18,248",
Snam S.p.A.,$19.27 B,SRG,Italy,Utilities,Utilities—Regulated Gas,"SanDonatoMilanese,MI,Italy",," 3,388", Mr. Marco  AlverÃ 
Magna International Inc.,$19.36 B,MG,Canada,Consumer Discretionary,Auto Parts,"Aurora,ON,Canada", 1957," 158,000", Mr. Seetarama Swamy Kotagiri
KB Financial Group Inc.,$19.39 B,105560,South Korea,Financials,Banks,"Seoul,SouthKorea"," September 29, 2008"," 25,428", Dr. Jong-Kyoo  Yoon Ph.D.
Svenska Handelsbanken AB,$19.42 B,SHB.A,Sweden,Financials,Banks,"Stockholm,Sweden",," 10,793", Mr. Carl  Cederschiold
Fresenius Medical Care AG & Co. KGaA,$19.42 B,FME,Germany,Healthcare,Medical Care Facilities,"BadHomburg,Germany",," 122,909", Mr. Robert Maurice Powell Jr.
EDP - Energias de Portugal SA,$19.43 B,EDP,Portugal,                                        Utilities                                    ,                                        Utilities—Diversified                                    ,"Lisbon,Portugal",," 12,236", Mr. Miguel Stilwell de Andrade
"Ferrovial, SA",$19.44 B,FER,Spain,Industrials,Infrastructure Operations,"Madrid,Spain",," 18,680", Mr. Ignacio Madridejos Fernandez
"Molina Healthcare, Inc.",$19.46 B,MOH,United States,Healthcare,Healthcare Plans,"LongBeach,CA,UnitedStates", 1980," 14,000", Mr. Joseph Michael Zubretsky
"Avantor, Inc.",$19.48 B,AVTR,United States,Basic Materials,Specialty Chemicals,"Radnor,PA,UnitedStates", 1904," 13,500", Mr. Michael  Stubblefield
Shenzhou International Group Holdings Ltd,$19.50 B,2313,Hong Kong,Consumer Discretionary,Textile Manufacturing,"Kowloon,HongKong",," 94,400", Mr. Guanlin  Huang
JBS SA,$19.53 B,JBSS3,Brazil,Consumer Staples,Packaged Foods,"SaoPaulo,SP,Brazil",," 250,000", Mr. Gilberto  Tomazoni
TransUnion,$19.53 B,TRU,United States,Industrials,Consulting Services,"Chicago,IL,UnitedStates"," February 8, 1968"," 10,200", Mr. Christopher A. Cartwright
Arch Capital Group Ltd.,$19.54 B,ACGL,Bermuda,                                        Financials                                    ,                                        Insurance—Diversified                                    ,"Pembroke,Bermuda", 1995," 5,200", Mr. Marc  Grandisson
Marathon Oil Corporation,$19.54 B,MRO,United States,Energy,Oil & Gas E&P,"Houston,TX,UnitedStates", 1887," 1,531", Mr. Lee M. Tillman
"Huatai Securities Co., Ltd.",$19.55 B,601688,China,Financials,Capital Markets,"Nanjing,China",," 7,375", Mr. Yi  Zhou
China Tower Corp Ltd,$19.55 B,0788,China,Communication Services,Telecom Services,"Beijing,China",," 20,500",
"Akamai Technologies, Inc.",$19.59 B,AKAM,United States,Technology,Software—Infrastructure,"Cambridge,MA,UnitedStates", 1998," 8,700", Dr. F. Thomson Leighton
Shanghai Fosun Pharmaceutical,$19.63 B,600196,China,Healthcare,Drug Manufacturers—Specialty & Generic,"Shanghai,China",," 32,258", Mr. Yifang  Wu
"Bill.com Holdings, Inc.",$19.65 B,BILL,United States,Technology,Software—Application,"PaloAlto,CA,UnitedStates", 2006," 1,384", Mr. Rene A. Lacerte
Henderson Land Development Co Ltd,$19.67 B,0012,Hong Kong,Real Estate,Real Estate Services,"Central,HongKong",," 10,059",
CGI Inc.,$19.67 B,GIB.A,Canada,Technology,Information Technology Services,"Montreal,QC,Canada", June 1976," 82,000", Mr. George D. Schindler
Shiseido Co Ltd,$19.69 B,4911,Japan,Consumer Staples,Household & Personal Products,"Tokyo,Japan",," 39,035", Mr. Masahiko  Uotani
Brookfield Infrastructure Partners L.P.,$19.70 B,BIP.UN,Bermuda,                                        Utilities                                    ,                                        Utilities—Diversified                                    ,"Hamilton,Bermuda"," January 14, 2008",,
Renesas Electronics Corp,$19.73 B,6723,Japan,Technology,Semiconductors,"Tokyo,Japan",," 18,612", Mr. Hidetoshi  Shibata
Kerry Group plc,$19.74 B,KRZ,Ireland,Consumer Staples,Packaged Foods,"Tralee,Ireland",," 22,000", Mr. Edmond  Scanlon
"Hologic, Inc.",$19.75 B,HOLX,United States,Healthcare,Medical Instruments & Supplies,"Marlborough,MA,UnitedStates", 1985," 6,705", Mr. Stephen P. MacMillan
Ryanair Holdings plc,$19.78 B,RY4C,Ireland,Industrials,Airlines,"Swords,Ireland", 28 November 1984," 17,000", Mr. Michael  O'Leary
Standard Bank Group Ltd,$19.82 B,SBK,South Africa,Financials,Banks,"Johannesburg,SouthAfrica",," 49,224"," Mr. Simpiwe Kenneth Tshabalala AMP, B.A., BA, HDip Tax, L.L.B., L.L.M., LLB, LLM"
Aviva plc,$19.82 B,AV.,United Kingdom,Financials,Insurance—Diversified,"London,UnitedKingdom", 2000," 22,000",
China Communications Construction Co Ltd,$19.83 B,601800,China,Industrials,Engineering & Construction,"Beijing,China",," 133,294",
China Resources Beer (Holdings) Company Ltd,$19.84 B,0291,Hong Kong,Consumer Staples,Beverages—Brewers,"WanChai,HongKong",," 25,000", Mr. Xiaohai  Hou
"Teradyne, Inc.",$19.85 B,TER,United States,Technology,Semiconductor Equipment & Materials,"NorthReading,MA,UnitedStates", 1960," 5,900", Mr. Mark E. Jagiela
Kao Corp,$19.85 B,4452,Japan,Consumer Staples,Household & Personal Products,"Tokyo,Japan",," 33,409", Mr. Yoshihiro  Hasebe
Klabin SA,$19.86 B,KLBN11,Brazil,Basic Materials,Paper & Paper Products,"SaoPaulo,SP,Brazil",,, Mr. Cristiano Cardoso Teixeira
"Paycom Software, Inc.",$19.87 B,PAYC,United States,Technology,Software—Application,"OklahomaCity,OK,UnitedStates", 1998," 5,385", Mr. Chad R. Richison
Vedanta Limited,$19.93 B,VEDL,India,Basic Materials,Other Industrial Metals & Mining,"Mumbai,India", 22 April 2003 as Angelchange Limited ," 17,047", Mr. Sunil  Duggal
Trina Solar Co. Ltd,$19.94 B,688599,China,Technology,Solar,"Changzhou,China",," 18,645",
Tradeweb Markets Inc.,$19.98 B,TW,United States,Financials,Capital Markets,"NewYork,NY,UnitedStates", 1998," 1,046", Mr. Lee  Olesky
"Sun Communities, Inc.",$19.98 B,SUI,United States,Real Estate,REIT—Residential,"Southfield,MI,UnitedStates", 1975," 4,948", Mr. Gary A. Shiffman
Hannover Rück SE,$20.02 B,HNRB,Germany,Financials,Insurance—Reinsurance,"Hanover,Germany",," 3,346", Mr. Jean-Jacques  Henchoz
"PerkinElmer, Inc.",$20.05 B,PKI,United States,Healthcare,Diagnostics & Research,"Waltham,MA,UnitedStates", 1937," 16,700", Dr. Prahlad R. Singh Ph.D.
Norsk Hydro ASA,$20.10 B,NHY,Norway,                                        Basic Materials                                    ,                                        Aluminum                                    ,"Oslo,Norway",," 31,264", Ms. Hilde Merete Aasheim
"Principal Financial Group, Inc.",$20.13 B,PFG,United States,Financials,Insurance—Diversified,"DesMoines,IA,UnitedStates", 1879," 18,600", Mr. Daniel Joseph Houston
Imperial Brands plc,$20.14 B,IMB,United Kingdom,Consumer Staples,Tobacco,"Bristol,UnitedKingdom", 1901," 30,300", Mr. Stefan  Bomhard
CTBC Financial Holding Co. Ltd,$20.15 B,2891,Taiwan,Financials,Insurance—Life,"TaipeiCity,Taiwan",," 21,159",
China Railway Group Ltd,$20.15 B,0390,Hong Kong,Industrials,Engineering & Construction,"Kowloon,HongKong",," 288,729",
Telenor ASA,$20.15 B,TEL,Norway,                                        Communication Services                                    ,                                        Telecom Services                                    ,"Fornebu,Norway",," 18,000", Mr. Sigve  Brekke
Swiss Life Holding AG,$20.16 B,SLHN,Switzerland,Financials,Insurance—Diversified,"Zurich,Switzerland",," 8,623", Dr. Patrick  Frost
The People's Insurance Company (Group) of China Ltd,$27.93 B,601319,China,Financials,Insurance—Property & Casualty,"Beijing,China",," 193,494",
CK Hutchison Holdings Ltd,$27.94 B,0001,Hong Kong,Industrials,Conglomerates,"Central,HongKong",," 172,907",
Airports of Thailand Public Company Ltd,$28.00 B,AOT,Thailand,Industrials,Airports & Air Services,"Bangkok,Thailand",,,
Sirius XM Holdings Inc.,$28.05 B,SIRI,United States,Communication Services,Broadcasting,"NewYork,NY,UnitedStates"," July 29, 2008"," 5,590", Ms. Jennifer C. Witz
Porsche Automobil Holding SE,$28.15 B,PAHA,Germany,Consumer Discretionary,Auto Manufacturers,"Stuttgart,Germany",, 888, Mr. George  Wills
Semiconductor Manufacturing International Corp,$28.24 B,688981,China,Technology,Semiconductors,"Shanghai,China",," 17,354", Dr. Hai Jun  Zhao
Tesco plc,$28.11 B,TSCO,United Kingdom,Consumer Staples,Grocery Stores,"WelwynGardenCity,UnitedKingdom"," 1919 (1919) - Hackney, London, England"," 360,000", Mr. Ken  Murphy
Equifax Inc.,$28.24 B,EFX,United States,Industrials,Consulting Services,"Atlanta,GA,UnitedStates", 1899," 12,700", Mr. Mark W. Begor
Ashtead Group plc,$28.28 B,AHT,United Kingdom,Industrials,Rental & Leasing Services,"London,UnitedKingdom", 1947," 21,033", Mr. Brendan  Horgan
Cerner Corporation,$28.31 B,CERN,United States,Healthcare,Health Information Services,"NorthKansasCity,MO,UnitedStates", 1979," 25,150", Dr. David Todd Feinberg MBA
Hormel Foods Corporation,$28.52 B,HRL,United States,Consumer Staples,Packaged Foods,"Austin,MN,UnitedStates", 1891," 20,000", Mr. James P. Snee
APA Group,$28.55 B,APA,Australia,Utilities,Utilities—Regulated Gas,"Sydney,NSW,Australia",," 2,000"," Mr. Robert Anthony Wheals C.A., B.Com., BCom, CA, GAICD, MAICD"
"Naturgy Energy Group, SA",$28.71 B,NTGY,Spain,Utilities,Utilities—Regulated Gas,"HumanesdeMadrid,Spain",," 7,231", Mr. Francisco Miguel  ReynÃ©s Massanet
Techtronic Industries Company Ltd,$28.75 B,0669,Hong Kong,Industrials,Tools & Accessories,"KwaiChung,HongKong",," 51,426"," Mr. Joseph  Galli Jr., BSBA, M.B.A., MBA."
CSX Corporation,$28.90 B,CSX,United States,Industrials,Railroads,"Jacksonville,FL,UnitedStates"," November 1, 1980"," 20,900", Mr. James M. Foote
SVB Financial Group,$28.91 B,SIVB,United States,Financials,Banks,"SantaClara,CA,UnitedStates", 1983," 6,567", Mr. Gregory W. Becker
COSCO SHIPPING Holdings Co Ltd,$28.93 B,601919,China,Industrials,Marine Shipping,"Shanghai,China",," 29,379",
RWE AG,$29.06 B,RWE,Germany,Utilities,Utilities—Diversified,"Essen,Germany",," 18,902", Dr. Markus  Krebber
