name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
Humana Inc.,$56.55 B,HUM,United States,Healthcare,Healthcare Plans,"Louisville,KY,UnitedStates"," August 18, 1961"," 95,500", Mr. Bruce Dale Broussard
TC Energy Corporation,$56.77 B,TRP,Canada,Energy,Oil & Gas Midstream,"Calgary,AB,Canada",," 7,017", Mr. Francois Lionel Poirier
The Saudi National Bank,$56.89 B,1180,Saudi Arabia,Financials,Banks,"Riyadh,SaudiArabia",," 16,113", Mr. Saeed  Bin Mohammed A. Al-Ghamdi
IHS Markit Ltd.,$56.94 B,INFO,United Kingdom,Industrials,Consulting Services,"London,UnitedKingdom", 1959," 16,000",
Pinduoduo Inc.,$57.09 B,PDD,China,Consumer Discretionary,Internet Retail,"Shanghai,China",," 7,986", Mr. Lei  Chen
"Marriott International, Inc.",$57.18 B,MAR,United States,Consumer Discretionary,Lodging,"Bethesda,MD,UnitedStates"," March 5, 1927"," 120,000", Mr. Anthony G. Capuano Jr.
Canadian Imperial Bank of Commerce,$57.20 B,CM,Canada,Financials,Banks,"Toronto,ON,Canada"," June 1, 1961"," 46,030", Mr. Victor G. Dodig
Mitsubishi Corp,$57.23 B,8058,Japan,Industrials,Conglomerates,"Tokyo,Japan",,, Mr. Takehiko  Kakiuchi
Foshan Haitian Flavouring and Food Company Ltd,$57.40 B,603288,China,Consumer Staples,Packaged Foods,"Foshan,China",," 6,058",
Enterprise Products Partners L.P.,$57.43 B,EPD,United States,Energy,Oil & Gas Midstream,"Houston,TX,UnitedStates", 1968," 7,000", Mr. A. James Teague
Itaú Unibanco Holding SA,$57.45 B,ITUB,Brazil,Financials,Banks,"SÃ£oPaulo,SP,Brazil",," 99,600", Mr. Milton Maluhy Filho
"Marvell Technology, Inc.",$57.62 B,9MW,United States,Technology,Semiconductors,"Wilmington,DE,UnitedStates",," 6,695", Mr. Matthew J. Murphy
