name,marketCap,stock,sector,industry,country
Atlas Copco AB,$60.97 B,ATCO.A,Industrials,Specialty Industrial Machinery,Sweden
CNOOC Limited,$60.19 B,0883,Energy,Oil & Gas E&P,Hong Kong
Nutrien Ltd.,$60.06 B,NTR,Basic Materials,Agricultural Inputs,Canada
"Block, Inc.",$59.95 B,SQ,Technology,Software—Infrastructure,United States
Deutsche Post AG,$59.80 B,DPWA,Industrials,Integrated Freight & Logistics,Germany
"NetEase, Inc.",$59.76 B,9999,Communication Services,Internet Content & Information,China
Hong Kong Exchanges & Clearing Ltd,$59.75 B,0388,Financials,Financial Data & Stock Exchanges,Hong Kong
Capital One Financial Corporation,$59.67 B,COF,Financials,Credit Services,United States
Emerson Electric Co.,$59.66 B,EMR,Industrials,Specialty Industrial Machinery,United States
"Palo Alto Networks, Inc.",$59.65 B,PANW,Technology,Software—Infrastructure,United States
Australia and New Zealand Banking Group Limited,$59.55 B,ANZ,Financials,Banks,Australia
Reckitt Benckiser Group plc,,RKT,Consumer Staples,Household & Personal Products,United Kingdom
Nongfu Spring Co. Ltd,$59.50 B,9633,Consumer Staples,Beverages—Non-Alcoholic,China
Saudi Telecom Company,$59.47 B,7010,Communication Services,Telecom Services,Saudi Arabia
Southern Copper Corporation,$59.46 B,SCCO,Basic Materials,Copper,United States
Shenzhen Mindray Bio-Medical Electronics Co. Ltd,$59.26 B,300760,Healthcare,Medical Devices,China
Vinci SA,$59.01 B,DG,Industrials,Engineering & Construction,France
"Workday, Inc.",$58.70 B,WDAY,Technology,Software—Application,United States
RELX plc,$58.53 B,REL,Communication Services,Publishing,United Kingdom
Marvell Technology Group Ltd.,$58.36 B,MRVL,,,
"Air Products and Chemicals, Inc.",$57.82 B,APD,Basic Materials,Chemicals,United States
Pernod Ricard SA,$57.75 B,RI,Consumer Staples,Beverages—Wineries & Distilleries,France
Schlumberger Limited,$57.63 B,SLB,Energy,Oil & Gas Equipment & Services,United States
"Marvell Technology, Inc.",$57.62 B,9MW,Technology,Semiconductors,United States
Itaú Unibanco Holding SA,$57.45 B,ITUB,Financials,Banks,Brazil
Enterprise Products Partners L.P.,$57.43 B,EPD,Energy,Oil & Gas Midstream,United States
Foshan Haitian Flavouring and Food Company Ltd,$57.40 B,603288,Consumer Staples,Packaged Foods,China
Mitsubishi Corp,$57.23 B,8058,Industrials,Conglomerates,Japan
Canadian Imperial Bank of Commerce,$57.20 B,CM,Financials,Banks,Canada
"Marriott International, Inc.",$57.18 B,MAR,Consumer Discretionary,Lodging,United States
Pinduoduo Inc.,$57.09 B,PDD,Consumer Discretionary,Internet Retail,China
IHS Markit Ltd.,,INFO,Industrials,Consulting Services,United Kingdom
The Saudi National Bank,$56.89 B,1180,Financials,Banks,Saudi Arabia
TC Energy Corporation,$56.77 B,TRP,Energy,Oil & Gas Midstream,Canada
Humana Inc.,$56.55 B,HUM,Healthcare,Healthcare Plans,United States
KLA Corporation,$56.48 B,KLAC,Technology,Semiconductor Equipment & Materials,United States
Bank of Communications Co. Ltd,$56.38 B,601328,Financials,Banks,China
Bayerische Motoren Werke AG,$56.17 B,BMWB,Consumer Discretionary,Auto Manufacturers,Germany
Macquarie Group Limited,$55.99 B,MQG,Financials,Capital Markets,Australia
Sony Group Corporation,$126.64 B,6758,Technology,Consumer Electronics,Japan
Rio Tinto Group,$125.84 B,RIO,Basic Materials,Other Industrial Metals & Mining,United Kingdom
AIA Group Ltd,$125.16 B,1299,Financials,Insurance—Life,Hong Kong
