03-gren-employees_number_2020,01-DDD-number_of_employees_2020,08-slytherin-employees,01-DDD-number_of_employees_2017,03-gren-employees_number_2017,07-silvestri-employees_2020,01-DDD-founding_year,03-gren-founding_year,07-silvestri-founding_year,01-DDD-compound_annual_growth_rate_cagr_pct,07-silvestri-employees_2017,08-slytherin-founded
50.0,50,11,8,8,50.0,2015.0,2015.0,2015.0,78.51,8,2000
45.0,45,45,10,10,45.0,2016.0,2016.0,2016.0,78.44,10,2015
57.0,57,155,8,8,57.0,2011.0,2011.0,2011.0,78.42,8,2014
9.0,9,not found,1,1,9.0,2012.0,2012.0,2012.0,78.2,1,1995
14.0,14,19,3,3,14.0,2013.0,2013.0,2013.0,78.19,3,2008
8.0,8,140,5,5,8.0,2004.0,2004.0,2004.0,77.85,5,2016
57.0,57,27,20,20,57.0,2011.0,2011.0,2011.0,77.7,20,2013
12.0,12,103,3,3,12.0,2016.0,2016.0,2016.0,77.67,3,2015
14.0,14,86,3,3,14.0,2017.0,2017.0,2017.0,77.5,3,2015
6.0,6,18,4,4,6.0,1996.0,1996.0,1996.0,77.38,4,2013
37.0,37,29,9,9,37.0,2016.0,2016.0,2016.0,77.18,9,2013
38.0,38,80,13,13,38.0,2013.0,2013.0,2013.0,77.1,13,2015
4.0,4,85,3,3,4.0,2015.0,2015.0,2015.0,76.78,3,2016
381.0,381,22,172,172,381.0,2000.0,2000.0,2000.0,76.75,172,2013
13.0,13,20,2,2,13.0,2016.0,2016.0,2016.0,76.61,2,2015
33.0,33,1235,5,5,33.0,2013.0,2013.0,2013.0,76.43,5,2011
42.0,42,10,4,4,42.0,2015.0,2015.0,2015.0,76.28,4,2015
10.0,10,170,4,4,10.0,2011.0,2011.0,2011.0,76.17,4,2015
7.0,7,2,2,2,7.0,2010.0,2010.0,2010.0,75.92,2,2014
6.0,6,28,3,3,6.0,2013.0,2013.0,2013.0,75.78,3,2016
119.0,119,12,35,35,119.0,2014.0,2014.0,2014.0,75.73,35,2014
95.0,95,237,18,18,95.0,2012.0,2012.0,2012.0,75.62,18,2012
10.0,10,200,4,4,10.0,2010.0,2010.0,2010.0,75.4,4,2015
88.0,88,10,38,38,88.0,2015.0,2015.0,2015.0,75.36,38,2014
,none,3,5,5,,2009.0,2009.0,2009.0,75.27,5,2017
20.0,20,26,9,9,20.0,2015.0,2015.0,2015.0,74.92,9,2014
8.0,8,240,3,3,8.0,2014.0,2014.0,2014.0,74.7,3,2012
32.0,32,52,13,13,32.0,2012.0,2012.0,2012.0,74.57,13,2015
44.0,44,8,7,7,44.0,2016.0,2016.0,2016.0,74.55,7,2012
262.0,262,70,60,60,262.0,2012.0,2012.0,2012.0,74.45,60,2015
98.0,98,87,40,40,98.0,2014.0,2014.0,2014.0,74.06,40,2013
76.0,76,15,28,28,76.0,2010.0,2010.0,2010.0,74.06,28,2013
40.0,40,21,26,26,40.0,2016.0,2016.0,2016.0,73.87,26,2014
67.0,67,10,30,30,67.0,2008.0,2008.0,2008.0,73.86,30,2013
15.0,15,150,7,7,15.0,2012.0,2012.0,2012.0,73.44,7,2005
11.0,11,45,2,2,11.0,2013.0,2013.0,2013.0,73.29,2,2013
504.0,504,20,62,62,504.0,2015.0,2015.0,2015.0,73.27,62,2015
4.0,4,57,1,1,4.0,2016.0,2016.0,2016.0,73.25,1,2015
22.0,22,24,13,13,22.0,2004.0,2004.0,2004.0,73.13,13,2014
85.0,85,1371,26,26,85.0,2013.0,2013.0,2013.0,73.08,26,2011
234.0,234,1,90,90,234.0,2010.0,2010.0,2010.0,72.93,90,2016
16.0,16,7,5,5,16.0,2012.0,2012.0,2012.0,72.83,5,2017
26.0,26,48,6,6,26.0,2013.0,2013.0,2013.0,72.72,6,2010
133.0,133,68,30,30,133.0,2015.0,2015.0,2015.0,72.32,30,2013
62.0,62,90,12,12,62.0,2016.0,2016.0,2016.0,72.31,12,2012
92.0,92,93,42,42,92.0,2014.0,2014.0,2014.0,72.28,42,2013
58.0,58,8,19,19,58.0,2014.0,2014.0,2014.0,71.75,19,2016
21.0,21,"7,500",10,10,21.0,2015.0,2015.0,2015.0,71.56,10,1989
180.0,180,150,60,60,180.0,2016.0,2016.0,2016.0,71.47,60,2009
65.0,65,38,16,16,65.0,2016.0,2016.0,2016.0,71.35,16,2015
10.0,10,144,31,31,10.0,2014.0,2014.0,2014.0,71.29,31,2013
120.0,120,61,40,40,120.0,2007.0,2007.0,2007.0,71.24,40,2011
204.0,204,5,47,47,204.0,2013.0,2013.0,2013.0,71.1,47,2017
46.0,46,25,20,20,46.0,2013.0,2013.0,2013.0,70.98,20,2014
25.0,25,13,6,6,25.0,2015.0,2015.0,2015.0,70.93,6,2013
74.0,74,85,20,20,74.0,2009.0,2009.0,2009.0,70.87,20,2012
6.0,6,42,1,1,6.0,2016.0,2016.0,2016.0,70.85,1,2014
59.0,59,29,25,25,59.0,2016.0,2016.0,2016.0,70.85,25,2009
806.0,806,15,8,8,806.0,2010.0,2010.0,2010.0,70.79,8,1949
30.0,30,754,5,5,30.0,2016.0,2016.0,2016.0,70.65,5,2015
40.0,40,383,22,22,40.0,2016.0,2016.0,2016.0,70.6,22,2015
17.0,17,28,3,3,17.0,2017.0,2017.0,2017.0,70.37,3,2012
72.0,72,16,30,30,72.0,2002.0,2002.0,2002.0,70.37,30,2012
8.0,8,17,3,3,8.0,2016.0,2016.0,2016.0,70.22,3,2017
86.0,86,72,18,18,86.0,2017.0,2017.0,2017.0,69.91,18,2015
8.0,8,20,3,3,8.0,2017.0,2017.0,2017.0,69.91,3,2004
12.0,12,76,8,8,12.0,2012.0,2012.0,2012.0,69.83,8,2014
18.0,18,175,3,3,18.0,2016.0,2016.0,2016.0,69.82,3,2013
8.0,8,479,6,6,8.0,2002.0,2002.0,2002.0,69.8,6,2013
27.0,27,60,8,8,27.0,2016.0,2016.0,2016.0,69.71,8,2008
25.0,25,40,4,4,25.0,2013.0,2013.0,2013.0,69.35,4,2012
25.0,25,135,16,16,25.0,2011.0,2011.0,2011.0,69.29,16,2008
164.0,164,28,72,72,164.0,2013.0,2013.0,2013.0,69.09,72,2015
8.0,8,558,5,5,8.0,2011.0,2011.0,2011.0,68.83,5,2010
30.0,30,6,8,8,30.0,2011.0,2011.0,2011.0,68.78,8,2016
60.0,60,138,16,16,60.0,2000.0,2000.0,2000.0,68.7,16,2013
27.0,27,3,5,5,27.0,2015.0,2015.0,2015.0,68.57,5,2013
202.0,202,30,28,28,202.0,2013.0,2013.0,2013.0,68.2,28,2016
48.0,48,54,12,12,48.0,2011.0,2011.0,2011.0,68.15,12,2014
30.0,30,185,8,8,30.0,2014.0,2014.0,2014.0,68.13,8,1992
19.0,19,37,10,10,19.0,2013.0,2013.0,2013.0,67.95,10,2014
97.0,97,20,31,31,97.0,2014.0,2014.0,2014.0,67.91,31,2014
104.0,104,18,33,33,104.0,2007.0,2007.0,2007.0,67.87,33,2013
27.0,27,84,3,3,27.0,2001.0,2001.0,2001.0,67.86,3,2014
47.0,47,384,25,25,47.0,2015.0,2015.0,2015.0,67.69,25,1985
8.0,8,343,4,4,8.0,1986.0,1986.0,1986.0,67.5,4,2003
90.0,90,20,37,37,90.0,2006.0,2006.0,2006.0,67.27,37,2013
118.0,118,369,20,20,118.0,2012.0,2012.0,2012.0,67.19,20,2016
9.0,9,21,6,6,9.0,2006.0,2006.0,2006.0,67.16,6,2016
260.0,260,35,65,65,260.0,2015.0,2015.0,2015.0,67.08,65,2015
62.0,62,5,32,32,62.0,2009.0,2009.0,2009.0,67.01,32,2013
94.0,94,10,28,28,94.0,2009.0,2009.0,2009.0,66.93,28,2013
20.0,20,650,3,3,20.0,2011.0,2011.0,2011.0,66.9,3,2013
20.0,20,590,9,9,20.0,2017.0,2017.0,2017.0,66.9,9,2014
42.0,42,92,12,12,42.0,2011.0,2011.0,2011.0,66.61,12,2015
6.0,6,24,4,4,6.0,1984.0,1984.0,1984.0,66.6,4,2011
1177.0,1177,21,744,744,1177.0,1994.0,1994.0,1994.0,66.52,744,1896
10.0,10,6428,1,1,10.0,2015.0,2015.0,2015.0,66.46,1,2002
6.0,6,11,0,0,6.0,2014.0,2014.0,2014.0,66.45,0,2004
7.0,7,13,2,2,7.0,2015.0,2015.0,2015.0,66.45,2,2016
130.0,130,28,40,40,130.0,2006.0,2006.0,2006.0,66.31,40,2010
8.0,8,47,10,10,8.0,2013.0,2013.0,2013.0,66.31,10,2014
62.0,62,88,29,29,62.0,2011.0,2011.0,2011.0,66.26,29,2014
14.0,14,7,8,8,14.0,2014.0,2014.0,2014.0,66.26,8,2015
195.0,195,4,50,50,195.0,2008.0,2008.0,2008.0,66.14,50,2016
30.0,30,1,4,4,30.0,2016.0,2016.0,2016.0,66.11,4,2016
24.0,24,49,14,14,24.0,2002.0,2002.0,2002.0,66.0,14,2014
16.0,16,32,8,8,16.0,2015.0,2015.0,2015.0,65.86,8,2013
3.0,3,458,1,1,3.0,2016.0,2016.0,2016.0,65.85,1,2001
1038.0,1038,418,288,288,1038.0,1993.0,1993.0,1993.0,65.79,288,2009
60.0,60,274,5,5,60.0,2015.0,2015.0,2015.0,65.78,5,2001
773.0,773,229,266,266,773.0,2013.0,2013.0,2013.0,65.76,266,2007
38.0,38,20,27,27,38.0,2010.0,2010.0,2010.0,65.55,27,2013
70.0,70,491,33,33,70.0,2012.0,2012.0,2012.0,65.22,33,2010
12.0,12,25,8,8,12.0,2009.0,2009.0,2009.0,65.21,8,2014
11.0,11,14,5,5,11.0,2011.0,2011.0,2011.0,65.2,5,2016
11.0,11,37,4,4,11.0,2014.0,2014.0,2014.0,65.11,4,2014
32.0,32,48,10,10,32.0,2012.0,2012.0,2012.0,64.8,10,2013
13.0,13,64,5,5,13.0,2017.0,2017.0,2017.0,64.74,5,2016
23.0,23,207,14,14,23.0,2013.0,2013.0,2013.0,64.41,14,2014
33.0,33,80,15,15,33.0,2013.0,2013.0,2013.0,64.25,15,2016
46.0,46,34,22,22,46.0,2015.0,2015.0,2015.0,64.21,22,2002
17.0,17,31,9,9,17.0,2014.0,2014.0,2014.0,64.18,9,2013
210.0,210,7,120,120,210.0,2014.0,2014.0,2014.0,63.92,120,2016
92.0,92,54,23,23,92.0,2008.0,2008.0,2008.0,63.8,23,2001
8.0,8,321,4,4,8.0,2012.0,2012.0,2012.0,63.8,4,2015
29.0,29,198,8,8,29.0,2010.0,2010.0,2010.0,63.73,8,2013
2.0,2,58,1,1,2.0,2010.0,2010.0,2010.0,63.65,1,2012
8.0,8,637,4,4,8.0,1998.0,1998.0,1998.0,63.55,4,2009
81.0,81,73,71,71,81.0,1979.0,1979.0,1979.0,63.54,71,2014
6.0,6,10,1,1,6.0,2016.0,2016.0,2016.0,63.52,1,2015
43.0,43,26,16,16,43.0,2016.0,2016.0,2016.0,63.45,16,2011
37.0,37,17,16,16,37.0,1952.0,1952.0,1952.0,63.05,16,2013
81.0,81,79,10,10,81.0,2008.0,2008.0,2008.0,62.86,10,2004
15.0,15,49,5,5,15.0,2016.0,2016.0,2016.0,62.84,5,2017
137.0,137,10,51,51,137.0,2015.0,2015.0,2015.0,62.76,51,2016
5.0,5,458,1,1,5.0,2016.0,2016.0,2016.0,62.75,1,2007
19.0,19,6,11,11,19.0,2012.0,2012.0,2012.0,62.58,11,2013
8.0,8,190,4,4,8.0,2014.0,2014.0,2014.0,62.57,4,2013
25.0,25,8,9,9,25.0,2017.0,2017.0,2017.0,62.49,9,2010
22.0,22,28,8,8,22.0,2009.0,2009.0,2009.0,62.48,8,2015
9.0,9,15,9,9,9.0,2014.0,2014.0,2014.0,62.44,9,2012
25.0,25,9,17,17,25.0,2001.0,2001.0,2001.0,62.43,17,2015
62.0,62,14,23,23,62.0,2010.0,2010.0,2010.0,62.33,23,2001
27.0,27,"3,006",9,9,27.0,2002.0,2002.0,2002.0,62.17,9,2007
160.0,160,31,52,52,160.0,1999.0,1999.0,1999.0,62.12,52,2000
49.0,49,48,21,21,49.0,2008.0,2008.0,2008.0,62.08,21,2013
551.0,551,12,205,205,551.0,2009.0,2009.0,2009.0,62.06,205,2015
45.0,45,15,17,17,45.0,2011.0,2011.0,2011.0,62.03,17,2017
27.0,27,40,19,19,27.0,2006.0,2006.0,2006.0,62.0,19,2014
147.0,147,7,61,61,147.0,2012.0,2012.0,2012.0,61.98,61,2009
637.0,637,68,199,199,637.0,2008.0,2008.0,2008.0,61.89,199,2013
7.0,7,10,6,6,7.0,2014.0,2014.0,2014.0,61.65,6,2014
84.0,84,7,37,37,84.0,2010.0,2010.0,2010.0,61.61,37,2007
18.0,18,74,14,14,18.0,2017.0,2017.0,2017.0,61.46,14,2014
57.0,57,130,14,14,57.0,2013.0,2013.0,2013.0,61.33,14,2015
74.0,74,20,12,12,74.0,2013.0,2013.0,2013.0,61.22,12,2015
55.0,55,426,17,17,55.0,2014.0,2014.0,2014.0,61.18,17,2010
65.0,65,103,17,17,65.0,2013.0,2013.0,2013.0,61.12,17,2008
40.0,40,50,11,11,40.0,2009.0,2009.0,2009.0,61.09,11,2017
8.0,8,138,8,8,8.0,2011.0,2011.0,2011.0,61.09,8,2013
4.0,4,21,1,1,4.0,2015.0,2015.0,2015.0,61.07,1,2015
87.0,87,26,15,15,87.0,2012.0,2012.0,2012.0,61.04,15,2012
324.0,324,32,128,128,324.0,2005.0,2005.0,2005.0,60.84,128,2014
11.0,11,61,3,3,11.0,2016.0,2016.0,2016.0,60.72,3,2010
43.0,43,750,20,20,43.0,2015.0,2015.0,2015.0,60.64,20,2011
4.0,4,69,3,3,4.0,2010.0,2010.0,2010.0,60.57,3,2015
30.0,30,60,2,2,30.0,2012.0,2012.0,2012.0,60.42,2,2015
70.0,70,280,20,20,70.0,2014.0,2014.0,2014.0,60.05,20,2011
21.0,21,78,16,16,21.0,2011.0,2011.0,2011.0,59.93,16,2012
24.0,24,37,2,2,24.0,2015.0,2015.0,2015.0,59.88,2,2012
41.0,41,5,15,15,41.0,2010.0,2010.0,2010.0,59.85,15,2010
4.0,4,99,1,1,4.0,2014.0,2014.0,2014.0,59.84,1,2008
57.0,57,23,17,17,57.0,2014.0,2014.0,2014.0,59.74,17,2014
10.0,10,44,7,7,10.0,2016.0,2016.0,2016.0,59.62,7,2014
18.0,18,51,9,9,18.0,2004.0,2004.0,2004.0,59.57,9,2013
56.0,56,25,17,17,56.0,2012.0,2012.0,2012.0,59.56,17,2017
96.0,96,20,47,47,96.0,2013.0,2013.0,2013.0,59.5,47,2009
399.0,399,100,242,242,399.0,2000.0,2000.0,2000.0,59.49,242,2016
22.0,22,5,15,15,22.0,2016.0,2016.0,2016.0,59.38,15,2017
25.0,25,2,4,4,25.0,2016.0,2016.0,2016.0,59.3,4,2016
6.0,6,9,2,2,6.0,2016.0,2016.0,2016.0,59.24,2,2014
3.0,3,360,3,3,3.0,2010.0,2010.0,2010.0,59.19,3,2013
9.0,9,44,4,4,9.0,2011.0,2011.0,2011.0,59.19,4,2017
24.0,24,9,8,8,24.0,2015.0,2015.0,2015.0,59.09,8,2012
80.0,80,50,20,20,80.0,2012.0,2012.0,2012.0,59.06,20,2005
4.0,4,47,2,2,4.0,2006.0,2006.0,2006.0,58.94,2,2004
31.0,31,2100,14,14,31.0,2015.0,2015.0,2015.0,58.93,14,2007
13.0,13,17,3,3,13.0,2011.0,2011.0,2011.0,58.92,3,2009
25.0,25,32,12,12,25.0,2011.0,2011.0,2011.0,58.87,12,2016
21.0,21,96,12,12,21.0,2013.0,2013.0,2013.0,58.41,12,2016
65.0,65,5,14,14,65.0,2013.0,2013.0,2013.0,58.4,14,2015
25.0,25,4,11,11,25.0,2012.0,2012.0,2012.0,58.4,11,2014
20.0,20,36,6,6,20.0,2013.0,2013.0,2013.0,58.38,6,2015
35.0,35,72,8,8,35.0,2011.0,2011.0,2011.0,58.35,8,2016
7.0,7,400,4,4,7.0,2013.0,2013.0,2013.0,58.35,4,2006
5.0,5,189,2,2,5.0,2015.0,2015.0,2015.0,58.33,2,2011
12.0,12,40,7,7,12.0,2010.0,2010.0,2010.0,58.3,7,2015
13.0,13,277,7,7,13.0,2016.0,2016.0,2016.0,58.2,7,2014
5.0,5,16,2,2,5.0,2014.0,2014.0,2014.0,58.2,2,1991
9.0,9,26,4,4,9.0,2014.0,2014.0,2014.0,57.86,4,2014
5.0,5,9,5,5,5.0,2013.0,2013.0,2013.0,57.57,5,2015
12.0,12,52,6,6,12.0,2016.0,2016.0,2016.0,57.53,6,2004
33.0,33,20,19,19,33.0,2012.0,2012.0,2012.0,57.52,19,2012
9.0,9,"1,277",2,2,9.0,2016.0,2016.0,2016.0,57.22,2,2009
233.0,233,390,27,27,233.0,2012.0,2012.0,2012.0,57.2,27,1990
10.0,10,5,6,6,10.0,2008.0,2008.0,2008.0,57.16,6,2014
41.0,41,1174,21,21,41.0,2015.0,2015.0,2015.0,57.08,21,2005
29.0,29,527,11,11,29.0,2012.0,2012.0,2012.0,57.05,11,2000
36.0,36,37,16,16,36.0,2013.0,2013.0,2013.0,57.03,16,2010
70.0,70,918,35,35,70.0,2008.0,2008.0,2008.0,56.98,35,2015
60.0,60,12,10,10,60.0,2007.0,2007.0,2007.0,56.78,10,2016
94.0,94,12,45,45,94.0,2012.0,2012.0,2012.0,56.7,45,2013
194.0,194,11,156,156,194.0,2008.0,2008.0,2008.0,56.66,156,2014
66.0,66,23,27,27,66.0,2017.0,2017.0,2017.0,56.61,27,2013
14.0,14,50,13,13,14.0,2014.0,2014.0,2014.0,56.6,13,2015
90.0,90,11,45,45,90.0,2013.0,2013.0,2013.0,56.5,45,2016
81.0,81,50,29,29,81.0,2013.0,2013.0,2013.0,56.49,29,2008
24.0,24,68,12,12,24.0,2013.0,2013.0,2013.0,56.46,12,2013
44.0,44,57,28,28,44.0,2010.0,2010.0,2010.0,56.42,28,2016
15.0,15,82,5,5,15.0,2013.0,2013.0,2013.0,56.41,5,2017
44.0,44,22,13,13,44.0,2007.0,2007.0,2007.0,56.29,13,2016
27.0,27,50,18,18,27.0,2017.0,2017.0,2017.0,56.21,18,2012
9.0,9,4,6,6,9.0,2007.0,2007.0,2007.0,56.13,6,2014
20.0,20,33,18,18,20.0,1997.0,1997.0,1997.0,56.1,18,2015
17.0,17,59,7,7,17.0,2010.0,2010.0,2010.0,55.92,7,2010
53.0,53,47,32,32,53.0,2014.0,2014.0,2014.0,55.86,32,2017
364.0,364,54,187,187,364.0,2014.0,2014.0,2014.0,55.49,187,2016
12.0,12,30,4,4,12.0,2013.0,2013.0,2013.0,55.48,4,2013
50.0,50,not found,10,10,50.0,2015.0,2015.0,2015.0,55.35,10,2010
6.0,6,32,2,2,6.0,1983.0,1983.0,1983.0,55.3,2,2010
3.0,3,17,2,2,3.0,2012.0,2012.0,2012.0,55.24,2,2017
7.0,7,72,6,6,7.0,2001.0,2001.0,2001.0,55.15,6,2007
15.0,15,65,4,4,15.0,2017.0,2017.0,2017.0,55.1,4,2013
26.0,26,140,4,4,26.0,2015.0,2015.0,2015.0,55.09,4,1990
16.0,16,14,8,8,16.0,2015.0,2015.0,2015.0,55.02,8,2011
14.0,14,110,7,7,14.0,2009.0,2009.0,2009.0,54.97,7,2014
426.0,426,30,185,185,426.0,2005.0,2005.0,2005.0,54.96,185,2017
61.0,61,102,17,17,61.0,2010.0,2010.0,2010.0,54.94,17,2016
780.0,780,not found,80,80,780.0,2004.0,2004.0,2004.0,54.92,80,2007
39.0,39,418,9,9,39.0,2013.0,2013.0,2013.0,54.9,9,2007
9.0,9,46,6,6,9.0,2016.0,2016.0,2016.0,54.78,6,2015
17.0,17,15,5,5,17.0,2014.0,2014.0,2014.0,54.76,5,2012
49.0,49,40,27,27,49.0,2012.0,2012.0,2012.0,54.72,27,2014
119.0,119,50,26,26,119.0,2012.0,2012.0,2012.0,54.53,26,2013
7.0,7,40,2,2,7.0,2006.0,2006.0,2006.0,54.52,2,2015
12.0,12,9,3,3,12.0,2006.0,2006.0,2006.0,54.42,3,2015
22.0,22,not found,11,11,22.0,2015.0,2015.0,2015.0,54.41,11,1994
10.0,10,52,1,1,10.0,2016.0,2016.0,2016.0,54.4,1,2012
67.0,67,183,45,45,67.0,1984.0,1984.0,1984.0,54.4,45,2015
37.0,37,106,12,12,37.0,2012.0,2012.0,2012.0,54.35,12,2016
241.0,241,64,82,82,241.0,2009.0,2009.0,2009.0,54.29,82,2012
19.0,19,14,2,2,19.0,2009.0,2009.0,2009.0,54.23,2,2004
75.0,75,40,103,103,75.0,1997.0,1997.0,1997.0,54.08,103,2011
50.0,50,135,20,20,50.0,2009.0,2009.0,2009.0,53.87,20,2012
221.0,221,236,53,53,221.0,1996.0,1996.0,1996.0,53.74,53,2014
76.0,76,30,27,27,76.0,2011.0,2011.0,2011.0,53.73,27,2015
9.0,9,200,1,1,9.0,2017.0,2017.0,2017.0,53.63,1,2007
64.0,64,15,25,25,64.0,2016.0,2016.0,2016.0,53.46,25,2012
5.0,5,12,2,2,5.0,2015.0,2015.0,2015.0,53.39,2,2011
9.0,9,67,5,5,9.0,2016.0,2016.0,2016.0,53.29,5,2013
49.0,49,10,8,8,49.0,2015.0,2015.0,2015.0,53.29,8,2017
17.0,17,110,5,5,17.0,2004.0,2004.0,2004.0,53.24,5,2016
58.0,58,7,20,20,58.0,2010.0,2010.0,2010.0,53.21,20,2011
3.0,3,12,2,2,3.0,2013.0,2013.0,2013.0,53.17,2,2012
79.0,79,8,22,22,79.0,2004.0,2004.0,2004.0,53.14,22,2007
28.0,28,69,16,16,28.0,2011.0,2011.0,2011.0,53.11,16,2004
13.0,13,16,5,5,13.0,2015.0,2015.0,2015.0,53.1,5,2016
51.0,51,592,14,14,51.0,2014.0,2014.0,2014.0,53.02,14,2014
118.0,118,350,37,37,118.0,1999.0,1999.0,1999.0,52.98,37,1999
32.0,32,600,15,15,32.0,2013.0,2013.0,2013.0,52.92,15,2010
35.0,35,101,1,1,35.0,2012.0,2012.0,2012.0,52.89,1,2011
11.0,11,80,5,5,11.0,2009.0,2009.0,2009.0,52.89,5,2016
40.0,40,130,20,20,40.0,2015.0,2015.0,2015.0,52.88,20,2014
12.0,12,350,8,8,12.0,2010.0,2010.0,2010.0,52.82,8,2010
18.0,18,2,10,10,18.0,2010.0,2010.0,2010.0,52.66,10,2013
26.0,26,65,13,13,26.0,2015.0,2015.0,2015.0,52.56,13,2012
41.0,41,48,15,15,41.0,2010.0,2010.0,2010.0,52.54,15,2015
14.0,14,30,10,10,14.0,2017.0,2017.0,2017.0,52.46,10,2014
22.0,22,12,5,5,22.0,2011.0,2011.0,2011.0,52.43,5,2006
39.0,39,85,16,16,39.0,2005.0,2005.0,2005.0,52.42,16,2009
22.0,22,7,10,10,22.0,2015.0,2015.0,2015.0,52.39,10,2016
217.0,217,23,62,62,217.0,2010.0,2010.0,2010.0,52.36,62,2010
46.0,46,40,5,5,46.0,2011.0,2011.0,2011.0,52.36,5,2012
173.0,173,6,55,55,173.0,2008.0,2008.0,2008.0,52.36,55,2014
53.0,53,34,22,22,53.0,2009.0,2009.0,2009.0,52.34,22,2013
14.0,14,19,3,3,14.0,2015.0,2015.0,2015.0,52.31,3,2011
31.0,31,825,8,8,31.0,2011.0,2011.0,2011.0,52.28,8,2015
8.0,8,25,5,5,8.0,1977.0,1977.0,1977.0,52.1,5,2012
21.0,21,470,18,18,21.0,2009.0,2009.0,2009.0,52.07,18,2015
46.0,46,10,37,37,46.0,2014.0,2014.0,2014.0,52.06,37,2015
17.0,17,4,6,6,17.0,2016.0,2016.0,2016.0,52.05,6,2016
25.0,25,38,11,11,25.0,2011.0,2011.0,2011.0,52.04,11,2013
15.0,15,13,8,8,15.0,2002.0,2002.0,2002.0,51.84,8,2013
12.0,12,28,4,4,12.0,2012.0,2012.0,2012.0,51.78,4,2014
2.0,2,31,2,2,2.0,2014.0,2014.0,2014.0,51.77,2,2011
30.0,30,64,25,25,30.0,2012.0,2012.0,2012.0,51.68,25,2016
15.0,15,1,3,3,15.0,2017.0,2017.0,2017.0,51.67,3,2016
9.0,9,54,5,5,9.0,2012.0,2012.0,2012.0,51.6,5,2013
9.0,9,80,4,4,9.0,1996.0,1996.0,1996.0,51.43,4,2014
120.0,120,55,71,71,120.0,2008.0,2008.0,2008.0,51.42,71,2014
7.0,7,58,4,4,7.0,2014.0,2014.0,2014.0,51.4,4,2014
19.0,19,132,3,3,19.0,2014.0,2014.0,2014.0,51.38,3,2006
8.0,8,60,4,4,8.0,2010.0,2010.0,2010.0,51.34,4,2014
10.0,10,137,2,2,10.0,2016.0,2016.0,2016.0,51.17,2,2015
89.0,89,32,40,40,89.0,2007.0,2007.0,2007.0,51.17,40,2014
11.0,11,"1,077",4,4,11.0,2016.0,2016.0,2016.0,51.17,4,2012
74.0,74,895,27,27,74.0,2015.0,2015.0,2015.0,51.05,27,2014
27.0,27,not found,15,15,27.0,2006.0,2006.0,2006.0,50.95,15,1995
26.0,26,170,13,13,26.0,2017.0,2017.0,2017.0,50.86,13,2011
15.0,15,5,8,8,15.0,2013.0,2013.0,2013.0,50.82,8,2016
4.0,4,45,3,3,4.0,2010.0,2010.0,2010.0,50.75,3,2013
6.0,6,226,2,2,6.0,2010.0,2010.0,2010.0,50.75,2,2001
10.0,10,10,8,8,10.0,2009.0,2009.0,2009.0,50.69,8,2014
6.0,6,37,2,2,6.0,2005.0,2005.0,2005.0,50.56,2,2013
124.0,124,22,51,51,124.0,2009.0,2009.0,2009.0,50.55,51,2013
50.0,50,20,7,7,50.0,2012.0,2012.0,2012.0,50.53,7,2015
213.0,213,20,71,71,213.0,2007.0,2007.0,2007.0,50.43,71,2014
55.0,55,110,41,41,55.0,1965.0,1965.0,1965.0,50.42,41,2006
88.0,88,185,42,42,88.0,2001.0,2001.0,2001.0,50.38,42,2011
245.0,245,18,57,57,245.0,2015.0,2015.0,2015.0,50.26,57,2012
5.0,5,579,2,2,5.0,2014.0,2014.0,2014.0,50.25,2,2013
57.0,57,8,18,18,57.0,2007.0,2007.0,2007.0,50.13,18,2016
57.0,57,5,30,30,57.0,2015.0,2015.0,2015.0,50.07,30,2017
34.0,34,49,22,22,34.0,2013.0,2013.0,2013.0,50.01,22,2014
7.0,7,8,6,6,7.0,2016.0,2016.0,2016.0,49.99,6,2011
10.0,10,6,8,8,10.0,2013.0,2013.0,2013.0,49.86,8,2014
85.0,85,31,52,52,85.0,2011.0,2011.0,2011.0,49.86,52,2013
45.0,45,129,30,30,45.0,2009.0,2009.0,2009.0,49.85,30,2011
12.0,12,534,6,6,12.0,2016.0,2016.0,2016.0,49.73,6,2009
13.0,13,22,6,6,13.0,2015.0,2015.0,2015.0,49.64,6,2015
7.0,7,50,5,5,7.0,2016.0,2016.0,2016.0,49.62,5,2011
4.0,4,34,2,2,4.0,2005.0,2005.0,2005.0,49.61,2,2000
42.0,42,10,6,6,42.0,2014.0,2014.0,2014.0,49.6,6,2016
5.0,5,9,2,2,5.0,2015.0,2015.0,2015.0,49.59,2,2016
16.0,16,2,6,6,16.0,2013.0,2013.0,2013.0,49.49,6,2013
415.0,415,27,132,132,415.0,2011.0,2011.0,2011.0,49.48,132,2011
720.0,720,192,230,230,720.0,2013.0,2013.0,2013.0,49.47,230,2011
106.0,106,70,34,34,106.0,2011.0,2011.0,2011.0,49.47,34,2009
45.0,45,"1,538",30,30,45.0,2012.0,2012.0,2012.0,49.46,30,2006
54.0,54,33,14,14,54.0,2004.0,2004.0,2004.0,49.44,14,2014
10.0,10,19,6,6,10.0,2008.0,2008.0,2008.0,49.43,6,2015
47.0,47,5,7,7,47.0,2015.0,2015.0,2015.0,49.38,7,2014
40.0,40,84,15,15,40.0,2012.0,2012.0,2012.0,49.36,15,2007
27.0,27,4398,21,21,27.0,2011.0,2011.0,2011.0,49.36,21,1994
