,id,name,official_name,headquarters_country,headquarters_continent,founded,employees,ceo,market_cap,categories,gbp
255,5b55bd6556744cbeb6cc288856d388d4,saudi telecom company,,riyadh,saudiarabia,0,,,doll_sr223.07 b,"['saudiarabia', 'communicationservices', 'telecomservices', 'saudiarabiacommunicationservices', 'saudiarabiatelecomservices']",doll_59.47 b
256,81e5795438ec43f0a629761086bdaed3,nongfu spring co. ltd,,hangzhou,china,0,"20,773",,hkdoll_466.10 b,"['china', 'consumerstaples', 'beverages—non-alcoholic', 'chinaconsumerstaples', 'chinabeverages—non-alcoholic']",doll_59.50 b
257,c8f3638b8daf4c7f929c0374b0cab970,reckitt benckiser group plc,,slough,unitedkingdom,1814,"43,000",,doll_£42.77 b,"['unitedkingdom', 'consumerstaples', 'household&personalproducts', 'unitedkingdomconsumerstaples', 'unitedkingdomhousehold&personalproducts']",doll_59.53 b
258,0e5861918ed64a0990ac1733c1053d6b,australia and new zealand banking group limited,,melbourne,vic,0,"39,684","mr. shayne cary elliott b.com, b.com.",adoll_79.39 b,"['australia', 'financials', 'banks', 'australiafinancials', 'australiabanks']",doll_59.55 b
259,8deb397b6aa04297a5f1ae47265ab66d,"palo alto networks, inc.",,santaclara,ca,2005,"11,527",mr. nikesh  arora c.f.a.,doll_59.65 b,"['unitedstates', 'technology', 'software—infrastructure', 'unitedstatestechnology', 'unitedstatessoftware—infrastructure']",0
260,e4d613a5ae744152aaea13196c5d486f,emerson electric co.,,saintlouis,mo,1890,"86,700",mr. surendralal lanca karsanbhai,doll_59.66 b,"['unitedstates', 'industrials', 'specialtyindustrialmachinery', 'unitedstatesindustrials', 'unitedstatesspecialtyindustrialmachinery']",0
261,df2e90326ea24635a42d2b317594e79f,capital one financial corporation,,mclean,va,0,"50,767",mr. richard d. fairbank,doll_59.67 b,"['unitedstates', 'financials', 'creditservices', 'unitedstatesfinancials', 'unitedstatescreditservices']",0
262,7b98ce1eb2244f49ba5b1b8a2d96fc3f,hong kong exchanges & clearing ltd,,,,0,,,hkdoll_468.08 b,"['hongkong', 'financials', 'financialdata&stockexchanges', 'hongkongfinancials', 'hongkongfinancialdata&stockexchanges']",doll_59.75 b
263,080ce6775d07446ba5f7a76a30f8c05a,"netease, inc.",,,,0,,,hkdoll_468.16 b,"['china', 'communicationservices', 'internetcontent&information', 'chinacommunicationservices', 'chinainternetcontent&information']",doll_59.76 b
264,be2cb12df8af4eedb0d530774b178f76,deutsche post ag,,bonn,germany,0,"548,042",dr. frank  appel,doll_€54.12 b,"['germany', 'industrials', 'integratedfreight&logistics', 'germanyindustrials', 'germanyintegratedfreight&logistics']",doll_59.80 b
265,302e293e2f8c41ddae6c25ff8e9638f6,"block, inc.",,sanfrancisco,ca,0,"8,521",mr. jack  dorsey,doll_59.95 b,"['unitedstates', 'technology', 'software—infrastructure', 'unitedstatestechnology', 'unitedstatessoftware—infrastructure']",0
266,8d1e578f83294a05ac197c2eeb72ed6c,nutrien ltd.,,saskatoon,sk,0,"23,500",mr. kenneth a. seitz,cdoll_75.18 b,"['canada', 'basicmaterials', 'agriculturalinputs', 'canadabasicmaterials', 'canadaagriculturalinputs']",doll_60.06 b
267,d2572f37482646c89f23d6163645134a,cnooc limited,,central,hongkong,0,"18,151",mr. keqiang  xu,hkdoll_471.48 b,"['hongkong', 'energy', 'oil&gase&p', 'hongkongenergy', 'hongkongoil&gase&p']",doll_60.19 b
268,2a5432ec87d244d8871ca385fdafcd13,atlas copco ab,,nacka,sweden,0,"42,862",mr. mats  rahmstrã¶m,doll_kr571.47 b,"['sweden', 'industrials', 'specialtyindustrialmachinery', 'swedenindustrials', 'swedenspecialtyindustrialmachinery']",doll_60.97 b
269,31ea607e6bd84b229a337fecb0ae61be,adyen n.v.,,amsterdam,netherlands,0,"2,180",mr. pieter willem van der does,doll_€55.31 b,"['netherlands', 'technology', 'software—infrastructure', 'netherlandstechnology', 'netherlandssoftware—infrastructure']",doll_61.11 b
270,15d7747e10b041f6af008dcb75cd17e4,hapag-lloyd ag,,hamburg,germany,0,"14,106",mr. rolf habben jansen,doll_€55.62 b,"['germany', 'industrials', 'marineshipping', 'germanyindustrials', 'germanymarineshipping']",doll_61.46 b
271,81cd1d5426374912b92f256760a3ffe1,"banco santander, sa",,madrid,spain,0,"177,033",mr. jose antonio  alvarez alvarez,doll_£47.02 b,"['spain', 'financials', 'banks', 'spainfinancials', 'spainbanks']",doll_61.67 b
272,9cb4653f653245d782e209210345ef2d,"fidelity national information services, inc.",,jacksonville,fl,1968,"65,000",mr. gary adam norcross,doll_61.73 b,"['unitedstates', 'technology', 'informationtechnologyservices', 'unitedstatestechnology', 'unitedstatesinformationtechnologyservices']",0
273,c8089b67cdef4821860b0f3fd2ad76ea,"analog devices, inc.",,norwood,ma,0,"24,700",mr. vincent t. roche,doll_62.00 b,"['unitedstates', 'technology', 'semiconductors', 'unitedstatestechnology', 'unitedstatessemiconductors']",0
274,1b5d252a47e34422bada9470d1895d72,eaton corporation plc,,dublin,ireland,1911,"85,947",mr. craig  arnold,doll_62.17 b,"['ireland', 'industrials', 'specialtyindustrialmachinery', 'irelandindustrials', 'irelandspecialtyindustrialmachinery']",0
275,dbd95dd96c2540479e949295781603a3,pioneer natural resources company,,irving,tx,1997,"1,932",mr. scott douglas sheffield,doll_62.19 b,"['unitedstates', 'energy', 'oil&gase&p', 'unitedstatesenergy', 'unitedstatesoil&gase&p']",0
276,38d801eee480499bb815560714e0888d,nintendo co ltd,,kyoto,japan,0,"6,574",,doll_¥7.621 t,"['japan', 'communicationservices', 'electronicgaming&multimedia', 'japancommunicationservices', 'japanelectronicgaming&multimedia']",doll_62.20 b
277,55867087b6164b9eb473d53ac4865931,moody's corporation,,newyork,ny,1909,"13,460",mr. robert scott fauber,doll_62.58 b,"['unitedstates', 'financials', 'financialdata&stockexchanges', 'unitedstatesfinancials', 'unitedstatesfinancialdata&stockexchanges']",0
278,2d78584f31ba4c5d9054d6e7b664b75f,"uber technologies, inc.",,sanfrancisco,ca,0,"29,300",mr. dara  khosrowshahi,doll_62.66 b,"['unitedstates', 'technology', 'software—application', 'unitedstatestechnology', 'unitedstatessoftware—application']",0
279,a976896008434017bd98dc0c901f2dee,sea limited,,singapore,singapore,0,"29,800",mr. xiaodong  li,doll_62.66 b,"['singapore', 'communicationservices', 'electronicgaming&multimedia', 'singaporecommunicationservices', 'singaporeelectronicgaming&multimedia']",0
280,831861db23694dc0bfcaf25e5a248efe,macquarie group limited,,sydney,nsw,1969,"17,209","ms. shemara r. wikramanayake b.com., l.l.b., llb, bcom (unsw)",adoll_74.65 b,"['australia', 'financials', 'capitalmarkets', 'australiafinancials', 'australiacapitalmarkets']",doll_55.99 b
281,f62ce05b47284f7d932d5bde0838df4b,bayerische motoren werke ag,,munich,germany,0,"118,909",mr. oliver  zipse,doll_€50.83 b,"['germany', 'consumerdiscretionary', 'automanufacturers', 'germanyconsumerdiscretionary', 'germanyautomanufacturers']",doll_56.17 b
282,8d111003c8f442c1ac1c656b99aeda40,bank of communications co. ltd,,shanghai,china,0,"90,238",,doll_cn¥358.78 b,"['china', 'financials', 'banks', 'chinafinancials', 'chinabanks']",doll_56.38 b
283,2820ff1b634844839b42bd0f23e01ced,kla corporation,,milpitas,ca,1997,"11,300",mr. richard p. wallace,doll_56.48 b,"['unitedstates', 'technology', 'semiconductorequipment&materials', 'unitedstatestechnology', 'unitedstatessemiconductorequipment&materials']",0
284,dfb23898e8e34bc1ac39e7121a510dad,humana inc.,,louisville,ky,0,"95,500",mr. bruce dale broussard,doll_56.55 b,"['unitedstates', 'healthcare', 'healthcareplans', 'unitedstateshealthcare', 'unitedstateshealthcareplans']",0
285,a5c09962c9974fee8ddf81a471e0a1f4,tc energy corporation,,calgary,ab,0,"7,017",mr. francois lionel poirier,cdoll_71.07 b,"['canada', 'energy', 'oil&gasmidstream', 'canadaenergy', 'canadaoil&gasmidstream']",doll_56.77 b
286,2a872ab28d9446bea4a8798f1545d78a,the saudi national bank,,riyadh,saudiarabia,0,"16,113",mr. saeed  bin mohammed a. al-ghamdi,doll_sr213.38 b,"['saudiarabia', 'financials', 'banks', 'saudiarabiafinancials', 'saudiarabiabanks']",doll_56.89 b
287,81c2edbbb95c4786b010092b47a54b83,ihs markit ltd.,,london,unitedkingdom,1959,"16,000",,doll_56.94 b,"['unitedkingdom', 'industrials', 'consultingservices', 'unitedkingdomindustrials', 'unitedkingdomconsultingservices']",0
