,name,mastercap,country,industry,sector
423,stagecoach group plc,doll_751.1 m,united kingdom,railroads,industrials
424,renew holdings plc,doll_744.0 m,united kingdom,engineering & construction,industrials
425,rak petroleum plc,doll_737.4 m,united kingdom,oil & gas e&p,energy
426,asia dragon trust plc,doll_737.0 m,united kingdom,asset management,financials
427,oxford biomedica plc,doll_734.7 m,united kingdom,biotechnology,healthcare
428,dfs furniture plc,doll_733.0 m,united kingdom,"furnishings, fixtures & appliances",consumer discretionary
429,civitas social housing plc,doll_729.8 m,united kingdom,reitresidential,real estate
430,ideagen plc,doll_728.4 m,united kingdom,softwareapplication,technology
431,forterra plc,doll_725.5 m,united kingdom,building materials,basic materials
432,harworth group plc,doll_723.6 m,united kingdom,real estatedevelopment,real estate
433,picton property income limited,doll_722.2 m,united kingdom,reitdiversified,real estate
434,empiric student property plc,doll_721.3 m,united kingdom,reitresidential,real estate
435,greatland gold plc,doll_721.2 m,united kingdom,gold,basic materials
436,goco group plc,0,united kingdom,information technology services,technology
437,stenprop ltd,0,united kingdom,reitindustrial,real estate
438,craneware plc,doll_718.9 m,united kingdom,health information services,healthcare
439,integrated diagnostics holdings plc,doll_718.0 m,united kingdom,diagnostics & research,healthcare
440,bluefield solar income fund limited,doll_717.5 m,united kingdom,asset management,financials
441,sthree plc,doll_717.1 m,united kingdom,staffing & employment services,industrials
442,twentyfour income ord,doll_716.5 m,united kingdom,asset management,financials
443,fw thorpe plc,doll_714.9 m,united kingdom,electrical equipment & parts,industrials
444,torm plc,doll_713.8 m,united kingdom,oil & gas midstream,energy
445,north atlantic smaller companies,doll_712.9 m,united kingdom,asset management,financials
446,the prs reit plc,doll_705.5 m,united kingdom,reitresidential,real estate
447,scion tech growth i,doll_704.0 m,united kingdom,shell companies,financials
448,boussard & gavaudan holdings eur,doll_695.3 m,united kingdom,asset management,financials
449,navigator holdings ltd.,doll_691.8 m,united kingdom,oil & gas midstream,energy
450,fd technologies plc,doll_690.5 m,united kingdom,information technology services,technology
451,baillie gifford shin nippon plc,doll_690.2 m,united kingdom,asset management,financials
452,mountview estates plc,doll_688.4 m,united kingdom,real estate services,real estate
453,ncc group plc,doll_686.3 m,united kingdom,softwareapplication,technology
454,imimobile plc,0,united kingdom,softwareapplication,technology
455,john menzies plc,doll_682.5 m,united kingdom,airports & air services,industrials
456,johnson service group plc,doll_680.7 m,united kingdom,specialty business services,industrials
457,marston's plc,doll_671.4 m,united kingdom,restaurants,consumer discretionary
458,hunting plc,doll_669.9 m,united kingdom,oil & gas equipment & services,energy
459,ecclesiastical insurance office plc,doll_666.8 m,united kingdom,insurancelife,financials
460,senior plc,doll_662.6 m,united kingdom,aerospace & defense,industrials
461,enquest plc,doll_661.5 m,united kingdom,oil & gas e&p,energy
462,robert walters plc,doll_660.2 m,united kingdom,staffing & employment services,industrials
463,blackrock greater europe investment trust plc,doll_659.8 m,united kingdom,asset management,financials
464,nichols plc,doll_657.0 m,united kingdom,beveragesnon-alcoholic,consumer staples
465,arrow global group plc,0,united kingdom,asset management,financials
466,halfords group plc,doll_650.1 m,united kingdom,specialty retail,consumer discretionary
467,rdi reit plc,0,united kingdom,reitdiversified,real estate
468,urban logistics reit plc,doll_644.0 m,united kingdom,reitindustrial,real estate
469,frontier developments plc,doll_635.6 m,united kingdom,electronic gaming & multimedia,communication services
470,odfjell drilling ltd,doll_634.7 m,united kingdom,oil & gas drilling,energy
471,helical plc,doll_632.1 m,united kingdom,real estate services,real estate
472,genel energy plc,doll_631.9 m,united kingdom,oil & gas e&p,energy
473,henderson far east income ltd,0,united kingdom,asset management,financials
474,wincanton plc,doll_629.7 m,united kingdom,integrated freight & logistics,industrials
475,mid-wynd international investment trust plc,doll_625.9 m,united kingdom,asset management,financials
476,alfa financial software holdings plc,doll_622.3 m,united kingdom,softwareapplication,technology
477,the restaurant group plc,doll_616.3 m,united kingdom,restaurants,consumer discretionary
478,schroder asian total return investment company plc,doll_612.1 m,united kingdom,asset management,financials
479,tritax eurobox plc,0,united kingdom,reitindustrial,real estate
480,sig plc,doll_604.7 m,united kingdom,industrial distribution,industrials
481,chesnara plc,doll_599.5 m,united kingdom,insurancelife,financials
482,dunedin income growth investment trust,doll_592.4 m,united kingdom,asset management,financials
483,silence therapeutics plc,0,united kingdom,biotechnology,healthcare
484,aberdeen standard asia focus plc,doll_584.2 m,united kingdom,asset management,financials
485,gcp asset backed income fund limited,doll_580.1 m,united kingdom,asset management,financials
486,cineworld group plc,doll_575.9 m,united kingdom,entertainment,communication services
487,kin and carta plc,doll_574.8 m,united kingdom,specialty business services,industrials
488,brunner investment trust plc,doll_574.7 m,united kingdom,asset management,financials
489,impact healthcare reit plc,doll_567.3 m,united kingdom,reitdiversified,real estate
490,scapa group plc,0,united kingdom,specialty chemicals,basic materials
491,north american income trust (the) plc,doll_566.7 m,united kingdom,asset management,financials
492,european assets trust plc,doll_564.2 m,united kingdom,asset management,financials
493,knot offshore partners lp,doll_562.5 m,united kingdom,marine shipping,industrials
494,bh global limited,0,united kingdom,asset management,financials
495,jpmorgan claverhouse investment trust plc,doll_560.9 m,united kingdom,asset management,financials
496,aberdeen global premier properties fund,doll_560.6 m,united kingdom,asset management,financials
497,custodian reit ord,doll_559.0 m,united kingdom,reitdiversified,real estate
498,oxford immunotec global plc,0,united kingdom,diagnostics & research,healthcare
499,ao world plc,doll_556.1 m,united kingdom,internet retail,consumer discretionary
500,henry boot plc,doll_555.3 m,united kingdom,real estatediversified,real estate
501,coinshares international ltd,doll_551.8 m,united kingdom,capital markets,financials
502,volex plc,doll_549.6 m,united kingdom,electrical equipment & parts,industrials
503,judges scientific plc,doll_545.0 m,united kingdom,scientific & technical instruments,technology
504,paypoint plc,doll_542.9 m,united kingdom,information technology services,technology
505,brooks macdonald group plc,doll_539.2 m,united kingdom,asset management,financials
506,strix group plc,doll_537.9 m,united kingdom,electronic components,technology
507,central asia metals plc,doll_535.2 m,united kingdom,copper,basic materials
508,aberdeen asian income fund limited,doll_532.4 m,united kingdom,asset management,financials
509,avon protection plc,doll_531.4 m,united kingdom,aerospace & defense,industrials
510,avon rubber plc,doll_528.6 m,united kingdom,aerospace & defense,industrials
511,jpmorgan global emerging markets income trust,doll_527.6 m,united kingdom,asset management,financials
512,starwood european real estate finance ltd,doll_526.0 m,united kingdom,asset management,financials
513,mattioli woods plc,doll_523.7 m,united kingdom,asset management,financials
514,octopus renewables infrastructure trust plc,doll_523.1 m,united kingdom,asset management,financials
515,lsl property services plc,doll_515.7 m,united kingdom,real estate services,real estate
516,hollywood bowl group plc,doll_514.5 m,united kingdom,leisure,consumer discretionary
517,urovant sciences ltd.,0,united kingdom,biotechnology,healthcare
518,diverse income trust,doll_511.9 m,united kingdom,asset management,financials
519,panariagroup industrie ceramiche spa,doll_510.1 m,united kingdom,softwareinfrastructure,technology
520,baillie gifford european growth trust plc,doll_508.2 m,united kingdom,asset management,financials
521,anglo pacific group plc,doll_503.9 m,united kingdom,coking coal,basic materials
522,kier group plc,doll_499.2 m,united kingdom,engineering & construction,industrials
523,investindustrial acquisition corp.,0,united kingdom,shell companies,financials
524,pacific assets trust,doll_498.8 m,united kingdom,asset management,financials
525,regional reit ltd,doll_498.8 m,united kingdom,reitdiversified,real estate
526,on the beach group plc,doll_497.1 m,united kingdom,travel services,consumer discretionary
527,phoenix spree deutschland limited,doll_496.7 m,united kingdom,reitresidential,real estate
528,jpmorgan elect plc managed growth,doll_492.6 m,united kingdom,asset management,financials
529,compass pathways plc,doll_492.2 m,united kingdom,medical care facilities,healthcare
530,inspecs group plc,doll_491.8 m,united kingdom,medical instruments & supplies,healthcare
531,jpmorgan asia growth & income plc,doll_490.7 m,united kingdom,asset management,financials
532,kistos plc,doll_487.0 m,united kingdom,asset management,financials
533,templeton emerging markets investment trust temit,doll_484.4 m,united kingdom,asset management,financials
534,luxfer holdings plc,doll_483.8 m,united kingdom,specialty industrial machinery,industrials
535,mj gleeson plc,doll_483.4 m,united kingdom,residential construction,consumer discretionary
536,polar capital global healthcare trust,doll_477.7 m,united kingdom,asset management,financials
537,petrofac limited,doll_472.4 m,united kingdom,oil & gas equipment & services,energy
538,henderson european focus trust plc,doll_471.2 m,united kingdom,asset management,financials
539,bloomsbury publishing plc,doll_470.9 m,united kingdom,publishing,communication services
540,"fuller, smith & turner plc",doll_470.1 m,united kingdom,restaurants,consumer discretionary
541,real estate credit investments limited,doll_470.1 m,united kingdom,asset management,financials
542,pendragon plc,doll_468.4 m,united kingdom,auto & truck dealerships,consumer discretionary
543,lowland investment company plc,doll_464.9 m,united kingdom,asset management,financials
544,honeycomb investment trust plc,doll_463.3 m,united kingdom,asset management,financials
545,standard life investments property income trust,doll_463.0 m,united kingdom,reitdiversified,real estate
546,bmo private equity trust plc,doll_462.7 m,united kingdom,asset management,financials
547,tt electronics plc,doll_461.9 m,united kingdom,electronic components,technology
548,capita plc,doll_460.2 m,united kingdom,specialty business services,industrials
549,lookers plc,doll_459.3 m,united kingdom,auto & truck dealerships,consumer discretionary
550,alpha financial markets consulting plc,doll_458.9 m,united kingdom,consulting services,industrials
551,bmo capital and income investment trust plc,doll_455.1 m,united kingdom,asset management,financials
552,riverstone energy limited,doll_454.4 m,united kingdom,asset management,financials
553,henderson international income trust,doll_453.6 m,united kingdom,asset management,financials
554,accesso technology group plc,doll_450.9 m,united kingdom,softwareapplication,technology
555,vp plc,doll_450.2 m,united kingdom,rental & leasing services,industrials
556,devro plc,doll_449.0 m,united kingdom,packaged foods,consumer staples
557,jubilee metals group plc,doll_445.2 m,united kingdom,other industrial metals & mining,basic materials
558,eurasia mining plc,doll_440.4 m,united kingdom,other precious metals & mining,basic materials
559,triple point social housing reit plc,doll_439.8 m,united kingdom,reitdiversified,real estate
560,s&u plc,0,united kingdom,credit services,financials
561,saga plc,doll_434.4 m,united kingdom,insurancediversified,financials
562,fidelity asian values plc,doll_433.7 m,united kingdom,asset management,financials
563,aberdeen new india investment trust plc,doll_433.6 m,united kingdom,asset management,financials
564,aberdeen diversified income and growth trust plc,doll_428.2 m,united kingdom,asset management,financials
565,headlam group plc,doll_428.1 m,united kingdom,"furnishings, fixtures & appliances",consumer discretionary
566,benchmark holdings plc,doll_427.1 m,united kingdom,drug manufacturersspecialty & generic,healthcare
567,elixirr international plc,doll_424.0 m,united kingdom,consulting services,industrials
568,aberdeen new dawn investment trust plc,doll_421.3 m,united kingdom,asset management,financials
569,scion tech growth ii,doll_421.1 m,united kingdom,shell companies,financials
570,luceco plc,doll_420.8 m,united kingdom,electrical equipment & parts,industrials
571,the gym group plc,doll_417.0 m,united kingdom,leisure,consumer discretionary
572,trian investors 1 ltd,doll_415.4 m,united kingdom,asset management,financials
573,gresham house plc,doll_406.7 m,united kingdom,asset management,financials
574,marshall motor holdings plc,doll_406.3 m,united kingdom,auto & truck dealerships,consumer discretionary
575,fundsmith emerging equities trust plc,doll_405.3 m,united kingdom,asset management,financials
576,jpmorgan china growth & income plc,doll_402.8 m,united kingdom,asset management,financials
577,home reit plc,doll_399.0 m,united kingdom,reitdiversified,real estate
578,audioboom group plc,doll_397.8 m,united kingdom,internet content & information,communication services
579,pensionbee group plc,doll_392.8 m,united kingdom,softwareapplication,technology
580,scottish oriental smaller companies trust plc,doll_391.4 m,united kingdom,asset management,financials
581,frp advisory group plc,doll_391.2 m,united kingdom,capital markets,financials
582,martin currie global portfolio investment trust,doll_390.9 m,united kingdom,asset management,financials
583,afc energy plc,doll_390.7 m,united kingdom,electrical equipment & parts,industrials
584,aberdeen standard european logistics income plc,doll_385.7 m,united kingdom,reitindustrial,real estate
585,porvair plc,doll_385.4 m,united kingdom,pollution & treatment controls,industrials
586,rps group plc,doll_384.6 m,united kingdom,consulting services,industrials
587,adriatic metals plc,doll_379.9 m,united kingdom,other industrial metals & mining,basic materials
588,vh global sustainable energy opportunities plc,doll_378.8 m,united kingdom,asset management,financials
589,centralnic group plc,doll_377.9 m,united kingdom,internet content & information,communication services
590,schroder real estate investment trust limited,doll_377.6 m,united kingdom,reitdiversified,real estate
591,london security plc,0,united kingdom,security & protection services,industrials
592,funding circle holdings plc,doll_373.9 m,united kingdom,credit services,financials
593,tracsis plc,doll_373.8 m,united kingdom,softwareapplication,technology
594,amryt pharma plc,0,united kingdom,drug manufacturersspecialty & generic,healthcare
595,baillie gifford uk growth,doll_372.5 m,united kingdom,asset management,financials
596,broadstone acquisition corp,0,united kingdom,shell companies,financials
597,speedy hire plc,doll_368.9 m,united kingdom,specialty business services,industrials
598,idox plc,doll_368.2 m,united kingdom,softwareapplication,technology
599,accsys technologies plc,doll_367.8 m,united kingdom,lumber & wood production,basic materials
600,premier oil plc,0,united kingdom,oil & gas e&p,energy
601,brickability group plc,doll_365.0 m,united kingdom,industrial distribution,industrials
602,argo blockchain plc,doll_362.5 m,united kingdom,capital markets,financials
603,charles stanley group plc,0,united kingdom,asset management,financials
604,centricus acquisition corp,0,united kingdom,shell companies,financials
605,newriver reit plc,doll_359.7 m,united kingdom,reitretail,real estate
606,mckay securities plc,doll_358.6 m,united kingdom,reitdiversified,real estate
607,numis corporation plc,doll_358.4 m,united kingdom,capital markets,financials
608,bacanora lithium plc,0,united kingdom,other industrial metals & mining,basic materials
609,photo-me international plc,doll_355.9 m,united kingdom,leisure,consumer discretionary
610,xps pensions group plc,doll_352.9 m,united kingdom,personal services,consumer discretionary
611,telit communications plc,0,united kingdom,communication equipment,technology
612,"aberdeen emerging markets equity income fund, inc.",doll_350.0 m,united kingdom,asset management,financials
613,tatton asset management plc,doll_347.2 m,united kingdom,asset management,financials
614,iqe plc,doll_346.8 m,united kingdom,semiconductor equipment & materials,technology
615,international biotechnology trust,doll_346.3 m,united kingdom,asset management,financials
616,aurora acquisition corp,doll_345.6 m,united kingdom,shell companies,financials
617,naked wines plc,doll_344.9 m,united kingdom,beverageswineries & distilleries,consumer staples
618,cvc credit partners european opportunities limited,doll_344.1 m,united kingdom,asset management,financials
619,goodwin plc,doll_343.4 m,united kingdom,specialty industrial machinery,industrials
620,savannah energy plc,doll_343.4 m,united kingdom,oil & gas e&p,energy
621,ab dynamics plc,doll_341.2 m,united kingdom,auto parts,consumer discretionary
622,unicorn aim vct plc,doll_341.0 m,united kingdom,asset management,financials
623,motorpoint group plc,doll_339.2 m,united kingdom,auto & truck dealerships,consumer discretionary
624,gooch & housego plc,doll_336.4 m,united kingdom,electronic components,technology
625,blackrock frontiers investment trust plc,doll_336.3 m,united kingdom,asset management,financials
626,jpmorgan smaller companies investment trust plc,doll_336.1 m,united kingdom,asset management,financials
627,schroder japan growth fund plc,0,united kingdom,asset management,financials
628,city of london investment group plc,doll_335.0 m,united kingdom,asset management,financials
629,horizonte minerals plc,doll_333.4 m,united kingdom,other industrial metals & mining,basic materials
630,jpmorgan us smaller co. inv tst plc,doll_332.9 m,united kingdom,asset management,financials
631,loungers plc,doll_330.3 m,united kingdom,restaurants,consumer discretionary
632,troy income & growth trust plc,doll_328.7 m,united kingdom,asset management,financials
633,premier miton group plc,doll_325.6 m,united kingdom,asset management,financials
634,jpmorgan mid cap investment trust plc,doll_324.3 m,united kingdom,asset management,financials
635,octopus apollo vct,doll_322.6 m,united kingdom,asset management,financials
636,dignity plc,doll_322.0 m,united kingdom,personal services,consumer discretionary
637,james latham plc,doll_321.3 m,united kingdom,industrial distribution,industrials
638,the independent investment trust plc,doll_320.1 m,united kingdom,asset management,financials
639,adaptimmune therapeutics plc,doll_315.8 m,united kingdom,biotechnology,healthcare
640,eurocell plc,doll_315.3 m,united kingdom,building products & equipment,industrials
641,gateley (holdings) plc,doll_314.9 m,united kingdom,consulting services,industrials
642,i3 energy plc,doll_312.9 m,united kingdom,oil & gas e&p,energy
643,cqs new city high yield fund limited,doll_311.8 m,united kingdom,asset management,financials
644,invesco asia trust plc,doll_311.3 m,united kingdom,asset management,financials
645,fidelity japan trust plc,doll_309.2 m,united kingdom,asset management,financials
646,angle plc,doll_307.5 m,united kingdom,diagnostics & research,healthcare
647,ricardo plc,doll_307.5 m,united kingdom,consulting services,industrials
648,verona pharma plc,doll_307.5 m,united kingdom,biotechnology,healthcare
649,autolus therapeutics plc,doll_307.3 m,united kingdom,biotechnology,healthcare
650,secure trust bank plc,doll_306.4 m,united kingdom,banks,financials
651,proton motor power systems plc,doll_305.4 m,united kingdom,electrical equipment & parts,industrials
652,vertu motors plc,doll_304.3 m,united kingdom,auto & truck dealerships,consumer discretionary
653,securities trust of scotland plc,doll_304.1 m,united kingdom,asset management,financials
654,aa plc,0,united kingdom,personal services,consumer discretionary
655,wilmington plc,doll_302.2 m,united kingdom,conglomerates,industrials
656,river and mercantile group plc,doll_300.5 m,united kingdom,asset management,financials
657,augean plc,0,united kingdom,waste management,industrials
658,ted baker plc,doll_294.4 m,united kingdom,apparel retail,consumer discretionary
659,augmentum fintech plc,doll_292.5 m,united kingdom,asset management,financials
660,gemfields group limited,doll_291.7 m,united kingdom,other precious metals & mining,basic materials
661,bmo real estate investments ltd,doll_291.5 m,united kingdom,reitdiversified,real estate
662,henderson high income trust,doll_290.7 m,united kingdom,asset management,financials
663,cerillion plc,doll_290.0 m,united kingdom,softwareapplication,technology
664,fintel plc,doll_288.7 m,united kingdom,consulting services,industrials
665,mears group plc,doll_286.6 m,united kingdom,specialty business services,industrials
666,lindsell train investment trust,doll_286.5 m,united kingdom,asset management,financials
667,petra diamonds limited,doll_285.6 m,united kingdom,other precious metals & mining,basic materials
668,schroder uk public private trust plc,doll_285.5 m,united kingdom,asset management,financials
669,tiziana life sciences plc,0,united kingdom,biotechnology,healthcare
670,ecofin global utilities & infrastructure trust plc,doll_284.3 m,united kingdom,asset management,financials
671,nb global monthly income fund ltd gbp,doll_281.1 m,united kingdom,asset management,financials
672,keystone law group plc,doll_276.8 m,united kingdom,personal services,consumer discretionary
673,schroder income growth fund plc,doll_276.8 m,united kingdom,asset management,financials
674,ekf diagnostics holdings plc,doll_275.4 m,united kingdom,diagnostics & research,healthcare
675,afh financial group plc,0,united kingdom,asset management,financials
676,redx pharma plc,doll_274.0 m,united kingdom,biotechnology,healthcare
677,cc japan income & growth trust plc,doll_272.8 m,united kingdom,asset management,financials
678,montanaro uk smaller companies trust,doll_272.1 m,united kingdom,asset management,financials
679,xaar plc,doll_271.7 m,united kingdom,electronic components,technology
680,galliford try holdings plc,doll_267.5 m,united kingdom,engineering & construction,industrials
681,city merchants high yield trust limited,0,united kingdom,asset management,financials
682,severfield plc,doll_266.2 m,united kingdom,engineering & construction,industrials
683,jpmorgan japan small cap growth & income plc,doll_265.8 m,united kingdom,asset management,financials
684,hargreave hale aim vct plc,doll_265.7 m,united kingdom,asset management,financials
685,supreme plc,doll_265.6 m,united kingdom,electrical equipment & parts,industrials
686,jpmorgan global core real assets limited,doll_265.1 m,united kingdom,asset management,financials
687,norcros plc,doll_264.8 m,united kingdom,building products & equipment,industrials
688,independent oil and gas plc,doll_264.7 m,united kingdom,oil & gas e&p,energy
689,ilika plc,doll_264.5 m,united kingdom,electrical equipment & parts,industrials
690,macfarlane group plc,doll_263.9 m,united kingdom,packaging & containers,consumer discretionary
691,m&c saatchi plc,doll_262.6 m,united kingdom,advertising agencies,communication services
692,schroder uk mid cap,doll_261.1 m,united kingdom,asset management,financials
693,animalcare group plc,doll_260.5 m,united kingdom,medical care facilities,healthcare
694,andrews sykes group plc,doll_258.3 m,united kingdom,rental & leasing services,industrials
695,cohort plc,doll_257.4 m,united kingdom,aerospace & defense,industrials
696,the simplybiz group plc,0,united kingdom,consulting services,industrials
697,aew uk reit ord,doll_253.7 m,united kingdom,reitdiversified,real estate
698,hargreaves services plc,doll_253.1 m,united kingdom,integrated freight & logistics,industrials
699,u and i group plc,0,united kingdom,real estatediversified,real estate
700,renalytix ai plc,doll_249.6 m,united kingdom,diagnostics & research,healthcare
701,impellam group plc,doll_248.4 m,united kingdom,staffing & employment services,industrials
702,hyve group plc,doll_247.5 m,united kingdom,specialty business services,industrials
703,residential secure income plc,doll_247.5 m,united kingdom,reitresidential,real estate
704,manchester & london investment trust plc,doll_247.3 m,united kingdom,asset management,financials
705,baillie gifford china growth trust plc,doll_246.9 m,united kingdom,asset management,financials
706,mulberry group plc,doll_246.6 m,united kingdom,footwear & accessories,consumer discretionary
707,wandisco plc,doll_245.5 m,united kingdom,softwareapplication,technology
708,medica group plc,doll_245.5 m,united kingdom,medical devices,healthcare
709,the pebble group plc,doll_245.0 m,united kingdom,advertising agencies,communication services
710,tribal group plc,doll_244.3 m,united kingdom,softwareapplication,technology
711,water intelligence plc,doll_244.2 m,united kingdom,specialty business services,industrials
712,strategic equity capital plc,doll_243.9 m,united kingdom,asset management,financials
713,hurricane energy plc,doll_243.8 m,united kingdom,oil & gas e&p,energy
714,science group plc,doll_243.4 m,united kingdom,consulting services,industrials
715,tpximpact holdings plc,doll_240.2 m,united kingdom,information technology services,technology
716,agronomics limited,doll_239.9 m,united kingdom,biotechnology,healthcare
717,amati aim vct plc,doll_238.2 m,united kingdom,asset management,financials
718,iomart group plc,doll_238.0 m,united kingdom,softwareinfrastructure,technology
719,k3 capital group plc,doll_237.2 m,united kingdom,capital markets,financials
720,avacta group plc,doll_232.9 m,united kingdom,biotechnology,healthcare
721,quartix holdings plc,doll_232.6 m,united kingdom,scientific & technical instruments,technology
722,curtis banks group plc,doll_231.8 m,united kingdom,asset management,financials
723,sdi group plc,doll_230.6 m,united kingdom,scientific & technical instruments,technology
724,begbies traynor group plc,doll_230.4 m,united kingdom,specialty business services,industrials
725,aurora investment trust,doll_229.9 m,united kingdom,asset management,financials
726,creo medical limited,doll_228.9 m,united kingdom,medical devices,healthcare
727,aptitude software group plc,doll_228.8 m,united kingdom,softwareapplication,technology
728,aberdeen standard equity income trust plc,doll_228.7 m,united kingdom,asset management,financials
729,invesco perpetual uk smaller companies investment trust plc,doll_228.4 m,united kingdom,asset management,financials
730,twentyfour select monthly income fund limited,doll_225.7 m,united kingdom,asset management,financials
731,ten entertainment group plc,doll_225.2 m,united kingdom,leisure,consumer discretionary
732,blackrock latin american investment trust plc,doll_224.6 m,united kingdom,asset management,financials
733,pantheon international plc,doll_224.5 m,united kingdom,asset management,financials
734,ediston property investment company plc,doll_223.1 m,united kingdom,reitdiversified,real estate
735,bioventix plc,doll_222.6 m,united kingdom,biotechnology,healthcare
736,jersey electricity plc,0,united kingdom,utilitiesregulated electric,utilities
737,time out group plc,doll_220.5 m,united kingdom,entertainment,communication services
738,james fisher and sons plc,doll_220.3 m,united kingdom,specialty business services,industrials
739,zoetic international plc,0,united kingdom,drug manufacturersspecialty & generic,healthcare
740,camellia plc,doll_217.4 m,united kingdom,farm products,consumer staples
741,blancco technology group plc,doll_217.4 m,united kingdom,softwareinfrastructure,technology
742,instem plc,doll_216.7 m,united kingdom,health information services,healthcare
743,allergy therapeutics plc,doll_216.3 m,united kingdom,drug manufacturersspecialty & generic,healthcare
744,octopus aim vct plc,doll_215.3 m,united kingdom,asset management,financials
745,petropavlovsk plc,doll_212.6 m,united kingdom,gold,basic materials
746,pensana plc,doll_212.0 m,united kingdom,other industrial metals & mining,basic materials
747,first trust dynamic europe equity income fund,doll_211.0 m,united kingdom,asset management,financials
748,invesco income growth trust plc,0,united kingdom,asset management,financials
749,bmo managed portfolio trust plc,doll_210.7 m,united kingdom,asset management,financials
750,anexo group plc,doll_206.3 m,united kingdom,rental & leasing services,industrials
751,tristel plc,doll_206.2 m,united kingdom,medical instruments & supplies,healthcare
752,inspired plc,doll_206.0 m,united kingdom,specialty business services,industrials
753,trifast plc,doll_205.2 m,united kingdom,tools & accessories,industrials
754,card factory plc,doll_204.6 m,united kingdom,specialty retail,consumer discretionary
755,churchill china plc,doll_203.8 m,united kingdom,"furnishings, fixtures & appliances",consumer discretionary
756,jupiter us smaller companies plc,0,united kingdom,asset management,financials
757,arix bioscience plc,doll_203.6 m,united kingdom,biotechnology,healthcare
758,zotefoams plc,doll_202.0 m,united kingdom,specialty chemicals,basic materials
759,metro bank plc,doll_200.7 m,united kingdom,banks,financials
760,nucleus financial group plc,0,united kingdom,asset management,financials
761,fonix mobile plc,doll_200.6 m,united kingdom,information technology services,technology
762,schroder european real estate investment trust plc,doll_200.5 m,united kingdom,reitdiversified,real estate
763,avi japan opportunity trust plc,doll_199.7 m,united kingdom,asset management,financials
764,springfield properties plc,doll_199.7 m,united kingdom,residential construction,consumer discretionary
765,novacyt sa,doll_198.2 m,united kingdom,diagnostics & research,healthcare
766,gabelli value plus+ trust plc,0,united kingdom,asset management,financials
767,avingtrans plc,doll_196.9 m,united kingdom,specialty industrial machinery,industrials
768,sigma capital group plc,0,united kingdom,reitresidential,real estate
769,middlefield canadian income pcc,doll_193.3 m,united kingdom,asset management,financials
770,circassia group plc,doll_192.8 m,united kingdom,biotechnology,healthcare
771,henderson diversified income trust plc,doll_191.2 m,united kingdom,asset management,financials
772,studio retail group plc,0,united kingdom,specialty retail,consumer discretionary
773,foxtons group plc,doll_190.6 m,united kingdom,real estate services,real estate
774,blackrock energy and resources income trust plc,doll_190.3 m,united kingdom,asset management,financials
775,venator materials plc,doll_190.2 m,united kingdom,specialty chemicals,basic materials
776,mercia asset management plc,doll_189.1 m,united kingdom,asset management,financials
777,chenavari toro income fund ltd,doll_188.2 m,united kingdom,asset management,financials
778,keystone positive change investment trust plc,doll_188.1 m,united kingdom,asset management,financials
779,stv group plc,doll_188.0 m,united kingdom,broadcasting,communication services
780,blackrock north american income trust plc,0,united kingdom,asset management,financials
781,proven vct plc,0,united kingdom,asset management,financials
782,arbuthnot banking group plc,doll_186.9 m,united kingdom,banks,financials
783,m&g credit income investment trust plc,doll_186.8 m,united kingdom,asset management,financials
784,franchise brands plc,doll_186.5 m,united kingdom,specialty business services,industrials
785,bango plc,doll_186.4 m,united kingdom,information technology services,technology
786,equals group plc,doll_183.2 m,united kingdom,credit services,financials
787,duke royalty limited,doll_182.4 m,united kingdom,asset management,financials
788,aberforth split level income trust plc,doll_182.1 m,united kingdom,asset management,financials
789,n brown group plc,doll_180.7 m,united kingdom,internet retail,consumer discretionary
790,carr's group plc,doll_180.0 m,united kingdom,farm products,consumer staples
791,countrywide plc,0,united kingdom,real estate services,real estate
792,access intelligence plc,doll_179.9 m,united kingdom,softwareapplication,technology
793,caledonia mining corporation plc,doll_179.0 m,united kingdom,gold,basic materials
794,h&t group plc,doll_176.4 m,united kingdom,credit services,financials
795,knights group holdings plc,doll_174.6 m,united kingdom,specialty business services,industrials
796,mind gym plc,doll_174.3 m,united kingdom,specialty business services,industrials
797,aquis exchange plc,doll_173.9 m,united kingdom,financial data & stock exchanges,financials
798,tmt investments plc,doll_170.9 m,united kingdom,asset management,financials
799,superdry plc,doll_170.6 m,united kingdom,apparel manufacturing,consumer discretionary
800,castings plc,doll_169.0 m,united kingdom,specialty industrial machinery,industrials
801,calnex solutions plc,doll_169.0 m,united kingdom,communication equipment,technology
802,aberdeen income credit strategies fund,doll_168.3 m,united kingdom,asset management,financials
803,sureserve group plc,doll_167.4 m,united kingdom,engineering & construction,industrials
804,record plc,doll_166.8 m,united kingdom,asset management,financials
805,trident royalties plc,doll_166.8 m,united kingdom,other industrial metals & mining,basic materials
806,"alterola biotech, inc.",doll_165.9 m,united kingdom,drug manufacturersspecialty & generic,healthcare
807,anpario plc,doll_165.7 m,united kingdom,packaged foods,consumer staples
808,gresham technologies plc,doll_165.4 m,united kingdom,softwareapplication,technology
809,shepherd neame ltd,doll_164.3 m,united kingdom,beveragesbrewers,consumer staples
810,chariot ltd.,doll_163.9 m,united kingdom,oil & gas e&p,energy
811,the character group plc,doll_163.7 m,united kingdom,leisure,consumer discretionary
812,wynnstay group plc,doll_160.1 m,united kingdom,agricultural inputs,basic materials
