,name,mastercap,country,industry,sector
137,nomad foods limited,doll_4.04 b,united kingdom,packaged foods,consumer staples
138,tate & lyle plc,doll_4.01 b,united kingdom,packaged foods,consumer staples
139,livanova plc,doll_3.99 b,united kingdom,medical devices,healthcare
140,william hill plc,0,united kingdom,gambling,consumer discretionary
141,bellway plc,doll_3.95 b,united kingdom,residential construction,consumer discretionary
142,alliance trust plc,doll_3.93 b,united kingdom,asset management,financials
143,greencoat uk wind plc,doll_3.92 b,united kingdom,asset management,financials
144,atlantica sustainable infrastructure plc,doll_3.87 b,united kingdom,utilitiesrenewable,utilities
145,safestore holdings plc,doll_3.76 b,united kingdom,reitindustrial,real estate
146,homeserve plc,doll_3.72 b,united kingdom,specialty business services,industrials
147,the renewables infrastructure group limited,doll_3.71 b,united kingdom,asset management,financials
148,international public partnerships ld,doll_3.70 b,united kingdom,asset management,financials
149,renishaw plc,doll_3.66 b,united kingdom,scientific & technical instruments,technology
150,travis perkins plc,doll_3.63 b,united kingdom,building products & equipment,industrials
151,technipfmc plc,doll_3.58 b,united kingdom,oil & gas equipment & services,energy
152,watches of switzerland group plc,doll_3.57 b,united kingdom,luxury goods,consumer discretionary
153,big yellow group plc,doll_3.57 b,united kingdom,reitindustrial,real estate
154,beazley plc,doll_3.45 b,united kingdom,insuranceproperty & casualty,financials
155,smithson investment trust plc,doll_3.43 b,united kingdom,asset management,financials
156,monks investment trust,doll_3.42 b,united kingdom,asset management,financials
157,inchcape plc,doll_3.41 b,united kingdom,auto & truck dealerships,consumer discretionary
158,jet2 plc,doll_3.35 b,united kingdom,travel services,consumer discretionary
159,osb group plc,doll_3.35 b,united kingdom,mortgage finance,financials
160,greggs plc,doll_3.33 b,united kingdom,grocery stores,consumer staples
161,easyjet plc,doll_3.33 b,united kingdom,airlines,industrials
162,virgin money uk plc,doll_3.31 b,united kingdom,banks,financials
163,londonmetric property plc,doll_3.31 b,united kingdom,reitdiversified,real estate
164,dr. martens plc,doll_3.17 b,united kingdom,footwear & accessories,consumer discretionary
165,quilter plc,doll_3.16 b,united kingdom,asset management,financials
166,games workshop group plc,doll_3.14 b,united kingdom,leisure,consumer discretionary
167,shaftesbury plc,doll_3.10 b,united kingdom,reitretail,real estate
168,ultra electronics holdings plc,doll_3.10 b,united kingdom,aerospace & defense,industrials
169,britvic plc,doll_2.93 b,united kingdom,beveragesnon-alcoholic,consumer staples
170,dunelm group plc,doll_2.91 b,united kingdom,specialty retail,consumer discretionary
171,energean plc,doll_2.83 b,united kingdom,oil & gas e&p,energy
172,worldwide healthcare,doll_2.77 b,united kingdom,asset management,financials
173,fevertree drinks plc,doll_2.77 b,united kingdom,beveragesnon-alcoholic,consumer staples
174,vistry group plc,doll_2.76 b,united kingdom,residential construction,consumer discretionary
175,hays plc,doll_2.69 b,united kingdom,staffing & employment services,industrials
176,grainger plc,doll_2.68 b,united kingdom,real estate services,real estate
177,itm power plc,doll_2.64 b,united kingdom,electronic components,technology
178,primary health properties plc,doll_2.61 b,united kingdom,reithealthcare facilities,real estate
179,witan investment trust plc,doll_2.60 b,united kingdom,asset management,financials
180,caledonia investments plc,doll_2.59 b,united kingdom,asset management,financials
181,"pershing square holdings, ltd.",0,united kingdom,asset management,financials
182,deliveroo plc,doll_2.55 b,united kingdom,internet retail,consumer discretionary
183,cranswick plc,doll_2.52 b,united kingdom,packaged foods,consumer staples
184,great portland estates plc,0,united kingdom,reitoffice,real estate
185,hgcapital trust plc,doll_2.48 b,united kingdom,asset management,financials
186,zimplats holdings limited,doll_2.48 b,united kingdom,other precious metals & mining,basic materials
187,wh smith plc,doll_2.48 b,united kingdom,specialty retail,consumer discretionary
188,finsbury growth & income trust plc,doll_2.46 b,united kingdom,asset management,financials
189,redrow plc,doll_2.44 b,united kingdom,residential construction,consumer discretionary
190,playtech plc,doll_2.44 b,united kingdom,gambling,consumer discretionary
191,close brothers group plc,doll_2.43 b,united kingdom,capital markets,financials
192,pets at home group plc,doll_2.37 b,united kingdom,specialty retail,consumer discretionary
193,ssp group plc,doll_2.35 b,united kingdom,restaurants,consumer discretionary
194,assura plc,doll_2.35 b,united kingdom,reithealthcare facilities,real estate
195,diversey holdings ltd,doll_2.35 b,united kingdom,personal services,consumer discretionary
196,the city of london investment trust plc,doll_2.34 b,united kingdom,asset management,financials
197,serco group plc,doll_2.34 b,united kingdom,specialty business services,industrials
198,manchester united plc,doll_2.33 b,united kingdom,leisure,consumer discretionary
199,domino's pizza group plc,doll_2.32 b,united kingdom,restaurants,consumer discretionary
200,vivo energy plc,doll_2.27 b,united kingdom,oil & gas refining & marketing,energy
201,qinetiq group plc,doll_2.27 b,united kingdom,aerospace & defense,industrials
202,mercantile investment trust (the) plc,doll_2.26 b,united kingdom,asset management,financials
203,sequoia economic infrastructure inc ord,doll_2.24 b,united kingdom,asset management,financials
204,balfour beatty plc,doll_2.24 b,united kingdom,engineering & construction,industrials
205,kainos group plc,doll_2.22 b,united kingdom,softwareapplication,technology
206,aggreko plc,0,united kingdom,rental & leasing services,industrials
207,personal assets trust,doll_2.18 b,united kingdom,asset management,financials
208,babcock international group plc,doll_2.16 b,united kingdom,engineering & construction,industrials
209,ashmore group plc,doll_2.14 b,united kingdom,asset management,financials
210,murray international trust plc,doll_2.11 b,united kingdom,asset management,financials
211,pagegroup plc,doll_2.11 b,united kingdom,staffing & employment services,industrials
212,harbourvest global private equity limited,0,united kingdom,asset management,financials
213,gamesys group plc,0,united kingdom,gambling,consumer discretionary
214,john laing group plc,0,united kingdom,engineering & construction,industrials
215,dixons carphone plc,0,united kingdom,specialty retail,consumer discretionary
216,victrex plc,doll_2.06 b,united kingdom,specialty chemicals,basic materials
217,s4 capital plc,doll_2.05 b,united kingdom,advertising agencies,communication services
218,savills plc,doll_2.04 b,united kingdom,real estate services,real estate
219,asos plc,doll_2.03 b,united kingdom,internet retail,consumer discretionary
220,brewin dolphin holdings plc,doll_2.03 b,united kingdom,asset management,financials
221,calisen plc,0,united kingdom,electrical equipment & parts,industrials
222,jpmorgan american investment trust plc,doll_1.98 b,united kingdom,asset management,financials
223,burford capital limited,doll_1.97 b,united kingdom,asset management,financials
224,yougov plc,doll_1.96 b,united kingdom,advertising agencies,communication services
225,capital & counties properties plc,doll_1.95 b,united kingdom,reitretail,real estate
226,sanne group plc,doll_1.94 b,united kingdom,asset management,financials
227,secure income reit ord,doll_1.94 b,united kingdom,reitdiversified,real estate
228,national express group plc,doll_1.92 b,united kingdom,railroads,industrials
229,globaldata plc,doll_1.90 b,united kingdom,consulting services,industrials
230,polypipe group plc,0,united kingdom,building products & equipment,industrials
231,tr property investment trust,doll_1.89 b,united kingdom,asset management,financials
232,countryside properties plc,doll_1.87 b,united kingdom,residential construction,consumer discretionary
233,spirent communications plc,doll_1.87 b,united kingdom,softwareinfrastructure,technology
234,rws holdings plc,doll_1.87 b,united kingdom,consulting services,industrials
235,integrafin holdings plc,doll_1.86 b,united kingdom,asset management,financials
236,mitchells & butlers plc,doll_1.85 b,united kingdom,restaurants,consumer discretionary
237,the bankers investment trust plc,doll_1.83 b,united kingdom,asset management,financials
238,ascential plc,doll_1.83 b,united kingdom,advertising agencies,communication services
239,micro focus international plc,doll_1.81 b,united kingdom,softwareinfrastructure,technology
240,hammerson plc,doll_1.79 b,united kingdom,reitretail,real estate
241,sirius real estate limited,doll_1.79 b,united kingdom,real estate services,real estate
242,marshalls plc,doll_1.78 b,united kingdom,building materials,basic materials
243,jpmorgan emerging markets investment trust plc,doll_1.78 b,united kingdom,asset management,financials
244,ceres power holdings plc,doll_1.77 b,united kingdom,electrical equipment & parts,industrials
245,blackrock world mining trust plc,doll_1.77 b,united kingdom,asset management,financials
246,impax environmental markets trust plc,doll_1.74 b,united kingdom,asset management,financials
247,james halstead plc,0,united kingdom,building products & equipment,industrials
248,hipgnosis songs fund limited,doll_1.71 b,united kingdom,asset management,financials
249,alphawave ip group plc,doll_1.71 b,united kingdom,semiconductors,technology
250,impax asset management group plc,doll_1.70 b,united kingdom,asset management,financials
251,paragon banking group plc,doll_1.70 b,united kingdom,mortgage finance,financials
252,contourglobal plc,doll_1.68 b,united kingdom,utilitiesrenewable,utilities
253,synthomer plc,doll_1.68 b,united kingdom,specialty chemicals,basic materials
