,name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
246,"prudential financial, inc.",doll_47.17 b,pru,united states,financials,insurance—life,"newark,nj,unitedstates", 1875," 40,916", mr. charles frederick lowrey jr.
247,"autodesk, inc.",doll_47.69 b,adsk,united states,technology,software—application,"sanrafael,ca,unitedstates"," january 30, 1982"," 12,600", dr. andrew  anagnost
248,naspers ltd,doll_47.73 b,npn,south africa,communication services,internet content & information,"capetown,southafrica",," 28,445", mr. bob  van dijk
249,"crowdstrike holdings, inc.",doll_47.89 b,crwd,united states,technology,software—infrastructure,"sunnyvale,ca,unitedstates", 2011," 4,965", mr. george r. kurtz
250,grupo mexico sab de cv,doll_48.00 b,gmexicob,mexico,basic materials,other industrial metals & mining,"mexicocity,df,mexico",," 29,707",
251,"o'reilly automotive, inc.",doll_48.14 b,orly,united states,consumer discretionary,specialty retail,"springfield,mo,unitedstates"," december 2, 1957"," 82,852", mr. gregory d. johnson
252,johnson controls international plc,doll_48.15 b,jci,ireland,industrials,engineering & construction,"cork,ireland", 1885," 101,000", mr. george r. oliver
253,"vmware, inc.",doll_48.17 b,vmw,united states,technology,software—infrastructure,"paloalto,ca,unitedstates"," february 10, 1998"," 34,000", mr. rangarajan  raghuram
254,suncor energy inc.,doll_48.27 b,su,canada,energy,oil & gas integrated,"calgary,ab,canada"," montreal, quebec, canada in 1919"," 16,922", mr. mark s. little
255,mckesson corporation,doll_48.46 b,mck,united states,healthcare,medical distribution,"irving,tx,unitedstates"," new york city, united states1833"," 59,000", mr. brian s. tyler ph.d.
256,rosneft oil co pjsc,doll_48.50 b,rosn,russia,energy,oil & gas integrated,"moscow,russia",,, mr. igor ivanovich sechin
257,dow inc.,doll_48.50 b,dow,united states,basic materials,chemicals,"midland,mi,unitedstates"," april 1, 2019"," 35,700", mr. james r. fitterling
258,lululemon athletica inc.,doll_48.52 b,lulu,canada,consumer discretionary,apparel retail,"vancouver,bc,canada", 1998," 25,000", mr. calvin r. mcdonald
259,"mediatek, inc.",doll_48.74 b,2454,taiwan,technology,semiconductors,"hsinchucity,taiwan",,, dr. lih shyng  tsai ph.d.
260,scentre group,doll_48.83 b,scg,australia,real estate,reit—retail,"sydney,nsw,australia", 2014," 2,780", mr. peter kenneth allen
261,hitachi ltd,doll_48.92 b,6501,japan,industrials,conglomerates,"tokyo,japan",," 350,864", mr. toshiaki  higashihara
262,wanhua chemical group co. ltd,doll_39.73 b,600309,china,basic materials,chemicals,"yantai,china",," 19,692",
263,united overseas bank ltd,doll_39.73 b,u11,singapore,financials,banks,"singapore,singapore",," 24,346"," mr. ee cheong  wee b.sc., m.a."
264,xcel energy inc.,doll_39.76 b,xel,united states,utilities,utilities—regulated electric,"minneapolis,mn,unitedstates", 1909," 11,321", mr. robert c. frenzel
265,welltower inc.,doll_39.96 b,well,united states,real estate,reit—healthcare facilities,"toledo,oh,unitedstates", 1970, 464, mr. shankh s. mitra
266,msci inc.,doll_39.97 b,msci,united states,financials,financial data & stock exchanges,"newyork,ny,unitedstates", 1968," 4,303", mr. henry a. fernandez
267,boc hong kong holdings ltd,doll_39.99 b,2388,hong kong,financials,banks,"central,hongkong",," 14,462", mr. yu  sun
268,baxter international inc.,doll_40.13 b,bax,united states,healthcare,medical instruments & supplies,"deerfield,il,unitedstates", 1931," 60,000", mr. jose e. almeida
269,citic securities company ltd,doll_40.17 b,600030,china,financials,capital markets,"shenzhen,china",," 11,380",
270,global payments inc.,doll_40.35 b,gpn,united states,industrials,specialty business services,"atlanta,ga,unitedstates", 2000," 25,000", mr. jeffrey s. sloan j.d.
271,"agilent technologies, inc.",doll_40.49 b,a,united states,healthcare,diagnostics & research,"santaclara,ca,unitedstates", 1999," 17,200", mr. michael r. mcmullen
272,"walgreens boots alliance, inc.",doll_40.55 b,wba,united states,healthcare,pharmaceutical retailers,"deerfield,il,unitedstates"," december 31, 2014"," 202,000", ms. rosalind gates brewer
273,"digital realty trust, inc.",doll_40.64 b,dlr,united states,real estate,reit—office,"sanfrancisco,ca,unitedstates", 2004," 3,030", mr. arthur william stein
274,oversea-chinese banking corp ltd,doll_40.77 b,o39,singapore,financials,banks,"singapore,singapore",," 29,622",
275,carrier global corporation,doll_40.79 b,carr,united states,industrials,building products & equipment,"palmbeachgardens,fl,unitedstates"," june 26, 1915"," 58,000", mr. david l. gitlin
276,the bank of new york mellon corporation,doll_40.83 b,bk,united states,financials,asset management,"newyork,ny,unitedstates"," july 1, 2007"," 49,100", mr. thomas p. gibbons
277,"east money information co.,ltd.",doll_40.83 b,300059,china,communication services,internet content & information,"shanghai,china",," 5,696",
278,"motorola solutions, inc.",doll_40.87 b,msi,united states,technology,communication equipment,"chicago,il,unitedstates"," january 4, 2011"," 18,700", mr. gregory q. brown
279,mmc norilsk nickel pjsc,doll_41.16 b,gmkn,russia,basic materials,other industrial metals & mining,"moscow,russia",,,
280,ing groep n.v.,doll_41.25 b,inga,netherlands,financials,banks,"amsterdam,netherlands",," 57,000", mr. steven j. a. van rijswijk
281,valero energy corporation,doll_41.27 b,vlo,united states,energy,oil & gas refining & marketing,"sanantonio,tx,unitedstates"," january 1, 1980"," 9,794", mr. joseph w. gorder
282,hang seng bank limited,doll_41.47 b,0011,hong kong,financials,banks,"central,hongkong",," 9,396",
283,the allstate corporation,doll_41.54 b,all,united states,financials,insurance—property & casualty,"northbrook,il,unitedstates"," april 17, 1931"," 54,300", mr. thomas joseph wilson ii
284,"the williams companies, inc.",doll_41.60 b,wmb,united states,energy,oil & gas midstream,"tulsa,ok,unitedstates", 1908," 4,783", mr. alan s. armstrong
285,devon energy corporation,doll_41.82 b,dvn,united states,energy,oil & gas e&p,"oklahomacity,ok,unitedstates", 1971," 1,600", mr. richard e. muncrief
286,stmicroelectronics n.v.,doll_41.91 b,stm,switzerland,technology,semiconductors,"geneva,switzerland",," 48,254", mr. jean-marc  chery
287,biontech se,doll_41.93 b,22ua,germany,healthcare,biotechnology,"mainz,germany", 2008," 2,800", prof. ugur  sahin m.d.
288,manulife financial corporation,doll_41.98 b,mfc,canada,financials,insurance—life,"toronto,on,canada"," june 23, 1887"," 38,000", mr. rocco  gori
289,the kroger co.,doll_42.03 b,kr,united states,consumer staples,grocery stores,"cincinnati,oh,unitedstates", 1883," 500,000", mr. william rodney mcmullen
290,sysco corporation,doll_42.22 b,syy,united states,consumer staples,food distribution,"houston,tx,unitedstates"," march 19, 1969"," 58,000", mr. kevin p. hourican
291,wuxi apptec co. ltd,doll_42.25 b,603259,china,healthcare,diagnostics & research,"shanghai,china",," 34,912", dr. ge  li ph.d.
292,hilton worldwide holdings inc.,doll_42.39 b,hlt,united states,consumer discretionary,lodging,"mclean,va,unitedstates"," may 31, 1919"," 142,000", mr. christopher j. nassetta
293,dsv panalpina a-s,doll_42.49 b,dsv,denmark,industrials,integrated freight & logistics,"hedehusene,denmark",," 77,958", mr. jens bjorn andersen
294,seven & i holdings co. ltd,doll_42.53 b,3382,japan,consumer staples,grocery stores,"tokyo,japan",," 58,975",
295,"general mills, inc.",doll_42.65 b,gis,united states,consumer staples,packaged foods,"minneapolis,mn,unitedstates"," june 20, 1866"," 35,000", mr. jeffrey l. harmening
296,"corteva, inc.",doll_42.66 b,ctva,united states,basic materials,agricultural inputs,"wilmington,de,unitedstates", 2019," 21,000"," mr. charles victor magro b.sc. (chem), mba"
297,longi green energy technology co. ltd,doll_42.68 b,601012,china,technology,semiconductor equipment & materials,"xi'an,china",," 46,631",
298,monster beverage corporation,doll_42.81 b,mnst,united states,consumer staples,beverages—non-alcoholic,"corona,ca,unitedstates", 1935," 3,458", mr. rodney cyril sacks
299,yihai kerry arawana holdings co. ltd,doll_42.84 b,300999,china,consumer staples,packaged foods,"shanghai,china",," 34,389",
300,hoya corp,doll_42.88 b,7741,japan,healthcare,medical instruments & supplies,"tokyo,japan",," 37,245", mr. eiichiro  ikeda
301,"republic services, inc.",doll_42.91 b,rsg,united states,industrials,waste management,"phoenix,az,unitedstates"," july 2, 1998"," 35,000", mr. jon  vander ark
302,wesfarmers limited,doll_43.09 b,wes,australia,consumer discretionary,home improvement retail,"perth,wa,australia", 1914," 122,000", mr. robert g. scott
303,xiaomi corp,doll_43.10 b,1810,china,technology,consumer electronics,"beijing,china",," 33,427", mr. jun  lei
304,kimberly-clark corporation,doll_43.21 b,kmb,united states,consumer staples,household & personal products,"dallas,tx,unitedstates", 1872," 45,000", mr. michael d. hsu
305,"kinder morgan, inc.",doll_43.38 b,kmi,united states,energy,oil & gas midstream,"houston,tx,unitedstates", 1997," 10,529", mr. steven j. kean
306,murata manufacturing co. ltd,doll_43.41 b,6981,japan,technology,electronic components,"nagaokakyo,japan",," 77,398",
307,barrick gold corporation,doll_43.50 b,abx,canada,basic materials,gold,"toronto,on,canada", 1983," 18,421", dr. dennis mark bristow
308,aflac incorporated,doll_43.59 b,afl,united states,financials,insurance—life,"columbus,ga,unitedstates"," november 17, 1955"," 12,447", mr. daniel paul amos
309,"simon property group, inc.",doll_43.69 b,spg,united states,real estate,reit—retail,"indianapolis,in,unitedstates", 1993," 2,400", mr. david e. simon
310,lloyds banking group plc,doll_43.70 b,lloy,united kingdom,financials,banks,"london,unitedkingdom",," 57,955",
311,woolworths group limited,doll_35.33 b,wow,australia,consumer staples,grocery stores,"bellavista,nsw,australia", 22 september 1924," 210,067"," mr. bradford leon banducci bcomm (acc), llb, mba"
312,"intuitive surgical, inc.",doll_35.37 b,isrg,united states,healthcare,medical instruments & supplies,"sunnyvale,ca,unitedstates", 1995," 9,793", dr. gary s. guthart ph.d.
313,experian plc,doll_35.40 b,expn,ireland,industrials,consulting services,"dublin,ireland", 1996," 20,000", mr. brian j. cassin
314,resmed inc.,doll_35.44 b,rmd,united states,healthcare,medical instruments & supplies,"sandiego,ca,unitedstates", 1989," 7,970"," mr. michael j. farrell be, mba, sm"
315,neste oyj,doll_35.57 b,neste,finland,energy,oil & gas refining & marketing,"espoo,finland",," 4,719", mr. peter z. e. vanacker
316,"shanxi xinghuacun fen wine factory co.,ltd.",doll_35.84 b,600809,china,consumer staples,beverages—wineries & distilleries,"fenyang,china",," 12,614",
317,"coinbase global, inc.",doll_35.86 b,coin,united states,technology,software—application,"wilmington,de,unitedstates",," 3,730", mr. brian  armstrong
318,nio limited,doll_35.86 b,nio,china,consumer discretionary,auto manufacturers,"shanghai,china", november 2014," 7,763", mr. william  li
319,"cloudflare, inc.",doll_35.92 b,net,united states,technology,software—infrastructure,"sanfrancisco,ca,unitedstates", july 2009," 2,440", mr. matthew  prince
320,danone sa,doll_35.93 b,bn,france,consumer staples,packaged foods,"paris,france",," 98,105",
321,lyondellbasell industries n.v.,doll_35.96 b,lyb,united states,basic materials,specialty chemicals,"houston,tx,unitedstates", 2007," 19,100", mr. kenneth todd lane
322,"waste connections, inc.",doll_36.14 b,wcn,united states,industrials,waste management,," 1997 in folsom, california"," 19,998", mr. worthing f. jackman
323,transdigm group incorporated,doll_36.14 b,tdg,united states,industrials,aerospace & defense,"cleveland,oh,unitedstates", 1993," 13,300", dr. kevin m. stein ph.d.
324,public service enterprise group incorporated,doll_36.28 b,peg,united states,utilities,utilities—diversified,"newark,nj,unitedstates", 1903," 12,684", dr. ralph  izzo ph.d.
325,telus corporation,doll_36.37 b,t,canada,communication services,telecom services,"vancouver,bc,canada", 1990," 90,800"," mr. darren  entwistle b.a., ll.d., m.b.a."
326,inner mongolia yili industrial group co. ltd,doll_36.61 b,600887,china,consumer staples,packaged foods,"hohhot,china",," 59,159",
327,constellation software inc.,doll_36.67 b,csu,canada,technology,software—application,"toronto,on,canada", 1995," 16,000",
328,shanghai pudong development bank co. ltd,doll_36.72 b,600000,china,financials,banks,"shanghai,china",," 61,686",
329,"doordash, inc.",doll_36.74 b,dash,united states,communication services,internet content & information,"sanfrancisco,ca,unitedstates", january 2013," 8,600", mr. tony  xu
330,münchener rückversicherungs-gesellschaft aktiengesellschaft in münchen,doll_36.89 b,muv2,germany,financials,insurance—reinsurance,"munich,germany",," 39,281", dr. torsten  jeworrek
331,"beijing-shanghai high-speed railway co.,ltd.",doll_36.90 b,601816,china,industrials,railroads,"beijing,china",, 57,
332,jiangsu hengrui medicine co. ltd,doll_36.90 b,600276,china,healthcare,drug manufacturers—general,"lianyungang,china",," 28,903",
333,"tokio marine holdings, inc.",doll_36.99 b,8766,japan,financials,insurance—property & casualty,"tokyo,japan",," 43,257", mr. satoru  komiya
334,parker-hannifin corporation,doll_37.05 b,ph,united states,industrials,specialty industrial machinery,"cleveland,oh,unitedstates"," 1917, cleveland, ohio, u.s."," 54,640", mr. thomas l. williams
335,smc corp,doll_37.08 b,6273,japan,industrials,specialty industrial machinery,"tokyo,japan",," 20,619",
336,trane technologies plc,doll_37.36 b,tt,ireland,industrials,specialty industrial machinery,"swords,ireland", 1871," 37,000", mr. david s. regnery
337,phillips 66,doll_37.51 b,psx,united states,energy,oil & gas refining & marketing,"houston,tx,unitedstates", 1927," 14,000", mr. greg c. garland
338,electronic arts inc.,doll_37.38 b,ea,united states,communication services,electronic gaming & multimedia,"redwoodcity,ca,unitedstates"," may 27, 1982"," 11,000", mr. andrew  wilson
339,pt bank rakyat indonesia (persero) tbk,doll_37.51 b,byra,indonesia,financials,banks,"jakarta,indonesia",," 79,398",
340,sartorius stedim biotech sa,doll_37.55 b,dim,france,healthcare,medical instruments & supplies,"aubagne,france",," 10,409", dr. joachim  kreuzburg
341,compass group plc,doll_37.73 b,cpg,united kingdom,consumer discretionary,restaurants,"chertsey,unitedkingdom", 1941," 480,000", mr. dominic  blakemore
342,daiichi sankyo company ltd,doll_37.79 b,4568,japan,healthcare,drug manufacturers—general,"tokyo,japan",," 16,033"," mr. sunao  manabe d.v.m., ph.d."
343,capgemini se,doll_37.82 b,cap,france,technology,information technology services,"paris,france",," 324,700", mr. aiman  ezzat
344,sba communications corporation,doll_37.93 b,sbac,united states,real estate,reit—specialty,"bocaraton,fl,unitedstates",," 1,596", mr. jeffrey a. stoops
345,"dollar tree, inc.",doll_38.00 b,dltr,united states,consumer staples,discount stores,"chesapeake,va,unitedstates", 1986," 61,886", mr. michael a. witynski
346,crédit agricole sa,doll_38.01 b,aca,france,financials,banks,"montrouge,france",," 75,975", mr. philippe  brassac
347,ab volvo,doll_38.13 b,vol4,sweden,industrials,farm & heavy construction machinery,"gothenburg,sweden",," 92,144", mr. martin  lundstedt m.sc.
348,kuaishou technology,doll_38.15 b,1024,china,communication services,broadcasting,"beijing,china",," 27,125", mr. yixiao  cheng
349,dell technologies inc.,doll_38.16 b,dell,united states,technology,computer hardware,"roundrock,tx,unitedstates"," september 7, 2016"," 133,000", mr. michael saul dell
350,"banco bilbao vizcaya argentaria, sa",doll_38.25 b,bbva,spain,financials,banks,"bilbao,spain",," 110,432", mr. onur  genc
351,baker hughes company,doll_38.39 b,bkr,united states,energy,oil & gas equipment & services,"houston,tx,unitedstates", 1907," 54,000", mr. lorenzo  simonelli
352,ecopetrol sa,doll_38.69 b,ec,colombia,                                        energy                                    ,                                        oil & gas integrated                                    ,"bogotã¡,colombia", 1921," 18,000",
353,alcon inc.,doll_38.90 b,alc,switzerland,healthcare,medical instruments & supplies,"geneva,switzerland"," 1945, fort worth, texas, united states"," 24,389", mr. david j. endicott
354,prudential plc,doll_39.00 b,pru,united kingdom,financials,insurance—life,"london,unitedkingdom", 1848," 23,000",
355,novozymes a-s,doll_39.03 b,nzym.b,denmark,basic materials,chemicals,"bagsvaerd,denmark",," 6,184", ms. ester  baiget
356,givaudan sa,doll_39.29 b,givn,switzerland,basic materials,specialty chemicals,"vernier,switzerland",," 16,842",
357,ebay inc.,doll_39.34 b,ebay,united states,consumer discretionary,internet retail,"sanjose,ca,unitedstates"," september 3, 1995"," 10,800", mr. jamie j. iannone
358,alimentation couche-tard inc.,doll_39.56 b,atd.b,canada,consumer staples,grocery stores,"laval,qc,canada", 1980," 98,000", mr. brian p. hannasch
359,eqt ab,doll_39.71 b,6eq,japan,financials,asset management,"tokyo,japan",," 1,059", mr. christian  sinding
360,hess corporation,doll_32.81 b,hes,united states,energy,oil & gas e&p,"newyork,ny,unitedstates"," december 11, 1919"," 1,545", mr. john b. hess
361,orange sa,doll_32.84 b,ora,france,communication services,telecom services,"paris,france", 1 january 1988," 132,002", mr. stephane  richard
362,deutsche börse ag,doll_32.99 b,db1,germany,financials,financial data & stock exchanges,"eschborn,germany",," 8,855", dr. theodor  weimer
363,cenovus energy inc.,doll_33.02 b,cve,canada,energy,oil & gas integrated,"calgary,ab,canada", 2009," 5,938", mr. alexander j. pourbaix
364,aptiv plc,doll_33.02 b,aptv,ireland,consumer discretionary,auto parts,"dublin,ireland", 1994," 155,000", mr. kevin p. clark
365,"rockwell automation, inc.",doll_33.05 b,rok,united states,industrials,specialty industrial machinery,"milwaukee,wi,unitedstates", 1903," 24,500", mr. blake d. moret
366,sun life financial inc.,doll_33.08 b,slf,canada,financials,insurance—diversified,"toronto,on,canada",," 22,719"," mr. kevin david strain c.a., cpa"
367,otis worldwide corporation,doll_33.09 b,otis,united states,industrials,specialty industrial machinery,"farmington,ct,unitedstates", 20 september 1853," 70,000", ms. judith f. marks
368,"zoom video communications, inc.",doll_33.22 b,zm,united states,communication services,telecom services,"sanjose,ca,unitedstates"," april 21, 2011"," 6,787", mr. eric s. yuan
369,china resources land ltd,doll_33.26 b,1109,hong kong,real estate,real estate—development,"wanchai,hongkong",," 47,537",
370,telefonaktiebolaget lm ericsson,doll_33.29 b,eric.a,sweden,technology,communication equipment,"stockholm,sweden"," stockholm, sweden 1876"," 100,454"," mr. e. borje ekholm mba, msc"
371,international flavors & fragrances inc.,doll_33.32 b,iff,united states,basic materials,specialty chemicals,"newyork,ny,unitedstates", 1889 ," 24,000", mr. franklin k. clyburn jr.
372,china vanke co. ltd,doll_33.35 b,000002,china,real estate,real estate—development,"shenzhen,china",," 140,565", mr. jiusheng  zhu mba
373,koninklijke ahold delhaize n.v.,doll_33.43 b,ad,netherlands,consumer staples,grocery stores,"zaandam,netherlands",," 144,550", mr. frans w. h. muller
374,ptt pcl,doll_33.46 b,ptt,thailand,energy,oil & gas integrated,"bangkok,thailand",,, mr. auttapol  rerkpiboon
375,"mizuho financial group, inc.",doll_33.47 b,8411,japan,financials,banks,"tokyo,japan", 2001," 54,492", mr. masahiro  kihara
376,kkr & co. inc.,doll_33.49 b,kkr,united states,financials,asset management,"newyork,ny,unitedstates", 1976," 3,238", mr. joseph y. bae
377,poly developments and holdings group co. ltd,doll_33.64 b,600048,china,real estate,real estate—development,"guangzhou,china",," 61,201",
378,mtr corp ltd,doll_33.66 b,0066,hong kong,industrials,railroads,"kowloonbay,hongkong",," 31,968", dr. chak-pui  kam
379,fanuc corp,doll_33.68 b,6954,japan,industrials,specialty industrial machinery,"yamanashi,japan",," 8,256", mr. kenji  yamaguchi
380,kuehne + nagel international ag,doll_33.69 b,knin,switzerland,industrials,integrated freight & logistics,"schindellegi,switzerland",," 73,516", dr. detlef a. trefzger
381,discover financial services,doll_33.73 b,dfs,united states,financials,credit services,"riverwoods,il,unitedstates", 1985," 16,700", mr. roger crosby hochschild
382,"tyson foods, inc.",doll_33.73 b,tsn,united states,consumer staples,farm products,"springdale,ar,unitedstates", 1935," 137,000", mr. donnie d. king
383,halliburton company,doll_33.95 b,hal,united states,energy,oil & gas equipment & services,"houston,tx,unitedstates", 1919," 40,000", mr. jeffrey allen miller
384,"t. rowe price group, inc.",doll_34.01 b,trow,united states,financials,asset management,"baltimore,md,unitedstates", 1937," 7,529"," mr. robert w. sharps c.f.a., cpa, cfa, cpa"
385,"chunghwa telecom co., ltd.",doll_34.06 b,2412,taiwan,communication services,telecom services,"taipeicity,taiwan"," june 15, 1996"," 20,341", mr. chi-mau  sheih
386,equity residential,doll_34.11 b,eqr,united states,real estate,reit—residential,"chicago,il,unitedstates", 1969," 2,400", mr. mark j. parrell
387,chongqing zhifei biological products co. ltd,doll_34.13 b,300122,china,healthcare,biotechnology,"chongqing,china",," 3,380",
388,arthur j. gallagher & co.,doll_34.22 b,ajg,united states,financials,insurance brokers,"rollingmeadows,il,unitedstates", 1927," 39,000", mr. j. patrick gallagher jr.
389,z holdings corp,doll_34.24 b,4689,japan,consumer discretionary,internet retail,"tokyo,japan",," 22,531", mr. kentaro  kawabe
390,"verisk analytics, inc.",doll_34.39 b,vrsk,united states,industrials,consulting services,"jerseycity,nj,unitedstates", 1971," 9,367", mr. scott g. stephenson
391,sydney airport limited,doll_34.40 b,syd,australia,industrials,airports & air services,"sydney,nsw,australia", 2002, 418,
392,verbund ag,doll_34.44 b,oew,austria,                                        utilities                                    ,                                        utilities—renewable                                    ,"vienna,austria",," 2,870", dr. michael  strugl m.b.a.
393,"align technology, inc.",doll_34.49 b,algn,united states,healthcare,medical devices,"tempe,az,unitedstates", 1997," 22,540", mr. joseph m. hogan
394,fastenal company,doll_34.58 b,fast,united states,industrials,industrial distribution,"winona,mn,unitedstates", 1967," 18,370", mr. daniel l. florness
395,"ameriprise financial, inc.",doll_34.64 b,amp,united states,financials,asset management,"minneapolis,mn,unitedstates", 1894," 12,000", mr. james m. cracchiolo
396,arcelormittal,doll_34.66 b,mt,luxembourg,                                        basic materials                                    ,                                        steel                                    ,"luxembourgcity,luxembourg",," 158,000", mr. aditya  mittal
397,budweiser brewing company apac ltd,doll_34.73 b,1876,hong kong,consumer staples,beverages—brewers,"causewaybay,hongkong",," 26,038", mr. jan eli b.  craps
398,china citic bank corp ltd,doll_34.84 b,601998,china,financials,banks,"beijing,china",," 57,062",
399,"consolidated edison, inc.",doll_34.89 b,ed,united states,utilities,utilities—regulated electric,"newyork,ny,unitedstates", 1823 as the new york gas light company," 13,871", mr. timothy p. cawley
400,"cheniere energy, inc.",doll_34.92 b,lng,united states,energy,oil & gas midstream,"houston,tx,unitedstates", 1996," 1,550", mr. jack a. fusco
401,"old dominion freight line, inc.",doll_34.94 b,odfl,united states,industrials,trucking,"thomasville,nc,unitedstates", 1934," 23,663", mr. greg c. gantt
402,sun hung kai properties ltd,doll_35.04 b,0016,hong kong,real estate,real estate—development,"wanchai,hongkong",," 38,500",
403,"yum! brands, inc.",doll_35.12 b,yum,united states,consumer discretionary,restaurants,"louisville,ky,unitedstates"," october 6, 1997"," 36,000", mr. david w. gibbs
404,imperial oil limited,doll_35.13 b,imo,canada,energy,oil & gas integrated,"calgary,ab,canada", 1880," 5,400", mr. bradley william corson bs
405,"avalonbay communities, inc.",doll_35.19 b,avb,united states,real estate,reit—residential,"arlington,va,unitedstates", 1978," 2,839", mr. benjamin w. schall
406,assicurazioni generali,doll_35.20 b,g,italy,financials,insurance—diversified,"trieste,italy",," 74,621", mr. philippe roger donnet
407,hexagon ab,doll_35.21 b,hxg,sweden,technology,scientific & technical instruments,"stockholm,sweden",," 22,097"," mr. ola  rollã©n b.sc., b.sc. (econ.)"
408,telstra corporation limited,doll_35.24 b,tls,australia,communication services,telecom services,"melbourne,vic,australia", 1 july 1975," 26,728"," mr. andrew richard penn m.b.a., amp, mba, bec, fcca, hfaipm"
409,henkel ag & co kgaa,doll_30.53 b,hen,germany,consumer staples,household & personal products,"düsseldorf,germany",," 52,450", dr. carsten  knobel
410,"twitter, inc.",doll_30.83 b,twtr,united states,communication services,internet content & information,"sanfrancisco,ca,unitedstates"," march 21, 2006"," 7,500", mr. parag  agrawal
411,energy transfer lp,doll_30.69 b,et,united states,energy,oil & gas midstream,"dallas,tx,unitedstates", 1995," 12,558", mr. marshall s. mccrea iii
412,loblaw companies limited,doll_30.70 b,l,canada,consumer staples,grocery stores,"brampton,on,canada"," toronto, ontario, canada 1956"," 200,000"," mr. galen g. weston b.a., m.b.a, m.b.a."
413,veeva systems inc.,doll_30.76 b,veev,united states,healthcare,health information services,"pleasanton,ca,unitedstates", 2007," 4,506", mr. peter p. gassner
414,nokia corporation,doll_30.91 b,nokia.sek,finland,technology,communication equipment,"espoo,finland", 12 may 1865," 87,927", mr. pekka ilmari lundmark
415,saic motor corp ltd,doll_30.93 b,600104,china,consumer discretionary,auto manufacturers,"shanghai,china",," 204,815",
416,state street corporation,doll_30.95 b,stt,united states,financials,asset management,"boston,ma,unitedstates", 1792," 38,784", mr. ronald philip o'hanley
417,engie sa,doll_31.00 b,engi,france,utilities,utilities—diversified,"courbevoie,france",," 154,364", ms. catherine  macgregor
418,anhui conch cement company ltd,doll_31.02 b,600585,china,basic materials,building materials,"wuhu,china",," 47,539",
419,franco-nevada corporation,doll_31.00 b,fnv,canada,basic materials,gold,"toronto,on,canada",, 38, mr. paul  brink
420,china pacific insurance,doll_31.04 b,601601,china,financials,insurance—life,"shanghai,china",," 110,940",
421,"zscaler, inc.",doll_31.03 b,zs,united states,technology,software—infrastructure,"sanjose,ca,unitedstates", 2007," 3,153", mr. jagtar singh chaudhry
422,e.on se,doll_31.12 b,eoaa,germany,utilities,utilities—diversified,"essen,germany",," 63,227", dr. leonhard  birnbaum
423,"ametek, inc.",doll_31.15 b,ame,united states,industrials,specialty industrial machinery,"berwyn,pa,unitedstates", 1930," 18,500", mr. david a. zapico
424,zhangzhou pientzehuang pharmaceutical. ltd,doll_31.17 b,600436,china,healthcare,drug manufacturers—general,"zhangzhou,china",," 2,526",
425,formosa petrochemical corp,doll_31.22 b,6505,taiwan,energy,oil & gas refining & marketing,"mailiao,taiwan",,,
426,koninklijke dsm n.v.,doll_31.25 b,dsm,netherlands,basic materials,specialty chemicals,"heerlen,netherlands",," 21,358", mr. dimitri  de vreeze
427,swisscom ag,doll_31.26 b,scmn,switzerland,communication services,telecom services,"bern,switzerland",," 18,905", mr. urs  schaeppi lic. oec. hsg
428,biogen inc.,doll_31.35 b,biib,united states,healthcare,drug manufacturers—general,"cambridge,ma,unitedstates", 1978," 9,610", mr. michel  vounatsos
429,japan post holdings co. ltd,doll_31.41 b,6178,japan,financials,banks,"tokyo,japan",," 243,612", mr. hiroya  masuda
430,crh plc,doll_31.45 b,crh,ireland,basic materials,building materials,"dublin,ireland"," cement limited 1936, roadstone limited 1949 & merger to form cement roadstone holdings 1970"," 77,400",
431,china telecom corp ltd,doll_31.49 b,0728,hong kong,communication services,telecom services,"wanchai,hongkong",," 278,922", mr. ruiwen  ke
432,eversource energy,doll_31.56 b,es,united states,utilities,utilities—regulated electric,"springfield,ma,unitedstates", 1966," 9,227", mr. joseph r. nolan jr.
433,foxconn industrial internet co. ltd,doll_31.58 b,601138,china,technology,communication equipment,"shenzhen,china",," 196,159", mr. hongmeng  cheng
434,"japan tobacco, inc.",doll_31.59 b,2914,japan,consumer staples,tobacco,"tokyo,japan",," 55,381", mr. masamichi  terabatake
435,corning incorporated,doll_31.60 b,glw,united states,technology,electronic components,"corning,ny,unitedstates", 1851," 61,200", mr. wendell p. weeks
436,goodman group,doll_31.64 b,gmg,australia,real estate,reit—diversified,"rosebery,nsw,australia", 1989, 941, mr. gregory leith goodman
437,"oneok, inc.",doll_31.66 b,oke,united states,energy,oil & gas midstream,"tulsa,ok,unitedstates", 1906," 2,847", mr. pierce h. norton ii
438,mettler-toledo international inc.,doll_31.78 b,mtd,united states,healthcare,diagnostics & research,"columbus,oh,unitedstates", 1945," 15,600", mr. patrick k. kaltenbach
439,perusahaan perseroan (persero) pt telekomunikasi indonesia tbk,doll_31.78 b,tlk,indonesia,communication services,telecom services,"bandung,indonesia", 23 october 1856," 20,817",
440,"ppg industries, inc.",doll_31.89 b,ppg,united states,basic materials,specialty chemicals,"pittsburgh,pa,unitedstates", 1883," 49,300", mr. michael h. mcgarry
441,"japan post bank co.,ltd.",doll_31.93 b,7182,japan,financials,banks,"tokyo,japan",," 12,451",
442,longfor group holdings ltd,doll_31.98 b,0960,china,real estate,real estate—development,"beijing,china",," 44,065", mr. xuping  chen
