,name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
463,fresenius medical care ag & co. kgaa,doll_19.42 b,fme,germany,healthcare,medical care facilities,"badhomburg,germany",," 122,909", mr. robert maurice powell jr.
464,edp - energias de portugal sa,doll_19.43 b,edp,portugal,                                        utilities                                    ,                                        utilities—diversified                                    ,"lisbon,portugal",," 12,236", mr. miguel stilwell de andrade
465,"ferrovial, sa",doll_19.44 b,fer,spain,industrials,infrastructure operations,"madrid,spain",," 18,680", mr. ignacio madridejos fernandez
466,"molina healthcare, inc.",doll_19.46 b,moh,united states,healthcare,healthcare plans,"longbeach,ca,unitedstates", 1980," 14,000", mr. joseph michael zubretsky
467,"avantor, inc.",doll_19.48 b,avtr,united states,basic materials,specialty chemicals,"radnor,pa,unitedstates", 1904," 13,500", mr. michael  stubblefield
468,shenzhou international group holdings ltd,doll_19.50 b,2313,hong kong,consumer discretionary,textile manufacturing,"kowloon,hongkong",," 94,400", mr. guanlin  huang
469,jbs sa,doll_19.53 b,jbss3,brazil,consumer staples,packaged foods,"saopaulo,sp,brazil",," 250,000", mr. gilberto  tomazoni
470,transunion,doll_19.53 b,tru,united states,industrials,consulting services,"chicago,il,unitedstates"," february 8, 1968"," 10,200", mr. christopher a. cartwright
471,arch capital group ltd.,doll_19.54 b,acgl,bermuda,                                        financials                                    ,                                        insurance—diversified                                    ,"pembroke,bermuda", 1995," 5,200", mr. marc  grandisson
472,marathon oil corporation,doll_19.54 b,mro,united states,energy,oil & gas e&p,"houston,tx,unitedstates", 1887," 1,531", mr. lee m. tillman
473,"huatai securities co., ltd.",doll_19.55 b,601688,china,financials,capital markets,"nanjing,china",," 7,375", mr. yi  zhou
474,china tower corp ltd,doll_19.55 b,0788,china,communication services,telecom services,"beijing,china",," 20,500",
475,"akamai technologies, inc.",doll_19.59 b,akam,united states,technology,software—infrastructure,"cambridge,ma,unitedstates", 1998," 8,700", dr. f. thomson leighton
476,shanghai fosun pharmaceutical,doll_19.63 b,600196,china,healthcare,drug manufacturers—specialty & generic,"shanghai,china",," 32,258", mr. yifang  wu
477,"bill.com holdings, inc.",doll_19.65 b,bill,united states,technology,software—application,"paloalto,ca,unitedstates", 2006," 1,384", mr. rene a. lacerte
478,henderson land development co ltd,doll_19.67 b,0012,hong kong,real estate,real estate services,"central,hongkong",," 10,059",
479,cgi inc.,doll_19.67 b,gib.a,canada,technology,information technology services,"montreal,qc,canada", june 1976," 82,000", mr. george d. schindler
480,shiseido co ltd,doll_19.69 b,4911,japan,consumer staples,household & personal products,"tokyo,japan",," 39,035", mr. masahiko  uotani
481,brookfield infrastructure partners l.p.,doll_19.70 b,bip.un,bermuda,                                        utilities                                    ,                                        utilities—diversified                                    ,"hamilton,bermuda"," january 14, 2008",,
482,renesas electronics corp,doll_19.73 b,6723,japan,technology,semiconductors,"tokyo,japan",," 18,612", mr. hidetoshi  shibata
483,kerry group plc,doll_19.74 b,krz,ireland,consumer staples,packaged foods,"tralee,ireland",," 22,000", mr. edmond  scanlon
484,"hologic, inc.",doll_19.75 b,holx,united states,healthcare,medical instruments & supplies,"marlborough,ma,unitedstates", 1985," 6,705", mr. stephen p. macmillan
485,ryanair holdings plc,doll_19.78 b,ry4c,ireland,industrials,airlines,"swords,ireland", 28 november 1984," 17,000", mr. michael  o'leary
486,standard bank group ltd,doll_19.82 b,sbk,south africa,financials,banks,"johannesburg,southafrica",," 49,224"," mr. simpiwe kenneth tshabalala amp, b.a., ba, hdip tax, l.l.b., l.l.m., llb, llm"
487,aviva plc,doll_19.82 b,av.,united kingdom,financials,insurance—diversified,"london,unitedkingdom", 2000," 22,000",
488,china communications construction co ltd,doll_19.83 b,601800,china,industrials,engineering & construction,"beijing,china",," 133,294",
489,china resources beer (holdings) company ltd,doll_19.84 b,0291,hong kong,consumer staples,beverages—brewers,"wanchai,hongkong",," 25,000", mr. xiaohai  hou
490,"teradyne, inc.",doll_19.85 b,ter,united states,technology,semiconductor equipment & materials,"northreading,ma,unitedstates", 1960," 5,900", mr. mark e. jagiela
491,kao corp,doll_19.85 b,4452,japan,consumer staples,household & personal products,"tokyo,japan",," 33,409", mr. yoshihiro  hasebe
