_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
428809,66679,52435,coca-cola european partners,,,,,22.0,doll_25.73 b,doll_13.51 b,doll_1.56 b,,,,;,construction partners,united states,,,,,doll_1.47 b,,,,,,;
475267,39140,56183,cmge technology group,china,,,,,doll_650.0 m,,,,,,;,china railway group,china,,,,,doll_20.01 b,,,,,,;
488409,73093,56864,china communications construction co ltd,china,,,,,doll_19.83 b,,,engineering & construction,industrials,,;,china oilfield services,china,,,,,doll_9.47 b,,,,,,;
532990,23570,61689,cronos group,canada,,,,,doll_0.96 b,,,,,cannabis ,;,cno financial group,,,,,3.4,doll_2.64 b,doll_3.67 b,doll_0.72 b,,,,;
538840,32068,62367,community health systems,united states,,,,,doll_0.61 b,,,,,,;,casa systems,,,,,1.004,doll_0.31 b,doll_0.30 b,-doll_58.44 m,,,,;
550302,16755,63674,community financial corporation,united states,,,,,doll_0.23 b,,,,,['financial services'],;,chimera investment corporation,,,,,38.0,doll_1.58 b,-doll_0.51 b,-doll_0.6 b,,,,;
553521,63966,63966,coya therapeutics,,,,,,doll_46.46 m,,-doll_1.63 m,,,,;,coya therapeutics,,,,,,doll_46.46 m,,-doll_1.63 m,,,,;
584396,35077,64979,china merchants securities,china,,,,,doll_15.89 b,,,,,,;,china gas,,,,,,doll_8.27 b,doll_11.27 b,doll_1.56 b,,,,;
605760,28600,67773,ccl industries,canada,,,,,doll_7.97 b,,,,,,;,chart industries,,,,,4.771,doll_5.11 b,doll_1.54 b,doll_0.10 b,,,,;
620228,143354,69361,central china land media,china,,,,,doll_1.04 m,,,,,,;,china petroleum & chemical corporation,china,,,,,doll_78.39 b,,,oil & gas integrated,energy,,;
681558,70990,70696,china national nuclear power co. ltd,china,,,,,doll_22.42 b,,,utilities—independent power producers,utilities,,;,chongqing zhifei biological products co. ltd,china,,,,,doll_34.13 b,,,biotechnology,healthcare,,;
710633,148139,72218,cna financial corporation,united states,,,,,doll_12.68 b,,doll_1.2 b,,,,;,comcast corporation,united states,,,,,doll_218.90 b,,,entertainment,communication services,,;
769904,73604,73682,civitas social housing plc,united kingdom,,,,,doll_729.8 m,,,reitresidential,real estate,,;,central asia metals plc,united kingdom,,,,,doll_535.2 m,,,copper,basic materials,,;
846380,92470,92477,china minsheng bank,china,,,,,doll_16.74 b,doll_50.08 b,doll_4.8 b,,,,;,china communications construction,china,,,,,doll_19.1 b,doll_108.41 b,doll_3.03 b,,,,;
861044,34142,92865,china mobile,china,,,,,doll_149.06 b,,,,,,;,china tower corp.,china,,,,,doll_20.28 b,doll_13.43 b,doll_1.14 b,,,,;
862804,64770,92887,china minsheng bank,,,,,60.278,doll_21.41 b,doll_22.19 b,doll_5.02 b,,,,;,china hongqiao group,china,,,,,doll_12.76 b,doll_17.76 b,doll_2.49 b,,,,;
875954,136068,93130,china petroleum & chemical corporation (sinopec),china,,,,,doll_74.99 m,,,,,,dai houliang;,china merchants securities,china,,,,,doll_9.86 b,doll_5.7 b,doll_1.68 b,,,,;
880320,54416,93209,china automotive systems,china,,,,,doll_0.20 b,,,,,,;,china international marine,china,,,,,doll_5.48 b,doll_25.3 b,doll_1.03 b,,,,;
889694,56999,93409,china gas,china,,,,,doll_8.41 b,,,,,,;,china national chemical,china,,,,,doll_8.52 b,doll_20.54 b,doll_581.2 m,,,,;
1010718,123479,117444,croda investments no 3 limited,united kingdom,,,,,,,,,,,;,csc property limited,,,,,,,,,,,,;
1081364,119562,124145,cristina srl,italy,,,,,,,,,,,;,coty italia srl,italy,,,,,,,,,,,;
1082007,124737,124268,cadence design systems careers,,,,1988.0,,,,,computer software,,,;,carta careers,,,,2012.0,,,,,computer software,,,;
1097952,72910,130524,china minsheng banking corp ltd,china,,,,,doll_24.65 b,,,banks,financials,,;,china national accord medicines corporation,china,,,,,,,194 million usd,healthcare,,,;
1136512,142702,136529,china coal xinji energy,china,,,,,doll_2.13 m,,,,,,;,china citic bank corporation,china,,,,,doll_31.39 m,,,,,,chang zhenming;
1180241,156804,137382,china design group,china,,,,,doll_974.0 m,,0.0,,,,;,cspc pharmaceutical group,china,,,,,doll_15.63 m,,,,,,;
1212656,22778,138428,china merchants securities,china,,,,,doll_17.28 b,,,,,none,;,china cinda asset management,china,,,,,doll_7.0 m,,,,,,;
1345007,96545,142142,china three gorges renewables (group),china,,,1985.0,not found,,doll_1.6 b,,utilities,,,not found;,china resources double-crane pharmaceutical,china,,,,,doll_1.81 m,,,,,,;
1364104,151165,142745,compass inc,united states,,,,,doll_3.41 b,,doll_-494.0 m,,,,;,compass minerals international,united states,,,,,doll_2.28 m,,,,,,;
1488251,92887,147333,china hongqiao group,china,,,,,doll_12.76 b,doll_17.76 b,doll_2.49 b,,,,;,china international capital corporation,china,,,,,doll_26.88 b,,doll_1.13 b,,,,;
1501701,147778,147562,china railway construction corporation,china,,,,,doll_16.82 b,,doll_3.59 b,,,,;,china tower corporation,china,,,,,doll_20.76 b,,doll_1.15 b,,,,tong jilu;
1670530,65752,151969,capitec bank,,,,,14.758,doll_13.36 b,doll_1.75 b,doll_0.71 b,,,,;,canadian western bank,canada,,,,,doll_2.75 b,,doll_274.0 m,,,,;
1785624,96877,156385,china development bank financial leasing,china,,,1984.0,533,,doll_3.5 b,,banking,,,xue dong wang;,china union holdings,china,,,,,doll_1.04 b,,0.0,,,,;
