00-avengers-name,01-DDD-name,02-GioPonSpiz-name,03-gren-name,04-iGMM-name,05-MalPatSaj-name,06-MarScoToc-name,09-wissel-name
glencore,rumble,lowe's companies,anheuser-busch inbev,infineon,commonwealth bank,china life insurance,glatfelter
canadian national railway,efg international,boeing,hdfc bank,nxp semiconductors,hsbc,lowe's companies,sprinklr
wuliangye yibin,rush enterprises,goldman sachs,lockheed martin,workday,goldman sachs,boeing,kkr & co.
chubb,e.l.f. cosmetics,commonwealth bank,sanofi,bce,caterpillar,sanofi,infinera
applied materials,jet2,rio tinto,starbucks,sysco,sanofi,siemens,vornado realty trust
citigroup,crestwood equity partners,hdfc bank,lowe's companies,republic services,anheuser-busch inbev,deere & company,columbus mckinnon
stryker corporation,doosan bobcat,anheuser-busch inbev,pinduoduo,ecolab,ping an insurance,toronto dominion bank,globe life
mondelez,giant network group,intel,cvs health,tc energy,lindt,wuliangye yibin,essential utilities
tjx companies,hanesbrands,sanofi,rio tinto,chugai pharmaceutical,intuit,anheuser-busch inbev,simmons first national
airbus,vidrala,starbucks,intel,mercadolibre,toronto dominion bank,intel,bright health
general electric,bank jago,siemens,goldman sachs,enphase energy,starbucks,starbucks,datadog
ntt (nippon telegraph & telephone),jinko solar,pinduoduo,toronto dominion bank,fortescue,intel,s&p global,fulton financial
british american tobacco,focus financial partners,toronto dominion bank,commonwealth bank,the travelers companies,china life insurance,pinduoduo,homepoint
byd,amedisys,s&p global,siemens,ing,equinor,lockheed martin,consolidated communications
csl,blueprint medicines,wuliangye yibin,elevance health,cadence design systems,s&p global,elevance health,smiledirectclub
intuitive surgical,allied properties reit,cvs health,s&p global,paychex,american express,goldman sachs,lancaster colony corporation
american tower,ct reit,lockheed martin,american express,consolidated edison,rio tinto,cvs health,pinnacle financial partners
cigna,nordstrom,american express,blackrock,marvell technology group,pinduoduo,prologis,heartland express
porsche,liberty energy,elevance health,gilead sciences,xiaomi,prologis,american express,
keyence,gland pharma,amd,jingdong mall,cummins,boeing,amd,toast
sony,werner enterprises,jingdong mall,intuit,dsv,amd,intuit,u.s. physical therapy
deutsche telekom,simmons first national,blackrock,prologis,allstate,gilead sciences,blackrock,nv5 global
medtronic,sulzer,prologis,medtronic,amerisourcebergen,siemens,sony,suburban propane partners
lg energy solution,vodafone idea,deutsche telekom,wuliangye yibin,wuxi apptec,automatic data processing,deutsche telekom,world acceptance corporation
jingdong mall,corporaciã³n financiera alba,intuit,bp,dupont de nemours,diageo,bp,circor international
bp,flywire,american tower,deutsche telekom,hapag-lloyd,blackrock,medtronic,spx corporation
diageo,grupo aval,gilead sciences,amd,idexx laboratories,jingdong mall,jingdong mall,unifi
blackrock,grocery outlet,taqa,sony,stmicroelectronics,bp,taqa,sigmatron international
prologis,thermax,bp,american tower,hoya,medtronic,keyence,east west bancorp
boeing,atlas air worldwide holdings,medtronic,diageo,axis bank,american tower,diageo,powerschool
pinduoduo,kyndryl,byd,automatic data processing,electronic arts,cigna,byd,b&g foods
gilead sciences,first capital reit,sony,equinor,banco bilbao vizcaya argentaria,deutsche telekom,gilead sciences,one medical(1life healthcare)
automatic data processing,acerinox,diageo,ntt (nippon telegraph & telephone),walgreens boots alliance,wuliangye yibin,american tower,hain celestial
rio tinto,timken india,keyence,byd,7-eleven,sony,ntt (nippon telegraph & telephone),coupa
siemens,kulicke and soffa industries,automatic data processing,stryker corporation,jardine matheson,byd,airbus,cohu
sanofi,certara,porsche,airbus,cenovus energy,keyence,porsche,moneygram
