00-avengers-categories,01-DDD-categories,04-iGMM-categories
"['tech hardware', 'tech', 'scientific & technical instruments']",pharmaceuticals biotech ,"['machinerymanufacturing', 'manufacturing']"
"['video games', 'electronics', 'tech', 'entertainment', 'tech hardware']",none,['transportation']
"['telecommunication', 'dax']",none,['insurance']
['medical devices'],engineering manufacturing ,['healthcare']
"['batteries', 'electricity', 'energy']",telecommunication ,"['pharmaceuticals', 'medicaldevices', 'biotech']"
"['e-commerce', 'internet', 'retail', 'tech']",asset-management investment ,['chemicals']
"['oil&gas', 'energy']",financial-services tech ,"['transportation', 'containershipping', 'maritimetransportation']"
"['alcoholic beverages', 'beverages']",none,[]
['investment'],none,"['cac40', 'semiconductors', 'tech', 'techhardware', 'manufacturing']"
"['real estate', 'investment', 'reits']",engineering ,"['glassesandcontactlenses', 'manufacturing']"
"['aircraft manufacturers', 'aerospace', 'dow jones', 'manufacturing']",airlines travel transportation ,"['banks', 'financialservices']"
"['e-commerce', 'internet', 'tech']",it-services ,"['videogames', 'esports', 'entertainment', 'tech']"
"['pharmaceuticals', 'biotech']",real-estate investment reit ,"['banks', 'financialservices']"
"['software', 'it services', 'professional services', 'tech']",steel-producers steel-industry ,"['dowjones', 'retail', 'drugstore', 'pharmaceuticals']"
['mining'],none,"['supermarketchains', 'retail']"
"['engineering', 'dax']",semiconductors tech tech-hardware ,"['conglomerate', 'investment']"
"['cac 40', 'pharmaceuticals', 'biotech']",software biotech tech ,"['oilgas', 'energy']"
['insurance'],mining gold-mining silver-mining ,"['electricity', 'batteries']"
"['software', 'tech']",food ,"['construction', 'engineering']"
['insurance'],none,"['pharmaceuticals', 'biotech']"
"['energy', 'oil&gas', 'electricity']",utility-companies ,['sportsgoods']
"['dow jones', 'financial services']",ports ,"['banks', 'financialservices']"
['financial services'],pharmaceuticals biotech ,"['retail', 'food', 'supermarketchains']"
"['alcoholic beverages', 'beverages']",none,[]
['insurance'],defense-contractors ,"['energy', 'utilitycompanies', 'electricity']"
['beverages'],none,[]
"['semiconductors', 'tech', 'dow jones', 'tech hardware', 'manufacturing']",financial-services banks ,[]
"['tech', 'semiconductors', 'electronics', 'tech hardware']",software professional-services ,"['cement', 'buildingmaterials']"
['banks'],none,"['dax', 'chemicals', 'consumergoods']"
"['dow jones', 'machinery manufacturing', 'manufacturing']",none,"['financialservices', 'banks']"
"['banks', 'financial services']",none,"['flavorsfragrances', 'cosmeticsandbeauty']"
"['banks', 'financial services']",none,[]
"['retail', 'supermarket chains']",retail ,"['banks', 'financialservices', 'cac40']"
"['energy', 'electricity', 'oil&gas', 'utility companies']",none,['telecommunication']
"['railways', 'transportation', 'infrastructure']",cannabis ,['construction']
['insurance'],financial-services investment ,"['restaurantchains', 'food']"
['mining'],chemicals ,"['electricity', 'dax', 'energy']"
"['cac 40', 'chemicals']",biotech pharmaceuticals ,[]
"['mining', 'coal mining', 'energy']",engineering professional-services ,"['healthcare', 'medicalcarefacilities']"
"['internet', 'travel', 'online travel', 'tech']",software tech ,"['tech', 'techhardware', 'electronics']"
"['banks', 'financial services']",none,"['energy', 'electricity', 'utilitycompanies']"
"['pharmaceuticals', 'chemicals', 'dax']",pharmaceuticals biotech ,[]
"['pharmaceuticals', 'biotech']",banks financial-services ,"['electricity', 'energy']"
"['energy', 'oil&gas']",oil-gas energy ,"['mining', 'goldmining']"
"['clothing', 'retail']",investment ,[]
"['oil&gas', 'energy']",none,['telecommunication']
"['software', 'internet', 'tech']",none,['chemicals']
"['biotech', 'pharmaceuticals']",oil-gas energy ,['dairycompanies']
"['aerospace', 'defense contractors']",pharmaceuticals biotech ,"['electricity', 'energy']"
"['cac 40', 'tech', 'professional services', 'software']",pharmaceuticals biotech ,['realestate']
"['cac 40', 'glasses and contact lenses', 'luxury goods']",software tech ,['beverages']
"['financial services', 'tech', 'internet', 'bitcoin']",financial-services insurance ,[]
"['banks', 'financial services']",hotels travel ,['rentalleasingservices']
"['cosmetics and beauty', 'consumer goods']",financial-services tech ,"['retail', 'cosmeticsandbeauty']"
['tobacco'],real-estate investment reit ,['cac40']
"['semiconductors', 'tech', 'manufacturing']",none,[]
"['professional services', 'it services']",medical-devices ,"['automakers', 'manufacturing', 'electricvehicles']"
"['insurance', 'dax']",real-estate investment reit ,[]
"['insurance', 'professional services']",pharmaceuticals biotech chemicals ,[]
"['pharmaceuticals', 'mrna therapeutics', 'biotech']",none,"['utilitycompanies', 'energy', 'electricity']"
"['tool manufacturers', 'manufacturing']",pizza food restaurant-chains ,['banks']
"['dow jones', 'gloves & ppe']",electronics tech tech-hardware ,"['electricity', 'dax', 'energy', 'utilitycompanies']"
['defense contractors'],media-press ,"['energy', 'oilgas']"
['chemicals'],food ,[]
"['banks', 'financial services']",none,['retail']
"['investment', 'financial services']",none,['tires']
['insurance'],none,"['oilgas', 'energy']"
['medical devices'],food ,['food']
"['biotech', 'pharmaceuticals']",energy renewable-energy ,[]
"['cac 40', 'luxury goods']",none,[]
"['automakers', 'manufacturing', 'dax', 'autonomous driving']",none,"['dax', 'consumergoods']"
"['oil&gas', 'energy']",food ,['construction']
"['pharmaceuticals', 'biotech']",motorcycle-manufacturers ,['financialservices']
"['energy', 'oil&gas', 'electricity', 'utility companies']",utility-companies energy electricity ,"['pharmaceuticals', 'biotech']"
"['oil&gas', 'energy']",none,['internet']
"['oil&gas', 'energy']",none,"['cement', 'buildingmaterials']"
['luxury goods'],investment ,"['fooddelivery', 'internet', 'food', 'tech']"
"['oil&gas', 'energy']",tech internet software ,[]
"['consumer goods', 'food']",real-estate investment ,['construction']
"['electricity', 'energy']",it-security it-services tech ,"['banks', 'financialservices']"
['waste & recycling'],medical-devices ,['conglomerate']
['mining'],media-press entertainment ,"['electronics', 'tech', 'techhardware']"
"['ridesharing', 'internet', 'tech', 'transportation']",retail luxury-goods ,[]
['retail'],none,[]
"['investment', 'conglomerate']",airports infrastructure ,['healthcare']
"['cac 40', 'construction']",none,"['travel', 'internet', 'onlinetravel', 'tech']"
['investment'],none,[]
"['banks', 'financial services']",none,"['internet', 'tech']"
"['financial services', 'stock exchanges', 'stock/crypto exchanges']",pharmaceuticals biotech ,['realestate']
"['railways', 'infrastructure']",financial-services banks ,"['software', 'tech']"
"['automakers', 'dax', 'manufacturing']",oil-gas energy ,"['banks', 'financialservices']"
"['video games', 'esports', 'entertainment', 'tech']",chemicals ,['engineering']
['engineering'],healthcare ,['medicaldevices']
"['financial services', 'banks']",food ,['financialservices']
"['tech', 'tech hardware', 'semiconductors']",building-materials ,"['automakers', 'electricvehicles']"
"['banks', 'financial services']",real-estate investment reit ,"['tech', 'internet', 'software']"
"['banks', 'financial services']",none,"['manufacturing', 'machinerymanufacturing']"
['manufacturing'],travel internet online-travel tech ,"['manufacturing', 'steelindustry']"
['insurance'],mining ,['financialservices']
"['stock exchanges', 'financial services', 'stock/crypto exchanges']",none,"['manufacturing', 'renewableenergy', 'energy']"
"['real estate', 'investment', 'reits', 'telecommunication', 'infrastructure']",food ,['food']
['telecommunication'],manufacturing ,"['cosmeticsandbeauty', 'consumergoods']"
"['healthcare', 'dax']",construction ,"['internet', 'tech']"
['investment'],pharmaceuticals ,['consumergoods']
"['banks', 'financial services']",semiconductors tech ,[]
"['clothing', 'retail']",internet tech telecommunication software ,"['consumergoods', 'cosmeticsandbeauty']"
['telecommunication'],none,"['assetmanagement', 'investment']"
['telecommunication'],biotech pharmaceuticals ,"['oilgas', 'energy']"
"['oil&gas', 'energy']",banks financial-services ,"['videogames', 'entertainment']"
"['electricity', 'utility companies', 'energy']",biotech pharmaceuticals ,['food']
"['pharmaceuticals', 'biotech']",video-games tech ,['pharmaceuticals']
"['semiconductors', 'tech', 'tech hardware']",mining coal-mining energy ,"['electricity', 'infrastructure']"
"['professional services', 'insurance']",chemicals paint-and-coating ,[]
['beverages'],consumer-goods ,"['pharmaceuticals', 'biotech']"
"['oil&gas', 'energy']",none,"['alcoholicbeverages', 'beverages']"
"['stock exchanges', 'financial services', 'stock/crypto exchanges']",asset-management investment ,"['software', 'tech']"
"['internet', 'tech', 'reits', 'real estate', 'investment']",none,"['banks', 'financialservices']"
"['travel', 'internet', 'online travel', 'tech']",none,['mining']
['conglomerate'],pharmaceuticals biotech ,"['electricity', 'energy']"
['telecommunication'],utility-companies electricity energy ,[]
"['banks', 'financial services']",none,"['banks', 'financialservices']"
['consumer goods'],asset-management financial-services investment ,"['realestate', 'investment', 'reits']"
"['banks', 'financial services']",online-travel internet ,"['pharmaceuticals', 'biotech']"
"['retail', 'supermarket chains']",telecommunication ,"['banks', 'financialservices']"
"['banks', 'financial services']",it-services tech ,[]
['medical devices'],transportation maritime-transportation oil-gas ,"['automakers', 'manufacturing']"
['paint & coating'],oil-gas energy ,[]
"['oil&gas', 'energy']",energy renewable-energy electricity ,[]
"['financial services', 'tech']",none,"['ecommerce', 'internet', 'tech']"
['chemicals'],financial-services ,"['electricity', 'utilitycompanies', 'energy']"
"['banks', 'financial services']",real-estate ,[]
"['railways', 'transportation', 'infrastructure']",banks financial-services ,['entertainment']
"['investment', 'financial services', 'telecommunication', 'conglomerate']",none,[]
"['insurance', 'cac 40']",transportation ,[]
['healthcare'],none,"['software', 'tech', 'itsecurity']"
"['banks', 'financial services']",software tech ,['packaging']
"['banks', 'financial services']",financial-services ,['insurance']
"['banks', 'financial services', 'cac 40']",it-services tech ,"['software', 'tech', 'itsecurity']"
"['banks', 'financial services']",healthcare ,[]
['insurance'],oil-gas energy ,[]
"['electricity', 'utility companies']",cement building-materials ,"['realestate', 'financialservices']"
"['energy', 'oil&gas', 'electricity', 'infrastructure']",glove-ppe ,['utilitycompanies']
"['oil&gas', 'energy']",software tech ,[]
"['tech', 'software', 'it security', 'networking hardware']",none,"['steelproducers', 'steelindustry']"
"['hotels', 'travel']",none,"['oilgas', 'energy']"
"['alcoholic beverages', 'cac 40', 'beverages']",none,['tobacco']
"['energy', 'oil&gas']",software tech ,['food']
"['cac 40', 'aerospace', 'defense contractors']",chemicals ,['automotivesuppliers']
"['software', 'semiconductors', 'tech', 'electronics', 'tech hardware']",food ,['chemicals']
['consumer goods'],mining ,"['medicaldevices', 'tech']"
"['machinery manufacturing', 'manufacturing']",none,"['internet', 'tech', 'entertainment']"
,none,"['realestate', 'investment']"
"['oil&gas', 'energy']",telecommunication aerospace ,"['utilitycompanies', 'electricity', 'energy']"
['mining'],electronics manufacturing ,"['software', 'professionalservices', 'tech']"
['beverages'],defense-contractors ,"['semiconductors', 'tech']"
"['electronics', 'semiconductors', 'tech', 'tech hardware']",software tech ,['food']
"['e-commerce', 'internet', 'tech']",renewable-energy energy electricity ,"['energy', 'electricity']"
['healthcare'],retail ,['food']
['beverages'],telecommunication infrastructure ,"['oilgas', 'energy']"
['conglomerate'],software tech ,"['airlines', 'travel', 'transportation']"
['retail'],pharmaceuticals biotech ,['beverages']
"['semiconductors', 'tech', 'tech hardware']",software tech ,"['energy', 'oilgas']"
['financial services'],pharmaceuticals biotech ,"['travel', 'cruiselines']"
,oil-gas energy ,"['automakers', 'electricvehicles']"
,telecommunication ,[]
"['alcoholic beverages', 'beverages']",clothing retail ,[]
"['automakers', 'manufacturing']",food ,[]
"['electricity', 'utility companies', 'energy']",banks financial-services investment ,['aircraftleasing']
"['banks', 'financial services']",automotive-suppliers manufacturing ,[]
"['automakers', 'manufacturing']",none,"['financialservices', 'banks']"
"['medical devices', 'manufacturing']",semiconductors manufacturing tech tech-hardware ,"['software', 'tech']"
"['oil&gas', 'energy']",footwear ,"['internet', 'tech', 'itsecurity', 'software']"
['media/press'],pharmaceuticals biotech ,"['oilgas', 'energy']"
"['banks', 'financial services']",utility-companies renewable-energy energy ,"['steelproducers', 'steelindustry']"
"['pharmaceuticals', 'chemicals', 'dax', 'biotech']",electricity energy ,['chemicals']
"['manufacturing', 'engineering']",none,"['cement', 'buildingmaterials']"
"['software', 'cac 40', 'tech']",restaurant-chains food ,"['software', 'tech']"
"['real estate', 'investment', 'reits']",banks financial-services ,"['software', 'tech']"
['chemicals'],none,"['software', 'tech']"
"['electricity', 'energy', 'renewable energy']",none,[]
"['oil&gas', 'energy']",tires ,"['oilgas', 'energy']"
['insurance'],software tech ,[]
,scientific-and-technical-instruments ,[]
"['banks', 'financial services']",oil-gas energy ,['pulpandpaper']
"['banks', 'financial services']",pharmaceuticals biotech ,"['software', 'tech']"
,none,"['banks', 'financialservices']"
"['banks', 'financial services']",insurance ,"['healthcare', 'medicalcarefacilities']"
"['scientific & technical instruments', 'tech']",real-estate ,['electronics']
"['software', 'tech', 'electronics', 'tech hardware']",none,['telecommunication']
"['courier', 'transportation']",none,"['steelproducers', 'steelindustry']"
"['chemicals', 'dax']",none,['infrastructure']
"['entertainment', 'hotels', 'travel']",reit real-estate investment ,"['retail', 'clothing']"
"['banks', 'financial services']",banks financial-services ,"['assetmanagement', 'financialservices', 'insurance', 'investment']"
"['banks', 'financial services', 'investment']",electricity utility-companies energy ,"['oilgas', 'energy']"
['medical devices'],tech smart-home ,[]
"['e-commerce', 'internet', 'tech']",construction ,[]
['mining'],media-press telecommunication ,['consumergoods']
"['home & kitchen appliances', 'manufacturing']",none,"['software', 'electronics', 'tech', 'techhardware']"
"['biotech', 'manufacturing']",beverages alcoholic-beverages ,['retail']
"['tech', 'software']",real-estate investment reit ,[]
"['agriculture', 'chemicals']",media-press video-games entertainment ,['insurance']
,insurance ,['insurance']
"['electronics', 'manufacturing', 'tech hardware', 'tech']",building-materials cement ,['engineering']
"['alcoholic beverages', 'beverages']",construction ,"['mediapress', 'entertainment']"
['food'],video-games entertainment ,['retail']
"['energy', 'oil&gas', 'utility companies']",infrastructure construction ,['chemicals']
['conglomerate'],telecommunication ,[]
"['healthcare', 'insurance']",retail ,"['software', 'tech']"
['food'],chemicals ,"['financialservices', 'banks']"
"['electricity', 'energy']",electronics ,"['tires', 'dax']"
['manufacturing'],manufacturing ,"['financialservices', 'banks']"
['retail'],utility-companies electricity energy ,['mining']
"['energy', 'oil&gas']",automotive-suppliers ,"['alcoholicbeverages', 'beverages']"
"['retail', 'sports goods', 'clothing']",renewable-energy energy electricity ,"['travel', 'cruiselines']"
"['beverages', 'alcoholic beverages']",oil-gas energy ,[]
"['electricity', 'utility companies', 'energy']",chemicals ,"['assetmanagement', 'investment']"
"['banks', 'financial services']",none,"['internet', 'tech']"
"['automakers', 'manufacturing', 'cac 40']",e-commerce software tech ,[]
['food'],clothing ,['insurance']
['financial services'],electricity energy ,['insurance']
['telecommunication'],software tech healthcare ,"['transportation', 'containershipping', 'maritimetransportation']"
"['video games', 'electronics', 'entertainment', 'tech hardware', 'tech']",clothing retail ,"['reits', 'realestate', 'investment']"
"['banks', 'financial services']",real-estate ,"['software', 'tech']"
"['courier', 'dax']",none,"['financialservices', 'insurance']"
"['engineering', 'conglomerate']",energy electricity ,"['internet', 'financialservices']"
"['financial services', 'tech']",video-games entertainment ,['pharmaceuticals']
"['banks', 'financial services']",delivery-services ,"['pharmaceuticals', 'biotech']"
"['oil&gas', 'energy']",real-estate investment reit ,[]
"['electricity', 'energy', 'utility companies']",none,"['usedcarretailer', 'carretail']"
['food'],professional-services ,"['cement', 'buildingmaterials', 'dax']"
['insurance'],none,"['food', 'dairycompanies']"
['food'],chemicals agriculture ,"['semiconductors', 'tech']"
"['tech', 'software']",mining coal-mining ,['food']
"['stock exchanges', 'financial services', 'stock/crypto exchanges']",none,['mining']
['tobacco'],semiconductors tech tech-hardware ,['financialservices']
"['staffing & employment services', 'professional services']",tech tech-hardware electronics ,"['hotels', 'travel']"
"['banks', 'financial services']",oil-gas energy ,"['oilgas', 'energy']"
['telecommunication'],none,['investment']
"['pharmaceuticals', 'biotech']",none,"['networkinghardware', 'telecommunicationsequipment', 'tech', 'techhardware']"
"['banks', 'financial services']",real-estate ,"['oilgas', 'energy']"
['electronics'],none,['food']
,none,['mining']
,banks financial-services ,"['transportation', 'maritimetransportation', 'containershipping']"
"['telecommunication', 'media/press']",telecommunications-equipment ,['pharmaceuticals']
"['semiconductors', 'tech', 'tech hardware']",retail building-materials ,[]
"['energy', 'oil&gas']",none,['food']
"['oil&gas', 'energy']",electronics ,"['usedcarretailer', 'carretail']"
"['software', 'tech']",tech internet software ,['food']
"['oil&gas', 'transportation', 'energy', 'infrastructure']",none,"['hotels', 'travel']"
"['pharmaceuticals', 'biotech']",banks financial-services ,"['semiconductors', 'tech']"
"['software', 'tech']",toys entertainment video-games ,['mediapress']
['entertainment'],none,[]
['defense contractors'],none,"['banks', 'financialservices']"
"['semiconductors', 'tech', 'dax', 'tech hardware']",specialty-vehicles manufacturing ,[]
"['banks', 'financial services']",financial-services investment ,"['automakers', 'cac40', 'manufacturing']"
"['financial services', 'tech']",none,[]
"['oil&gas', 'energy']",maritime-transportation container-shipping transportation ,"['pharmaceuticals', 'biotech']"
"['semiconductors', 'tech', 'tech hardware']",none,"['semiconductors', 'tech', 'techhardware', 'manufacturing']"
"['insurance', 'dax']",none,['electronics']
['waste & recycling'],food ,['cac40']
"['restaurant chains', 'food']",healthcare ,['construction']
"['dow jones', 'insurance']",mining gold-mining ,"['energy', 'electricity', 'infrastructure']"
"['real estate', 'investment', 'reits']",retail ,"['financialservices', 'tech']"
,medical-devices medical-equipment ,['wasterecycling']
,none,['insurance']
,agriculture food ,['mining']
"['energy', 'oil&gas']",oil-gas energy ,[]
['professional services'],insurance ,['pulpandpaper']
['conglomerate'],retail supermarkets ,"['realestate', 'investment']"
['telecommunications equipment'],banks financial-services ,"['software', 'tech']"
"['software', 'tech', 'electronics']",machinery-manufacturing manufacturing ,"['software', 'tech']"
['mining'],diagnostics biotech ,['automakers']
['retail'],aerospace ,"['hotels', 'gambling', 'entertainment', 'travel']"
"['biotech', 'manufacturing']",banks financial-services ,"['airlines', 'travel', 'transportation']"
"['electricity', 'energy', 'infrastructure', 'utility companies']",none,['automotivesuppliers']
"['pharmaceuticals', 'biotech']",video-games professional-services ,['buildingmaterials']
['manufacturing'],oil-gas energy infrastructure ,"['automakers', 'electricvehicles', 'manufacturing', 'autonomoriving']"
"['banks', 'financial services']",mining coal-mining ,['transportation']
"['video games', 'entertainment', 'tech']",retail ,[]
