name,country,sector,revenue_2020_EU,revenue_2017_EU,employees_number_2020,employees_number_2017,founding_year
Smart-Planet,Germany,Retail,4598207,1276483,9,5,2016
Sidea Group,Italy,Management Consulting,2429590,674560,49,8,2015
COUTEAUJAPONAIS.COM,France,Retail,4579102,1272558,17,5,2004
PHYSIDIA,France,Health,16746545,4656191,58,20,2010
Horando Deutschland,Germany,Retail,8111269,2257390,3,2,2013
"Diablochairs, Jan Nowak",Poland,Ecommerce,21520495,6549376,79,22,2004
Parkster,Sweden,Technology,55139984,15711602,28,16,2011
BIOTYFULL,France,Ecommerce,20248436,5642145,13,5,2015
Bioksan,Spain,Food & Beverage,5914732,1650756,51,14,2014
Trippel,Norway,Support Services,3057807,910070,118,37,1999
Yourparkingspace Limited,UK,Technology,13863431,3904618,32,15,2013
Carslift,France,Automobiles,2226659,622989,35,1,2012
Zimmerei Nordmann,Germany,Construction,2074577,580537,11,5,2009
SI Silicone Innovation,Germany,Industrial Goods,3640511,1018843,40,20,2015
A.U.E. Genc Warenhandels-UG,Germany,Retail,19890000,5573000,12,8,2010
MGvision,Italy,Advertising,4010560,1127170,18,10,2010
New General Service,Italy,Support Services,1539360,433540,26,13,2015
ANDRE RENOVATION,France,Construction,11594389,3266703,41,15,2010
M.D.G. Components Unipersonale,Italy,Industrial Goods,2283970,644440,14,10,2017
Amco-Bulgaria,Bulgaria,Retail,6298606,1778274,22,5,2011
Symprove,UK,Personal & Household Goods,12298843,3498275,39,16,2005
Tecknuovo,UK,Technology,26273556,7477852,22,10,2015
Platform.sh,France,Technology,22077678,6242232,217,62,2010
ISG Express Logistik,Germany,Transport,5822692,1646307,46,5,2011
Manelli Impresa,Italy,Construction,43355980,12259540,173,55,2008
SA Formação,Portugal,Education,3647652,1031733,53,22,2009
SM SektManufaktur,Germany,Industrial Goods,2408586,681652,14,3,2015
Beauty Consult Deutschland,Germany,Health,3725665,1055100,31,8,2011
Finauto,Italy,Automobiles,11789870,3350270,8,5,1977
AuCOFFRE.com,France,Financial Services,114037838,32428296,21,18,2009
Divido,UK,Fintech,3786036,1084616,46,37,2014
R&K Ingenieure,Germany,Construction,5210500,1482100,17,6,2016
Nephos Technologies,UK,Technology,17559447,5031697,25,11,2011
La Vida,UK,Support Services,7572128,2178629,15,8,2002
Midstream Lighting,UK,Technology,8204844,2363526,12,4,2012
PROPULSE IT,France,Technology,6326861,1809858,2,2,2014
Additius Santa Maria,Spain,Agricultural Commodities,31757362,9100083,30,25,2012
CONEXIO TELECOM,France,Telecoms,1908640,547084,15,3,2017
Tripin,Germany,Retail,5465080,1568506,9,5,2012
Continental Wood Kft.,Hungary,Industrial Goods,2724073,910973,9,4,1996
GeoTeam,Italy,Energy,7623730,2195780,120,71,2008
Leascorp,France,Financial Services,18481247,5325214,7,4,2014
Positive Healthcare,UK,Management Consulting,6731831,1954609,19,3,2014
Ralph Schmolke,Germany,Retail,2281929,658317,8,4,2010
Roomie Milano,Italy,Property,3728920,1079340,10,2,2016
Trencadis Corp,Romania,Technology,20410511,6137755,89,40,2007
WORTEKS,France,Technology,1870845,541582,11,4,2016
REMOVE,France,Construction,8988475,2608093,74,27,2015
Citadelo,Czech Republic,Cyber Security,1556521,452557,27,15,2006
Grill Autoservice,Germany,Automobiles,18141216,5283415,26,13,2017
Inbrooll,Spain,Industrial Goods,2663110,776268,15,8,2013
Cross,Germany,Retail,88590000,25858983,4,3,2010
B1gas S.p.A,Italy,Energy,41474660,12106480,6,2,2010
Filva,Italy,Construction,6188900,1808710,10,8,2009
Archingest,Italy,Construction,3515000,1030000,6,2,2005
Alpha FX Group,UK,Financial Services,51640733,15241075,124,51,2009
lemonads,Switzerland,Advertising,4952255,1451770,50,7,2012
Signicat,Norway,Technology,42514150,13309441,213,71,2007
Alfred Döpker,Germany,Construction,77358225,22730529,55,41,1965
Bavaria-Ei,Germany,Retail,13067279,3842670,88,42,2001
Oxylabs.io,Lithuania,Technology,25040954,7381686,245,57,2015
A.S.H. Automobile,Germany,Automobiles,2333452,687958,5,2,2014
Vascular,Hungary,Health,29099679,9987236,57,18,2007
ANDJARO,France,Support Services,3189298,943718,57,30,2015
Röhrtaler Wertstoff,Germany,Waste management & recycling,3286187,973460,34,22,2013
Autel Karnetic,UK,Technology,8520830,2543343,7,6,2016
Discoup.com,Italy,Advertising,2075110,616520,10,8,2013
Hellas Direct,Cyprus,Insurance,34488971,10247832,85,52,2011
HERRLES,Germany,Automobiles,10242075,3044054,45,30,2009
Investmentpunk Academy,Austria,Education,3179000,947000,12,6,2016
Born Stahlbau,Germany,Industrial Goods,4527093,1351164,13,6,2015
RETTEL Projektbau,Germany,Construction,8073458,2410212,7,5,2016
Suntronic,Italy,Energy,2347320,700960,4,2,2005
TMT,Italy,Industrial Goods,12763524,3811838,42,6,2014
Gedankenburg,Germany,Advertising,2950010,881275,5,2,2015
SVOP Special Vehicle Operation,Sweden,Automobiles,4526309,1385662,16,6,2013
Glenholme Healthcare Group,UK,Health,14845073,4476517,415,132,2011
AUDENSIEL,France,Technology,57451279,17203160,720,230,2013
Ivnosys,Spain,Technology,8743069,2618069,106,34,2011
Mulconsa,Spain,Construction,6687402,2002982,45,30,2012
50NRTH,Germany,Retail,35107348,10518963,54,14,2004
Delecto,Croatia,Retail,2649288,793957,10,6,2008
Mardruk Opakowania,Poland,Industrial Goods,3226645,1058063,47,7,2015
MANANG,France,Construction,6205559,1862272,40,15,2012
bestbion dx,Germany,Health,14863628,4461170,27,21,2011
Avamore Capital,UK,Financial Services,2552248,772943,21,7,2015
Solaris and more,Germany,Energy,4692660,1414501,30,13,2011
Clearcycle,UK,Retail,2176368,660767,11,8,2015
Opteamis,France,Support Services,13856500,4180523,35,12,2005
Codenor,Spain,Construction,6385196,1926967,20,10,2010
HAPPYBULLE,France,Ecommerce,4209975,1271353,18,8,2015
Aurora Energy Research,UK,Energy,15079425,4587687,158,46,2013
Bacci,Spain,Fashion,24048302,7265350,14,19,2003
Emilia Foods,Italy,Food & Beverage,26824140,8110160,25,8,2013
T.E.A.M. - Ti educa a migliorare,Italy,Health,3370490,1020690,211,82,2001
Brainhub,Poland,Technology,3513741,1163241,75,30,2016
Assitech,Italy,Construction,2675750,810750,9,10,2016
Schott Packaging,UK,Ecommerce,2272847,694501,11,4,2016
Alba,Italy,Energy,3299330,1001740,30,12,2010
FinTrU,UK,Financial Services,32392546,9915609,740,219,2013
Global Edilizia,Italy,Construction,4028000,1226000,5,4,2011
TPXimpact,UK,Management Consulting,57093437,17515305,381,2,2016
LGS SportLab,Italy,Advertising,4014220,1222870,9,6,2010
Weiser Brandschutz & Technik,Germany,Construction,5986199,1825769,45,4,2005
Fairfax and Favor,UK,Fashion,18178322,5602279,47,13,2013
FAO Consulting,France,Technology,7781600,2384156,85,39,2014
Gruppo Del Barba Consulting,Italy,Financial Services,5855040,1794120,37,8,2010
Exclaimer,UK,Technology,26143857,8075796,109,62,2003
