08-slytherin-revenue,07-silvestri-revenue_2022,05-MalPatSaj-sales
doll_26b,doll_26.04 b,doll_26.04 b
doll_65.8b,doll_65.84 b,doll_65.84 b
doll_62.2b,doll_62.24 b,doll_62.24 b
doll_27.9b,doll_27.86 b,doll_27.86 b
doll_21.2b,doll_21.16 b,doll_21.16 b
doll_37.5b,doll_37.48 b,doll_37.48 b
doll_8.9b,doll_8.89 b,doll_8.89 b
doll_50.8b,doll_50.83 b,doll_50.83 b
doll_114b,doll_114 b,doll_114 b
doll_13.1b,doll_13.12 b,doll_13.12 b
doll_24.8b,doll_24.8 b,doll_24.8 b
doll_20.9b,doll_20.93 b,doll_20.93 b
doll_157.7b,doll_157.66 b,doll_157.66 b
doll_18.4b,doll_18.4 b,doll_18.4 b
doll_38.8b,doll_38.84 b,doll_38.84 b
doll_26b,doll_26.05 b,doll_26.05 b
doll_16.1b,doll_16.13 b,doll_16.13 b
doll_22.4b,doll_22.39 b,doll_22.39 b
doll_11.5b,doll_11.54 b,doll_11.54 b
doll_6.7b,doll_6.74 b,doll_6.74 b
doll_70.3b,doll_70.28 b,doll_70.28 b
doll_17.2b,doll_17.2 b,doll_17.2 b
doll_16.2b,doll_16.23 b,doll_16.23 b
doll_16.1b,doll_16.07 b,doll_16.07 b
doll_90.3b,doll_90.31 b,doll_90.31 b
doll_25.7b,doll_25.73 b,doll_25.73 b
doll_35.7b,doll_35.67 b,doll_35.67 b
doll_42b,doll_42.02 b,doll_42.02 b
doll_23.5b,doll_23.54 b,doll_23.54 b
doll_15.9b,doll_15.94 b,doll_15.94 b
doll_9.4b,doll_9.36 b,doll_9.36 b
doll_17.9b,doll_17.87 b,doll_17.87 b
doll_10.3b,doll_10.26 b,doll_10.26 b
doll_22.4b,doll_22.43 b,doll_22.43 b
doll_15.9b,doll_15.9 b,doll_15.9 b
doll_23.4b,doll_23.41 b,doll_23.41 b
doll_35.2b,doll_35.16 b,doll_35.16 b
doll_19.6b,doll_19.63 b,doll_19.63 b
doll_85.9b,doll_85.9 b,doll_85.9 b
doll_24.2b,doll_24.19 b,doll_24.19 b
doll_65b,doll_64.99 b,doll_64.99 b
doll_16.9b,doll_16.91 b,doll_16.91 b
doll_35.9b,doll_35.86 b,doll_35.86 b
doll_11.5b,doll_11.55 b,doll_11.55 b
doll_17.1b,doll_17.11 b,doll_17.11 b
doll_26.2b,doll_26.24 b,doll_26.24 b
doll_40.3b,doll_40.34 b,doll_40.34 b
doll_79.2b,doll_79.17 b,doll_79.17 b
doll_31.1b,doll_31.07 b,doll_31.07 b
doll_25.9b,doll_25.93 b,doll_25.93 b
doll_26.8b,doll_26.85 b,doll_26.85 b
doll_14.5b,doll_14.52 b,doll_14.52 b
doll_28.8b,doll_28.84 b,doll_28.84 b
doll_14.9b,doll_14.93 b,doll_14.93 b
doll_15.4b,doll_15.4 b,doll_15.4 b
doll_84.5b,doll_84.53 b,doll_84.53 b
doll_29b,doll_28.99 b,doll_28.99 b
doll_26.9b,doll_26.88 b,doll_26.88 b
doll_26.3b,doll_26.33 b,doll_26.33 b
doll_19.3b,doll_19.31 b,doll_19.31 b
doll_27b,doll_26.95 b,doll_26.95 b
doll_32b,doll_31.98 b,doll_31.98 b
doll_28.4b,doll_28.42 b,doll_28.42 b
doll_12.2b,doll_12.17 b,doll_12.17 b
doll_20.3b,doll_20.28 b,doll_20.28 b
doll_12.7b,doll_12.68 b,doll_12.68 b
doll_8.5b,doll_8.52 b,doll_8.52 b
doll_7.8b,doll_7.79 b,doll_7.79 b
doll_18.5b,doll_18.55 b,doll_18.55 b
doll_22.7b,doll_22.66 b,doll_22.66 b
doll_62.3b,doll_62.29 b,doll_62.29 b
doll_18.6b,doll_18.63 b,doll_18.63 b
doll_11.4b,doll_11.41 b,doll_11.41 b
doll_9b,doll_9 b,doll_9 b
doll_17.8b,doll_17.77 b,doll_17.77 b
doll_33.4b,doll_33.43 b,doll_33.43 b
doll_23.6b,doll_23.57 b,doll_23.57 b
doll_25.1b,doll_25.1 b,doll_25.1 b
doll_28.1b,doll_28.13 b,doll_28.13 b
doll_11.1b,doll_11.14 b,doll_11.14 b
doll_14.3b,doll_14.26 b,doll_14.26 b
doll_13.1b,doll_13.06 b,doll_13.06 b
doll_132.9b,doll_132.85 b,doll_132.85 b
doll_14.8b,doll_14.77 b,doll_14.77 b
doll_28.9b,doll_28.89 b,doll_28.89 b
doll_17.8b,doll_17.81 b,doll_17.81 b
doll_7b,doll_7.01 b,doll_7.01 b
doll_15.9b,doll_15.9 b,doll_15.9 b
doll_10.5b,doll_10.48 b,doll_10.48 b
doll_17.8b,doll_17.81 b,doll_17.81 b
doll_26.2b,doll_26.17 b,doll_26.17 b
doll_17.9b,doll_17.93 b,doll_17.93 b
doll_23.7b,doll_23.72 b,doll_23.72 b
doll_17.7b,doll_17.66 b,doll_17.66 b
doll_24.8b,doll_24.8 b,doll_24.8 b
doll_30.2b,doll_30.17 b,doll_30.17 b
doll_13.4b,doll_13.37 b,doll_13.37 b
doll_15.7b,doll_15.65 b,doll_15.65 b
doll_11.4b,doll_11.37 b,doll_11.37 b
doll_69.5b,doll_69.53 b,doll_69.53 b
doll_23.3b,doll_23.32 b,doll_23.32 b
doll_38.7b,doll_38.68 b,doll_38.68 b
doll_38.5b,doll_38.49 b,doll_38.49 b
doll_70.4b,doll_70.4 b,doll_70.4 b
doll_29.5b,doll_29.54 b,doll_29.54 b
doll_8.6b,doll_8.6 b,doll_8.6 b
doll_38.9b,doll_38.86 b,doll_38.86 b
doll_147.6b,doll_147.63 b,doll_147.63 b
doll_16.6b,doll_16.61 b,doll_16.61 b
doll_42.6b,doll_42.58 b,doll_42.58 b
doll_8.3b,doll_8.27 b,doll_8.27 b
doll_10.2b,doll_10.18 b,doll_10.18 b
doll_87.8b,doll_87.81 b,doll_87.81 b
doll_32.8b,doll_32.83 b,doll_32.83 b
doll_7.6b,doll_7.55 b,doll_7.55 b
doll_19.3b,doll_19.26 b,doll_19.26 b
doll_34.4b,doll_34.44 b,doll_34.44 b
doll_11.9b,doll_11.94 b,doll_11.94 b
doll_29b,doll_28.97 b,doll_28.97 b
doll_51.7b,doll_51.73 b,doll_51.73 b
doll_53.6b,doll_53.63 b,doll_53.63 b
doll_15.2b,doll_15.24 b,doll_15.24 b
doll_13.7b,doll_13.75 b,doll_13.75 b
doll_36.4b,doll_36.42 b,doll_36.42 b
doll_17b,doll_17 b,doll_17 b
doll_9.2b,doll_9.17 b,doll_9.17 b
doll_4.7b,doll_4.69 b,doll_4.69 b
doll_12.4b,doll_12.44 b,doll_12.44 b
doll_11.6b,doll_11.58 b,doll_11.58 b
doll_9.5b,doll_9.53 b,doll_9.53 b
doll_27.4b,doll_27.38 b,doll_27.38 b
doll_23.5b,doll_23.54 b,doll_23.54 b
doll_13.7b,doll_13.67 b,doll_13.67 b
doll_18.3b,doll_18.26 b,doll_18.26 b
doll_17.5b,doll_17.52 b,doll_17.52 b
doll_24.5b,doll_24.51 b,doll_24.51 b
doll_22.3b,doll_22.28 b,doll_22.28 b
doll_70.6b,doll_70.56 b,doll_70.56 b
doll_19.3b,doll_19.27 b,doll_19.27 b
doll_9.3b,doll_9.27 b,doll_9.27 b
doll_6.6b,doll_6.55 b,doll_6.55 b
doll_45.1b,doll_45.13 b,doll_45.13 b
doll_19.9b,doll_19.95 b,doll_19.95 b
doll_22.6b,doll_22.57 b,doll_22.57 b
doll_11.4b,doll_11.41 b,doll_11.41 b
doll_16.7b,doll_16.72 b,doll_16.72 b
doll_11.4b,doll_11.43 b,doll_11.43 b
doll_19.2b,doll_19.18 b,doll_19.18 b
doll_20.6b,doll_20.61 b,doll_20.61 b
doll_17.9b,doll_17.88 b,doll_17.88 b
doll_35.9b,doll_35.86 b,doll_35.86 b
doll_39.9b,doll_39.91 b,doll_39.91 b
doll_21.3b,doll_21.3 b,doll_21.3 b
doll_16.3b,doll_16.28 b,doll_16.28 b
doll_20.5b,doll_20.53 b,doll_20.53 b
doll_10.8b,doll_10.84 b,doll_10.84 b
doll_13.6b,doll_13.59 b,doll_13.59 b
doll_6.1b,doll_6.1 b,doll_6.1 b
doll_32.9b,doll_32.85 b,doll_32.85 b
doll_14.6b,doll_14.63 b,doll_14.63 b
doll_11b,doll_10.99 b,doll_10.99 b
doll_24b,doll_24.02 b,doll_24.02 b
doll_10.6b,doll_10.57 b,doll_10.57 b
doll_21.5b,doll_21.46 b,doll_21.46 b
doll_4.8b,doll_4.83 b,doll_4.83 b
doll_19.1b,doll_19.14 b,doll_19.14 b
doll_44.4b,doll_44.43 b,doll_44.43 b
doll_10.6b,doll_10.61 b,doll_10.61 b
doll_8.3b,doll_8.32 b,doll_8.32 b
doll_50.3b,doll_50.26 b,doll_50.26 b
doll_35.9b,doll_35.88 b,doll_35.88 b
doll_59.2b,doll_59.15 b,doll_59.15 b
doll_25.4b,doll_25.44 b,doll_25.44 b
doll_12.9b,doll_12.85 b,doll_12.85 b
doll_71.9b,doll_71.89 b,doll_71.89 b
doll_34.8b,doll_34.8 b,doll_34.8 b
doll_27.7b,doll_27.75 b,doll_27.75 b
doll_30.1b,doll_30.13 b,doll_30.13 b
doll_30.1b,doll_30.09 b,doll_30.09 b
