07-silvestri-market_value_jan_2020,03-gren-market_capitalization_2022,07-silvestri-revenue_2022,07-silvestri-market_value_jan_2022,04-iGMM-market_value__jan_1st_2020,04-iGMM-market_value__jan_07_2022,08-slytherin-revenue,02-GioPonSpiz-marketvalue,02-GioPonSpiz-marketcap,07-silvestri-market_value_jan_2021
doll_57.46 m,doll_307.33 b,doll_31.853 m,doll_1.07 b,doll_1.28 b,doll_3.07 b,doll_80.187 m,doll_4.09 b,doll_3.8 b,doll_79.86 m
doll_1.17 b,doll_291.61 b,doll_57.468 m,doll_1.05 b,doll_2.98 b,doll_2.92 b,doll_67.410 m,doll_4.02 b,doll_3.51 b,doll_85.68 m
doll_1.06 b,doll_286.88 b,doll_114.040 m,doll_1.03 b,doll_2.67 b,doll_2.87 b,doll_285.640 m,doll_4.02 b,doll_4.15 b,doll_1.01 b
doll_52.67 m,doll_276.74 b,doll_21.695 m,doll_1.02 b,doll_2.03 b,doll_2.77 b,doll_27.450 m,doll_3.94 b,doll_3.46 b,doll_74.31 m
doll_84.01 m,doll_260.59 b,doll_19.445 m,doll_1.01 b,doll_2.36 b,doll_2.61 b,doll_35.580 m,doll_3.82 b,doll_3.06 b,doll_90.43 m
doll_1.11 b,doll_257.82 b,doll_27.708 m,doll_98.66 m,doll_2.04 b,doll_2.58 b,doll_15.785 m,doll_3.73 b,doll_3.49 b,doll_99.77 m
doll_1.29 b,doll_255.63 b,doll_157.740 m,doll_97.62 m,doll_1.27 b,doll_2.56 b,doll_38.655 m,doll_3.63 b,doll_3.42 b,doll_70.5 m
doll_78.32 m,doll_254.55 b,doll_119.890 m,doll_92.03 m,doll_1.26 b,doll_2.55 b,doll_6.866 m,doll_3.56 b,doll_3.51 b,doll_87.24 m
doll_74.76 m,doll_252.55 b,0 million usd,doll_90.46 m,doll_3.01 b,doll_2.53 b,doll_138.160 m,doll_3.52 b,doll_4.53 b,doll_65.49 m
doll_67.45 m,doll_249.14 b,doll_88.744 m,doll_89.92 m,doll_1.66 b,doll_2.49 b,doll_28.318 m,doll_3.13 b,doll_2.58 b,doll_54.55 m
doll_1.01 b,doll_248.46 b,doll_33.620 m,doll_89.47 m,doll_1.6 b,doll_2.48 b,doll_51.557 m,doll_3.07 b,doll_3.41 b,doll_84.67 m
doll_61.3 m,doll_248.24 b,doll_203.830 m,doll_89.41 m,doll_1.28 b,doll_2.48 b,doll_228.980 m,doll_2.92 b,doll_2.31 b,doll_75.29 m
doll_66.78 m,doll_242.99 b,doll_21.842 m,doll_89.05 m,doll_1.61 b,doll_2.43 b,doll_46.710 m,doll_2.87 b,doll_3.29 b,doll_67.82 m
doll_70.06 m,doll_241.02 b,doll_40.963 m,doll_86.66 m,doll_2.29 b,doll_2.41 b,doll_29.697 m,doll_2.02 b,doll_1.65 b,doll_69.47 m
doll_14.54 m,doll_240.69 b,doll_7.774 m,doll_85.63 m,doll_1.89 b,doll_2.41 b,doll_42.440 m,doll_2.01 b,doll_2.07 b,doll_14.07 m
doll_45.1 m,doll_239.71 b,doll_19.915 m,doll_84.5 m,doll_1.52 b,doll_2.4 b,doll_39.211 m,doll_2.0 b,doll_1.99 b,doll_51.8 m
doll_70.86 m,doll_239.66 b,doll_25.714 m,doll_84.26 m,doll_1.45 b,doll_2.4 b,doll_43.075 m,doll_2.0 b,doll_1.77 b,doll_77.18 m
doll_90.33 m,0.0,0 million usd,doll_83.76 m,0,0,doll_103.000 m,doll_1.97 b,doll_1.71 b,doll_78.88 m
doll_47.67 m,doll_239.22 b,doll_19.833 m,doll_81.18 m,doll_1.33 b,doll_2.39 b,doll_79.470 m,doll_1.94 b,doll_1.95 b,doll_55.39 m
doll_82.06 m,doll_238.45 b,doll_94.862 m,doll_79.77 m,doll_1.32 b,doll_2.38 b,doll_50.533 m,doll_1.9 b,doll_1.7 b,doll_1.02 b
doll_47.72 m,doll_237.76 b,doll_90.085 m,doll_78.47 m,doll_1.31 b,doll_2.38 b,doll_155.600 m,doll_1.88 b,doll_1.96 b,doll_61.11 m
doll_49.33 m,doll_234.5 b,doll_11.646 m,doll_78.38 m,doll_1.34 b,doll_2.35 b,doll_195.920 m,doll_1.87 b,doll_1.91 b,doll_59.44 m
doll_43.99 m,doll_233.69 b,doll_5.459 m,doll_77.33 m,doll_1.72 b,doll_2.34 b,doll_56.197 m,doll_1.82 b,doll_1.86 b,doll_55.42 m
doll_53.28 m,doll_231.35 b,doll_28.945 m,doll_76.04 m,doll_1.38 b,doll_2.31 b,doll_20.838 m,doll_1.82 b,doll_1.56 b,doll_58.23 m
doll_78.0 m,doll_228.67 b,doll_78.849 m,doll_75.44 m,doll_2.06 b,doll_2.29 b,doll_29.453 m,doll_1.78 b,doll_1.81 b,doll_56.47 m
doll_24.98 m,doll_227.69 b,doll_6.606 m,doll_75.41 m,doll_2.52 b,doll_2.28 b,doll_116.380 m,doll_1.73 b,doll_1.38 b,doll_70.24 m
doll_68.46 m,doll_224.88 b,doll_111.660 m,doll_74.59 m,doll_1.47 b,doll_2.25 b,doll_78.492 m,doll_1.72 b,doll_1.56 b,doll_56.64 m
doll_63.05 m,doll_220.76 b,doll_43.104 m,doll_72.1 m,doll_1.36 b,doll_2.21 b,doll_48.700 m,doll_1.72 b,doll_1.62 b,doll_86.56 m
