00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_revenue_usd,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd
doll_1.660 m,524 million usd,doll_1.78 b,doll_65.344 m,"17,596 million usd"
11 million usd,10 million usd,doll_1.7 b,586 million usd,517 million usd
137 million usd,70 million usd,doll_1.17 b,doll_1.172 m,"1,215 million usd"
11 million usd,111 million usd,doll_586.0 m,doll_1.698 m,743 million usd
395 million usd,-284 million usd,doll_65.34 b,doll_1.784 m,81 million usd
43 million usd,-901 million usd,doll_3.54 b,210 million usd,"4,446 million usd"
75 million usd,-109 million usd,doll_24.79 b,doll_1.351 m,"1,922 million usd"
147 million usd,801 million usd,doll_352.0 m,352 million usd,"3,655 million usd"
204 million usd,204 million usd,doll_17.6 b,doll_4.150 m,"4,150 million usd"
801 million usd,117 million usd,doll_517.0 m,doll_3.655 m,758 million usd
-109 million usd,53 million usd,doll_1.22 b,doll_1.922 m,540 million usd
-901 million usd,-791 million usd,doll_743.0 m,doll_4.446 m,"15,356 million usd"
-284 million usd,48 million usd,doll_81.0 m,81 million usd,"3,280 million usd"
111 million usd,234 million usd,doll_4.45 b,743 million usd,"23,056 million usd"
70 million usd,477 million usd,doll_1.92 b,doll_1.215 m,"7,927 million usd"
10 million usd,206 million usd,doll_3.65 b,517 million usd,"15,465 million usd"
524 million usd,333 million usd,doll_4.15 b,doll_17.596 m,259 million usd
117 million usd,35 million usd,doll_758.0 m,758 million usd,926 million usd
321 million usd,321 million usd,doll_540.0 m,554 million usd,554 million usd
35 million usd,"1,989 million usd",doll_15.36 b,926 million usd,"12,388 million usd"
333 million usd,193 million usd,doll_3.28 b,259 million usd,"1,762 million usd"
206 million usd,260 million usd,doll_23.06 b,doll_15.465 m,896 million usd
477 million usd,480 million usd,doll_7.93 b,doll_7.927 m,754 million usd
234 million usd,315 million usd,doll_15.46 b,doll_23.056 m,"6,485 million usd"
48 million usd,50 million usd,doll_259.0 m,doll_3.280 m,"12,721 million usd"
-791 million usd,346 million usd,doll_926.0 m,doll_15.356 m,"3,357 million usd"
53 million usd,-343 million usd,doll_554.0 m,540 million usd,667 million usd
doll_1.989 m,564 million usd,doll_12.39 b,doll_12.388 m,"5,724 million usd"
195 million usd,195 million usd,doll_1.76 b,598 million usd,598 million usd
564 million usd,144 million usd,doll_896.0 m,doll_5.724 m,"2,037 million usd"
-343 million usd,-88 million usd,doll_754.0 m,667 million usd,80 million usd
346 million usd,-28 million usd,doll_6.49 b,doll_3.357 m,201 million usd
50 million usd,-288 million usd,doll_12.72 b,doll_12.721 m,684 million usd
315 million usd,134 million usd,doll_3.36 b,doll_6.485 m,"1,455 million usd"
480 million usd,319 million usd,doll_667.0 m,754 million usd,"5,123 million usd"
260 million usd,127 million usd,doll_5.72 b,896 million usd,"1,179 million usd"
193 million usd,64 million usd,doll_598.0 m,doll_1.762 m,554 million usd
144 million usd,612 million usd,doll_2.04 b,doll_2.037 m,"1,889 million usd"
281 million usd,281 million usd,doll_80.0 m,doll_2.772 m,"2,772 million usd"
612 million usd,24 million usd,doll_201.0 m,doll_1.889 m,133 million usd
64 million usd,72 million usd,doll_684.0 m,554 million usd,"1,160 million usd"
127 million usd,283 million usd,doll_1.46 b,doll_1.179 m,"1,133 million usd"
319 million usd,161 million usd,doll_5.12 b,doll_5.123 m,589 million usd
134 million usd,107 million usd,doll_1.18 b,doll_1.455 m,707 million usd
-288 million usd,552 million usd,doll_554.0 m,684 million usd,"13,481 million usd"
-28 million usd,60 million usd,doll_1.89 b,201 million usd,220 million usd
-88 million usd,143 million usd,doll_2.77 b,80 million usd,"3,073 million usd"
24 million usd,76 million usd,doll_133.0 m,133 million usd,499 million usd
-8 million usd,-8 million usd,doll_1.16 b,484 million usd,484 million usd
76 million usd,221 million usd,doll_1.13 b,499 million usd,"4,766 million usd"
143 million usd,-15 million usd,doll_589.0 m,doll_3.073 m,"2,787 million usd"
60 million usd,206 million usd,doll_707.0 m,220 million usd,"1,861 million usd"
552 million usd,197 million usd,doll_13.48 b,doll_13.481 m,"8,945 million usd"
107 million usd,106 million usd,doll_220.0 m,707 million usd,252 million usd
161 million usd,118 million usd,doll_3.07 b,589 million usd,"3,358 million usd"
283 million usd,184 million usd,doll_499.0 m,doll_1.133 m,"1,694 million usd"
72 million usd,165 million usd,doll_484.0 m,doll_1.160 m,"2,677 million usd"
221 million usd,-1 million usd,doll_4.77 b,doll_4.766 m,250 million usd
doll_1.175 m,"1,175 million usd",doll_2.79 b,doll_18.650 m,"18,650 million usd"
-1 million usd,,doll_1.86 b,250 million usd,
165 million usd,176 million usd,doll_8.95 b,doll_2.677 m,"1,717 million usd"
184 million usd,398 million usd,doll_252.0 m,doll_1.694 m,"6,638 million usd"
118 million usd,95 million usd,doll_3.36 b,doll_3.358 m,230 million usd
106 million usd,23 million usd,doll_1.69 b,252 million usd,60 million usd
197 million usd,-19 million usd,doll_2.68 b,doll_8.945 m,43 million usd
206 million usd,90 million usd,doll_250.0 m,doll_1.861 m,"1,010 million usd"
-15 million usd,153 million usd,doll_18.65 b,doll_2.787 m,874 million usd
,-4 million usd,0.0,,874 million usd
775 million usd,775 million usd,doll_1.72 b,doll_2.761 m,"2,761 million usd"
-4 million usd,111 million usd,doll_6.64 b,874 million usd,761 million usd
153 million usd,82 million usd,doll_230.0 m,874 million usd,"2,040 million usd"
90 million usd,471 million usd,doll_60.0 m,doll_1.010 m,"5,013 million usd"
-19 million usd,30 million usd,doll_43.0 m,43 million usd,446 million usd
23 million usd,60 million usd,doll_1.01 b,60 million usd,171 million usd
95 million usd,204 million usd,doll_874.0 m,230 million usd,"6,218 million usd"
398 million usd,306 million usd,doll_874.0 m,doll_6.638 m,949 million usd
176 million usd,80 million usd,doll_2.76 b,doll_1.717 m,481 million usd
111 million usd,288 million usd,doll_761.0 m,761 million usd,"7,499 million usd"
446 million usd,446 million usd,doll_2.04 b,doll_1.499 m,"1,499 million usd"
288 million usd,70 million usd,doll_5.01 b,doll_7.499 m,"1,241 million usd"
80 million usd,114 million usd,doll_446.0 m,481 million usd,"1,652 million usd"
306 million usd,131 million usd,doll_171.0 m,949 million usd,"1,345 million usd"
204 million usd,-8 million usd,doll_6.22 b,doll_6.218 m,216 million usd
60 million usd,-113 million usd,doll_949.0 m,171 million usd,126 million usd
30 million usd,-494 million usd,doll_481.0 m,446 million usd,"6,421 million usd"
471 million usd,65 million usd,doll_7.5 b,doll_5.013 m,340 million usd
82 million usd,-415 million usd,doll_1.5 b,doll_2.040 m,"5,816 million usd"
70 million usd,223 million usd,doll_1.24 b,doll_1.241 m,"1,983 million usd"
216 million usd,216 million usd,doll_1.65 b,doll_2.244 m,"2,244 million usd"
223 million usd,137 million usd,doll_1.34 b,doll_1.983 m,"1,864 million usd"
-415 million usd,141 million usd,doll_216.0 m,doll_5.816 m,"6,670 million usd"
65 million usd,194 million usd,doll_126.0 m,340 million usd,"1,675 million usd"
-494 million usd,198 million usd,doll_6.42 b,doll_6.421 m,"2,555 million usd"
-113 million usd,73 million usd,doll_340.0 m,126 million usd,575 million usd
-8 million usd,-88 million usd,doll_5.82 b,216 million usd,"1,607 million usd"
131 million usd,288 million usd,doll_1.98 b,doll_1.345 m,336 million usd
114 million usd,468 million usd,doll_2.24 b,doll_1.652 m,"3,769 million usd"
137 million usd,464 million usd,doll_1.86 b,doll_1.864 m,641 million usd
-24 million usd,-24 million usd,doll_6.67 b,1 million usd,1 million usd
464 million usd,89 million usd,doll_1.68 b,641 million usd,"2,135 million usd"
468 million usd,54 million usd,doll_2.56 b,doll_3.769 m,759 million usd
288 million usd,-114 million usd,doll_575.0 m,336 million usd,593 million usd
-88 million usd,175 million usd,doll_1.61 b,doll_1.607 m,"2,834 million usd"
73 million usd,80 million usd,doll_336.0 m,575 million usd,"1,884 million usd"
198 million usd,480 million usd,doll_3.77 b,doll_2.555 m,"30,181 million usd"
194 million usd,72 million usd,doll_641.0 m,doll_1.675 m,258 million usd
141 million usd,,doll_1.0 m,doll_6.670 m,
89 million usd,182 million usd,doll_2.13 b,doll_2.135 m,"5,791 million usd"
106 million usd,106 million usd,doll_759.0 m,doll_1.719 m,"1,719 million usd"
182 million usd,31 million usd,doll_593.0 m,doll_5.791 m,425 million usd
,221 million usd,doll_2.83 b,,"9,785 million usd"
72 million usd,48 million usd,doll_1.88 b,258 million usd,792 million usd
480 million usd,18 million usd,doll_30.18 b,doll_30.181 m,"1,514 million usd"
80 million usd,-152 million usd,doll_258.0 m,doll_1.884 m,132 million usd
175 million usd,64 million usd,0.0,doll_2.834 m,"3,660 million usd"
-114 million usd,139 million usd,doll_5.79 b,593 million usd,"1,243 million usd"
54 million usd,50 million usd,doll_1.72 b,759 million usd,314 million usd
31 million usd,124 million usd,doll_425.0 m,425 million usd,532 million usd
70 million usd,70 million usd,doll_9.79 b,doll_1.546 m,"1,546 million usd"
124 million usd,749 million usd,doll_792.0 m,532 million usd,"2,901 million usd"
50 million usd,9 million usd,doll_1.51 b,314 million usd,395 million usd
139 million usd,244 million usd,doll_132.0 m,doll_1.243 m,"6,099 million usd"
64 million usd,92 million usd,doll_3.66 b,doll_3.660 m,887 million usd
-152 million usd,122 million usd,doll_1.24 b,132 million usd,190 million usd
18 million usd,51 million usd,doll_314.0 m,doll_1.514 m,"1,427 million usd"
48 million usd,246 million usd,doll_532.0 m,792 million usd,"5,344 million usd"
221 million usd,-164 million usd,doll_1.55 b,doll_9.785 m,972 million usd
749 million usd,122 million usd,doll_2.9 b,doll_2.901 m,360 million usd
183 million usd,183 million usd,doll_395.0 m,doll_8.310 m,"8,310 million usd"
122 million usd,556 million usd,doll_6.1 b,360 million usd,622 million usd
-164 million usd,1 million usd,doll_887.0 m,972 million usd,8 million usd
246 million usd,125 million usd,doll_190.0 m,doll_5.344 m,"1,203 million usd"
51 million usd,125 million usd,doll_1.43 b,doll_1.427 m,"1,508 million usd"
122 million usd,,doll_5.34 b,190 million usd,"1,000 million usd"
92 million usd,-14 million usd,doll_972.0 m,887 million usd,"1,013 million usd"
244 million usd,441 million usd,doll_360.0 m,doll_6.099 m,"4,028 million usd"
9 million usd,271 million usd,doll_8.31 b,395 million usd,"3,656 million usd"
556 million usd,333 million usd,doll_622.0 m,622 million usd,"1,049 million usd"
330 million usd,330 million usd,doll_8.0 m,453 million usd,453 million usd
333 million usd,80 million usd,doll_1.2 b,doll_1.049 m,515 million usd
271 million usd,27 million usd,doll_1.51 b,doll_3.656 m,118 million usd
441 million usd,550 million usd,doll_1.0 b,doll_4.028 m,"2,782 million usd"
-14 million usd,,doll_1.01 b,doll_1.013 m,
,-440 million usd,doll_4.03 b,doll_1.000 m,"12,434 million usd"
125 million usd,,doll_3.66 b,doll_1.508 m,
125 million usd,417 million usd,doll_1.05 b,doll_1.203 m,"2,304 million usd"
1 million usd,132 million usd,doll_453.0 m,8 million usd,"5,731 million usd"
80 million usd,141 million usd,doll_515.0 m,515 million usd,"3,633 million usd"
30 million usd,30 million usd,doll_118.0 m,315 million usd,315 million usd
141 million usd,-246 million usd,doll_2.78 b,doll_3.633 m,400 million usd
132 million usd,476 million usd,0.0,doll_5.731 m,"2,811 million usd"
417 million usd,,doll_12.43 b,doll_2.304 m,
,,0.0,,
-440 million usd,,doll_2.3 b,doll_12.434 m,
,,doll_5.73 b,,
550 million usd,,doll_3.63 b,doll_2.782 m,
27 million usd,,doll_315.0 m,118 million usd,
-246 million usd,,doll_400.0 m,400 million usd,
120 million usd,120 million usd,doll_2.81 b,804 million usd,804 million usd
,105 million usd,0.0,,"4,200 million usd"
,-37 million usd,0.0,,"1,323 million usd"
,-24 million usd,0.0,,294 million usd
,,0.0,,
,458 million usd,0.0,,
,148 million usd,0.0,,347 million usd
,,0.0,,
476 million usd,,doll_804.0 m,doll_2.811 m,
105 million usd,48 million usd,doll_4.2 b,doll_4.200 m,"1,074 million usd"
-39 million usd,-39 million usd,doll_1.32 b,doll_2.124 m,"2,124 million usd"
48 million usd,181 million usd,doll_294.0 m,doll_1.074 m,"7,760 million usd"
,-312 million usd,0.0,,"6,085 million usd"
,253 million usd,0.0,,
148 million usd,73 million usd,doll_347.0 m,347 million usd,767 million usd
458 million usd,,0.0,,
,42 million usd,0.0,,"3,829 million usd"
-24 million usd,54 million usd,doll_1.07 b,294 million usd,"2,881 million usd"
-37 million usd,134 million usd,doll_2.12 b,doll_1.323 m,"1,192 million usd"
181 million usd,118 million usd,doll_7.76 b,doll_7.760 m,288 million usd
,,doll_6.08 b,,
118 million usd,173 million usd,0.0,288 million usd,403 million usd
134 million usd,23 million usd,doll_767.0 m,doll_1.192 m,"1,872 million usd"
54 million usd,178 million usd,0.0,doll_2.881 m,"3,808 million usd"
42 million usd,250 million usd,doll_3.83 b,doll_3.829 m,"3,409 million usd"
,192 million usd,doll_2.88 b,,434 million usd
73 million usd,1 million usd,doll_1.19 b,767 million usd,42 million usd
253 million usd,,doll_288.0 m,,
-312 million usd,104 million usd,0.0,doll_6.085 m,"4,754 million usd"
173 million usd,23 million usd,doll_403.0 m,403 million usd,"1,872 million usd"
-460 million usd,-460 million usd,doll_1.87 b,828 million usd,828 million usd
23 million usd,168 million usd,doll_3.81 b,doll_1.872 m,"2,071 million usd"
104 million usd,-165 million usd,doll_3.41 b,doll_4.754 m,375 million usd
,83 million usd,doll_434.0 m,,769 million usd
1 million usd,371 million usd,doll_42.0 m,42 million usd,"3,394 million usd"
192 million usd,,0.0,434 million usd,
250 million usd,67 million usd,doll_4.75 b,doll_3.409 m,401 million usd
178 million usd,,doll_1.87 b,doll_3.808 m,
23 million usd,355 million usd,doll_828.0 m,doll_1.872 m,324 million usd
168 million usd,27 million usd,doll_2.07 b,doll_2.071 m,"1,899 million usd"
143 million usd,143 million usd,doll_375.0 m,doll_3.357 m,"3,357 million usd"
27 million usd,48 million usd,doll_769.0 m,doll_1.899 m,589 million usd
355 million usd,70 million usd,doll_3.39 b,324 million usd,488 million usd
,39 million usd,0.0,,"3,285 million usd"
67 million usd,"2,241 million usd",doll_401.0 m,401 million usd,
,165 million usd,0.0,,"1,749 million usd"
371 million usd,477 million usd,doll_324.0 m,doll_3.394 m,385 million usd
83 million usd,,doll_1.9 b,769 million usd,
-165 million usd,,doll_3.36 b,375 million usd,
48 million usd,-5 million usd,doll_589.0 m,589 million usd,138 million usd
36 million usd,36 million usd,doll_488.0 m,doll_2.376 m,"2,376 million usd"
-5 million usd,299 million usd,doll_3.29 b,138 million usd,"6,274 million usd"
,148 million usd,0.0,,"3,439 million usd"
,611 million usd,doll_1.75 b,,"2,762 million usd"
477 million usd,182 million usd,doll_385.0 m,385 million usd,"1,272 million usd"
165 million usd,0 million usd,0.0,doll_1.749 m,"3,236 million usd"
doll_2.241 m,50 million usd,0.0,,404 million usd
39 million usd,153 million usd,doll_138.0 m,doll_3.285 m,"1,457 million usd"
70 million usd,299 million usd,doll_2.38 b,488 million usd,"2,284 million usd"
299 million usd,87 million usd,doll_6.27 b,doll_6.274 m,"1,104 million usd"
81 million usd,81 million usd,doll_3.44 b,doll_3.288 m,"3,288 million usd"
87 million usd,503 million usd,doll_2.76 b,doll_1.104 m,"1,765 million usd"
299 million usd,76 million usd,doll_1.27 b,doll_2.284 m,664 million usd
153 million usd,,doll_3.24 b,doll_1.457 m,
50 million usd,94 million usd,doll_404.0 m,404 million usd,"2,596 million usd"
0 million usd,259 million usd,doll_1.46 b,doll_3.236 m,335 million usd
182 million usd,357 million usd,doll_2.28 b,doll_1.272 m,"1,821 million usd"
611 million usd,278 million usd,doll_1.1 b,doll_2.762 m,"2,041 million usd"
148 million usd,-207 million usd,doll_3.29 b,doll_3.439 m,154 million usd
503 million usd,2 million usd,doll_1.76 b,doll_1.765 m,35 million usd
-99 million usd,-99 million usd,doll_664.0 m,doll_21.063 m,"21,063 million usd"
2 million usd,13 million usd,0.0,35 million usd,296 million usd
-207 million usd,459 million usd,doll_2.6 b,154 million usd,"19,499 million usd"
278 million usd,199 million usd,doll_335.0 m,doll_2.041 m,"1,643 million usd"
357 million usd,161 million usd,doll_1.82 b,doll_1.821 m,"3,513 million usd"
259 million usd,-113 million usd,doll_2.04 b,335 million usd,569 million usd
94 million usd,-422 million usd,doll_154.0 m,doll_2.596 m,-418 million usd
,283 million usd,doll_35.0 m,,"4,263 million usd"
76 million usd,80 million usd,doll_21.06 b,664 million usd,"2,327 million usd"
13 million usd,,doll_296.0 m,296 million usd,
561 million usd,561 million usd,doll_19.5 b,doll_25.600 m,"25,600 million usd"
,98 million usd,doll_1.64 b,,290 million usd
80 million usd,152 million usd,doll_3.51 b,doll_2.327 m,505 million usd
283 million usd,0 million usd,doll_569.0 m,doll_4.263 m,0 million usd
-422 million usd,0 million usd,doll_-418.0 m,-418 million usd,"1,318 million usd"
-113 million usd,-145 million usd,doll_4.26 b,569 million usd,415 million usd
161 million usd,"1,515 million usd",doll_2.33 b,doll_3.513 m,"3,376 million usd"
199 million usd,,0.0,doll_1.643 m,
98 million usd,356 million usd,doll_25.6 b,290 million usd,"12,677 million usd"
459 million usd,,doll_290.0 m,doll_19.499 m,
281 million usd,281 million usd,doll_505.0 m,623 million usd,623 million usd
,,0.0,,
356 million usd,,doll_1.32 b,doll_12.677 m,
,97 million usd,doll_415.0 m,,"1,177 million usd"
doll_1.515 m,277 million usd,doll_3.38 b,doll_3.376 m,
-145 million usd,281 million usd,0.0,415 million usd,
0 million usd,86 million usd,doll_12.68 b,doll_1.318 m,"1,017 million usd"
0 million usd,292 million usd,0.0,0 million usd,"4,588 million usd"
152 million usd,429 million usd,doll_623.0 m,505 million usd,"3,050 million usd"
,673 million usd,0.0,,
170 million usd,170 million usd,0.0,doll_4.078 m,"4,078 million usd"
673 million usd,110 million usd,doll_1.18 b,,749 million usd
429 million usd,269 million usd,0.0,doll_3.050 m,"2,067 million usd"
292 million usd,126 million usd,0.0,doll_4.588 m,"30,432 million usd"
86 million usd,,doll_1.02 b,doll_1.017 m,
281 million usd,,doll_4.59 b,,
277 million usd,128 million usd,doll_3.05 b,,"1,031 million usd"
97 million usd,,0.0,doll_1.177 m,
,205 million usd,doll_4.08 b,,795 million usd
110 million usd,151 million usd,doll_749.0 m,749 million usd,"1,342 million usd"
,,doll_2.07 b,,
151 million usd,,doll_30.43 b,doll_1.342 m,
205 million usd,,0.0,795 million usd,
,64 million usd,0.0,,57 million usd
128 million usd,216 million usd,doll_1.03 b,doll_1.031 m,"17,174 million usd"
,31 million usd,0.0,,343 million usd
,169 million usd,doll_795.0 m,,"1,904 million usd"
126 million usd,105 million usd,doll_1.34 b,doll_30.432 m,"6,865 million usd"
269 million usd,18 million usd,0.0,doll_2.067 m,439 million usd
,-257 million usd,0.0,,149 million usd
-16 million usd,-16 million usd,0.0,58 million usd,58 million usd
-257 million usd,103 million usd,doll_57.0 m,149 million usd,"1,614 million usd"
18 million usd,129 million usd,doll_17.17 b,439 million usd,"2,202 million usd"
105 million usd,-765 million usd,doll_343.0 m,doll_6.865 m,429 million usd
169 million usd,93 million usd,doll_1.9 b,doll_1.904 m,"1,468 million usd"
31 million usd,176 million usd,doll_6.87 b,343 million usd,460 million usd
216 million usd,151 million usd,doll_439.0 m,doll_17.174 m,"1,707 million usd"
64 million usd,14 million usd,doll_149.0 m,57 million usd,845 million usd
,188 million usd,doll_58.0 m,,999 million usd
103 million usd,,doll_1.61 b,doll_1.614 m,
13 million usd,13 million usd,doll_2.2 b,299 million usd,299 million usd
,89 million usd,doll_429.0 m,,660 million usd
188 million usd,,doll_1.47 b,999 million usd,
14 million usd,41 million usd,doll_460.0 m,845 million usd,"2,773 million usd"
151 million usd,-30 million usd,doll_1.71 b,doll_1.707 m,"1,774 million usd"
176 million usd,,doll_845.0 m,460 million usd,
93 million usd,-352 million usd,doll_999.0 m,doll_1.468 m,3 million usd
-765 million usd,159 million usd,0.0,429 million usd,"10,952 million usd"
129 million usd,117 million usd,doll_299.0 m,doll_2.202 m,259 million usd
89 million usd,141 million usd,doll_660.0 m,660 million usd,"2,312 million usd"
254 million usd,254 million usd,0.0,doll_2.821 m,"2,821 million usd"
141 million usd,,doll_2.77 b,doll_2.312 m,
117 million usd,354 million usd,doll_1.77 b,259 million usd,518 million usd
159 million usd,236 million usd,0.0,doll_10.952 m,"1,063 million usd"
-352 million usd,138 million usd,doll_3.0 m,3 million usd,581 million usd
,465 million usd,doll_10.95 b,,"1,548 million usd"
-30 million usd,75 million usd,doll_259.0 m,doll_1.774 m,"1,541 million usd"
41 million usd,722 million usd,doll_2.31 b,doll_2.773 m,"1,679 million usd"
,58 million usd,doll_2.82 b,,929 million usd
,11 million usd,0.0,,988 million usd
,,doll_518.0 m,,
11 million usd,340 million usd,doll_1.06 b,988 million usd,"14,044 million usd"
58 million usd,,doll_581.0 m,929 million usd,
722 million usd,,doll_1.55 b,doll_1.679 m,
75 million usd,,doll_1.54 b,doll_1.541 m,
465 million usd,,doll_1.68 b,doll_1.548 m,
138 million usd,59 million usd,doll_929.0 m,581 million usd,647 million usd
236 million usd,,doll_988.0 m,doll_1.063 m,
354 million usd,65 million usd,0.0,518 million usd,"7,596 million usd"
340 million usd,186 million usd,doll_14.04 b,doll_14.044 m,"1,372 million usd"
919 million usd,919 million usd,0.0,921 million usd,921 million usd
186 million usd,175 million usd,0.0,doll_1.372 m,941 million usd
65 million usd,,0.0,doll_7.596 m,
,166 million usd,0.0,,"3,837 million usd"
59 million usd,0 million usd,doll_647.0 m,647 million usd,"4,141 million usd"
,52 million usd,0.0,,"1,549 million usd"
,602 million usd,doll_7.6 b,,"8,660 million usd"
,,doll_1.37 b,,
,27 million usd,doll_921.0 m,,295 million usd
175 million usd,365 million usd,doll_941.0 m,941 million usd,"2,045 million usd"
-579 million usd,-579 million usd,0.0,doll_1.318 m,"1,318 million usd"
365 million usd,-339 million usd,doll_3.84 b,doll_2.045 m,13 million usd
27 million usd,97 million usd,doll_4.14 b,295 million usd,"2,405 million usd"
,484 million usd,doll_1.55 b,,"5,177 million usd"
602 million usd,321 million usd,doll_8.66 b,doll_8.660 m,"6,888 million usd"
52 million usd,-250 million usd,0.0,doll_1.549 m,305 million usd
0 million usd,168 million usd,doll_295.0 m,doll_4.141 m,"2,322 million usd"
,25 million usd,doll_2.04 b,,118 million usd
166 million usd,241 million usd,doll_1.32 b,doll_3.837 m,"5,126 million usd"
-339 million usd,277 million usd,doll_13.0 m,13 million usd,"1,977 million usd"
220 million usd,220 million usd,doll_2.4 b,doll_3.886 m,"3,886 million usd"
277 million usd,282 million usd,doll_5.18 b,doll_1.977 m,"8,991 million usd"
241 million usd,100 million usd,doll_6.89 b,doll_5.126 m,429 million usd
25 million usd,269 million usd,doll_305.0 m,118 million usd,"1,152 million usd"
168 million usd,151 million usd,doll_2.32 b,doll_2.322 m,"10,423 million usd"
-250 million usd,348 million usd,doll_118.0 m,305 million usd,"9,294 million usd"
321 million usd,349 million usd,doll_5.13 b,doll_6.888 m,263 million usd
484 million usd,423 million usd,doll_1.98 b,doll_5.177 m,"1,306 million usd"
97 million usd,100 million usd,doll_3.89 b,doll_2.405 m,"2,084 million usd"
282 million usd,,doll_8.99 b,doll_8.991 m,
,,doll_429.0 m,,
,63 million usd,doll_1.15 b,,"1,258 million usd"
100 million usd,34 million usd,doll_10.42 b,doll_2.084 m,160 million usd
423 million usd,86 million usd,doll_9.29 b,doll_1.306 m,"4,250 million usd"
349 million usd,87 million usd,doll_263.0 m,263 million usd,879 million usd
348 million usd,302 million usd,doll_1.31 b,doll_9.294 m,"2,306 million usd"
151 million usd,0 million usd,doll_2.08 b,doll_10.423 m,452 million usd
269 million usd,,0.0,doll_1.152 m,
100 million usd,772 million usd,0.0,429 million usd,"8,492 million usd"
63 million usd,331 million usd,doll_1.26 b,doll_1.258 m,"1,886 million usd"
223 million usd,223 million usd,doll_160.0 m,doll_1.364 m,"1,364 million usd"
331 million usd,,doll_4.25 b,doll_1.886 m,
772 million usd,-158 million usd,doll_879.0 m,doll_8.492 m,
,157 million usd,doll_2.31 b,,"1,567 million usd"
0 million usd,93 million usd,doll_452.0 m,452 million usd,583 million usd
302 million usd,,0.0,doll_2.306 m,
87 million usd,104 million usd,doll_8.49 b,879 million usd,869 million usd
86 million usd,"1,049 million usd",doll_1.89 b,doll_4.250 m,"1,056 million usd"
34 million usd,-192 million usd,doll_1.36 b,160 million usd,252 million usd
,161 million usd,0.0,,"3,882 million usd"
,,0.0,,
161 million usd,12 million usd,doll_1.57 b,doll_3.882 m,47 million usd
-192 million usd,"1,454 million usd",doll_583.0 m,252 million usd,"3,318 million usd"
doll_1.049 m,,0.0,doll_1.056 m,
104 million usd,54 million usd,doll_869.0 m,869 million usd,178 million usd
,157 million usd,doll_1.06 b,,"1,752 million usd"
93 million usd,129 million usd,doll_252.0 m,583 million usd,"1,602 million usd"
157 million usd,114 million usd,doll_3.88 b,doll_1.567 m,236 million usd
-158 million usd,165 million usd,0.0,,953 million usd
12 million usd,306 million usd,doll_47.0 m,47 million usd,"6,759 million usd"
148 million usd,148 million usd,doll_3.32 b,doll_2.082 m,"2,082 million usd"
306 million usd,-1 million usd,0.0,doll_6.759 m,"6,875 million usd"
165 million usd,441 million usd,doll_178.0 m,953 million usd,"4,100 million usd"
114 million usd,347 million usd,doll_1.75 b,236 million usd,375 million usd
129 million usd,380 million usd,doll_1.6 b,doll_1.602 m,"25,727 million usd"
157 million usd,-6 million usd,doll_236.0 m,doll_1.752 m,624 million usd
54 million usd,165 million usd,doll_953.0 m,178 million usd,"3,415 million usd"
,181 million usd,doll_6.76 b,,"1,669 million usd"
doll_1.454 m,3 million usd,doll_2.08 b,doll_3.318 m,975 million usd
-1 million usd,,doll_6.88 b,doll_6.875 m,
674 million usd,674 million usd,doll_4.1 b,doll_1.205 m,"1,205 million usd"
,"1,320 million usd",doll_375.0 m,,"2,221 million usd"
3 million usd,46 million usd,doll_25.73 b,975 million usd,771 million usd
181 million usd,,doll_624.0 m,doll_1.669 m,
165 million usd,54 million usd,doll_3.42 b,doll_3.415 m,921 million usd
-6 million usd,238 million usd,doll_1.67 b,624 million usd,"2,718 million usd"
380 million usd,"1,084 million usd",doll_975.0 m,doll_25.727 m,"15,140 million usd"
347 million usd,697 million usd,0.0,375 million usd,"1,864 million usd"
441 million usd,132 million usd,doll_1.21 b,doll_4.100 m,"1,791 million usd"
doll_1.320 m,-9 million usd,doll_2.22 b,doll_2.221 m,826 million usd
,,doll_771.0 m,,
-9 million usd,178 million usd,0.0,826 million usd,"1,332 million usd"
132 million usd,352 million usd,doll_921.0 m,doll_1.791 m,"3,185 million usd"
697 million usd,320 million usd,doll_2.72 b,doll_1.864 m,"3,202 million usd"
doll_1.084 m,867 million usd,doll_15.14 b,doll_15.140 m,"2,027 million usd"
238 million usd,47 million usd,doll_1.86 b,doll_2.718 m,"1,982 million usd"
54 million usd,,doll_1.79 b,921 million usd,
,-33 million usd,doll_826.0 m,,528 million usd
46 million usd,247 million usd,0.0,771 million usd,"3,993 million usd"
178 million usd,"1,043 million usd",doll_1.33 b,doll_1.332 m,"13,022 million usd"
-184 million usd,-184 million usd,doll_3.19 b,733 million usd,733 million usd
doll_1.043 m,263 million usd,doll_3.2 b,doll_13.022 m,
247 million usd,58 million usd,doll_2.03 b,doll_3.993 m,598 million usd
-33 million usd,218 million usd,doll_1.98 b,528 million usd,"3,381 million usd"
,6 million usd,0.0,,173 million usd
47 million usd,-275 million usd,doll_528.0 m,doll_1.982 m,944 million usd
867 million usd,482 million usd,doll_3.99 b,doll_2.027 m,"8,559 million usd"
320 million usd,351 million usd,doll_13.02 b,doll_3.202 m,395 million usd
352 million usd,388 million usd,doll_733.0 m,doll_3.185 m,"1,345 million usd"
