00-avengers-ceo,02-GioPonSpiz-ceo,03-gren-ceo,04-iGMM-ceo,07-silvestri-ceo,08-slytherin-ceo,00-avengers-headquarters_sub_region
tobias lutke,steven black,giovanni caforio,giovanni caforio,christian sinding,david w. dorman,northern america
pietro beccari,patrick p. gelsinger,roland busch,roland busch,,geoff martha,western europe
wang dongjin,rainer m. blair,patrick pouyanne,patrick pouyanne,c. s. venkatakrishnan,brian m. levitt,eastern asia
bharat masrani,kenneth c. frazier,karen s. lynch,karen s. lynch,simon a borrows,jim hagemann snabe,northern america
alan jope,,alan jope,alan jope,vladimir potanin,liu liange,northern europe
noel quinn,timotheus hottges,mike sievert,mike sievert,mads nipper,hans dieter potsch,northern europe
gary e. dickerson,liu liange,gao yingxin,gao yingxin,philippe brassac,stephen j. squeri,northern america
herbert diess,laurence d,larry fink,larry fink,gilles andrier,noel quinn,western europe
stephen squeri,,,,kevin p. clark,dieter schwarz,northern america
gregory hayes,gregory j. hayes,gregory hayes,gregory hayes,jean-marc chery,timotheus hottges,northern america
,stephen j. squeri,stephen squeri,stephen squeri,,sanjiv mehta,western europe
larry fink,,herbert diess,herbert diess,joachim wenning,thomas j. iannotti,northern america
gao yingxin,thomas j. iannotti,gary e. dickerson,gary e. dickerson,nick read,gregory j. hayes,eastern asia
mike sievert,,noel quinn,noel quinn,daniel ek,laurence d,northern america
laxman narasimhan,david solomon,david m. solomon,david m. solomon,brian cassin,david solomon,northern america
paul hudson,zeng congqin,chen lin,chen lin,rolf eberhard buch,zeng congqin,western europe
dave calhoun,john c. dugan,jane fraser,jane fraser,onur genc,robert a. bradway,northern america
fabrizio freda,yang jie,li yue,li yue,dominic blakemore,john c. dugan,northern america
susan wojcicki,robert a. bradway,robert a. bradway,robert a. bradway,albert manifold,serge weinberg,northern america
robert a. bradway,,susan wojcicki,susan wojcicki,veronique penchienati bosetta,yang jie,northern america
li yue,william p. lauder,fabrizio freda,fabrizio freda,ola rollen,susan wojcicki,eastern asia
jane fraser,,dave calhoun,dave calhoun,david layton,howard schultz,northern america
chen lin,,paul hudson,paul hudson,david j. endicott,william p. lauder,eastern asia
david m. solomon,howard schultz,laxman narasimhan,laxman narasimhan,peter vanacker,dave calhoun,northern america
sashidhar jagdishan,,matt comyn,matt comyn,aiman ezzat,catherine livingstone ao,southern asia
gary s guthart,lee yuan siong,lee yuan siong,lee yuan siong,joachim kreuzburg,javier ferran,northern america
john c. may,,ivan menezes,ivan menezes,benoit bazin,lee yuan siong,northern america
jakob stausholm,james d. taiclet jr.,tom bartlett,tom bartlett,kevin murphy,atanu chakraborty,northern europe
arvind krishna,jim umpleby,jim umpleby,jim umpleby,dr. detlef trefzger,craig h. barratt ,northern america
jim umpleby,,arvind krishna,arvind krishna,johan thijs,jim umpleby,northern america
tom bartlett,,jakob stausholm,jakob stausholm,alison rose,john c. may,northern america
ivan menezes,john c. may,john c. may,john c. may,borje ekholm,arvind krishna,northern europe
lee yuan siong,craig h. barratt ,gary s guthart,gary s guthart,dimitri de vreeze,dominic barton bmm,eastern asia
matt comyn,,sashidhar jagdishan,sashidhar jagdishan,jean-bernard levy,james d. taiclet jr.,"australia, new zealand"
douglas l. peterson,hamid moghadam,hamid moghadam,hamid moghadam,henrik ehrnrooth,martin barrington,northern america
alexey miller,fred luddy,bill mcdermott,bill mcdermott,brendan horgan,hamid moghadam,eastern europe
thomas m. rutledge,,h. lawrence culp jr,h. lawrence culp jr,kjerstin braathen,yang mingsheng,northern america
michel doukeris,navneet kapoor,brian cornell,brian cornell,catherine macgregor,navneet kapoor,western europe
dairen lin,,dame emma walmsley,dame emma walmsley,carsten knobel,viktor zubkov,eastern asia
dame emma walmsley,yang mingsheng,dairen lin,dairen lin,andrea orcel,thomas m. rutledge,northern europe
brian cornell,,michel doukeris,michel doukeris,pekka lundmark,jonathan symonds,northern america
h. lawrence culp jr,thomas m. rutledge,thomas m. rutledge,thomas m. rutledge,stefan widing,richard e. thornburgh,northern america
bill mcdermott,viktor zubkov,alexey miller,alexey miller,frans muller,fred luddy,northern america
hamid moghadam,richard e. thornburgh,douglas l. peterson,douglas l. peterson,leonhard birnbaum,h. lawrence culp jr,northern america
,,jean-pascal tricoire,jean-pascal tricoire,kristian villumsen,tim buckley,northern america
guillaume faury,,,,tobias martinez gimeno,not found,western europe
brian chesky,tim buckley,,,nico delvaux,jean-pascal tricoire,northern america
gail koziara boudreaux,ryan lance,ryan lance,ryan lance,frans van houten,elizabeth e. tallett,northern america
sanjay mehrotra,richard qiangdong liu,liu qiangdong,liu qiangdong,philippe donnet,rene obermann,northern america
liu qiangdong,robert e. switz,sanjay mehrotra,sanjay mehrotra,bhavesh v. patel,charles g. koch,eastern asia
ryan lance,elizabeth e. tallett,gail koziara boudreaux,gail koziara boudreaux,,ryan lance,northern america
,brian chesky,brian chesky,brian chesky,jan jenisch,brian chesky,northern america
,,guillaume faury,guillaume faury,helena helmersson,robert e. switz,northern america
jean-pascal tricoire,charles g. koch,,,luis maroto,richard qiangdong liu,western europe
carlos a. rodriguez,zhang yiming,,,lakshmi mittal,oliver bate,northern america
francois-henri pinault,forrest li,forrest li,forrest li,guillaume daniellot,forrest li,western europe
motoyuki ii,mike roman,mike roman,mike roman,hans dieter potsch,zhang yiming,eastern asia
jun sawada,,oliver bate,oliver bate,,satoshi miura,eastern asia
belen garijo,,salil parekh,salil parekh,francisco miguel reynes massanet,motoyuki ii,western europe
salil parekh,,belen garijo,belen garijo,florent menegaux,belen garijo,southern asia
oliver bate,satoshi miura,jun sawada,jun sawada,benoit coquart,arthur f. weinbach,western europe
mike roman,motoyuki ii,motoyuki ii,motoyuki ii,dieter weisskopf,francois-henri pinault ,northern america
forrest li,,francois-henri pinault,francois-henri pinault,johan torgeby,mike roman,south east asia
,arthur f. weinbach,carlos a. rodriguez,carlos a. rodriguez,theodor weimer,n.r. narayana murthy,eastern asia
glenn d. fogel,robert j. mylod jr,glenn d. fogel,glenn d. fogel,ken murphy,marta ortega,northern america
,juan ramón alaix,juan ramón alaix,juan ramón alaix,gerteric lindquist,paul perreault,western europe
waleed a. al-mogbel,kevin a. lobo,kevin a. lobo,kevin a. lobo,christian mumenthaler,stefan hartung,western asia
paul perreault,marillyn hewson,james d. taiclet,james d. taiclet,christian sewing,marillyn hewson,"australia, new zealand"
bernard looney,marta ortega,pablo isla,pablo isla,helena hedblom,abdullah bin sulaiman,northern europe
jim farley,william clay ford jr.,jim farley,jim farley,urs schaeppi,kevin a. lobo,northern america
pablo isla,,bernard looney,bernard looney,carl hess,robert j. mylod jr,south europe
