ID,name,country,headquarters,address,founded,employees,market_cap,revenue,profit,industry,sector,categories,ceo;
11411,immuta,united states,,,,,,,,data management & analytics,,,;
13697,infarm,germany,,,,,,,,other,,,;
100768,igaworks,south korea,,,,,,,,internet software & services,,,;
13585,inari,united states,,,,,,,,other,,,;
11563,injective protocol,united states,,,2018,,,,,fintech,,,;
180534,infobip,,,,2006,,,,,technology,,,;
133345,ibotta,united states,,,,,,,,fintech,,,;
11613,intellifusion,china,,,,,,,,artificial intelligence,,,;
133344,icarbonx,china,,,,,,,,,,,;
13498,itutorgroup,china,,,,,,,,edtech,,,;
11691,instabase,united states,,,,,,,,,,,;
11698,intelycare,united states,,,,,,,,health,,,;
11701,imply data,united states,,,,,,,,data management & analytics,,,;
11731,ivalua,united states,,,,,,,,fintech,,,;
13406,invoca,united states,,,,,,,,artificial intelligence,,,;
13393,irl,united states,,,,,,,,internet software & services,,,;
13344,insider,turkey,,,,,,,,internet software & services,,,;
13329,incode technologies,united states,,,,,,,,cybersecurity,,,;
11819,indriver,united states,,,2013,,,,,auto & transportation ,,,;
133348,intercom,united states,,,,,,,,,,,;
13305,itrustcapital,united states,,,,,,,,fintech,,,;
11844,insightec,israel,,,,,,,,health,,,;
13210,il makiage,united states,,,,,,,,e-commerce & direct-to-consumer,,,;
13190,impact.com,united states,,,,,,,,internet software & services,,,;
13184,id.me,united states,,,,,,,,cybersecurity,,,;
13156,iluvatar corex,china,,,,,,,,hardware,,,;
13126,infinidat,united states,,,,,,,,hardware,,,;
12034,incredible health,united states,,,,,,,,health,,,;
12114,iterable,united states,,,2013,,,,,internet software & services,,,;
12920,immutable,australia,,,,,,,,fintech,,,;
144028,illumio,united states,,,,,,,,,,,;
12867,inxeption,united states,,,,,,,,fintech,,,;
12304,ironclad,united states,,,,,,,,internet software & services,,,;
12828,innovaccer,united states,,,,,,,,health,,,;
12809,improbable,united kingdom,,,,,,,,other,,,;
12376,intarcia therapeutics,united states,,,1995,,,,,health,,,;
139178,impossible foods,united states,,,,,,,,,,,;
12667,icapital network,united states,,,,,,,,fintech,,,;
12770,intarcia therapeutics,united states,,,,,,,,health,,,;
13069,invision,united states,,,,,,,,internet software & services,,,;
13312,island,united states,,,,,,,,internet software & services,,,;
135968,intuitive surgical,united states,,,,,doll_90.64 b,,,,,,;
48672,itōchū shōji,japan,,,,,doll_45.79 b,,,,,,;
27543,intact financial,canada,,,,,doll_24.88 b,,,,,,;
66048,imperial brands,,,,,,doll_23.37 b,,,,,,;
22627,insulet,united states,,,,,doll_21.24 b,,,,,,;
47715,invitation homes,united states,,,,,doll_23.09 b,,,,,,;
27807,idex,united states,,,,,doll_18.01 b,,,,,,;
27808,incyte,united states,,,,,doll_17.98 b,,,,,,;
34976,icahn enterprises,united states,,,,,doll_15.07 b,,,,,,;
14854,itaúsa,brazil,,,,,doll_16.59 b,,,,,,;
35456,industrivarden,sweden,,,,,doll_11.54 b,,,,,,;
21505,isuzu,japan,,,,,doll_9.03 b,,,,,,;
35713,icici prulife,india,,,,,doll_8.33 b,,,,,,;
138055,itt,united states,,,,,doll_7.11 b,,,,,,;
148801,israel discount bank,israel,,,,,doll_6.63 b,,,,,,;
20642,icu medical,united states,,,,,doll_4.48 b,,,,,,;
58108,insight enterprises,united states,,,,,doll_3.87 b,,,,,,;
58210,interparfums,united states,,,,,doll_3.60 b,,,,,,;
19870,iluka resources,australia,,,,,doll_3.15 b,,,,,,;
119936,ies holdings,united states,,,,,,,,,,,;
45771,inficon,switzerland,,,,,doll_2.46 b,,,,,,;
52418,inter cars,poland,,,,,doll_1.47 b,,,,,,;
52736,ivanhoe electric,canada,,,,,doll_1.26 b,,,,,,;
60096,irsa inversiones y representaciones,argentina,,,,,doll_0.91 b,,,,,,;
53057,interfor,canada,,,,,doll_0.80 b,,,,,,;
42621,inogen,united states,,,,,doll_0.53 b,,,,,,;
42812,innovate corp.,united states,,,,,doll_0.20 b,,,,,,;
25929,indian metals & ferro alloys,india,,,,,doll_0.18 b,,,,,,;
61600,ineos styrolution,india,,,,,doll_0.17 b,,,,,,;
15672,innovative solutions and support,united states,,,,,doll_0.15 b,,,,,['aerospace'],;
43712,indus holding,germany,,,,,doll_0.73 b,,,,,,;
43204,inuvo,united states,,,,,doll_43.17 m,,,,,,;
43145,india globalization capital,united states,,,,,doll_20.31 m,,,,,,;
15781,impac mortgage holdings,united states,,,,,doll_11.29 m,,,,,,;
33924,imte,australia,,,,,doll_13 m,,,,,,;
33961,innovative eyewear,united states,,,,,doll_9.31 m,,,,,,;
24704,inspira technologies,israel,,,,,doll_13.84 m,,,,,,;
55044,isoray,united states,,,,,doll_40.92 m,,,,,,;
25025,izea worldwide,united states,,,,,doll_40.43 m,,,,,,;
33346,inseego,united states,,,,,doll_0.12 b,,,,,,;
25377,ideanomics,united states,,,,,doll_0.11 b,,,,,,;
43490,inflarx,germany,,,,,doll_0.11 b,,,,,,;
25344,india motor parts and accessories,india,,,,,doll_0.10 b,,,,,,;
43648,intevac,united states,,,,,doll_0.17 b,,,,,,;
16608,indorama synthetics,india,,,,,doll_0.18 b,,,,,,;
