ID,name,country,headquarters,address,founded,employees,market_cap,revenue,profit,industry,sector,categories,ceo;
1667,lanco infratech,,,,1986,,,,,engineering & construction,,,;
1717,lakme,,,,1980,,,,,beauty & personal care,,,;
137096,larsen & toubro,india,,,,,doll_10.88 b,,,,,,;
1770,labournet services,,,,2006,,,,,non-profit,,,;
13651,licious,india,,,2015,,,,,e-commerce & direct-to-consumer,,,;
1942,luxoft,,,,2000,,,,,it services & consulting,,,;
1945,lafarge,,paris,,1833,,,,,industrials,building materials & fixtures,,;
72896,legrand,france,,,,,doll_25.19 b,,,,,,;
2000,l&t heavy engineering,,,,0,,,,,engineering & construction,,,;
2142,liberty general insurance,,,,2013,,,,,insurance,,,;
3545,l&t heavy civil infrastructure,,,,0,,,,,engineering & construction,,,;
2244,lancesoft,,,,2000,,,,,recruitment,,,;
2289,l&t realty,,,,0,,,,,real estate,,,;
2305,l. n. malviya infra projects group,,,,2010,,,,,engineering & construction,,,;
2465,logixhealth,,,,1990,,,,,it services & consulting,,,;
2466,l&t valves,,,,1961,,,,,industrial machinery,,,;
2468,lloyd insulations,,,,1958,,,,,industrial machinery,,,;
2517,lt foods,,,,1990,,,,,fmcg,,,;
2540,learningmate solutions,,,,2001,,,,,edtech,,,;
2555,lotus labs,,,,2001,,,,,analytics & kpo,,,;
2563,landis+gyr,switzerland,,,,,,,,,,,;
2571,linkquest telecom,,,,1996,,,,,telecom,,,;
2629,louis philippe,,,,1989,,,,,fashion & textile,,,;
2675,lambda therapeutic research,,,,1998,,,,,clinical research,,,;
2752,l&t water & effluent treatment,,,,0,,,,,engineering & construction,,,;
2765,lendingkart,,,,2014,,,,,fintech,,,;
2788,l&tmhi power boilers,,,,2006,,,,,industrial machinery,,,;
2812,liquidhub,,,,2001,,,,,it services & consulting,,,;
2926,l&t defence,,,,2010,,,,,defence & aerospace,,,;
2945,london stock exchange,,,,,,doll_48.97 b,doll_1.94 b,doll_0.41 b,,,,;
3042,loadshare networks,,,,2017,,,,,logistics,,,;
3070,laser power & infra,,,,1988,,,,,electrical equipment,,,;
3109,lipi data systems,,,,1993,,,,,printing & publishing,,,;
149601,lanxess,germany,,,,,,,,,,,;
3130,ltimindtree,india,,,,,doll_8.3 m,,,,,,;
3156,luxor writing instruments,,,,2001,,,,,other,,,;
3261,liberty shoes,,,,1954,,,,,fashion & textile,,,;
3317,lm wind power,,,,1940,,,,,power,,,;
3496,la-gajjar machineries,,,,1935,,,,,electronics manufacturing,,,;
67682,light & wonder,united states,,,,,,,,,,,;
56096,labcorp,united states,,,,,doll_25.02 b,,,,,,;
4007,l&t buildings & factories,,,,0,,,,,engineering & construction,,,;
4021,lapiz digital services,,,,1999,,,,,bpo,,,;
4040,li & fung,,,,1906,,,,,electrical equipment,,,;
4044,lloyd electric & engineering,,,,1989,,,,,industrial machinery,,,;
4202,logicash,,,,2010,,,,,financial services,,,;
4244,laxmi civil engineering services,,,,2000,,,,,engineering & construction,,,;
4250,leap india,,,,2013,,,,,logistics,,,;
4266,louis dreyfus commodities,,,,1997,,,,,,,,;
4310,leayan global,,,,2005,,,,,fashion & textile,,,;
4420,lalitpur power generation company,,,,2009,,,,,power,,,;
4494,lawrence & mayo,,,,1877,,,,,retail,,,;
4533,light microfinance,,,,1994,,,,,nbfc,,,;
4570,livguard,,,,2014,,,,,electronics manufacturing,,,;
4624,l and t chiyoda,,,,0,,,,,oil & gas,,,;
4653,lkq india,,,,1998,,,,,auto components,,,;
4654,l&t power transmission & distribution,,,,0,,,,,power,,,;
4704,lion engineering consultants,,,,2002,,,,,engineering & construction,,,;
4767,logicon facility management,,,,2006,,,,,facility management services,,,;
4782,l&t idpl,,,,1995,,,,,engineering & construction,,,;
4856,l&t smart world & communication,,,,0,,,,,it services & consulting,,,;
4922,limeroad,,,,2012,,,,,internet,,,;
4975,laborate pharmaceuticals,,,,1985,,,,,pharma,,,;
4984,linfox logistics,,,,1956,,,,,urban transport,,,;
92737,lam research,united states,,,,,doll_64.61 b,,,,,,;
5048,laxmi-agni components and forging,,,,1999,,,,,industrial machinery,,,;
5139,lanson toyota,,,,2000,,,,,automobile,,,;
5254,linc,,,,1976,,,,,fmcg,,,;
5332,leena powertech engineers,,,,1995,,,,,engineering & construction,,,;
5434,lester infoservices,,,,1981,,,,,bpo,,,;
5491,latentview analytics,,,,2006,,,,,it services & consulting,,,;
5505,learning links foundation,,,,2002,,,,,non-profit,,,;
5507,letstransport,,,,2015,,,,,logistics,,,;
5519,lots wholesale solutions,,,,2017,,,,,food processing,,,;
5609,lycatel bpo,,,,2006,,,,,bpo,,,;
5715,ludhiana beverages,,,,1994,,,,,beverage,,,;
5758,lee pharma,,,,1997,,,,,pharma,,,;
5810,leverage edu,,,,2017,,,,,edtech,,,;
5811,little nap recliners,,,,0,,,,,,,,;
5887,la renon healthcare,,,,2007,,,,,pharma,,,;
5899,ls cable,,,,1962,,,,,electrical equipment,,,;
5915,lakmé salon,,,,1980,,,,,beauty & personal care,,,;
5997,labdhi lifestyle,,,,2014,,,,,real estate,,,;
5998,lixil,,,,2007,,,,,building material,,,;
6034,lulu hypermarket,,,,2000,,,,,retail,,,;
6046,lanco anpara power,,,,1960,,,,,power,,,;
6092,lokmat media,,,,1971,,,,,printing & publishing,,,;
6196,legend polyfoams,,,,2000,,,,,petrochemicals,,,;
6225,loconav,,,,2015,,,,,software product,,,;
6347,lakshmikumaran & sridharan,,,,1985,,,,,legal,,,;
100872,lince soft solutions,,,,,80,,,,,,,;
6456,link group,,,,0,,,,,financial services,,,;
6573,lbf travel,,,,2010,,,,,travel & tourism,,,;
6588,lanarsy infra,,,,2003,,,,,engineering & construction,,,;
6629,lomos archilabs,,,,0,,,,,edtech,,,;
6684,livedigital marketing solutions,,,,2013,,,,,telecom,,,;
25217,lmp automotive holdings,united states,,,,,doll_81.81 m,,,,,,;
6695,l&t minerals & metals,,,,0,,,,,engineering & construction,,,;
100738,leadsquared,india,,,,,,,,,,,;
6874,laminaar aviation infotech,,,,1993,,,,,it services & consulting,,,;
