,name,country,sector,absolute_growth_rate_pct,compound_annual_growth_rate_cagr_pct,revenue_2020_euro,revenue_2017_euro,number_of_employees_2020,number_of_employees_2017,founding_year
303,dynveo,france,retail,515.99,83.31,doll_3.69m,"598,678",13,1,2010
304,favi,czech republic,ecommerce,515.51,83.26,doll_25.0m,"4,174,549",29,7,2016
305,hopkins,finland,sales & marketing,514.46,83.16,doll_4.53m,"737,936",27,4,2016
306,ap italian luxury,italy,fashion,513.48,83.06,doll_4.28m,"698,300",7,3,2016
307,novicap,uk,fintech,513.18,83.03,doll_3.38m,"551,848",45,20,2015
308,iglm store,italy,ecommerce,509.86,82.7,doll_7.79m,"1,277,410",5,1,2013
309,luis technology,germany,technology,507.97,82.51,doll_10.0m,"1,644,899",41,8,1999
310,quantexa,uk,fintech,505.07,82.22,doll_33.9m,"5,643,295",275,55,2016
311,enerbrain,italy,energy,502.79,81.99,doll_4.13m,"685,370",37,9,2014
312,brinckmann,germany,construction,502.19,81.93,doll_6.04m,"1,002,579",28,7,2013
313,lmg building,italy,construction,499.55,81.67,doll_6.26m,"1,043,440",12,6,1982
314,nordic unmanned,norway,aerospace & defence,498.36,81.55,doll_6.31m,"1,122,907",33,12,2013
315,hemisphere,france,property,493.89,81.09,doll_6.48m,"1,091,925",6,2,2017
316,therapiezentrum.com nw,germany,health,491.72,80.87,doll_2.92m,"492,860",87,23,2017
317,beauhurst,uk,technology,488.50,80.54,doll_5.36m,"916,511",82,39,2010
318,c.u.n. cargo carriers,romania,transport,488.24,80.52,doll_7.1m,"1,207,613",49,43,2017
319,mg project,italy,telecoms,487.83,80.48,doll_8.21m,"1,396,400",34,23,2016
320,bonmea,germany,retail,487.47,80.44,doll_14.6m,"2,484,783",6,3,2015
321,oceanis yachts,italy,travel & leisure,486.88,80.38,doll_3.06m,"521,250",6,2,2007
322,opus db,france,construction,486.24,80.31,doll_12.17m,"2,076,139",8,2,2016
323,devensys cybersecurity,france,technology,486.08,80.3,doll_3.4m,"580,644",27,9,2013
324,project agora,cyprus,advertising,485.69,80.26,doll_19.8m,"3,380,420",104,25,2016
325,bettertrust,germany,advertising,483.67,80.05,doll_4.98m,"853,561",19,5,2012
326,banale,italy,ecommerce,482.78,79.96,doll_2.05m,"352,000",10,3,2014
327,maatwerk online,the netherlands,sales & marketing,481.07,79.78,doll_1.67m,"287,985",17,5,2013
328,les constructeurs du bois,france,property,479.95,79.67,doll_5.09m,"877,275",6,1,2011
329,esserre pharma,italy,pharmaceuticals,479.40,79.61,doll_2.56m,"441,260",10,6,2013
330,onbuy.com,uk,ecommerce,478.83,79.55,doll_2.72m,"473,344",18,8,2014
331,gojob,france,support services,478.65,79.53,doll_40.55m,"7,007,000",108,27,2015
332,newroom,germany,retail,474.45,79.09,doll_3.67m,"638,739",10,6,2016
333,christmas the original,italy,retail,474.38,79.09,doll_1.99m,"347,190",9,3,2016
334,dimaxbau,germany,construction,473.16,78.96,doll_2.0m,"349,641",16,5,2016
335,comnovis it,germany,technology,471.65,78.8,doll_1.9m,"332,372",9,2,2013
336,die direktkontakter,germany,support services,471.60,78.8,doll_2.82m,"493,000",8,4,2016
337,mega trasporti,italy,transport,470.40,78.67,doll_18.17m,"3,185,180",400,30,2010
338,lehibou,france,technology,470.21,78.65,doll_13.82m,"2,423,113",40,9,2014
339,stufe a pellet italia,italy,interiors,469.76,78.61,doll_3.6m,"631,500",13,3,2014
340,aquis exchange,uk,financial services,469.71,78.6,doll_12.82m,"2,267,165",46,31,2012
341,chattermill,uk,technology,468.80,78.51,doll_2.31m,"408,336",50,8,2015
342,schã¶nertel,germany,construction,468.18,78.44,doll_16.39m,"2,884,392",45,10,2016
343,global work,italy,telecoms,467.98,78.42,doll_3.17m,"558,820",57,8,2011
344,allygatr,germany,support services,465.92,78.2,doll_1.91m,"338,300",9,1,2012
345,cru wine,uk,food & beverage,465.78,78.19,doll_9.24m,"1,644,134",14,3,2013
346,abc rent,italy,automobiles,462.56,77.85,doll_21.82m,"3,878,370",8,5,2004
347,superior wellness,uk,personal & household goods,461.12,77.7,doll_54.15m,"9,719,653",57,20,2011
348,schrott24,austria,waste management & recycling,460.83,77.67,doll_14.64m,"2,610,679",12,3,2016
349,mazzoni etech,italy,industrial goods,459.21,77.5,doll_2.34m,"419,240",14,3,2017
350,berdugo immobilier,france,property,458.13,77.38,doll_15.05m,"2,696,485",6,4,1996
351,nova rent,lithuania,industrial goods,456.25,77.18,doll_8.9m,"1,600,000",37,9,2016
352,rouvy,czech republic,games industry,455.45,77.1,doll_4.06m,"751,071",38,13,2013
353,business analysis & legal expertise - b.a.l.e.,italy,management consulting,452.48,76.78,doll_2.94m,"532,690",4,3,2015
354,jmb,poland,energy,452.20,76.75,doll_70.18m,"12,709,000",381,172,2000
355,nocnoc,france,travel & leisure,450.85,76.61,doll_1.6m,"289,766",13,2,2016
356,crowdproperty,uk,fintech,449.16,76.43,doll_2.94m,"539,486",33,5,2013
357,tutosâme,france,education,447.76,76.28,doll_4.99m,"910,963",42,4,2015
358,studio ekoâ,italy,management consulting,446.74,76.17,doll_1.74m,"318,370",10,4,2011
359,beings,uk,technology,444.42,75.92,doll_1.88m,"348,129",7,2,2010
360,dmrgroupltd.com,poland,chemicals & pharmaceuticals,443.14,75.78,doll_7.05m,"1,418,769",6,3,2013
361,ice telecommunications ltd,uk,telecoms,442.64,75.73,doll_16.07m,"2,982,238",119,35,2014
362,gallas group,italy,support services,441.64,75.62,doll_4.64m,"856,790",95,18,2012
363,etracom,italy,ecommerce,439.61,75.4,doll_22.95m,"4,253,600",10,4,2010
364,xalient,uk,technology,439.22,75.36,doll_26.2m,"4,893,654",88,38,2015
365,labevolution,italy,health,438.38,75.27,doll_7.26m,"1,349,250",none,5,2009
366,kuadra,italy,interiors,435.19,74.92,doll_3.4m,"635,400",20,9,2015
367,kyo electric,spain,telecoms,433.20,74.7,doll_5.4m,"1,013,181",8,3,2014
368,sopost,uk,technology,432.02,74.57,doll_7.83m,"1,481,398",32,13,2012
369,s.f.r.e.,italy,construction,431.82,74.55,doll_3.0m,"564,910",44,7,2016
370,sportstech,germany,retail,430.92,74.45,doll_108.5m,"20,436,426",262,60,2012
371,opã©ra energie,france,energy,427.38,74.06,doll_11.22m,"2,127,151",98,40,2014
372,routenote,uk,technology,427.36,74.06,doll_38.43m,"7,339,330",76,28,2010
373,doctify,uk,health,425.60,73.87,doll_2.41m,"461,671",40,26,2016
374,fruugo,uk,ecommerce,425.57,73.86,doll_21.79m,"4,176,347",67,30,2008
375,insidemarketing,germany,technology,421.70,73.44,doll_2.97m,"569,646",15,7,2012
376,falzi,italy,waste management & recycling,420.34,73.29,doll_2.04m,"391,540",11,2,2013
377,atrys health,spain,health,420.23,73.27,doll_31.4m,"6,035,116",504,62,2015
378,il cantiere costruzioni,italy,construction,420.04,73.25,doll_4.3m,"826,430",4,1,2016
379,soorce,germany,support services,418.96,73.13,doll_15.64m,"3,013,629",22,13,2004
380,sortlist,belgium,technology,418.47,73.08,doll_3.4m,"655,000",85,26,2013
381,virtuslab,poland,technology,417.12,72.93,doll_12.47m,"2,635,420",234,90,2010
382,skalhuset.se,sweden,ecommerce,416.23,72.83,doll_7.34m,"1,454,711",16,5,2012
383,vipino,germany,retail,415.23,72.72,doll_11.07m,"2,148,122",26,6,2013
384,gea service,italy,waste management & recycling,411.71,72.32,doll_6.67m,"1,304,060",133,30,2015
385,gellify,italy,technology,411.64,72.31,doll_5.58m,"1,090,920",62,12,2016
386,billion dollar boy,uk,advertising,411.37,72.28,doll_13.09m,"2,577,297",92,42,2014
387,westrafo,italy,energy,406.66,71.75,doll_22.07m,"4,356,500",58,19,2014
388,goboony,the netherlands,travel & leisure,404.97,71.56,doll_1.72m,"340,309",21,10,2015
389,multiservice ambrosiana,italy,support services,404.13,71.47,doll_4.27m,"846,360",180,60,2016
390,b&c systems,germany,construction,403.10,71.35,doll_5.34m,"1,061,327",65,16,2016
391,s&g solar,bulgaria,energy,402.58,71.29,doll_3.98m,"792,093",10,31,2014
392,bittnet,romania,management consulting,402.13,71.24,doll_22.44m,"4,641,712",120,40,2007
393,ibanfirst,belgium,fintech,400.90,71.1,doll_12.06m,"2,408,187",204,47,2013
394,uplink network,germany,telecoms,399.83,70.98,doll_28.14m,"5,629,906",46,20,2013
395,base organic food,france,agricultural commodities,399.44,70.93,doll_10.8m,"2,163,006",25,6,2015
396,currentbody,uk,ecommerce,398.90,70.87,doll_38.0m,"7,671,961",74,20,2009
397,apex aero,uk,aerospace & defence,398.70,70.85,doll_3.81m,"770,031",6,1,2016
398,startup development house,poland,technology,398.69,70.85,doll_1.51m,"303,615",59,25,2016
399,gruppo gheron,italy,health,398.15,70.79,doll_58.42m,"11,728,040",806,8,2010
400,dyflowing,italy,technology,396.92,70.65,doll_1.7m,"341,370",30,5,2016
401,digital masters,germany,advertising,396.52,70.6,doll_3.02m,"608,053",40,22,2016
402,prusseit auto-outlet,germany,automobiles,394.55,70.37,doll_2.58m,"520,998",17,3,2017
403,techouse,norway,energy,394.51,70.37,doll_31.85m,"6,863,940",72,30,2002
404,svs,italy,construction,393.21,70.22,doll_9.69m,"1,965,560",8,3,2016
405,telcoswitch group,uk,telecoms,390.55,69.91,doll_7.52m,"1,543,824",86,18,2017
406,bothe-reimann tortechnik,germany,construction,390.53,69.91,doll_2.28m,"464,354",8,3,2017
407,e-pol / personalizzalo,italy,ecommerce,389.87,69.83,doll_16.09m,"3,284,400",12,8,2012
408,riluxa,spain,interiors,389.78,69.82,doll_3.43m,"700,007",18,3,2016
409,modalis,france,transport,389.56,69.8,doll_19.17m,"3,915,724",8,6,2002
410,olympp,france,technology,388.82,69.71,doll_5.51m,"1,127,652",27,8,2016
411,zeck fishing,germany,retail,385.68,69.35,doll_6.81m,"1,401,463",25,4,2013
412,storpool storage,bulgaria,technology,385.16,69.29,doll_3.31m,"681,460",25,16,2011
413,vimcar,germany,technology,383.45,69.09,doll_14.67m,"3,035,269",164,72,2013
414,joannes distribution sas,france,retail,381.19,68.83,doll_7.06m,"1,468,200",8,5,2011
415,sourcing force,france,technology,380.80,68.78,doll_12.81m,"2,663,699",30,8,2011
416,schalttechnik nord,germany,technology,380.13,68.7,doll_12.49m,"2,601,157",60,16,2000
417,dgc,germany,cyber security,378.99,68.57,doll_1.58m,"329,298",27,5,2015
418,superprof,france,education,375.90,68.2,doll_10.17m,"2,136,626",202,28,2013
419,improveasy,uk,management consulting,375.47,68.15,doll_26.45m,"5,602,132",48,12,2011
420,viarã©no,france,construction,375.30,68.13,doll_6.94m,"1,459,655",30,8,2014
421,cmt,slovakia,waste management & recycling,373.76,67.95,doll_1.95m,"411,858",19,10,2013
422,rets,poland,property,373.42,67.91,doll_5.21m,"1,201,964",97,31,2014
423,mubi,uk,media,373.09,67.87,doll_18.36m,"3,954,351",104,33,2007
424,dynamicom education,italy,education,372.95,67.86,doll_9.02m,"1,906,790",27,3,2001
425,touch4it,slovakia,technology,371.54,67.69,doll_2.06m,"437,747",47,25,2015
426,tattahome.com,italy,interiors,369.96,67.5,doll_2.8m,"595,800",8,4,1986
427,speechmatics,uk,technology,368.02,67.27,doll_7.16m,"1,541,070",90,37,2006
428,samy road,spain,advertising,367.32,67.19,doll_19.46m,"4,163,750",118,20,2012
429,prometeo,italy,support services,367.12,67.16,doll_3.58m,"766,510",9,6,2006
430,dialectica,uk,management consulting,366.38,67.08,doll_17.08m,"3,688,264",260,65,2015
431,wolf & badger,uk,ecommerce,365.87,67.01,doll_11.6m,"2,508,842",62,32,2009
432,eco co2,france,support services,365.14,66.93,doll_9.22m,"1,982,251",94,28,2009
433,lakã³gã©p kft.,hungary,construction,364.94,66.9,doll_25.34m,"6,328,462",20,3,2011
434,beyer betonwaren,germany,construction,364.90,66.9,doll_2.06m,"443,694",20,9,2017
435,fill up mã©dia,france,media,362.48,66.61,doll_5.0m,"1,081,079",42,12,2011
436,zara imballaggi fabriano,italy,industrial goods,362.41,66.6,doll_2.3m,"496,790",6,4,1984
437,cd projekt,poland,games industry,361.78,66.52,doll_468.26m,"110,835,763",1177,744,1994
438,vpace bikes,germany,retail,361.24,66.46,doll_2.64m,"573,145",10,1,2015
439,tooltester,spain,sales & marketing,361.17,66.45,doll_3.65m,"790,712",6,0,2014
440,bunker partner,estonia,energy,361.12,66.45,doll_101.73m,"22,060,642",7,2,2015
441,tikamoon,france,ecommerce,360.01,66.31,doll_56.12m,"12,200,275",130,40,2006
442,s.t.a.r. digital,croatia,advertising,359.98,66.31,doll_3.21m,"699,907",8,10,2013
443,funding options,uk,fintech,359.62,66.26,doll_5.92m,"1,297,717",62,29,2011
444,isimed,italy,health,359.61,66.26,doll_4.83m,"1,050,660",14,8,2014
445,"sonar, sonarqube, sonarcloud, sonarlint",switzerland,technology,358.59,66.14,doll_83.63m,"16,861,349",195,50,2008
446,scherer,germany,support services,358.37,66.11,doll_4.29m,"934,994",30,4,2016
447,mycroclean italia,italy,support services,357.44,66.0,doll_3.37m,"736,000",24,14,2002
448,piscor,italy,ecommerce,356.25,65.86,doll_4.84m,"1,061,360",16,8,2015
449,marwincar,italy,automobiles,356.21,65.85,doll_5.08m,"1,114,200",3,1,2016
450,brighton & hove albion football club,uk,travel & leisure,355.67,65.79,doll_148.51m,"32,824,451",1038,288,1993
451,inpe transport,bulgaria,transport,355.58,65.78,doll_1.82m,"398,676",60,5,2015
452,rtb house,poland,technology,355.45,65.76,doll_191.6m,"45,981,552",773,266,2013
453,obiz,france,media,353.69,65.55,doll_15.38m,"3,389,300",38,27,2010
454,vmway,italy,technology,351.01,65.22,doll_15.9m,"3,525,720",70,33,2012
455,legimi,poland,media,350.96,65.21,doll_7.01m,"1,698,358",12,8,2009
456,msg beauty,germany,retail,350.83,65.2,doll_2.91m,"645,633",11,5,2011
457,leogra trading,germany,retail,350.12,65.11,doll_5.08m,"1,128,243",11,4,2014
458,benefind,italy,technology,347.56,64.8,doll_2.26m,"505,520",32,10,2012
459,ab oil & gas service,italy,support services,347.12,64.74,doll_2.31m,"516,640",13,5,2017
460,mailtrack,spain,technology,344.41,64.41,doll_3.45m,"775,341",23,14,2013
461,bumper,uk,fintech,343.11,64.25,doll_3.39m,"771,504",33,15,2013
462,otl - online trainer,germany,health,342.81,64.21,doll_6.61m,"1,492,190",46,22,2015
463,macingo technologies,italy,support services,342.52,64.18,doll_1.6m,"361,790",17,9,2014
464,mycs,germany,retail,340.45,63.92,doll_39.36m,"8,935,361",210,120,2014
465,audience serv,germany,advertising,339.50,63.8,doll_6.11m,"1,389,534",92,23,2008
466,start,italy,telecoms,339.50,63.8,doll_3.77m,"857,590",8,4,2012
467,mvh media,the netherlands,sales & marketing,338.88,63.73,doll_2.39m,"544,943",29,8,2010
468,pure gaming,france,ecommerce,338.29,63.65,doll_6.98m,"1,593,667",2,1,2010
469,parcel compare,uk,transport,337.44,63.55,doll_9.09m,"2,091,995",8,4,1998
470,ames centro polidiagnostico strumentale,italy,health,337.37,63.54,doll_40.39m,"9,235,130",81,71,1979
471,arcadia italia,italy,energy,337.22,63.52,doll_3.25m,"743,130",6,1,2016
472,zia lucia,uk,restaurants,336.69,63.45,doll_4.85m,"1,119,494",43,16,2016
473,travaglini costruzioni,italy,construction,333.49,63.05,doll_4.6m,"1,062,010",37,16,1952
474,versa design zycle,spain,technology,331.97,62.86,doll_9.5m,"2,199,640",81,10,2008
475,maucher consult,germany,construction,331.77,62.84,doll_1.95m,"452,091",15,5,2016
476,ayes,italy,technology,331.20,62.76,doll_10.83m,"2,510,930",137,51,2015
477,brandup group,italy,advertising,331.08,62.75,doll_2.72m,"630,660",5,1,2016
478,opyn,italy,financial services,329.74,62.58,doll_4.17m,"969,930",19,11,2012
479,var capital,uk,financial services,329.62,62.57,doll_2.13m,"499,815",8,4,2014
480,storyterrace,uk,technology,329.00,62.49,doll_2.84m,"667,467",25,9,2017
481,blubit,slovenia,technology,328.98,62.48,doll_2.96m,"691,140",22,8,2009
482,zenâup,france,insurance,328.62,62.44,doll_1.89m,"441,271",9,9,2014
483,lã¶rcher bauunternehmen,germany,construction,328.53,62.43,doll_3.93m,"917,735",25,17,2001
484,barcode architects,the netherlands,architecture,327.77,62.33,doll_4.85m,"1,134,256",62,23,2010
485,top chaleur,france,retail,326.52,62.17,doll_7.26m,"1,702,165",27,9,2002
486,seingim,italy,construction,326.09,62.12,doll_13.48m,"3,163,540",160,52,1999
487,amphibian scaffolding,uk,construction,325.82,62.08,doll_4.01m,"948,813",49,21,2008
488,beliani,liechtenstein,ecommerce,325.61,62.06,doll_93.44m,"20,298,288",551,205,2009
489,hatstore,sweden,ecommerce,325.42,62.03,doll_17.45m,"4,195,789",45,17,2011
490,carpenteria martino,italy,construction,325.19,62.0,doll_9.72m,"2,286,000",27,19,2006
491,capitalontap,uk,fintech,324.99,61.98,doll_82.24m,"19,489,369",147,61,2012
492,netguru,poland,technology,324.26,61.89,doll_34.68m,"8,933,769",637,199,2008
493,fazio,italy,retail,322.41,61.65,doll_3.38m,"799,170",7,6,2014
494,grillfã¼rst,germany,retail,322.06,61.61,doll_38.6m,"9,145,411",84,37,2010
495,dealernet,italy,automobiles,320.92,61.46,doll_22.7m,"5,394,020",18,14,2017
496,alpha real estate,germany,property,319.89,61.33,doll_119.16m,"28,378,990",57,14,2013
497,appwise,belgium,technology,319.07,61.22,doll_4.55m,"1,084,812",74,12,2013
498,convert group,greece,technology,318.77,61.18,doll_2.79m,"666,118",55,17,2014
499,revolution race,sweden,ecommerce,318.30,61.12,doll_89.33m,"21,841,341",65,17,2013
500,gong galaxy,france,retail,318.01,61.09,doll_11.32m,"2,708,258",40,11,2009
501,gdr costruzioni,italy,construction,317.99,61.09,doll_1.57m,"376,440",8,8,2011
502,emporio elettrico,italy,ecommerce,317.84,61.07,doll_1.98m,"473,640",4,1,2015
503,exscientia ai,uk,technology,317.63,61.04,doll_10.81m,"2,606,296",87,15,2012
504,featurespace,uk,fintech,316.08,60.84,doll_23.5m,"5,688,822",324,128,2005
505,xl energies,france,energy,315.16,60.72,doll_8.36m,"2,013,403",11,3,2016
506,claveria,spain,support services,314.56,60.64,doll_4.72m,"1,137,450",43,20,2015
507,timberagents,germany,retail,313.98,60.57,doll_5.3m,"1,280,989",4,3,2010
508,fermeture econâhome,france,construction,312.82,60.42,doll_1.86m,"451,196",30,2,2012
509,nrse,sweden,management consulting,309.97,60.05,doll_3.27m,"815,449",70,20,2014
510,simwert,germany,telecoms,309.05,59.93,doll_26.39m,"6,450,759",21,16,2011
511,flex legal,uk,law,308.66,59.88,doll_4.32m,"1,064,498",24,2,2015
512,documaster,norway,technology,308.41,59.85,doll_3.33m,"868,552",41,15,2010
513,immo-team allgã¤u,germany,construction,308.37,59.84,doll_21.97m,"5,381,108",4,1,2014
514,creditshelf,germany,financial services,307.62,59.74,doll_4.9m,"1,201,900",57,17,2014
515,blife,italy,food & beverage,306.70,59.62,doll_4.13m,"1,016,480",10,7,2016
516,nohup,italy,technology,306.29,59.57,doll_4.79m,"1,177,860",18,9,2004
517,noctuai,poland,technology,306.22,59.56,doll_2.44m,"657,377",56,17,2012
518,ares,germany,industrial goods,305.80,59.5,doll_14.0m,"3,450,000",96,47,2013
519,moonpig group,uk,ecommerce,305.66,59.49,doll_411.39m,"102,139,979",399,242,2000
520,wealth club,uk,financial services,304.87,59.38,doll_6.77m,"1,685,348",22,15,2016
521,factory,france,property,304.26,59.3,doll_12.61m,"3,119,000",25,4,2016
522,beck ingredients,spain,health,303.81,59.24,doll_7.53m,"1,865,319",6,2,2016
523,mentors & partners group,hungary,management consulting,303.44,59.19,doll_1.82m,"524,552",3,3,2010
524,sb supply,the netherlands,ecommerce,303.38,59.19,doll_4.36m,"1,081,844",9,4,2011
525,mediaboard,czech republic,media,302.65,59.09,doll_2.24m,"572,798",24,8,2015
526,dw trans,france,transport,302.41,59.06,doll_9.49m,"2,357,096",80,20,2012
527,nacelexpert,france,industrial goods,301.53,58.94,doll_2.73m,"679,247",4,2,2006
528,keylight,germany,technology,301.43,58.93,doll_3.5m,"871,779",31,14,2015
529,technacy,italy,technology,301.40,58.92,doll_3.06m,"762,200",13,3,2011
530,genoskin,france,chemicals & pharmaceuticals,300.97,58.87,doll_2.81m,"700,823",25,12,2011
531,payment assist,uk,fintech,297.51,58.41,doll_5.99m,"1,518,678",21,12,2013
532,my boo,germany,retail,297.47,58.4,doll_4.71m,"1,184,000",65,14,2013
533,84codes.com,sweden,technology,297.46,58.4,doll_12.12m,"3,118,698",25,11,2012
534,klg liquida,germany,chemicals & pharmaceuticals,297.29,58.38,doll_5.03m,"1,267,224",20,6,2013
535,ignimission,france,technology,297.08,58.35,doll_2.28m,"574,323",35,8,2011
536,adamant bionrg,italy,energy,297.06,58.35,doll_118.0m,"29,718,000",7,4,2013
537,xplort,uk,interiors,296.93,58.33,doll_2.25m,"571,513",5,2,2015
538,bambridge accountants,uk,financial services,296.71,58.3,doll_3.37m,"855,283",12,7,2010
539,g2park,slovakia,property,295.97,58.2,doll_2.9m,"732,924",13,7,2016
540,pelizzari studio,italy,architecture,295.97,58.2,doll_2.63m,"663,100",5,2,2014
541,postex,the netherlands,technology,293.41,57.86,doll_5.25m,"1,334,213",9,4,2014
542,consorzio stabile ambientemilia,italy,waste management & recycling,291.25,57.57,doll_9.75m,"2,492,730",5,5,2013
543,yocabeâ,italy,ecommerce,290.92,57.53,doll_3.29m,"842,600",12,6,2016
544,chez nestor,france,property,290.88,57.52,doll_8.56m,"2,189,720",33,19,2012
545,mint italia,italy,transport,288.59,57.22,doll_2.42m,"621,500",9,2,2016
546,sendcloud,the netherlands,ecommerce,288.44,57.2,doll_81.78m,"21,052,232",233,27,2012
547,datakey software engineering,italy,technology,288.19,57.16,doll_1.9m,"488,940",10,6,2008
548,metaminds,romania,cyber security,287.56,57.08,doll_32.1m,"8,605,113",41,21,2015
549,time vision,italy,education,287.38,57.05,doll_2.79m,"721,090",29,11,2012
550,werksrã¤der24,germany,automobiles,287.21,57.03,doll_14.9m,"3,847,000",36,16,2013
551,fod mobility group,uk,technology,286.81,56.98,doll_13.31m,"3,465,675",70,35,2008
552,selferg,italy,energy,285.39,56.78,doll_2.05m,"531,960",60,10,2007
553,poppri fashion auctions,lithuania,ecommerce,284.74,56.7,doll_13.03m,"3,386,414",94,45,2012
554,vizion network,uk,automobiles,284.49,56.66,doll_117.82m,"30,862,156",194,156,2008
555,beyond law group*,uk,law,284.10,56.61,doll_8.23m,"2,159,010",66,27,2017
556,eda warehousing,germany,transport,284.03,56.6,doll_4.57m,"1,190,000",14,13,2014
557,bpv,germany,telecoms,283.29,56.5,doll_22.7m,"5,923,571",90,45,2013
558,ultra premium direct,france,agricultural commodities,283.21,56.49,doll_20.78m,"5,422,583",81,29,2013
559,afr-ix telecom,spain,telecoms,283.01,56.46,doll_9.93m,"2,593,649",24,12,2013
560,blue energy,poland,cyber security,282.71,56.42,doll_4.53m,"1,293,181",44,28,2010
561,câjuste paris,france,retail,282.63,56.41,doll_2.4m,"628,388",15,5,2013
562,sos-accessoire,france,ecommerce,281.74,56.29,doll_14.69m,"3,848,262",44,13,2007
563,hannes kã¶nig,germany,construction,281.19,56.21,doll_8.75m,"2,295,632",27,18,2017
564,zanatta media group,germany,advertising,280.58,56.13,doll_8.38m,"2,202,906",9,6,2007
565,wastepack,uk,waste management & recycling,280.36,56.1,doll_22.37m,"5,924,389",20,18,1997
566,radar consulting italia,italy,support services,279.04,55.92,doll_1.58m,"416,960",17,7,2010
567,agriconomie,france,agricultural commodities,278.58,55.86,doll_37.25m,"9,838,779",53,32,2014
568,anytech365,spain,technology,275.94,55.49,doll_18.74m,"4,985,758",364,187,2014
569,cladspray solutions,uk,construction,275.83,55.48,doll_1.86m,"499,484",12,4,2013
570,im global partner,france,financial services,274.90,55.35,doll_31.46m,"8,392,541",50,10,2015
571,confinvest,italy,precious metals,274.52,55.3,doll_41.13m,"10,982,110",6,2,1983
572,ethic technology,france,technology,274.15,55.24,doll_8.34m,"2,229,273",3,2,2012
573,bomax,italy,telecoms,273.47,55.15,doll_71.29m,"19,088,830",7,6,2001
574,kk-trade,germany,retail,273.12,55.1,doll_4.38m,"1,174,770",15,4,2017
575,marsapet,germany,retail,273.03,55.09,doll_3.96m,"1,061,642",26,4,2015
576,gruppo tera,italy,ecommerce,272.54,55.02,doll_20.22m,"5,428,300",16,8,2015
577,codiceplastico,italy,technology,272.18,54.97,doll_3.07m,"824,450",14,7,2009
578,tremend,romania,technology,272.13,54.96,doll_20.68m,"5,772,716",426,185,2005
579,doofinder,spain,technology,271.97,54.94,doll_6.59m,"1,771,758",61,17,2010
580,hostinger,lithuania,technology,271.81,54.92,doll_25.86m,"6,955,394",780,80,2004
581,catalyx,switzerland,sales & marketing,271.64,54.9,doll_6.54m,"1,627,160",39,9,2013
582,harness code,bulgaria,sales & marketing,270.79,54.78,doll_2.22m,"599,612",9,6,2016
583,nanoprom chemicals,italy,chemicals & pharmaceuticals,270.68,54.76,doll_2.78m,"749,940",17,5,2014
584,elite,spain,construction,270.39,54.72,doll_10.06m,"2,716,240",49,27,2012
585,appunite,poland,technology,268.98,54.53,doll_4.42m,"1,310,532",119,26,2012
586,eskalia et nakupenda,france,retail,268.92,54.52,doll_1.52m,"410,775",7,2,2006
587,lgx logistics,germany,transport,268.20,54.42,doll_8.07m,"2,191,733",12,3,2006
588,polipop,portugal,industrial goods,268.16,54.41,doll_3.35m,"910,392",22,11,2015
589,stampasi,italy,ecommerce,268.08,54.4,doll_2.54m,"691,110",10,1,2016
590,cam,italy,industrial goods,268.05,54.4,doll_12.28m,"3,336,600",67,45,1984
591,plug in digital,france,media,267.75,54.35,doll_13.77m,"3,743,740",37,12,2012
592,predica,poland,technology,267.32,54.29,doll_17.59m,"5,233,937",241,82,2009
593,ocean transport,spain,transport,266.84,54.23,doll_4.78m,"1,304,073",19,2,2009
594,serinus,uk,energy,265.81,54.08,doll_19.65m,"5,474,802",75,103,1997
595,demv deutscher maklerverbund,germany,financial services,264.32,53.87,doll_5.01m,"1,375,943",50,20,2009
596,sti norland,spain,energy,263.37,53.74,doll_199.82m,"54,990,779",221,53,1996
597,hd elektrotechnik,germany,technology,263.34,53.73,doll_4.21m,"1,158,042",76,27,2011
598,engenie group,italy,technology,262.60,53.63,doll_2.03m,"558,480",9,1,2017
599,groupe n.a.t,france,support services,261.42,53.46,doll_4.18m,"1,156,596",64,25,2016
600,la sarraz pictures,italy,media,260.90,53.39,doll_1.51m,"419,430",5,2,2015
601,smart-planet,germany,retail,260.22,53.29,doll_4.6m,"1,276,483",9,5,2016
602,sidea group,italy,management consulting,260.17,53.29,doll_2.43m,"674,560",49,8,2015
603,couteaujaponais.com,france,retail,259.83,53.24,doll_4.58m,"1,272,558",17,5,2004
604,physidia,france,health,259.66,53.21,doll_16.75m,"4,656,191",58,20,2010
605,horando deutschland,germany,retail,259.32,53.17,doll_8.11m,"2,257,390",3,2,2013
606,"diablochairs, jan nowak",poland,ecommerce,259.15,53.14,doll_21.52m,"6,549,376",79,22,2004
607,parkster,sweden,technology,258.92,53.11,doll_55.14m,"15,711,602",28,16,2011
608,biotyfull,france,ecommerce,258.88,53.1,doll_20.25m,"5,642,145",13,5,2015
609,bioksan,spain,food & beverage,258.30,53.02,doll_5.91m,"1,650,756",51,14,2014
610,trippel,norway,support services,258.05,52.98,doll_3.06m,"910,070",118,37,1999
611,yourparkingspace limited,uk,technology,257.60,52.92,doll_13.86m,"3,904,618",32,15,2013
612,carslift,france,automobiles,257.42,52.89,doll_2.23m,"622,989",35,1,2012
613,zimmerei nordmann,germany,construction,257.35,52.89,doll_2.07m,"580,537",11,5,2009
