,name,country,sector,absolute_growth_rate_pct,compound_annual_growth_rate_cagr_pct,revenue_2020_euro,revenue_2017_euro,number_of_employees_2020,number_of_employees_2017,founding_year
22,pegaso security,italy,support services,"3,943.64",243.23,doll_8.38m,"207,120",509,20,2017
23,tide,uk,fintech,"3,801.56",239.17,doll_16.14m,"416,562",581,72,2016
24,euro top brand,italy,retail,"3,726.04",236.96,doll_13.89m,"363,010",1,1,2017
25,bold security group,uk,support services,"3,356.60",225.75,doll_6.24m,"181,772",26,6,2011
26,play magnus group,norway,games industry,"2,967.63",213.04,doll_6.46m,"214,673",140,10,2013
27,blue whale growth fund,uk,financial services,"2,957.41",212.69,doll_5.19m,"170,950",7,1,2016
28,kazidomi,belgium,ecommerce,"2,950.29",212.45,doll_8.04m,"263,663",65,3,2016
29,sun finance,latvia,fintech,"2,899.26",210.7,doll_121.31m,"4,044,537",800,90,2012
30,credimi,italy,financial services,"2,859.83",209.33,doll_11.3m,"381,830",56,21,2015
31,sirplus,germany,retail,"2,828.22",208.23,doll_4.54m,"155,043",133,8,2017
32,aihr | academy to innovate hr,the netherlands,education,"2,752.08",205.53,doll_3.58m,"125,682",31,6,2016
33,logistics capital partners (lcp),luxembourg,property,"2,744.13",205.25,doll_210.56m,"7,403,458",27,9,2015
34,sã¼dwest invest,germany,property,"2,660.84",202.24,doll_5.82m,"210,820",10,2,2017
35,corade (plurimmo),france,property,"2,646.07",201.7,doll_56.02m,"2,039,961",7,7,2000
36,carranco,spain,food & beverage,"2,589.10",199.6,doll_4.18m,"155,310",5,4,2006
37,telemedi,poland,health,"2,572.52",198.98,doll_4.45m,"182,100",50,10,2014
38,inkitt,germany,technology,"2,480.16",195.49,doll_5.93m,"229,713",56,22,2014
39,h.k.trading,italy,retail,"2,438.64",193.9,doll_5.72m,"225,380",2,1,2016
40,attest,uk,technology,"2,424.14",193.34,doll_4.86m,"194,090",124,16,2015
41,lgm immobilier,france,property,"2,416.78",193.05,doll_2.55m,"101,311",11,none,2016
42,wolfram chain*,the netherlands,management consulting,"2,314.21",189.02,doll_2.43m,"100,711",29,7,2017
43,rightnow,germany,technology,"2,256.98",186.72,doll_8.95m,"379,771",38,3,2017
44,eo charging,uk,technology,"2,182.00",183.64,doll_17.16m,"757,323",63,7,2014
45,chetariffa.it,italy,support services,"2,164.85",182.93,doll_2.5m,"110,200",9,2,2013
46,simply,uk,financial services,"2,131.19",181.52,doll_16.48m,"744,092",90,26,2017
47,salary finance,uk,fintech,"2,130.67",181.5,doll_8.59m,"387,995",187,24,2015
48,dbt,sweden,fintech,"2,090.34",179.79,doll_3.84m,"179,204",10,2,2017
49,tutlo,poland,education,"2,087.98",179.69,doll_7.78m,"388,565",140,15,2016
50,ponera,france,ecommerce,"2,082.38",179.45,doll_25.9m,"1,186,853",27,4,2013
51,active energy solutions,greece,energy,"1,979.82",175.01,doll_13.31m,"640,056",2,0,2014
52,acteam enr,france,energy,"1,966.73",174.43,doll_2.13m,"103,240",8,2,2012
53,everflow,uk,technology,"1,928.53",172.73,doll_64.22m,"3,188,715",70,8,2015
54,azure prism,uk,retail,"1,909.48",171.87,doll_4.75m,"238,216",1,1,2016
55,wr logistics,germany,transport,"1,892.58",171.11,doll_11.66m,"585,280",7,2,2017
56,iproov,uk,technology,"1,889.07",170.95,doll_7.44m,"376,519",61,14,2011
57,spin up,italy,advertising,"1,865.84",169.89,doll_4.01m,"203,950",5,1,2017
58,begreat,germany,retail,"1,803.65",167.01,doll_5.14m,"270,090",16,4,2012
59,tsunami nutrition*,italy,ecommerce,"1,782.11",166.0,doll_6.95m,"369,000",17,2,2017
60,matt sleeps,the netherlands,interiors,"1,729.53",163.5,doll_9.79m,"535,070",6,2,2016
61,tessian,uk,technology,"1,702.70",162.21,doll_15.37m,"858,482",138,28,2013
62,solarisbank,germany,financial services,"1,690.63",161.62,doll_35.94m,"2,007,000",369,98,2016
63,m2dg (myflexoffice),france,support services,"1,666.64",160.45,doll_6.63m,"375,323",21,2,2016
64,eukon,italy,health,"1,664.65",160.35,doll_6.39m,"362,320",11,2,2004
65,evolution adv,italy,advertising,"1,659.07",160.07,doll_14.18m,"805,870",13,3,2016
66,making science,spain,technology,"1,644.00",159.33,doll_57.67m,"3,306,795",274,47,2001
67,everli,italy,ecommerce,"1,637.55",159.01,doll_109.25m,"6,287,460",207,45,2014
68,appfollow,finland,technology,"1,624.69",158.37,doll_2.21m,"128,176",73,12,2014
69,synerise,poland,technology,"1,613.70",157.82,doll_4.0m,"255,062",190,40,2013
70,chaikola,poland,food & beverage,"1,604.74",157.37,doll_5.16m,"330,763",8,4,2010
71,scolution,germany,technology,"1,598.31",157.04,doll_1.83m,"107,492",12,4,2015
72,jl&p,france,energy,"1,586.90",156.47,doll_2.21m,"131,164",15,3,2017
73,efarma.com,italy,pharmaceuticals,"1,579.82",156.11,doll_20.15m,"1,199,580",50,8,2017
74,elvie,uk,technology,"1,561.33",155.16,doll_40.81m,"2,474,341",138,22,2013
75,farmarelax,italy,personal & household goods,"1,546.97",154.43,doll_4.46m,"270,750",5,1,2010
76,omnisend,uk,technology,"1,494.85",151.71,doll_11.76m,"742,746",99,20,2008
77,world trade group,italy,fashion,"1,459.11",149.82,doll_4.9m,"314,150",5,1,2017
78,besteam conseil,france,technology,"1,453.83",149.54,doll_3.87m,"249,176",32,2,2016
79,motorway,uk,automobiles,"1,420.90",147.76,doll_4.84m,"320,411",96,5,2016
80,iso public services,germany,technology,"1,389.24",146.03,doll_10.02m,"672,821",26,0,2014
81,octopus energy,uk,energy,"1,368.58",144.89,doll_2120.07m,"145,398,192",918,106,2015
82,cyberiam*,uk,cyber security,"1,367.04",144.8,doll_5.64m,"387,161",82,8,2017
83,cbweed*,italy,personal & household goods,"1,328.57",142.64,doll_3.5m,"245,000",17,2,2017
84,catraport,portugal,automobiles,"1,306.55",141.39,doll_7.29m,"518,613",46,18,2015
85,ouihelp,france,support services,"1,304.85",141.29,doll_3.69m,"262,421",106,13,2016
86,inpay,denmark,fintech,"1,298.53",140.93,doll_23.8m,"1,702,000",67,33,2013
87,m.g.i. meccaniche generali irpine,italy,industrial goods,"1,283.67",140.07,doll_2.61m,"188,680",10,4,2017
88,glencar construction,uk,construction,"1,269.90",139.27,doll_107.86m,"7,930,094",80,7,2016
89,qmee,uk,technology,"1,268.04",139.17,doll_12.57m,"925,527",23,9,2010
90,myappfree,italy,advertising,"1,264.72",138.97,doll_5.76m,"422,420",10,1,2015
91,investa dienstleistungen,germany,support services,"1,262.58",138.85,doll_2.18m,"159,707",55,8,2014
92,polarium energy solutions,sweden,batteries,"1,257.04",138.52,doll_74.07m,"5,581,858",58,19,2014
93,baroni home,italy,ecommerce,"1,254.32",138.36,doll_1.53m,"113,072",5,4,2016
94,dayshape,uk,technology,"1,251.43",138.19,doll_3.32m,"247,465",45,6,2013
95,marketers company,italy,advertising,"1,249.94",138.11,doll_1.88m,"139,300",8,3,2016
96,easo magno,spain,beauty,"1,242.47",137.67,doll_3.06m,"228,076",5,2,2017
97,greyfood,germany,retail,"1,241.42",137.6,doll_9.19m,"684,874",10,1,2016
98,misfits health,uk,food & beverage,"1,234.31",137.18,doll_2.27m,"171,057",9,3,2016
99,meilleursbiens.com,france,property,"1,225.70",136.67,doll_3.86m,"291,481",5,1,2010
100,fasanara capital,uk,financial services,"1,216.25",136.11,doll_11.53m,"882,099",36,5,2011
101,ntechlab,cyprus,technology,"1,214.76",136.02,doll_8.73m,"664,000",122,44,2015
102,babylino sensitive,italy,personal & household goods,"1,211.43",135.82,doll_2.85m,"217,460",5,2,2016
103,fastned,the netherlands,technology,"1,198.37",135.03,doll_6.89m,"530,667",54,24,2012
104,oxray,portugal,health,"1,179.02",133.86,doll_5.47m,"427,339",6,2,2009
105,zega invest,germany,property,"1,163.47",132.91,doll_3.79m,"299,598",4,3,2017
106,abylon consulting,hungary,technology,"1,156.25",132.47,doll_1.72m,"159,128",7,2,2016
107,milrab,norway,ecommerce,"1,151.36",132.16,doll_79.3m,"6,753,191",77,20,2005
108,urbantz,belgium,technology,"1,150.62",132.12,doll_3.03m,"242,368",55,7,2015
109,tricas construction,uk,construction,"1,148.16",131.97,doll_15.88m,"1,281,462",32,6,2017
110,florence one,italy,technology,"1,137.06",131.28,doll_1.63m,"131,691",10,6,2017
111,ergotopia,germany,retail,"1,135.70",131.19,doll_7.66m,"620,283",35,8,2014
112,mcule.com kft.,hungary,chemicals & pharmaceuticals,"1,133.10",131.03,doll_2.68m,"252,713",17,5,2011
113,filo,italy,technology,"1,132.04",130.96,doll_10.05m,"815,690",18,9,2014
114,homepal,italy,property,"1,131.09",130.9,doll_1.6m,"130,290",11,4,2014
115,staffbase,germany,technology,"1,121.82",130.32,doll_26.89m,"2,201,178",310,55,2014
116,ilon materiel,france,construction,"1,111.76",129.69,doll_2.51m,"207,327",4,2,2016
117,bio-marine,ireland,personal & household goods,"1,110.84",129.63,doll_1.61m,"133,200",25,7,2014
118,isodeco,france,construction,"1,103.81",129.18,doll_2.91m,"241,411",18,2,2016
119,treedom,italy,support services,"1,097.84",128.81,doll_6.71m,"560,150",42,18,2010
120,fenstermaxx24,germany,retail,"1,087.64",128.15,doll_8.47m,"712,855",20,3,2016
121,pohl & sã¶hne gerã¼stbau,germany,construction,"1,075.04",127.34,doll_2.12m,"180,824",31,7,2017
122,yso corp,france,media,"1,073.57",127.25,doll_6.69m,"570,012",13,3,2013
123,gyada cosmetics,italy,beauty,"1,072.49",127.18,doll_1.83m,"156,130",10,2,2017
124,privitar,uk,technology,"1,068.59",126.93,doll_9.92m,"855,321",190,47,2014
125,delineate,uk,technology,"1,065.09",126.7,doll_3.33m,"288,095",25,1,2015
126,spyrosoft,poland,technology,"1,061.67",126.48,doll_24.72m,"2,326,082",563,75,2016
127,bio energy solutions,slovakia,waste management & recycling,"1,057.21",126.19,doll_16.01m,"1,383,205",37,6,2014
128,increso,italy,management consulting,"1,049.47",125.68,doll_3.23m,"281,000",51,2,2015
129,lsg - logistic & service group,italy,transport,"1,041.38",125.15,doll_8.87m,"777,410",46,1,2016
130,energihem,sweden,construction,"1,033.39",124.63,doll_28.0m,"2,527,006",125,19,2015
131,amity,uk,technology,"1,019.79",123.72,doll_5.74m,"522,712",164,48,2012
