,link,name,country,industry,revenue,employees,founded
196,https://intouchnetworks.com/,in touch networks,united kingdom,technology,8.40,114,2013
197,https://glocalnet.jp/,glocal net,japan,telecoms,24.79,9,2016
198,http://www.wafour.com/,wafour corporation,south korea,media,2.87,11,2017
199,https://www.bomsen.co.kr/,bomsen,south korea,advertising,2.66,20,2017
200,https://www.sbworks.jp/,sbworks,japan,technology,4.26,18,2016
201,https://instasafe.com/,instasafe,india,cyber security,1.88,40,2012
202,https://crowdbank.jp/,crowd bank,japan,financial services,27.96,30,2014
203,https://sunfinance.group/,sun finance,latvia,fintech,"121,306,296",800,2012
204,https://octopus.energy,octopus energy,uk,energy,"1,376,444,096",595,2015
205,https://www.instaff.jobs_perc20,instaff & jobs,germany,support services,5.1,22,2014
206,https://www.farmermobil.de/,farmermobil,germany,industrial goods,7.47,34,2014
207,http://www.2017ad.co.kr/,ad corp.,south korea,chemicals,1.36,8,2017
208,https://www.42maru.ai/,42maru,south korea,technology,2.55,65,2015
209,https://vyaparapp.in/,vyapar,india,fintech,1.46,"2,217",2016
210,https://www.kimura-gumi.jp/,kimura,japan,construction,7.32,15,2011
211,https://www.crowdcredit.jp/,crowd credit,japan,fintech,4.43,70,2013
212,https://www.shopback.sg/,ecommerce enablers,singapore,ecommerce,28.30,465,2014
213,https://www.credimi.com/,credimi,italy,financial services,"11,301,520",56,2015
214,https://www.sirplus.de/,sirplus,germany,retail,"4,540,000",133,2017
215,https://www.kickmaker.fr,kickmaker,france,technology,"8,809,760",90,2016
216,https://www.eskimoz.fr,eskimoz,france,support services,6.0,60,2010
217,https://www.holidu.de/,holidu,germany,technology,13.12,100,2014
218,https://www.feiniko.de/,feiniko handelsgesellschaft,germany, sales & marketing ,25.60,6,2014
219,https://corp.siksinhot.com/,siksin,south korea,technology,2.84,29,2010
220,https://www.lawtalk.co.kr/,lawtalk,south korea,law,2.62,53,2012
221,https://www.imweb.me/,i’mweb,south korea,ecommerce,6.68,40,2010
222,https://mothergoose.jp/,mothergoose,japan,education,2.99,108,1994
223,https://www.classe365.com/,classe365,australia,education,1.84,19,2013
224,https://www.aihr.com/,aihr | academy to innovate hr,the netherlands,education,"3,584,553",31,2016
225,https://www.privitar.com,privitar,uk,technology,"7,004,555",122,2014
226,https://www.talea-naturkosmetik.de,tantal,germany,ecommerce,11.8,45,2003
227,https://gustavo-gusto.de/,franco fresco,germany,food & beverage,15.42,180,2014
228,https://www.solbari.com/,solbari,australia,ecommerce,3.51,16,2013
229,https://instasafe.com/,instasafe,india,technology,2.12,40,2012
230,https://www.bluewireless.com/,blue wireless,singapore,telecoms,4.38,50,2015
231,http://www.archisound.co.kr/,archisound,south korea,support services,3.46,9,2010
232,http://www.hlj.com.tw/,hlj technology,taiwan,technology,22.76,270,2001
233,https://maxkelsen.com/,max kelsen,australia,technology,3.51,24,2015
234,https://www.logisticscapitalpartners.com/,logistics capital partners (lcp),luxembourg,property,"210,563,743",27,2015
235,https://suedwest-invest.de/,südwest invest,germany,property,"5,820,402",10,2017
236,https://www.amco-shop.com,amco-bulgaria,bulgaria,retail,"6,729,216",15,2011
237,https://www.buzzoole.com,buzzoole,italy,media,4.4,65,2013
238,https://www.frameryacoustics.com,framery,finland,interiors,39.9,129,2010
239,https://www.messengerpeople.com/,messengerpeople,germany,technology,6.72,68,2015
240,https://footdistrict.com/,foot district,spain,ecommerce,5.37,18,2012
241,https://www.jcojewellery.com/,jco jewelry,singapore,ecommerce,6.13,21,2016
242,https://torana.co.jp/,torana (toysub!),japan,education,1.16,160,2015
243,https://www.wadiz.kr/,wadiz,south korea,fintech,19.12,271,2012
244,http://www.goodmonitoring.com/,goodmonitoring,south korea,support services,1.57,21,2013
245,https://redhill.world/,redhill communications,singapore,advertising,3.19,75,2014
246,http://www.jejuangeltour.com/,jeju angel car,south korea,travel & leisure,4.49,25,2013
247,https://www.plurimmo.com/,corade (plurimmo),france,property,"56,018,731",7,2000
248,https://www.carrancosl.com/,carranco,spain,food & beverage,"4,176,440",5,2006
249,https://www.eocharging.com,eo charging,uk,technology,"5,327,671",50,2015
250,https://www.metacrew.de,metacrew group,germany,advertising,14.0,52,2008
251,https://www.camptoo.com/,deelit ventures,netherlands,travel & leisure,7.06,21,2014
252,https://www.pragmastrategy.com/,pragma,singapore,cyber security,1.09,18,2016
253,https://projectcompany.co.jp/,projectcompany,japan,management consulting,10.35,40,2016
254,https://www.safegold.com/,safegold,india,financial services,56.10,42,2017
255,https://rxmxcorp.com/,rxmx,australia,technology,10.66,70,2015
256,https://tutor2you.com.au/,tutor2you,australia,education,1.73,40,2013
257,https://www.supplycart.my/,supplycart,malaysia,technology,1.86,26,2016
258,https://telemedi.com/pl/,telemedi,poland,health,"4,452,513",50,2014
259,https://www.inkitt.com/,inkitt,germany,technology,"5,926,970",56,2014
260,https://fastnedcharging.com,fastned,netherlands,technology,"6,398,000",47,2012
261,https://www.greenfroggenovate.co.uk,gf genovate*,united kingdom,energy,20.3,43,2014
262,https://idfinance.com/,id finance investments,spain,fintech,41.00,399,2015
263,https://www.getair.eu/,getair,germany,industrial goods,5.30,not found,2014
264,https://www.minfytech.com/,minfy technologies,india,technology,13.83,250,2010
265,https://m2pfintech.com/,m2p fintech,india,fintech,5.15,330,2014
266,https://www.cardoc.co.kr/,cardoc,south korea,technology,14.42,67,2014
267,https://www.northstar.co.jp/,north star management,japan,management consulting,2.76,9,2016
268,http://www.agilesoda.ai/,agilesoda,south korea,financial services,3.63,62,2015
269,https://www.zaigenkakuho.com/,hope,japan,support services,132.43,167,2005
270,https://www.kadamanitrading.it/,h.k.trading,italy,retail,"5,721,590",2,2016
271,https://footdistrict.com,foot district,spain,ecommerce,"10,393,000",40,2012
272,https://www.tenderhut.com,tenderhut,poland,technology,3.7,200,2010
273,https://www.pastbook.com/,pastbook,netherlands,ecommerce,9.16,15,2012
274,https://www.supermercato24.it/,supermercato24,italy,ecommerce,14.00,80,2014
275,http://www.motnt.kr/,ggdp,south korea,advertising,1.71,14,2017
276,https://www.excess2sell.com/,excess2sell,india,ecommerce,13.39,12,2016
277,https://www.joinreflow.com/,reflow hub,australia,technology,25.46,10,2017
278,https://www.ryukyustyle.co.jp/,ryukyu style,japan,advertising,11.79,9,2014
279,https://www.zomato.com/,zomato,india,ecommerce,5.60,not found,2010
280,https://www.askattest.com/,attest,uk,technology,"4,864,178",124,2015
281,https://www.idfinance.com,id finance investments,spain,fintech,"81,424,000",400,2015
282,https://and.digital,and digital,united kingdom,technology,20.9,234,2013
283,https://www.donatella.de/,donatella,germany,food & beverage,8.50,10,2014
284,http://www.futureplaygames.com/,futureplay*,finland,games industry,10.36,26,2015
285,https://www.sparksystems.sg/,spark systems,singapore,fintech,1.27,49,2016
286,https://www.e42.ai/,e42 (formerly nlpbots),india,technology,1.48,37,2012
287,https://airx.co.jp/,airx,japan,aerospace & defence,1.44,9,2015
288,https://www.facebook.com/princeducation/,prince education,singapore,education,1.47,8,2008
289,https://www.hivery.com/,hivery,australia,technology,3.59,33,2015
290,https://www.333sanmishopping.com/,sanmi,japan,restaurants,2.91,7,2015
291,https://www.lgm-immobilier.fr/,lgm immobilier,france,property,"2,549,778",11,2016
292,https://www.wolframchain.nl/,wolfram chain*,the netherlands,management consulting,"2,431,371",29,2017
293,http://www.nisa.services,nisa gebäudeservice,germany,construction,"4,329,710",220,2015
294,https://www.velocity.black,velocity mobile,uk,technology,"8,214,698",52,2014
295,https://www.perkbox.com,perkbox,united kingdom,technology,40.7,161,2010
296,https://www.jobandtalent.com/,jobandtalent ,spain,technology,137.60,302,2008
297,https://junglecreations.com/,jungle creations,united kingdom,media,18.08,135,2014
298,https://sqreemtech.com/,sqreem technologies,singapore,technology,5.85,175,2010
299,http://www.cogen.com.tw/,taiwan cogeneration corporation,taiwan,energy,314.83,296,1992
300,http://www.astrocorp.com.tw/,astro group,taiwan,games industry,11.99,170,1989
301,https://www.partners-re.co.jp/,partners,japan,property,40.40,70,2011
302,https://www.mwcc.jp/,microwave chemical,japan,chemicals,9.67,48,2007
303,https://techforceservices.com.au/,techforce services,australia,technology,2.53,21,2015
304,https://www.rightnow.de/,rightnow,germany,technology,"8,951,132",38,2017
305,https://www.eocharging.com/,eo charging,uk,technology,"17,158,962",63,2014
306,http://www.lmmlogistics.com,lmm logistics,italy,transport,"11,509,009",5,2015
307,https://www.kolinpharma.com,kolinpharma,italy,pharmaceuticals,4.1,22,2013
308,https://www.sinob.de/,rank_sinob,germany,retail,4.95,14,2015
309,http://www.arconkor.com/,"arcontek co., ltd.",south korea,industrial goods,1.28,11,2017
310,https://www.ad-i.com/,ad intelligence,south korea,advertising,1.75,25,2015
311,https://so-labo.co.jp/,solabo,japan,management consulting,4.80,50,2015
312,https://coringmalaysia.com/,sonicon construction,malaysia,construction,1.28,26,2016
313,https://www.inglewood.co.jp/,inglewood,japan,ecommerce,102.55,140,2005
314,https://www.paidy.com/,paidy,japan,fintech,12.88,131,2008
315,https://chetariffa.it/,chetariffa.it,italy,support services,"2,495,860",9,2013
316,http://www.gustavogusto.com,franco fresco,germany,food & beverage,"31,334,340",202,2016
317,https://www.anytech365.com,anteco systems,spain,technology,5.0,190,2014
318,https://www.global-e.com/,global-e online,united kingdom,ecommerce,37.22,179,2013
319,http://www.artience.co.kr/,artience,south korea,support services,12.22,78,2009
320,https://www.vahdamteas.com/,vahdam india,india,food & beverage,21.46,400,2015
321,https://www.increff.com/,increff,india,technology,4.68,113,2016
322,https://www.cscloud.co.jp/,cyber security cloud,japan,cyber security,7.51,30,2010
323,https://www.ga-tech.co.jp/en/,ga technologies,japan,property,355.88,314,2013
324,http://www.superoxjapan.com/,superox japan,japan,industrial goods,4.66,18,2011
325,https://simply.finance/,simply,uk,financial services,"16,483,836",90,2017
326,https://www.salaryfinance.com/uk/,salary finance,uk,fintech,"8,593,220",187,2015
327,https://www.gellify.com,gellify,italy,technology,"3,548,132",41,2016
328,https://www.kavera.de,kavera elektrotechnik,germany,technology,"3,374,120",70,2016
329,https://www.tooploox.com,tooploox,poland,technology,4.7,104,2012
330,https://www.danjohn.it/,rinah,italy,retail,19.51,5,2015
331,https://www.zealdigital.com.au/,zeal digital,australia,advertising,2.09,60,2015
332,https://www.homage.sg/,homage co,singapore,health,5.07,120,2016
333,https://www.postype.com/,postype,south korea,media,2.94,19,2016
334,https://www.hoec.com/,hoec,india,energy,25.53,100,1983
335,https://www.isprava.com/,isprava,india,construction,7.30,116,2016
336,https://www.dbt.se/,dbt,sweden,fintech,"3,837,994",10,2017
337,https://www.mg-project.com,mg project,italy,telecoms,"8,036,749",34,2016
338,https://www.musement.com/it,musement**,italy,travel & leisure,8.9,67,2013
339,https://www.domator24.com/,domator24.com,poland,personal & household goods,18.79,40,2004
340,https://company.shuuumatu-worker.jp/,shuumatsu worker,japan,support services,8.72,40,2016
341,https://www.myrewardsinternational.com/,my rewards,australia,technology,10.11,11,2000
342,https://nj-enex.co.jp/,nj-enex,japan,retail,18.62,45,2015
343,https://grain.com.sg/,grain,singapore,food & beverage,9.96,155,2014
344,https://www.indiabullsventures.com/,indiabulls ventures,india,financial services,413.91,not found,1995
345,https://www.dipongroup.com/,dipon group,india,construction,2.39,19,2008
346,https://pl.tutlo.com/,tutlo,poland,education,"7,778,203",140,2016
347,https://www.ponera.fr/,ponera,france,ecommerce,"25,901,607",27,2013
348,https://www.grover.com,grover group,germany,ecommerce,"14,934,485",103,2015
349,https://www.spotawheel.com,spotawheel,greece,automobiles,"10,335,899",86,2015
350,https://www.druck-media-service.com,dms,germany,media,14.4,18,2013
351,https://www.uplink-network.de/,uplink network,germany,telecoms,20.53,29,2013
352,https://www.trouva.com/,trouva,united kingdom,technology,11.67,80,2015
353,https://www.logi-spot.com/,logispot,south korea,transport,32.75,85,2016
354,https://www.spacecloud.kr/,spacecloud,south korea,property,2.02,22,2013
355,https://www.mycle.co.kr/,macarong factory,south korea,automobiles,1.07,20,2015
356,https://www.kinaracapital.com/,kinara capital,india,financial services,31.80,1235,2011
357,not found,"cb, ltd",japan,management consulting,9.81,10,2015
358,https://www.calleo.com.au/,calleo,australia,support services,19.63,170,2015
359,https://www.active-energy.gr/,active energy solutions,greece,energy,"13,312,033",2,2014
360,https://www.lehibou.com,le hibou,france,technology,"7,758,091",28,2016
361,https://www.oneretailgroup.com,one retail group*,united kingdom,ecommerce,16.4,12,2014
362,https://www.sta-portage.com/,sta portage (h2s),france,support services,18.40,237,2012
363,https://softwarehut.com/,softwarehut,poland,technology,4.67,200,2015
364,https://www.zairyo.com.sg/,zairyo,singapore,ecommerce,2.11,10,2014
365,https://kuji-ra.com/,kujiraterrace,japan,architecture,3.22,3,2017
366,https://gsc-corp.jp/,株式会社gsc,japan,construction,4.43,26,2014
367,https://www.pkshatech.com/,pksha technology,japan,technology,28.14,240,2012
368,https://www.interviewbit.com/practice/,interviewbit,india,education,2.15,52,2015
369,https://www.acteamenr.fr/,acteam enr,france,energy,"2,133,691",8,2012
370,https://www.everflowwater.com/,everflow,uk,technology,"64,223,085",70,2015
371,https://www.elvie.com,elvie*,uk,technology,"22,532,771",87,2013
