,name,market_cap,country,share_price,change_1_day,change_1_year,categories,company_code,earnings,revenue,shares,employees
705,Coca-cola European Partners,$24.75 B,UK,$53.92,0.43%,3.59%,['Beverages'],,,,,
706,Compagnie De Saint-gobain,$24.66 B,France,$48.11,1.56%,-26.78%,['CAC 40'],,,,,
707,United Rentals,$24.71 B,USA,$356.57,0.04%,5.05%,['Rental & Leasing Services'],,,,,
708,Dte Energy,$22.29 B,USA,$115.06,-0.91%,4.60%,"['Energy', 'Electricity', 'Utility companies']",,,,,
709,Extra Space Storage,$22.34 B,USA,$159.00,-0.66%,-22.59%,['Real estate'],,,,,
710,Huntington Bancshares,$22.30 B,USA,$15.46,-0.83%,1.51%,"['Banks', 'Financial services']",,,,,
711,Epiroc,$22.31 B,Sweden,$19.47,0.35%,-20.24%,"['Machinery manufacturing', 'Manufacturing']",,,,,
712,Ansys,$22.36 B,USA,$256.74,-1.11%,-35.02%,"['Software', 'Tech']",,,,,
713,China Resources Beer,$22.38 B,Hong Kong,$6.90,-0.92%,-13.53%,"['Alcoholic beverages', 'Beverages']",,,,,
714,Udr Apartments,$22.37 B,USA,$41.00,0.29%,-27.63%,,,,,,
715,Smic,$22.38 B,China,$1.98,-6.51%,-28.00%,"['Semiconductors', 'Tech']",,,,,
716,Arch Capital,$22.41 B,,$60.60,1.41%,43.30%,['Insurance'],,,,,
717,Cnh Industrial,$22.42 B,UK,$16.68,1.96%,-2.23%,['Specialty Vehicles'],,,,,
718,Nio,$22.49 B,China,$13.13,8.60%,-63.73%,"['Automakers', 'Electric Vehicles']",,,,,
719,Terumo,$22.44 B,Japan,$29.91,-1.79%,-26.26%,['Medical devices'],,,,,
720,Ares Management,$22.43 B,USA,$75.97,-2.60%,-8.71%,,,,,,
721,Legrand,$22.62 B,France,$83.82,-0.05%,-24.43%,['CAC 40'],,,,,
722,Principal,$22.55 B,USA,$92.18,1.39%,31.55%,"['Insurance', 'Investment', 'Financial services']",,,,,
723,Martin Marietta,$22.70 B,USA,$365.73,0.10%,-11.64%,['Building materials'],,,,,
724,Evolution Gaming,$22.70 B,Sweden,$105.56,0.31%,9.24%,"['Gambling', 'Entertainment']",,,,,
725,Seagen,$22.72 B,USA,$122.41,1.15%,-22.85%,"['Pharmaceuticals', 'Biotech']",,,,,
726,Banorte,$22.73 B,Mexico,$7.73,-1.47%,23.09%,['Financial services'],,,,,
727,Ameren,$22.76 B,USA,$88.04,-0.74%,5.78%,"['Electricity', 'Energy']",,,,,
728,Argenx,$22.74 B,Netherlands,$402.31,0.77%,36.42%,['Pharmaceuticals'],,,,,
729,Unicharm,$22.83 B,Japan,$38.49,0.53%,-10.43%,,,,,,
730,China Securities,$22.83 B,China,$3.51,-0.80%,-21.30%,,,,,,
731,Techtronic Industries,$23.01 B,Hong Kong,$12.30,-2.67%,-42.12%,"['Electronics', 'Tool manufacturers', 'Manufacturing']",,,,,
732,Delta Air Lines,$22.89 B,USA,$35.71,0.93%,-2.54%,"['Airlines', 'Travel', 'Transportation']",,,,,
733,First Republic Bank,$23.07 B,USA,$126.17,-0.93%,-41.48%,"['Banks', 'Financial services']",,,,,
734,Yankuang Energy (yanzhou Coal Mining),$23.13 B,China,$5.60,-1.77%,45.83%,"['Mining', 'Coal Mining', 'Energy']",,,,,
735,Mccormick & Company,$23.17 B,USA,$86.38,0.76%,-0.72%,['Food'],,,,,
736,Edp Renováveis,$23.16 B,Spain,$23.20,-2.57%,-5.54%,"['Energy', 'Renewable energy', 'Electricity', 'Utility companies']",,,,,
737,Hannover Rück,$23.22 B,Germany,$192.55,-0.44%,7.66%,['Insurance'],,,,,
738,Yum China,$23.21 B,China,$55.49,1.30%,10.78%,"['Food', 'Restaurant chains']",,,,,
739,Nestlé India,$23.39 B,India,$242.61,-1.49%,-6.68%,['Food'],,,,,
740,Sse,$23.28 B,UK,$21.27,-1.94%,2.36%,,,,,,
741,Goodman Group,$23.52 B,Australia,$12.51,-4.11%,-29.00%,"['Real estate', 'REITs', 'Investment']",,,,,
742,Canon,$23.48 B,Japan,$23.01,-1.41%,3.74%,"['Electronics', 'Tech', 'Tech Hardware']",,,,,
743,Rogers Communication,$23.50 B,Canada,$46.22,-1.24%,1.32%,"['Telecommunication', 'Media/Press']",,,,,
744,Adani Ports & Sez,$23.56 B,India,$10.91,-0.26%,10.76%,['Ports'],,,,,
745,Sandvik,$23.53 B,Sweden,$18.76,0.00%,-26.14%,"['Engineering', 'Machinery manufacturing', 'Manufacturing']",,,,,
746,Central Japan Railway,$23.60 B,Japan,$119.94,-1.86%,-10.96%,"['Railways', 'Transportation']",,,,,
747,Southwest Airlines,$23.60 B,USA,$39.75,-0.82%,-12.33%,"['Airlines', 'Travel', 'Transportation']",,,,,
748,Datadog,$23.72 B,USA,$74.71,-4.18%,-55.91%,"['Software', 'Internet', 'Tech']",,,,,
749,Ke Holdings,$23.67 B,China,$17.61,5.45%,-4.71%,['Real estate'],,,,,
750,Tyson Foods,$23.74 B,USA,$66.02,0.82%,-18.28%,['Food'],,,,,
751,Firstenergy,$23.73 B,USA,$41.52,0.34%,7.51%,"['Electricity', 'Energy']",,,,,
752,Agnico Eagle Mines,$23.76 B,Canada,$51.77,-0.77%,8.24%,"['Mining', 'Gold mining']",,,,,
753,Horizon Therapeutics,$23.76 B,Ireland,$104.85,3.94%,1.08%,['Pharmaceuticals'],,,,,
754,Weyerhaeuser,$23.85 B,USA,$32.42,0.43%,-15.81%,,,,,,
755,National Bank Of Canada,$23.94 B,Canada,$71.15,-0.03%,-5.60%,"['Banks', 'Financial services']",,,,,
756,Adidas,$23.88 B,Germany,$130.86,-0.53%,-54.85%,"['Footwear', 'Sports goods', 'DAX', 'Clothing']",,,,,
757,The Hartford,$24.12 B,USA,$75.84,0.28%,13.09%,"['Financial services', 'Insurance']",,,,,
758,Avalonbay Communities,$24.14 B,USA,$172.57,-0.92%,-27.62%,"['Real estate', 'Investment']",,,,,
759,Fortive,$24.14 B,USA,$68.24,0.52%,-8.09%,,,,,,
760,Ulta Beauty,$24.14 B,USA,$471.33,-0.25%,22.86%,"['Retail', 'Cosmetics and Beauty']",,,,,
761,Lindt,$24.18 B,Switzerland,"$104,219",-0.61%,-13.64%,['Food'],,,,,
762,Imperial Brands,$24.16 B,UK,$25.48,-0.82%,23.03%,['Tobacco'],,,,,
763,Ferguson,$24.24 B,UK,$116.64,-1.41%,-24.91%,,,,,,
764,Fifth Third Bank,$24.19 B,USA,$35.25,-1.45%,-19.78%,"['Banks', 'Financial services']",,,,,
765,Ck Asset Holdings,$21.33 B,Hong Kong,$5.93,-0.32%,2.60%,['Real estate'],,,,,
766,Epam Systems,$21.27 B,USA,$369.84,0.06%,-40.33%,"['Professional services', 'IT services', 'Software', 'Tech']",,,,,
767,Insulet,$21.39 B,USA,$308.06,0.02%,7.25%,['Medical devices'],,,,,
768,The Saudi British Bank,$21.38 B,Saudi Arabia,$10.41,-4.98%,31.61%,"['Banks', 'Financial services']",,,,,
769,Doordash,$21.42 B,USA,$55.19,-3.38%,-66.78%,"['Food Delivery', 'Internet', 'Food', 'Tech']",,,,,
770,Labcorp,$21.40 B,USA,$241.57,-0.08%,-17.06%,"['Pharmaceuticals', 'Biotech']",,,,,
771,Naver,$21.43 B,South Korea,$142.93,-1.07%,-57.78%,"['Internet', 'Tech']",,,,,
772,Verisign,$21.42 B,USA,$202.10,-1.21%,-16.05%,['Internet'],,,,,
773,Ppl,$21.48 B,USA,$29.18,-0.38%,3.37%,"['Electricity', 'Energy']",,,,,
774,Hewlett Packard Enterprise,$21.47 B,USA,$16.69,-0.77%,11.34%,"['Tech', 'Networking hardware']",,,,,
775,Fujifilm,$21.49 B,Japan,$53.60,-1.60%,-32.24%,['Conglomerate'],,,,,
776,Coterra Energy,$21.49 B,USA,$27.26,-0.62%,34.75%,"['Energy', 'Oil&Gas']",,,,,
777,Deutsche Bank,$21.49 B,Germany,$10.55,1.25%,-14.99%,"['Banks', 'Financial services', 'DAX']",,,,,
778,Repsol,$21.54 B,Spain,$15.40,-1.32%,34.73%,"['Oil&Gas', 'Energy']",,,,,
779,Regions Financial,$21.64 B,USA,$23.16,0.74%,2.34%,['Financial services'],,,,,
780,Telefónica,$21.61 B,Spain,$3.72,-1.33%,-11.64%,['Telecommunication'],,,,,
781,East Japan Railway,$21.65 B,Japan,$57.39,-0.28%,-3.09%,"['Railways', 'Transportation']",,,,,
782,Ck Hutchison Holdings,$21.65 B,Hong Kong,$5.65,-1.68%,-10.74%,"['Conglomerate', 'Telecommunication', 'Infrastructure', 'Ports']",,,,,
783,Komatsu,$21.65 B,Japan,$22.90,-2.35%,-1.29%,"['Manufacturing', 'Machinery manufacturing']",,,,,
784,Panasonic,$21.76 B,Japan,$9.32,-2.19%,-15.12%,"['Electronics', 'Tech', 'Tech Hardware']",,,,,
785,Zoom,$21.72 B,USA,$74.31,-4.03%,-61.25%,"['Tech', 'Internet', 'Software']",,,,,
786,Oil & Natural Gas,$21.77 B,India,$1.73,0.61%,-9.90%,"['Oil&Gas', 'Energy']",,,,,
787,Ntt Data,$21.84 B,Japan,$15.57,-1.41%,-24.78%,"['IT services', 'Professional services']",,,,,
788,Quanta Services,$21.87 B,USA,$153.07,0.88%,34.76%,['Engineering'],,,,,
789,Beigene,$21.80 B,China,$201.86,3.75%,-41.64%,['Pharmaceuticals'],,,,,
790,Ganfeng Lithium,$22.01 B,China,$11.48,-0.70%,-54.62%,['Mining'],,,,,
791,Jsw Steel,$21.99 B,India,$9.13,-0.44%,5.92%,"['Steel producers', 'Steel industry']",,,,,
792,Ingersoll Rand,$22.08 B,Ireland,$54.55,0.48%,-7.92%,,,,,,
793,Arcelormittal,$22.08 B,,$27.06,1.65%,-3.87%,"['CAC 40', 'Steel producers', 'Steel industry']",,,,,
794,Li Auto,$22.22 B,China,$22.78,6.95%,-32.82%,"['Automakers', 'Electric Vehicles']",,,,,
795,Great-west Lifeco,$22.09 B,Canada,$23.71,1.33%,-18.18%,,,,,,
796,Ericsson,$22.28 B,Sweden,$6.55,0.46%,-36.28%,"['Telecommunications equipment', 'Tech']",,,,,
797,Aker Bp,$21.09 B,Norway,$33.41,-2.74%,4.02%,"['Oil&Gas', 'Energy']",,,,,
798,Mitsubishi Electric,$21.10 B,Japan,$9.99,-2.33%,-20.84%,"['Electronics', 'Manufacturing']",,,,,
799,"M3, Inc",$21.15 B,Japan,$31.16,-0.19%,-39.80%,"['Healthcare', 'Internet', 'Tech', 'Software']",,,,,
800,Cgi,$21.12 B,Canada,$88.12,-0.69%,2.55%,['Professional services'],,,,,
801,Z Holdings,$21.16 B,Japan,$2.81,-0.50%,-56.97%,['Internet'],,,,,
802,Biomarin Pharmaceutical,$19.61 B,USA,$105.56,2.47%,24.66%,,,,,,
803,Cardinal Health,$21.20 B,USA,$80.88,2.04%,72.78%,['Healthcare'],,,,,
804,China Everbright Bank,$21.23 B,China,$0.42,-1.01%,-20.75%,"['Banks', 'Financial services']",,,,,
805,Crrc,$19.69 B,China,$0.40,-1.28%,-11.11%,,,,,,
806,Atlantia,$19.78 B,Italy,$24.16,0.00%,31.16%,,,,,,
807,Upm-kymmene,$19.83 B,Finland,$37.19,0.11%,-1.27%,['Pulp and paper'],,,,,
808,Société Générale,$19.81 B,France,$24.63,0.09%,-23.70%,"['Banks', 'Financial services', 'CAC 40']",,,,,
809,Invitation Homes,$19.86 B,USA,$32.36,0.03%,-21.72%,['Real estate'],,,,,
810,Ecopetrol,$19.87 B,,$9.66,0.10%,-28.07%,"['Oil&Gas', 'Energy']",,,,,
811,Tourmaline Oil,$19.90 B,Canada,$58.88,-1.50%,87.10%,"['Oil&Gas', 'Energy']",,,,,
812,Rollins,$19.93 B,USA,$40.48,0.22%,25.44%,,,,,,
813,Pembina Pipeline,$19.97 B,Canada,$35.95,-1.64%,20.76%,"['Oil&Gas', 'Transportation', 'Infrastructure', 'Energy']",,,,,
814,Endesa,$19.98 B,Spain,$18.88,-0.19%,-14.26%,"['Electricity', 'Utility companies', 'Energy']",,,,,
815,Nippon Paint,$20.00 B,Japan,$8.52,-1.63%,-19.77%,['Paint & Coating'],,,,,
816,Nan Ya Plastics,$20.05 B,Taiwan,$2.53,-0.64%,-16.78%,['Chemicals'],,,,,
817,Teledyne,$20.02 B,USA,$427.19,0.65%,1.32%,,,,,,
818,W. R. Berkley,$20.08 B,USA,$75.67,0.48%,-4.03%,['Insurance'],,,,,
819,Dover,$20.13 B,USA,$143.49,0.70%,-13.78%,,,,,,
820,Ferrovial,$20.17 B,Spain,$27.46,0.00%,-5.24%,"['Construction', 'Infrastructure']",,,,,
821,Vonovia,$20.23 B,Germany,$25.28,2.96%,-55.00%,"['Real estate', 'DAX', 'REITs']",,,,,
822,Church & Dwight,$20.25 B,USA,$83.07,1.01%,-8.77%,['Consumer goods'],,,,,
823,Novozymes,$20.24 B,Denmark,$60.61,0.70%,-18.82%,,,,,,
824,Tata Motors,$20.33 B,India,$26.55,-0.97%,-16.95%,['Automakers'],,,,,
825,Banco Do Brasil,$20.28 B,Brazil,$7.11,7.14%,29.27%,"['Banks', 'Financial services']",,,,,
826,Michelin,$20.38 B,France,$28.58,0.35%,-80.87%,"['Tires', 'CAC 40']",,,,,
827,Copel,$20.35 B,Brazil,$7.44,-1.72%,37.27%,,,,,,
828,Eisai,$20.40 B,Japan,$71.16,-2.25%,17.10%,['Pharmaceuticals'],,,,,
829,Paycom,$20.39 B,USA,$339.87,-1.83%,-22.59%,"['Software', 'Tech']",,,,,
830,Roblox,$20.42 B,USA,$33.99,1.80%,-70.93%,"['Video games', 'Entertainment']",,,,,
831,Anhui Conch Cement,$20.40 B,China,$3.56,-2.74%,-24.09%,"['Cement', 'Building materials']",,,,,
832,Firstrand,$20.41 B,South Africa,$3.56,-8.65%,0.28%,"['Banks', 'Financial services']",,,,,
833,Sumitomo,$20.43 B,Japan,$16.35,-1.90%,19.08%,['Investment'],,,,,
834,Cf Industries,$20.48 B,USA,$104.39,0.72%,76.04%,['Fertilizer companies'],,,,,
835,Xylem,$20.46 B,USA,$113.53,-0.24%,-5.66%,,,,,,
836,Schindler Group,$20.44 B,Switzerland,$186.44,2.59%,-28.31%,,,,,,
837,Texas Pacific Land Trust,$20.50 B,USA,"$2,601",1.65%,113.26%,,,,,,
838,China Minsheng Bank,$20.48 B,China,$0.50,-0.57%,-18.03%,,,,,,
839,Ntpc Limited,$20.51 B,India,$2.11,-0.03%,22.67%,,,,,,
840,Citizens Financial Group,$20.53 B,USA,$41.70,-0.67%,-13.25%,"['Financial services', 'Banks']",,,,,
841,Kia,$20.56 B,South Korea,$51.24,-3.06%,-26.08%,"['Automakers', 'Manufacturing']",,,,,
842,Waters Corporation,$20.63 B,USA,$347.37,0.13%,4.00%,,,,,,
843,Zto Express,$20.63 B,China,$24.98,0.48%,-20.92%,['Courier'],,,,,
844,Svenska Handelsbanken,$20.63 B,Sweden,$10.24,0.70%,-2.85%,,,,,,
845,Tesco,$20.69 B,UK,$2.68,-4.11%,-26.98%,"['Retail', 'Supermarket Chains']",,,,,
846,Tenaris,$20.79 B,,$33.93,0.03%,66.65%,"['Manufacturing', 'Steel industry']",,,,,
847,Trip.com,$20.70 B,China,$32.26,1.22%,12.13%,"['Travel', 'Internet', 'Online Travel', 'Tech']",,,,,
848,Trina Solar,$20.80 B,China,$9.59,2.06%,-10.21%,"['Manufacturing', 'Renewable energy', 'Energy']",,,,,
849,Ptt Exploration And Production,$20.88 B,Thailand,$5.26,-1.88%,50.29%,"['Oil&Gas', 'Energy']",,,,,
850,Standard Chartered,$21.09 B,UK,$7.29,-0.37%,28.12%,"['Banks', 'Financial services']",,,,,
851,Nibe Industrier,$21.05 B,Sweden,$10.19,1.16%,-26.95%,,,,,,
852,Nu Holdings,$20.89 B,Brazil,$4.46,2.29%,,"['Banks', 'Financial services']",,,,,
853,Lpl Financial,$18.76 B,USA,$235.71,1.21%,46.06%,['Financial services'],,,,,
854,China Railway Group,$18.79 B,China,$0.54,-1.41%,8.00%,['Construction'],,,,,
855,Brookfield Renewable Partners,$18.77 B,,$29.01,1.08%,-17.07%,"['Energy', 'Renewable energy', 'Electricity']",,,,,
856,Wabtec,$18.80 B,USA,$103.38,0.33%,14.24%,,,,,,
857,Hologic,$18.80 B,USA,$76.50,-0.64%,3.70%,['Medical devices'],,,,,
858,Porsche Se,$18.84 B,Germany,$61.52,1.53%,-27.44%,"['Investment', 'Financial services', 'DAX']",,,,,
859,Straumann,$18.80 B,Switzerland,$118.37,2.02%,-94.31%,['Medical devices'],,,,,
860,Powergrid Corporation Of India,$18.84 B,India,$2.70,-0.95%,-5.59%,"['Electricity', 'Infrastructure']",,,,,
861,Marathon Oil,$18.88 B,USA,$29.74,-1.16%,90.89%,"['Oil&Gas', 'Energy']",,,,,
862,Nexon,$18.92 B,Japan,$21.87,-0.58%,9.79%,"['Video games', 'Entertainment', 'Tech']",,,,,
863,Orix,$18.92 B,Japan,$80.19,-0.93%,-18.92%,"['Banks', 'Financial services']",,,,,
864,Kaō,$18.92 B,Japan,$41.45,1.94%,-19.34%,"['Cosmetics and Beauty', 'Consumer goods']",,,,,
865,J. B. Hunt,$18.93 B,USA,$182.88,0.04%,-3.81%,,,,,,
866,Grupo Bimbo,$18.96 B,Mexico,$4.28,0.90%,63.36%,['Food'],,,,,
867,Legal & General,$18.97 B,UK,$3.13,-0.16%,-16.76%,"['Asset Management', 'Investment']",,,,,
868,Sany Heavy Industry,$18.99 B,China,$2.24,-1.38%,-36.18%,,,,,,
869,Chewy,$18.98 B,USA,$44.92,1.29%,-31.94%,"['Internet', 'E-Commerce', 'Tech']",,,,,
870,Cathay Financial Holding,$19.00 B,Taiwan,$1.44,-0.34%,-33.33%,"['Financial services', 'Banks', 'Insurance']",,,,,
871,Marubeni,$19.01 B,Japan,$11.22,-2.46%,26.64%,,,,,,
872,Shanghai Airport,$19.04 B,China,$7.65,-1.00%,9.13%,"['Airports', 'Infrastructure']",,,,,
873,Wilmar International,$19.05 B,Singapore,$3.05,0.49%,2.69%,['Food'],,,,,
874,Dai-ichi Life Holdings,$19.08 B,Japan,$18.56,0.18%,-7.71%,['Insurance'],,,,,
875,Northern Trust,$19.10 B,USA,$91.66,-2.10%,-22.77%,['Financial services'],,,,,
876,Kakao,$19.14 B,South Korea,$43.84,-1.73%,-57.87%,"['Internet', 'Tech']",,,,,
877,Etsy,$19.13 B,USA,$140.49,0.79%,-43.70%,"['E-Commerce', 'Internet', 'Tech']",,,,,
878,Aes,$19.15 B,USA,$28.67,-0.17%,19.06%,"['Electricity', 'Energy']",,,,,
879,Steris,$19.15 B,Ireland,$191.91,-0.21%,-13.02%,,,,,,
880,Carlsberg,$19.21 B,Denmark,$167.97,4.25%,0.94%,"['Alcoholic beverages', 'Beverages']",,,,,
881,Steel Dynamics,$19.23 B,USA,$109.55,4.20%,83.81%,"['Steel producers', 'Steel industry']",,,,,
882,Edp Group,$19.25 B,,$4.86,0.61%,-8.30%,"['Electricity', 'Utility companies', 'Energy']",,,,,
883,Centerpoint Energy,$19.30 B,USA,$30.67,-1.16%,16.97%,"['Electricity', 'Energy']",,,,,
884,Boe Technology,$19.29 B,China,$0.51,-0.56%,-32.89%,,,,,,
885,Mahindra & Mahindra,$19.31 B,India,$15.53,-2.23%,37.19%,['Automakers'],,,,,
886,Coca-cola Femsa,$19.34 B,Mexico,$68.77,0.13%,35.27%,['Beverages'],,,,,
887,Aena,$19.39 B,Spain,$129.32,-1.17%,-13.45%,"['Airports', 'Infrastructure']",,,,,
888,H&m,$19.37 B,Sweden,$11.71,2.64%,-35.52%,"['Clothing', 'Retail']",,,,,
889,Royalty Pharma,$19.41 B,UK,$43.85,-0.43%,12.78%,"['Pharmaceuticals', 'Biotech']",,,,,
890,Fortis,$19.42 B,Canada,$40.18,-0.32%,-8.20%,"['Utility companies', 'Electricity', 'Energy']",,,,,
891,Teck Resources,$19.46 B,Canada,$37.70,-0.13%,42.00%,['Mining'],,,,,
892,Mid-america Apartment Communities,$19.49 B,USA,$164.26,0.02%,-21.01%,"['Real estate', 'REITs', 'Investment']",,,,,
893,Best Buy,$19.49 B,USA,$86.60,0.15%,-16.67%,"['Retail', 'Electronics']",,,,,
894,Centrais Electricas Brasileiras,$19.60 B,Brazil,$8.45,-4.52%,37.18%,"['Utility companies', 'Electricity', 'Energy']",,,,,
895,Molina Healthcare,$19.51 B,USA,$334.17,-0.20%,16.02%,"['Healthcare', 'Insurance']",,,,,
896,United Microelectronics,$18.68 B,Taiwan,$7.41,0.14%,-39.01%,"['Semiconductors', 'Tech']",,,,,
897,Vantage Towers,$17.52 B,Germany,$34.50,-0.06%,3.63%,"['Telecommunication', 'Infrastructure', 'Real estate']",,,,,
898,Broadridge Financial Solutions,$17.52 B,USA,$148.99,-0.58%,-14.13%,"['Professional services', 'Financial services']",,,,,
899,Cms Energy,$17.56 B,USA,$60.52,-1.45%,1.61%,"['Electricity', 'Energy', 'Utility companies']",,,,,
900,Perkinelmer,$17.58 B,USA,$139.23,-1.78%,-22.65%,"['Chemicals', 'Healthcare']",,,,,
901,Renesas Electronics,$17.64 B,Japan,$9.85,-2.90%,-20.82%,"['Electronics', 'Semiconductors', 'Tech', 'Tech Hardware']",,,,,
902,Magna International,$17.64 B,Canada,$61.30,-0.49%,-21.95%,['Automotive Suppliers'],,,,,
903,Aeon,$17.58 B,Japan,$20.77,-0.52%,-11.69%,"['Retail', 'Supermarket Chains']",,,,,
904,Mengniu Dairy,$17.66 B,China,$4.47,-1.56%,-20.60%,"['Food', 'Dairy companies']",,,,,
905,China Unicom,$17.71 B,Hong Kong,$0.58,2.27%,16.00%,['Telecommunication'],,,,,
906,Ryanair,$17.70 B,Ireland,$77.86,1.20%,-22.28%,"['Airlines', 'Travel', 'Transportation']",,,,,
907,Warner Music Group,$17.68 B,USA,$34.34,0.38%,-19.52%,['Entertainment'],,,,,
908,Air China,$17.74 B,China,$1.43,-0.79%,13.49%,"['Airlines', 'Travel', 'Transportation']",,,,,
909,Darden Restaurants,$17.80 B,USA,$145.48,-0.12%,1.70%,"['Restaurant chains', 'Food']",,,,,
910,Clp Group,$17.77 B,Hong Kong,$7.04,-3.64%,-27.94%,"['Electricity', 'Energy']",,,,,
911,Kubota,$17.77 B,Japan,$14.92,-2.43%,-30.57%,,,,,,
912,Dollarama,$17.92 B,Canada,$62.21,1.13%,42.29%,,,,,,
913,First Solar,$17.94 B,USA,$168.32,-0.13%,64.95%,,,,,,
914,Lasertec,$17.94 B,Japan,$198.96,1.00%,-25.16%,"['Semiconductors', 'Tech', 'Tech Hardware']",,,,,
915,Longfor Group,$17.93 B,China,$2.74,-5.11%,-43.97%,,,,,,
916,Factset,$17.94 B,USA,$471.15,-0.21%,0.15%,"['Financial services', 'Software', 'Tech']",,,,,
917,Chow Tai Fook,$17.97 B,Hong Kong,$1.80,-3.05%,-2.70%,"['Retail', 'Luxury goods']",,,,,
918,Alinma Bank,$17.99 B,Saudi Arabia,$9.00,-2.03%,49.75%,"['Banks', 'Financial services']",,,,,
919,Monolithic Power Systems,$17.98 B,USA,$383.21,0.30%,-30.89%,"['Electronics', 'Tech', 'Tech Hardware', 'Semiconductors']",,,,,
920,Sgs,$18.02 B,Switzerland,"$2,406",0.49%,-22.29%,,,,,,
921,Mitsubishi Estate,$18.01 B,Japan,$13.62,-2.74%,-2.71%,['Real estate'],,,,,
922,Essity,$18.03 B,Sweden,$25.57,1.17%,-18.46%,,,,,,
923,Ajinomoto,$18.03 B,Japan,$33.61,0.27%,13.05%,['Food'],,,,,
924,Wheaton Precious Metals,$18.04 B,Canada,$39.65,-1.17%,-1.07%,"['Mining', 'Silver Mining', 'Gold mining']",,,,,
925,Markel,$18.07 B,USA,"$1,344",-0.06%,9.91%,"['Insurance', 'Investment']",,,,,
926,Garmin,$18.07 B,Switzerland,$94.32,-0.04%,-29.63%,,,,,,
927,West Pharmaceutical,$18.08 B,USA,$244.35,0.96%,-44.13%,"['Pharmaceuticals', 'Packaging']",,,,,
928,Shiseido,$18.16 B,Japan,$45.46,1.16%,-20.59%,"['Consumer goods', 'Cosmetics and Beauty']",,,,,
929,Saudi Arabian Fertilizer Company,$18.19 B,Saudi Arabia,$38.22,-0.42%,-15.27%,['Fertilizer companies'],,,,,
930,Čez Group,$18.19 B,,$33.89,-0.92%,2.32%,"['Electricity', 'Oil&Gas', 'Energy']",,,,,
931,Ubiquiti,$18.17 B,USA,$300.80,0.37%,-1.21%,"['Electronics', 'Networking hardware', 'Tech Hardware']",,,,,
932,Idex,$18.23 B,USA,$241.84,0.46%,5.97%,,,,,,
933,Conagra Brands,$18.26 B,USA,$38.12,0.77%,23.05%,['Food'],,,,,
934,Take 2 Interactive,$18.25 B,USA,$108.76,2.22%,-32.61%,"['Video games', 'Esports', 'Entertainment', 'Tech']",,,,,
935,Otsuka Holdings,$18.30 B,Japan,$33.75,-2.87%,-5.59%,"['Pharmaceuticals', 'Biotech']",,,,,
936,George Weston,$18.33 B,Canada,$126.67,0.60%,17.46%,['Food'],,,,,
937,Exor,$18.40 B,Netherlands,$80.27,0.98%,-8.92%,['Investment'],,,,,
938,Swedbank,$18.39 B,Sweden,$16.38,-1.14%,-19.55%,"['Banks', 'Financial services']",,,,,
939,Expeditors,$18.38 B,USA,$115.52,0.23%,-5.77%,['Transportation'],,,,,
940,Sun Communities,$18.45 B,USA,$146.08,-0.69%,-25.11%,"['Real estate', 'Investment', 'REITs']",,,,,
941,Mitsui Fudosan,$18.45 B,Japan,$19.46,-3.17%,-7.29%,['Real estate'],,,,,
942,Incyte,$18.49 B,USA,$83.13,3.04%,24.76%,,,,,,
943,Ventas,$18.48 B,USA,$46.24,-0.28%,-1.62%,['Real estate'],,,,,
944,Kyocera,$18.53 B,Japan,$51.64,-1.01%,-15.02%,,,,,,
945,China Tower,$18.53 B,China,$0.11,-1.20%,-8.33%,"['Telecommunication', 'Infrastructure']",,,,,
946,Veolia,$18.59 B,France,$26.31,1.13%,-18.27%,"['CAC 40', 'Waste & Recycling']",,,,,
947,Clorox,$18.59 B,USA,$150.68,0.55%,-9.49%,['Consumer goods'],,,,,
948,Celltrion,$18.53 B,South Korea,$134.07,-2.52%,-25.91%,['Pharmaceuticals'],,,,,
949,Formosa Plastics,$18.59 B,Taiwan,$2.92,-1.76%,-22.13%,['Chemicals'],,,,,
950,Amcor,$18.61 B,Switzerland,$12.50,0.97%,8.89%,['Packaging'],,,,,
951,Zscaler,$18.60 B,USA,$128.99,-10.73%,-61.14%,"['Software', 'Tech', 'IT security']",,,,,
952,Rocket Companies,$16.71 B,USA,$8.41,-1.52%,-47.07%,"['Real estate', 'Financial services']",,,,,
953,Swedish Match,$16.64 B,Sweden,$10.95,-0.09%,54.66%,['Tobacco'],,,,,
954,Check Point Software,$16.73 B,Israel,$133.48,-0.76%,20.12%,"['Software', 'Tech', 'IT security']",,,,,
955,Cp All,$16.76 B,Thailand,$1.87,-1.52%,7.47%,,,,,,
956,Guotai Junan Securities,$16.78 B,China,$2.01,0.00%,-24.72%,"['Financial services', 'Banks', 'Investment']",,,,,
957,First Quantum Minerals,$16.77 B,Canada,$24.22,1.34%,12.03%,['Mining'],,,,,
958,Tata Steel,$16.80 B,India,$1.38,1.13%,-90.69%,"['Steel producers', 'Steel industry']",,,,,
959,The Mosaic Company,$16.78 B,USA,$49.31,0.43%,42.35%,['Fertilizer companies'],,,,,
960,Ems-chemie,$16.78 B,Switzerland,$717.57,0.83%,-25.52%,['Chemicals'],,,,,
961,Publicis Groupe,$16.80 B,France,$66.58,-0.28%,3.05%,"['CAC 40', 'Advertising', 'Professional services']",,,,,
962,Hydro One,$16.80 B,Canada,$28.07,0.85%,14.06%,"['Electricity', 'Utility companies', 'Energy']",,,,,
