,name,market_cap,country,share_price,change_1_day,change_1_year,categories,company_code,earnings,revenue,shares,employees
41129,Aeterna Zentaris,$17.75 M,USA,$3.58,,,,AEZS,,,,
41130,Kingstone Companies,$17.73 M,USA,$1.66,,,,KINS,,,,
41131,CarLotz,$17.71 M,USA,$0.15,,,,LOTZ,,,,
41132,Super League Gaming,$17.55 M,USA,$0.47,,,,SLGG,,,,
41133,Carver Bancorp,$17.45 M,USA,$4.13,,,,CARV,,,,
41134,Astrotech,$17.31 M,USA,$10.24,,,,ASTC,,,,
41135,Vislink Technologies,$17.29 M,USA,$0.36,,,,VISL,,,,
41136,Redhill Biopharma,$17.24 M,Israel,$0.20,,,,RDHL,,,,
41137,Aptinyx,$17.13 M,USA,$0.25,,,,APTX,,,,
41138,AIM ImmunoTech,$17.06 M,USA,$0.36,,,,AIM,,,,
41139,Jaguar Health,$16.96 M,USA,$0.11,,,,JAGX,,,,
41140,bioAffinity Technologies,$16.82 M,USA,$2.01,,,,BIAF,,,,
41141,Reborn Coffee,$16.72 M,USA,$1.28,,,,REBN,,,,
41142,Digital Hollywood Interactive,$16.72 M,China,$0.01000,,,,2022.HK,,,,
41143,Fresh Vine Wine,$16.67 M,USA,$1.31,,,,VINE,,,,
41144,Astro Corporation,$16.66 M,Taiwan,$0.38,,,,3064.TWO,,,,
41145,Trophy Games,$16.54 M,Denmark,$0.58,,,,TGAMES.CO,,,,
41146,Trust Stamp,$16.25 M,USA,$0.67,,,,IDAI,,,,
41147,Acasti Pharma,$16.18 M,Canada,$0.35,,,,ACST,,,,
41148,Wheeler Real Estate Investment Trust,$16.15 M,USA,$1.65,,,,WHLR,,,,
41149,Starry Group,$16.07 M,USA,$0.10,,,,STRY,,,,
41150,Minerva Neurosciences,$16.07 M,USA,$3.01,,,,NERV,,,,
41151,Onconova Therapeutics,$15.8 M,USA,$0.76,,,,ONTX,,,,
41152,Artifex Mundi,$15.77 M,Poland,$1.33,,,,ART.WA,,,,
41153,Air Industries Group,$15.59 M,USA,$4.80,,,,AIRI,,,,
41154,Horizon Global,$15.53 M,USA,$0.56,,,,HZN,,,,
41155,InterServ International,$15.46 M,Taiwan,$0.66,,,,6169.TWO,,,,
41156,Mobile Global Esports (Mogo),$15.45 M,USA,$0.76,,,,MGAM,,,,
41157,Top Ships,$15.44 M,Greece,$1.50,,,,TOPS,,,,
41158,Rail Vision,$15.41 M,Israel,$0.97,,,,RVSN,,,,
41159,Voltage,$15.36 M,Japan,$2.39,,,,3639.T,,,,
41160,Rubius Therapeutics,$15.36 M,USA,$0.17,,,,RUBY,,,,
41161,PREIT,$15.35 M,USA,$2.40,,,,PEI,,,,
41162,Tempest Therapeutics,$15.35 M,USA,$1.46,,,,TPST,,,,
41163,Forgame,$15.3 M,China,$0.11,,,,0484.HK,,,,
41164,Clovis Oncology,$15.29 M,USA,$0.11,,,,CLVS,,,,
41165,Orosur Mining,$15.28 M,Canada,$0.08000,,,,OMI.V,,,,
41166,Inspira Technologies,$15.23 M,Israel,$1.38,,,,IINN,,,,
41167,Organovo,$15.16 M,USA,$1.74,,,,ONVO,,,,
41168,Verb Technology,$15.15 M,USA,$0.13,,,,VERB,,,,
41169,NanoViricides,$15.14 M,USA,$1.30,,,,NNVC,,,,
41170,Humanigen,$15.13 M,USA,$0.13,,,,HGEN,,,,
41171,Digital Ally,$15.09 M,USA,$0.28,,,,DGLY,,,,
41172,Athersys,$15.04 M,USA,$0.87,,,,ATHX,,,,
41173,Corbus Pharmaceuticals,$15.03 M,USA,$0.12,,,,CRBP,,,,
41174,Forza X1,$14.94 M,USA,$1.43,,,,FRZA,,,,
41175,SG Blocks,$14.94 M,USA,$1.24,,,,SGBX,,,,
41176,Socket Mobile,$14.7 M,USA,$2.05,,,,SCKT,,,,
41177,Laser Photonics,$14.65 M,USA,$1.86,,,,LASE,,,,
41178,Performance Shipping,$14.56 M,Greece,$3.60,,,,PSHG,,,,
41179,Precipio,$14.56 M,USA,$0.64,,,,PRPO,,,,
41180,Stronghold Digital Mining,$14.51 M,USA,$0.51,,,,SDIG,,,,
41181,SOBR Safe,$14.29 M,USA,$0.98,,,,SOBR,,,,
41182,Exela Technologies,$14.24 M,USA,$0.12,,,,XELA,,,,
41183,Titan Pharmaceuticals,$14.09 M,USA,$0.96,,,,TTNP,,,,
41184,Iterum Therapeutics,$13.94 M,Ireland,$1.14,,,,ITRM,,,,
41185,Celsion Corporation,$13.91 M,USA,$1.96,,,,CLSN,,,,
41186,HyreCar,$13.83 M,USA,$0.46,,,,HYRE,,,,
41187,OLB Group,$13.82 M,USA,$0.94,,,,OLB,,,,
41188,Nitro Games,$13.79 M,Finland,$1.02,,,,NITRO.ST,,,,
41189,Future Supply Chain Solutions,$13.44 M,India,$0.31,,,,FSC.NS,,,,
41190,Pulmatrix,$13.42 M,USA,$3.69,,,,PULM,,,,
41191,Trillium Gold Mines,$13.19 M,Canada,$0.17,,,,TGM.V,,,,
41192,Aytu BioScience,$13.11 M,USA,$0.21,,,,AYTU,,,,
41193,GigaMedia,$12.93 M,Taiwan,$1.17,,,,GIGM,,,,
41194,Acorda Therapeutics,$12.7 M,USA,$0.52,,,,ACOR,,,,
41195,iSpecimen,$12.7 M,USA,$1.45,,,,ISPC,,,,
41196,Advanced Human Imaging,$12.64 M,Australia,$0.53,,,,AHI,,,,
41197,AppTech Payments,$12.63 M,USA,$0.77,,,,APCX,,,,
41198,Trevena,$12.43 M,USA,$1.79,,,,TRVN,,,,
41199,Gaming Corps,$12.42 M,Sweden,$0.23,,,,GCOR.ST,,,,
41200,Virax Biolabs,$12.3 M,UK,$0.96,,,,VRAX,,,,
41201,Diffusion Pharmaceuticals,$12.29 M,USA,$6.03,,,,DFFN,,,,
41202,Context Therapeutics,$12.13 M,USA,$0.76,,,,CNTX,,,,
41203,Aileron Therapeutics,$11.98 M,USA,$2.64,,,,ALRN,,,,
41204,Rockwell Medical,$11.98 M,USA,$1.03,,,,RMTI,,,,
41205,Farmmi,$11.85 M,China,$0.53,,,,FAMI,,,,
41206,Chembio Diagnostics,$11.74 M,USA,$0.32,,,,CEMI,,,,
41207,180 Life Sciences,$11.74 M,USA,$0.29,,,,ATNF,,,,
41208,Jump Networks,$11.66 M,India,$0.12,,,,JUMPNET.NS,,,,
41209,CMON,$11.61 M,Singapore,$0.01000,,,,1792.HK,,,,
41210,Austin Gold,$11.58 M,USA,$0.84,,,,AUST,,,,
41211,Ra Medical Systems,$11.47 M,USA,$5.31,,,,RMED,,,,
41212,Skylight Health Group,$11.15 M,Canada,$0.28,,,,SLHG.V,,,,
41213,GAME HOURS,$11.05 M,Taiwan,$0.41,,,,6626.TWO,,,,
41214,ADVFN,$10.81 M,UK,$0.41,,,,AFN.L,,,,
41215,Games Operators,$10.76 M,Poland,$1.95,,,,GOP.WA,,,,
41216,T2 Biosystems,$10.39 M,USA,$1.42,,,,TTOO,,,,
