03-gren-annual_net_income_usd,04-iGMM-market_value__jan_1st_2020,00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_revenue_usd
doll_3.28 b,doll_74.35 m,doll_6.033 m,"3,282 million usd",doll_48.55 b
doll_1.39 b,doll_44.98 m,doll_3.908 m,"1,390 million usd",doll_7.32 b
doll_7.22 b,doll_69.04 m,doll_3.189 m,"7,221 million usd",doll_23.77 b
doll_3.19 b,doll_35.04 m,doll_7.221 m,"3,189 million usd",doll_14.62 b
doll_3.91 b,doll_65.41 m,doll_1.390 m,"3,908 million usd",doll_11.56 b
doll_6.03 b,doll_75.81 m,doll_3.282 m,"6,033 million usd",doll_22.26 b
doll_12.2 b,doll_6.58 m,doll_1.612 m,"12,202 million usd",doll_18.47 b
doll_8.54 b,doll_70.06 m,813 million usd,"8,539 million usd",doll_40.96 b
doll_813.0 m,doll_14.54 m,doll_8.539 m,813 million usd,doll_7.77 b
doll_4.16 b,doll_58.28 m,,"4,158 million usd",doll_49.97 b
doll_1.86 b,doll_54.38 m,doll_5.857 m,"1,864 million usd",doll_19.94 b
0.0,0,doll_3.781 m,,doll_43.0 b
doll_2.15 b,doll_45.1 m,doll_11.256 m,"2,153 million usd",doll_19.91 b
doll_2.83 b,doll_70.86 m,doll_1.096 m,"2,834 million usd",doll_25.71 b
doll_1.1 b,doll_58.92 m,doll_2.834 m,"1,096 million usd",doll_6.34 b
doll_11.26 b,doll_90.33 m,doll_2.153 m,"11,256 million usd",0.0
doll_3.78 b,doll_56.45 m,,"3,781 million usd",doll_12.52 b
doll_5.86 b,doll_66.91 m,doll_1.864 m,"5,857 million usd",doll_22.58 b
0.0,doll_62.84 m,doll_4.158 m,,doll_16.08 b
doll_3.14 b,doll_56.53 m,572 million usd,"3,143 million usd",doll_19.82 b
0.0,0,doll_3.378 m,,doll_38.1 b
doll_4.94 b,doll_80.85 m,doll_3.908 m,"4,944 million usd",doll_37.6 b
doll_-12463.0 m,doll_93.51 m,-496 million usd,"-12,463 million usd",doll_45.4 b
doll_1.9 b,doll_47.67 m,doll_2.636 m,"1,904 million usd",doll_19.83 b
doll_2.64 b,doll_72.37 m,doll_1.904 m,"2,636 million usd",doll_4.69 b
doll_-496.0 m,doll_51.58 m,doll_-12.463 m,-496 million usd,doll_17.45 b
doll_3.91 b,doll_68.53 m,doll_4.944 m,"3,908 million usd",doll_25.1 b
doll_3.38 b,doll_39.41 m,,"3,378 million usd",0.0
doll_572.0 m,0,doll_3.143 m,572 million usd,doll_85.8 b
doll_3.12 b,doll_82.06 m,doll_23.947 m,"3,117 million usd",doll_94.86 b
doll_10.86 b,doll_60.81 m,doll_10.474 m,"10,855 million usd",doll_31.82 b
doll_3.82 b,doll_56.89 m,doll_1.904 m,"3,823 million usd",doll_8.1 b
doll_8.47 b,doll_71.9 m,doll_6.956 m,"8,470 million usd",doll_38.53 b
doll_5.57 b,doll_47.72 m,doll_1.691 m,"5,568 million usd",doll_90.08 b
doll_1.69 b,0,doll_5.568 m,"1,691 million usd",doll_12.18 b
doll_6.96 b,doll_49.82 m,doll_8.470 m,"6,956 million usd",doll_58.75 b
doll_1.9 b,doll_49.33 m,doll_3.823 m,"1,904 million usd",doll_11.65 b
doll_10.47 b,doll_88.38 m,doll_10.855 m,"10,474 million usd",doll_398.86 b
doll_23.95 b,doll_43.99 m,doll_3.117 m,"23,947 million usd",doll_5.46 b
doll_5.37 b,doll_77.76 m,doll_-4.688 m,"5,365 million usd",doll_174.27 b
doll_2.69 b,doll_57.75 m,doll_1.111 m,"2,694 million usd",doll_14.46 b
doll_-425.0 m,doll_29.85 m,doll_1.503 m,-425 million usd,doll_1.94 b
doll_1.5 b,doll_48.84 m,-425 million usd,"1,503 million usd",doll_5.23 b
doll_1.11 b,doll_58.44 m,doll_2.694 m,"1,111 million usd",doll_6.53 b
doll_-4688.0 m,0,doll_5.365 m,"-4,688 million usd",doll_55.0 m
doll_4.55 b,doll_53.28 m,doll_4.058 m,"4,546 million usd",doll_28.95 b
doll_7.95 b,doll_78.0 m,517 million usd,"7,947 million usd",doll_78.85 b
doll_517.0 m,doll_24.98 m,doll_7.947 m,517 million usd,doll_6.61 b
doll_4.06 b,doll_51.6 m,doll_4.546 m,"4,058 million usd",doll_9.17 b
doll_7.1 b,doll_68.46 m,doll_1.048 m,"7,098 million usd",doll_111.66 b
doll_5.78 b,doll_52.61 m,doll_3.005 m,"5,775 million usd",doll_20.69 b
doll_3.14 b,doll_48.99 m,doll_2.092 m,"3,139 million usd",doll_14.54 b
doll_1.6 b,doll_42.69 m,doll_2.408 m,"1,599 million usd",doll_2.48 b
doll_2.44 b,doll_44.28 m,doll_7.874 m,"2,445 million usd",doll_11.85 b
doll_7.87 b,doll_55.71 m,doll_2.445 m,"7,874 million usd",doll_35.26 b
doll_2.41 b,doll_66.7 m,doll_1.599 m,"2,408 million usd",doll_23.11 b
doll_2.09 b,doll_73.44 m,doll_3.139 m,"2,092 million usd",doll_20.25 b
doll_3.0 b,doll_50.93 m,doll_5.775 m,"3,005 million usd",doll_11.14 b
doll_1.05 b,doll_39.56 m,doll_7.098 m,"1,048 million usd",doll_3.93 b
doll_4.28 b,doll_63.05 m,doll_2.278 m,"4,281 million usd",doll_43.1 b
doll_1.33 b,doll_79.16 m,doll_12.378 m,"1,334 million usd",doll_16.23 b
doll_26.02 b,doll_70.06 m,doll_4.974 m,"26,016 million usd",doll_62.99 b
doll_417.0 m,doll_86.29 m,doll_2.166 m,417 million usd,doll_13.88 b
doll_3.65 b,doll_44.91 m,852 million usd,"3,649 million usd",doll_15.14 b
doll_852.0 m,doll_42.9 m,doll_3.649 m,852 million usd,doll_5.36 b
doll_2.17 b,doll_59.95 m,417 million usd,"2,166 million usd",doll_17.42 b
doll_4.97 b,doll_42.02 m,doll_26.016 m,"4,974 million usd",doll_203.75 b
doll_12.38 b,doll_54.03 m,doll_1.334 m,"12,378 million usd",doll_111.21 b
doll_2.28 b,doll_35.06 m,doll_4.281 m,"2,278 million usd",doll_6.39 b
0.0,0,doll_6.086 m,,doll_36.4 b
doll_-421.0 m,doll_18.19 m,doll_4.397 m,-421 million usd,doll_4.46 b
doll_1.22 b,doll_47.92 m,doll_-4.747 m,"1,220 million usd",doll_14.76 b
