03-gren-annual_net_income_usd,04-iGMM-market_value__jan_1st_2020,00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_revenue_usd
doll_185.0 m,doll_3.33 m,108 million usd,108 million usd,doll_1.32 b
doll_188.0 m,doll_2.04 m,111 million usd,121 million usd,doll_2.29 b
doll_33.0 m,doll_3.23 m,727 million usd,263 million usd,doll_1.74 b
doll_-188.0 m,doll_6.32 m,134 million usd,73 million usd,doll_3.6 b
doll_-250.0 m,doll_1.61 m,-250 million usd,286 million usd,doll_784.0 m
doll_134.0 m,doll_2.39 m,-188 million usd,148 million usd,doll_848.0 m
doll_727.0 m,0,33 million usd,-149 million usd,doll_4.64 b
doll_111.0 m,doll_4.48 m,188 million usd,130 million usd,doll_722.0 m
doll_108.0 m,doll_3.28 m,185 million usd,141 million usd,doll_305.0 m
doll_121.0 m,doll_3.58 m,121 million usd,495 million usd,doll_968.0 m
doll_263.0 m,doll_4.4 m,258 million usd,258 million usd,doll_1.66 b
doll_73.0 m,doll_1.96 m,495 million usd,118 million usd,doll_1.1 b
doll_286.0 m,doll_1.92 m,141 million usd,-143 million usd,doll_3.57 b
doll_148.0 m,doll_1.94 m,130 million usd,57 million usd,doll_737.0 m
doll_-149.0 m,doll_0.81 m,-149 million usd,43 million usd,doll_281.0 m
doll_130.0 m,doll_3.66 m,148 million usd,149 million usd,doll_747.0 m
doll_141.0 m,doll_1.82 m,286 million usd,-128 million usd,doll_4.56 b
doll_495.0 m,doll_0.79 m,73 million usd,-181 million usd,doll_4.96 b
doll_258.0 m,doll_6.29 m,263 million usd,178 million usd,doll_1.27 b
doll_118.0 m,doll_3.12 m,118 million usd,96 million usd,doll_613.0 m
doll_-143.0 m,doll_3.39 m,363 million usd,363 million usd,doll_36.0 m
doll_57.0 m,doll_1.99 m,96 million usd,-736 million usd,doll_1.76 b
doll_43.0 m,doll_4.27 m,178 million usd,351 million usd,doll_653.0 m
doll_149.0 m,doll_1.7 m,-181 million usd,76 million usd,doll_2.38 b
doll_-128.0 m,doll_1.12 m,-128 million usd,-397 million usd,doll_472.0 m
doll_-181.0 m,doll_2.06 m,149 million usd,10 million usd,doll_130.0 m
doll_178.0 m,doll_3.58 m,43 million usd,187 million usd,doll_14.79 b
doll_96.0 m,doll_2.31 m,57 million usd,386 million usd,doll_633.0 m
doll_363.0 m,doll_2.0 m,-143 million usd,115 million usd,doll_1.24 b
doll_-736.0 m,doll_3.81 m,-736 million usd,151 million usd,doll_8.0 b
doll_351.0 m,doll_5.64 m,146 million usd,146 million usd,doll_8.57 b
doll_76.0 m,doll_3.29 m,151 million usd,117 million usd,doll_628.0 m
doll_-397.0 m,doll_1.73 m,115 million usd,927 million usd,doll_7.5 b
doll_10.0 m,doll_3.33 m,386 million usd,"2,103 million usd",doll_1.8 b
doll_187.0 m,doll_3.43 m,187 million usd,270 million usd,doll_1.86 b
doll_386.0 m,doll_1.52 m,10 million usd,47 million usd,doll_1.24 b
doll_115.0 m,0,-397 million usd,29 million usd,doll_2.17 b
doll_151.0 m,doll_2.77 m,76 million usd,,doll_1.83 b
doll_146.0 m,0,351 million usd,-9 million usd,doll_3.59 b
doll_117.0 m,doll_6.95 m,117 million usd,-528 million usd,doll_581.0 m
doll_927.0 m,doll_3.09 m,146 million usd,146 million usd,doll_3.92 b
doll_2.1 b,doll_2.91 m,-528 million usd,117 million usd,doll_7.16 b
doll_270.0 m,0,-9 million usd,189 million usd,doll_2.34 b
doll_47.0 m,doll_3.11 m,,630 million usd,doll_402.0 m
doll_29.0 m,doll_3.05 m,29 million usd,271 million usd,doll_85.0 m
0.0,doll_1.41 m,47 million usd,57 million usd,0.0
doll_-9.0 m,doll_4.67 m,270 million usd,48 million usd,doll_419.0 m
doll_-528.0 m,doll_5.84 m,doll_2.103 m,125 million usd,doll_751.0 m
doll_146.0 m,doll_1.5 m,927 million usd,52 million usd,doll_367.0 m
doll_117.0 m,doll_3.15 m,117 million usd,198 million usd,doll_901.0 m
doll_189.0 m,doll_3.38 m,301 million usd,301 million usd,doll_3.3 b
doll_630.0 m,doll_2.95 m,198 million usd,231 million usd,doll_7.4 b
doll_271.0 m,doll_2.43 m,52 million usd,178 million usd,doll_766.0 m
doll_57.0 m,doll_2.5 m,125 million usd,219 million usd,doll_586.0 m
doll_48.0 m,doll_2.67 m,48 million usd,210 million usd,doll_417.0 m
doll_125.0 m,doll_2.32 m,57 million usd,754 million usd,doll_343.0 m
doll_52.0 m,doll_5.42 m,271 million usd,99 million usd,doll_761.0 m
doll_198.0 m,doll_3.63 m,630 million usd,474 million usd,doll_2.04 b
doll_301.0 m,doll_3.92 m,189 million usd,72 million usd,doll_231.0 m
doll_231.0 m,doll_3.03 m,231 million usd,179 million usd,doll_214.0 m
doll_178.0 m,doll_3.87 m,237 million usd,237 million usd,doll_2.15 b
doll_219.0 m,doll_2.49 m,179 million usd,322 million usd,doll_9.44 b
doll_210.0 m,doll_3.09 m,72 million usd,252 million usd,doll_536.0 m
doll_754.0 m,doll_1.07 m,474 million usd,45 million usd,doll_1.95 b
doll_99.0 m,doll_1.6 m,99 million usd,127 million usd,doll_3.83 b
doll_474.0 m,doll_2.11 m,754 million usd,94 million usd,doll_1.79 b
doll_72.0 m,0,210 million usd,-16 million usd,doll_844.0 m
doll_179.0 m,doll_1.73 m,219 million usd,158 million usd,doll_4.1 b
doll_237.0 m,doll_4.55 m,178 million usd,-184 million usd,doll_597.0 m
doll_322.0 m,doll_1.59 m,322 million usd,-191 million usd,doll_2.3 b
doll_252.0 m,doll_6.12 m,98 million usd,98 million usd,doll_6.25 b
doll_45.0 m,doll_3.8 m,-191 million usd,250 million usd,doll_294.0 m
doll_127.0 m,doll_2.9 m,-184 million usd,143 million usd,doll_599.0 m
doll_94.0 m,doll_1.64 m,158 million usd,494 million usd,doll_416.0 m
doll_-16.0 m,doll_0.34 m,94 million usd,-13 million usd,doll_260.0 m
doll_158.0 m,doll_1.38 m,-16 million usd,,doll_1.72 b
doll_-184.0 m,0,127 million usd,-11 million usd,doll_416.0 m
doll_-191.0 m,doll_2.73 m,45 million usd,91 million usd,doll_46.0 m
doll_98.0 m,doll_1.32 m,252 million usd,86 million usd,doll_531.0 m
doll_250.0 m,doll_3.24 m,250 million usd,94 million usd,doll_663.0 m
doll_143.0 m,0,865 million usd,865 million usd,doll_1.26 b
doll_494.0 m,doll_5.58 m,94 million usd,96 million usd,doll_7.83 b
doll_-13.0 m,doll_2.39 m,86 million usd,321 million usd,doll_2.0 m
0.0,doll_1.71 m,91 million usd,367 million usd,0.0
doll_-11.0 m,doll_2.42 m,-11 million usd,,doll_246.0 m
doll_91.0 m,doll_1.51 m,,91 million usd,doll_2.14 b
doll_86.0 m,doll_4.24 m,-13 million usd,34 million usd,doll_981.0 m
doll_94.0 m,doll_3.27 m,494 million usd,150 million usd,doll_498.0 m
doll_865.0 m,doll_4.07 m,143 million usd,439 million usd,doll_157.0 m
doll_96.0 m,doll_6.33 m,96 million usd,-167 million usd,doll_1.96 b
doll_321.0 m,doll_1.39 m,56 million usd,56 million usd,doll_3.11 b
doll_367.0 m,doll_0.81 m,-167 million usd,,doll_1.52 b
0.0,doll_0.48 m,439 million usd,104 million usd,0.0
doll_91.0 m,0,150 million usd,-163 million usd,doll_773.0 m
doll_34.0 m,doll_4.5 m,34 million usd,137 million usd,doll_846.0 m
doll_150.0 m,doll_3.23 m,91 million usd,352 million usd,doll_864.0 m
doll_439.0 m,doll_2.42 m,,328 million usd,doll_3.59 b
doll_-167.0 m,doll_2.95 m,367 million usd,376 million usd,doll_484.0 m
doll_56.0 m,doll_5.82 m,321 million usd,106 million usd,doll_185.0 m
0.0,doll_3.28 m,,417 million usd,0.0
doll_104.0 m,doll_2.4 m,573 million usd,573 million usd,doll_802.0 m
doll_-163.0 m,doll_7.56 m,417 million usd,-147 million usd,doll_2.57 b
doll_137.0 m,0,106 million usd,26 million usd,doll_385.0 m
doll_352.0 m,doll_4.1 m,376 million usd,401 million usd,doll_5.15 b
doll_328.0 m,doll_1.06 m,328 million usd,126 million usd,doll_6.51 b
doll_376.0 m,doll_2.23 m,352 million usd,-221 million usd,doll_3.74 b
doll_106.0 m,doll_2.76 m,137 million usd,150 million usd,doll_713.0 m
doll_417.0 m,doll_1.77 m,-163 million usd,29 million usd,doll_1.08 b
doll_573.0 m,doll_3.0 m,104 million usd,22 million usd,doll_5.25 b
doll_-147.0 m,doll_2.29 m,-147 million usd,271 million usd,doll_213.0 m
doll_26.0 m,0,-39 million usd,-39 million usd,doll_99.0 m
doll_401.0 m,0,271 million usd,546 million usd,doll_1.72 b
doll_126.0 m,doll_3.94 m,22 million usd,105 million usd,doll_1.48 b
doll_-221.0 m,doll_1.87 m,29 million usd,179 million usd,doll_99.0 m
doll_150.0 m,doll_4.02 m,150 million usd,"1,256 million usd",doll_1.12 b
doll_29.0 m,doll_3.69 m,-221 million usd,321 million usd,doll_60.0 m
doll_22.0 m,doll_4.97 m,126 million usd,121 million usd,doll_6.68 b
doll_271.0 m,0,401 million usd,117 million usd,doll_619.0 m
doll_-39.0 m,doll_3.4 m,26 million usd,-371 million usd,doll_15.0 m
doll_546.0 m,doll_3.95 m,546 million usd,5 million usd,doll_1.12 b
doll_105.0 m,doll_4.54 m,159 million usd,159 million usd,doll_1.05 b
doll_179.0 m,doll_1.33 m,5 million usd,192 million usd,doll_334.0 m
doll_1.26 b,doll_0.71 m,-371 million usd,-20 million usd,doll_2.05 b
doll_321.0 m,0,117 million usd,239 million usd,doll_3.11 b
doll_121.0 m,doll_5.44 m,121 million usd,837 million usd,doll_6.25 b
doll_117.0 m,0,321 million usd,671 million usd,doll_7.46 b
doll_-371.0 m,doll_2.17 m,doll_1.256 m,109 million usd,doll_1.45 b
doll_5.0 m,doll_2.37 m,179 million usd,85 million usd,doll_927.0 m
doll_159.0 m,doll_2.11 m,105 million usd,66 million usd,doll_970.0 m
doll_192.0 m,0,192 million usd,,doll_1.49 b
doll_-20.0 m,doll_1.86 m,240 million usd,240 million usd,doll_91.0 m
doll_239.0 m,doll_0.96 m,,66 million usd,doll_719.0 m
doll_837.0 m,doll_2.27 m,66 million usd,66 million usd,doll_71.29 b
doll_671.0 m,0,85 million usd,152 million usd,doll_6.77 b
doll_109.0 m,doll_1.52 m,109 million usd,242 million usd,doll_5.04 b
doll_85.0 m,doll_3.48 m,671 million usd,265 million usd,doll_1.33 b
doll_66.0 m,doll_3.01 m,837 million usd,717 million usd,doll_1.53 b
0.0,doll_5.65 m,239 million usd,322 million usd,0.0
doll_240.0 m,0,-20 million usd,337 million usd,doll_705.0 m
doll_66.0 m,doll_2.08 m,66 million usd,118 million usd,doll_1.94 b
doll_66.0 m,doll_4.83 m,452 million usd,452 million usd,doll_2.75 b
doll_152.0 m,doll_2.72 m,118 million usd,40 million usd,doll_592.0 m
doll_242.0 m,doll_1.87 m,337 million usd,134 million usd,doll_5.85 b
doll_265.0 m,doll_5.49 m,322 million usd,190 million usd,doll_4.83 b
doll_717.0 m,doll_2.47 m,717 million usd,362 million usd,doll_1.87 b
doll_322.0 m,doll_2.91 m,265 million usd,289 million usd,doll_1.32 b
doll_337.0 m,doll_3.45 m,242 million usd,124 million usd,doll_3.13 b
doll_118.0 m,doll_3.39 m,152 million usd,258 million usd,doll_1.97 b
doll_452.0 m,doll_3.66 m,66 million usd,143 million usd,doll_1.57 b
doll_40.0 m,doll_3.65 m,40 million usd,190 million usd,doll_642.0 m
doll_134.0 m,doll_3.15 m,34 million usd,34 million usd,doll_2.12 b
doll_190.0 m,doll_3.04 m,190 million usd,298 million usd,doll_2.36 b
doll_362.0 m,doll_1.81 m,143 million usd,16 million usd,doll_979.0 m
doll_289.0 m,doll_5.34 m,258 million usd,86 million usd,doll_4.35 b
doll_124.0 m,doll_3.29 m,124 million usd,206 million usd,doll_1.7 b
doll_258.0 m,doll_3.28 m,289 million usd,94 million usd,doll_46.59 b
doll_143.0 m,doll_4.1 m,362 million usd,203 million usd,doll_2.19 b
doll_190.0 m,doll_3.84 m,190 million usd,670 million usd,doll_1.87 b
doll_34.0 m,0,134 million usd,134 million usd,doll_493.0 m
doll_298.0 m,doll_2.48 m,298 million usd,129 million usd,doll_652.0 m
doll_16.0 m,doll_2.44 m,5 million usd,5 million usd,doll_1.55 b
doll_86.0 m,doll_2.43 m,129 million usd,750 million usd,doll_1.3 b
doll_206.0 m,0,134 million usd,-8 million usd,doll_5.16 b
doll_94.0 m,doll_8.05 m,670 million usd,712 million usd,doll_18.49 b
doll_203.0 m,doll_3.0 m,94 million usd,259 million usd,doll_2.28 b
doll_670.0 m,doll_5.65 m,203 million usd,127 million usd,doll_982.0 m
doll_134.0 m,doll_1.89 m,206 million usd,83 million usd,doll_843.0 m
doll_129.0 m,doll_1.34 m,86 million usd,-120 million usd,doll_790.0 m
doll_5.0 m,doll_4.28 m,16 million usd,169 million usd,doll_113.0 m
doll_750.0 m,doll_0.74 m,750 million usd,5 million usd,doll_2.91 b
doll_-8.0 m,doll_2.52 m,doll_1.818 m,"1,818 million usd",doll_252.0 m
doll_712.0 m,doll_2.57 m,5 million usd,128 million usd,doll_3.39 b
doll_259.0 m,doll_4.56 m,169 million usd,91 million usd,doll_5.26 b
doll_127.0 m,doll_3.4 m,-120 million usd,101 million usd,doll_1.78 b
doll_83.0 m,doll_3.66 m,83 million usd,"1,121 million usd",doll_664.0 m
doll_-120.0 m,doll_1.58 m,127 million usd,80 million usd,doll_425.0 m
doll_169.0 m,0,259 million usd,22 million usd,doll_1.42 b
doll_5.0 m,doll_4.59 m,712 million usd,43 million usd,doll_461.0 m
doll_1.82 b,doll_2.64 m,-8 million usd,,doll_2.17 b
doll_128.0 m,doll_1.21 m,128 million usd,135 million usd,doll_2.08 b
doll_91.0 m,doll_2.17 m,61 million usd,61 million usd,doll_10.56 b
doll_101.0 m,doll_1.37 m,135 million usd,71 million usd,doll_4.8 b
doll_1.12 b,doll_2.05 m,,317 million usd,doll_1.22 b
doll_80.0 m,doll_2.48 m,43 million usd,45 million usd,doll_871.0 m
doll_22.0 m,0,22 million usd,12 million usd,doll_2.25 b
doll_43.0 m,doll_4.04 m,80 million usd,601 million usd,doll_1.51 b
0.0,doll_3.61 m,doll_1.121 m,18 million usd,0.0
doll_135.0 m,doll_1.73 m,101 million usd,154 million usd,doll_771.0 m
doll_61.0 m,doll_3.67 m,91 million usd,190 million usd,doll_219.0 m
doll_71.0 m,doll_1.62 m,71 million usd,88 million usd,doll_175.0 m
doll_317.0 m,doll_4.05 m,-678 million usd,-678 million usd,doll_11.74 b
doll_45.0 m,doll_1.68 m,88 million usd,116 million usd,doll_2.61 b
doll_12.0 m,doll_2.82 m,190 million usd,75 million usd,doll_10.62 b
doll_601.0 m,0,154 million usd,43 million usd,doll_15.33 b
doll_18.0 m,doll_3.68 m,18 million usd,395 million usd,doll_241.0 m
doll_154.0 m,doll_2.26 m,601 million usd,11 million usd,doll_971.0 m
doll_190.0 m,doll_2.32 m,12 million usd,137 million usd,doll_475.0 m
doll_88.0 m,doll_0.94 m,45 million usd,11 million usd,doll_6.96 b
doll_-678.0 m,doll_2.01 m,317 million usd,"1,660 million usd",doll_37.0 m
doll_116.0 m,doll_2.46 m,116 million usd,"3,290 million usd",doll_945.0 m
doll_75.0 m,doll_4.27 m,doll_1.192 m,"1,192 million usd",doll_1.35 b
doll_43.0 m,doll_2.54 m,doll_3.290 m,147 million usd,doll_210.0 m
doll_395.0 m,doll_2.54 m,doll_1.660 m,524 million usd,doll_1.78 b
doll_11.0 m,doll_1.21 m,11 million usd,10 million usd,doll_1.7 b
doll_137.0 m,doll_0.83 m,137 million usd,70 million usd,doll_1.17 b
doll_11.0 m,doll_3.13 m,11 million usd,111 million usd,doll_586.0 m
doll_1.66 b,doll_1.77 m,395 million usd,-284 million usd,doll_65.34 b
doll_3.29 b,doll_18.27 m,43 million usd,-901 million usd,doll_3.54 b
doll_1.19 b,doll_1.97 m,75 million usd,-109 million usd,doll_24.79 b
doll_147.0 m,doll_5.24 m,147 million usd,801 million usd,doll_352.0 m
doll_524.0 m,doll_4.65 m,204 million usd,204 million usd,doll_17.6 b
doll_10.0 m,doll_2.21 m,801 million usd,117 million usd,doll_517.0 m
doll_70.0 m,0,-109 million usd,53 million usd,doll_1.22 b
doll_111.0 m,doll_4.97 m,-901 million usd,-791 million usd,doll_743.0 m
doll_-284.0 m,doll_2.23 m,-284 million usd,48 million usd,doll_81.0 m
doll_-901.0 m,doll_3.82 m,111 million usd,234 million usd,doll_4.45 b
doll_-109.0 m,doll_3.87 m,70 million usd,477 million usd,doll_1.92 b
doll_801.0 m,doll_4.24 m,10 million usd,206 million usd,doll_3.65 b
doll_204.0 m,doll_3.17 m,524 million usd,333 million usd,doll_4.15 b
doll_117.0 m,doll_3.4 m,117 million usd,35 million usd,doll_758.0 m
doll_53.0 m,doll_1.47 m,321 million usd,321 million usd,doll_540.0 m
doll_-791.0 m,0,35 million usd,"1,989 million usd",doll_15.36 b
doll_48.0 m,doll_3.57 m,333 million usd,193 million usd,doll_3.28 b
doll_234.0 m,doll_4.65 m,206 million usd,260 million usd,doll_23.06 b
doll_477.0 m,doll_3.87 m,477 million usd,480 million usd,doll_7.93 b
doll_206.0 m,doll_3.01 m,234 million usd,315 million usd,doll_15.46 b
doll_333.0 m,doll_4.12 m,48 million usd,50 million usd,doll_259.0 m
doll_35.0 m,0,-791 million usd,346 million usd,doll_926.0 m
doll_321.0 m,0,53 million usd,-343 million usd,doll_554.0 m
doll_1.99 b,doll_3.05 m,doll_1.989 m,564 million usd,doll_12.39 b
doll_193.0 m,doll_3.15 m,195 million usd,195 million usd,doll_1.76 b
doll_260.0 m,doll_2.19 m,564 million usd,144 million usd,doll_896.0 m
doll_480.0 m,doll_1.81 m,-343 million usd,-88 million usd,doll_754.0 m
doll_315.0 m,0,346 million usd,-28 million usd,doll_6.49 b
doll_50.0 m,doll_4.22 m,50 million usd,-288 million usd,doll_12.72 b
doll_346.0 m,0,315 million usd,134 million usd,doll_3.36 b
doll_-343.0 m,doll_4.36 m,480 million usd,319 million usd,doll_667.0 m
doll_564.0 m,doll_0.77 m,260 million usd,127 million usd,doll_5.72 b
doll_195.0 m,doll_2.68 m,193 million usd,64 million usd,doll_598.0 m
doll_144.0 m,doll_0.45 m,144 million usd,612 million usd,doll_2.04 b
doll_-88.0 m,doll_2.46 m,281 million usd,281 million usd,doll_80.0 m
doll_-28.0 m,doll_0.59 m,612 million usd,24 million usd,doll_201.0 m
doll_-288.0 m,doll_3.65 m,64 million usd,72 million usd,doll_684.0 m
doll_134.0 m,doll_2.39 m,127 million usd,283 million usd,doll_1.46 b
doll_319.0 m,doll_2.47 m,319 million usd,161 million usd,doll_5.12 b
doll_127.0 m,doll_2.12 m,134 million usd,107 million usd,doll_1.18 b
doll_64.0 m,doll_1.87 m,-288 million usd,552 million usd,doll_554.0 m
doll_612.0 m,0,-28 million usd,60 million usd,doll_1.89 b
doll_281.0 m,doll_1.81 m,-88 million usd,143 million usd,doll_2.77 b
doll_24.0 m,doll_1.29 m,24 million usd,76 million usd,doll_133.0 m
doll_72.0 m,doll_3.04 m,-8 million usd,-8 million usd,doll_1.16 b
doll_283.0 m,doll_3.3 m,76 million usd,221 million usd,doll_1.13 b
doll_161.0 m,doll_4.5 m,143 million usd,-15 million usd,doll_589.0 m
doll_107.0 m,doll_2.2 m,60 million usd,206 million usd,doll_707.0 m
doll_552.0 m,doll_2.67 m,552 million usd,197 million usd,doll_13.48 b
doll_60.0 m,doll_0.65 m,107 million usd,106 million usd,doll_220.0 m
doll_143.0 m,doll_2.24 m,161 million usd,118 million usd,doll_3.07 b
doll_76.0 m,doll_0.62 m,283 million usd,184 million usd,doll_499.0 m
doll_-8.0 m,doll_1.5 m,72 million usd,165 million usd,doll_484.0 m
doll_221.0 m,doll_2.04 m,221 million usd,-1 million usd,doll_4.77 b
doll_-15.0 m,doll_2.85 m,doll_1.175 m,"1,175 million usd",doll_2.79 b
doll_206.0 m,doll_0.82 m,-1 million usd,,doll_1.86 b
doll_197.0 m,doll_1.49 m,165 million usd,176 million usd,doll_8.95 b
doll_106.0 m,doll_4.04 m,184 million usd,398 million usd,doll_252.0 m
doll_118.0 m,doll_1.99 m,118 million usd,95 million usd,doll_3.36 b
doll_184.0 m,doll_1.51 m,106 million usd,23 million usd,doll_1.69 b
doll_165.0 m,doll_4.63 m,197 million usd,-19 million usd,doll_2.68 b
doll_-1.0 m,doll_1.48 m,206 million usd,90 million usd,doll_250.0 m
doll_1.18 b,doll_2.14 m,-15 million usd,153 million usd,doll_18.65 b
0.0,doll_3.82 m,,-4 million usd,0.0
doll_176.0 m,doll_2.15 m,775 million usd,775 million usd,doll_1.72 b
doll_398.0 m,0,-4 million usd,111 million usd,doll_6.64 b
doll_95.0 m,doll_1.25 m,153 million usd,82 million usd,doll_230.0 m
doll_23.0 m,doll_1.45 m,90 million usd,471 million usd,doll_60.0 m
doll_-19.0 m,doll_2.31 m,-19 million usd,30 million usd,doll_43.0 m
doll_90.0 m,doll_2.39 m,23 million usd,60 million usd,doll_1.01 b
doll_153.0 m,doll_4.06 m,95 million usd,204 million usd,doll_874.0 m
doll_-4.0 m,doll_3.71 m,398 million usd,306 million usd,doll_874.0 m
doll_775.0 m,doll_2.76 m,176 million usd,80 million usd,doll_2.76 b
doll_111.0 m,doll_7.44 m,111 million usd,288 million usd,doll_761.0 m
doll_82.0 m,doll_5.02 m,446 million usd,446 million usd,doll_2.04 b
doll_471.0 m,doll_1.92 m,288 million usd,70 million usd,doll_5.01 b
doll_30.0 m,doll_1.23 m,80 million usd,114 million usd,doll_446.0 m
doll_60.0 m,doll_2.48 m,306 million usd,131 million usd,doll_171.0 m
doll_204.0 m,0,204 million usd,-8 million usd,doll_6.22 b
doll_306.0 m,0,60 million usd,-113 million usd,doll_949.0 m
doll_80.0 m,0,30 million usd,-494 million usd,doll_481.0 m
doll_288.0 m,0,471 million usd,65 million usd,doll_7.5 b
doll_446.0 m,doll_3.52 m,82 million usd,-415 million usd,doll_1.5 b
doll_70.0 m,doll_1.76 m,70 million usd,223 million usd,doll_1.24 b
doll_114.0 m,doll_3.82 m,216 million usd,216 million usd,doll_1.65 b
doll_131.0 m,doll_3.22 m,223 million usd,137 million usd,doll_1.34 b
doll_-8.0 m,doll_1.13 m,-415 million usd,141 million usd,doll_216.0 m
doll_-113.0 m,0,65 million usd,194 million usd,doll_126.0 m
doll_-494.0 m,doll_2.98 m,-494 million usd,198 million usd,doll_6.42 b
doll_65.0 m,doll_2.55 m,-113 million usd,73 million usd,doll_340.0 m
doll_-415.0 m,doll_2.37 m,-8 million usd,-88 million usd,doll_5.82 b
doll_223.0 m,0,131 million usd,288 million usd,doll_1.98 b
doll_216.0 m,doll_1.85 m,114 million usd,468 million usd,doll_2.24 b
doll_137.0 m,doll_2.92 m,137 million usd,464 million usd,doll_1.86 b
doll_141.0 m,doll_1.53 m,-24 million usd,-24 million usd,doll_6.67 b
doll_194.0 m,0,464 million usd,89 million usd,doll_1.68 b
doll_198.0 m,doll_3.21 m,468 million usd,54 million usd,doll_2.56 b
doll_73.0 m,doll_13.76 m,288 million usd,-114 million usd,doll_575.0 m
doll_-88.0 m,doll_3.96 m,-88 million usd,175 million usd,doll_1.61 b
doll_288.0 m,doll_3.28 m,73 million usd,80 million usd,doll_336.0 m
doll_468.0 m,doll_6.0 m,198 million usd,480 million usd,doll_3.77 b
doll_464.0 m,doll_1.04 m,194 million usd,72 million usd,doll_641.0 m
doll_-24.0 m,doll_2.52 m,141 million usd,,doll_1.0 m
doll_89.0 m,doll_1.5 m,89 million usd,182 million usd,doll_2.13 b
doll_54.0 m,doll_2.75 m,106 million usd,106 million usd,doll_759.0 m
doll_-114.0 m,doll_2.49 m,182 million usd,31 million usd,doll_593.0 m
doll_175.0 m,doll_0.32 m,,221 million usd,doll_2.83 b
doll_80.0 m,doll_0.54 m,72 million usd,48 million usd,doll_1.88 b
doll_480.0 m,doll_2.72 m,480 million usd,18 million usd,doll_30.18 b
doll_72.0 m,doll_0.69 m,80 million usd,-152 million usd,doll_258.0 m
0.0,doll_4.23 m,175 million usd,64 million usd,0.0
doll_182.0 m,0,-114 million usd,139 million usd,doll_5.79 b
doll_106.0 m,doll_1.88 m,54 million usd,50 million usd,doll_1.72 b
doll_31.0 m,doll_2.75 m,31 million usd,124 million usd,doll_425.0 m
doll_221.0 m,doll_2.17 m,70 million usd,70 million usd,doll_9.79 b
doll_48.0 m,doll_1.01 m,124 million usd,749 million usd,doll_792.0 m
doll_18.0 m,0,50 million usd,9 million usd,doll_1.51 b
doll_-152.0 m,doll_2.21 m,139 million usd,244 million usd,doll_132.0 m
doll_64.0 m,doll_1.06 m,64 million usd,92 million usd,doll_3.66 b
doll_139.0 m,0,-152 million usd,122 million usd,doll_1.24 b
doll_50.0 m,doll_4.15 m,18 million usd,51 million usd,doll_314.0 m
doll_124.0 m,doll_3.1 m,48 million usd,246 million usd,doll_532.0 m
doll_70.0 m,doll_0.98 m,221 million usd,-164 million usd,doll_1.55 b
doll_749.0 m,0,749 million usd,122 million usd,doll_2.9 b
doll_9.0 m,doll_5.44 m,183 million usd,183 million usd,doll_395.0 m
doll_244.0 m,doll_2.38 m,122 million usd,556 million usd,doll_6.1 b
doll_92.0 m,doll_1.59 m,-164 million usd,1 million usd,doll_887.0 m
doll_122.0 m,doll_2.13 m,246 million usd,125 million usd,doll_190.0 m
doll_51.0 m,doll_1.57 m,51 million usd,125 million usd,doll_1.43 b
doll_246.0 m,0,122 million usd,,doll_5.34 b
doll_-164.0 m,doll_2.61 m,92 million usd,-14 million usd,doll_972.0 m
doll_122.0 m,doll_1.05 m,244 million usd,441 million usd,doll_360.0 m
doll_183.0 m,doll_2.29 m,9 million usd,271 million usd,doll_8.31 b
doll_556.0 m,0,556 million usd,333 million usd,doll_622.0 m
doll_1.0 m,doll_3.25 m,330 million usd,330 million usd,doll_8.0 m
doll_125.0 m,doll_1.92 m,333 million usd,80 million usd,doll_1.2 b
doll_125.0 m,doll_1.58 m,271 million usd,27 million usd,doll_1.51 b
0.0,0,441 million usd,550 million usd,doll_1.0 b
doll_-14.0 m,doll_0.7 m,-14 million usd,,doll_1.01 b
doll_441.0 m,doll_2.69 m,,-440 million usd,doll_4.03 b
doll_271.0 m,0,125 million usd,,doll_3.66 b
doll_333.0 m,doll_4.73 m,125 million usd,417 million usd,doll_1.05 b
doll_330.0 m,doll_2.62 m,1 million usd,132 million usd,doll_453.0 m
doll_80.0 m,doll_2.43 m,80 million usd,141 million usd,doll_515.0 m
doll_27.0 m,doll_2.23 m,30 million usd,30 million usd,doll_118.0 m
doll_550.0 m,doll_7.11 m,141 million usd,-246 million usd,doll_2.78 b
0.0,doll_3.06 m,132 million usd,476 million usd,0.0
doll_-440.0 m,0,417 million usd,,doll_12.43 b
0.0,0,,,0.0
doll_417.0 m,0,-440 million usd,,doll_2.3 b
doll_132.0 m,0,,,doll_5.73 b
doll_141.0 m,0,550 million usd,,doll_3.63 b
doll_30.0 m,0,27 million usd,,doll_315.0 m
doll_-246.0 m,0,-246 million usd,,doll_400.0 m
doll_476.0 m,doll_0.86 m,120 million usd,120 million usd,doll_2.81 b
0.0,doll_4.55 m,,105 million usd,0.0
0.0,doll_1.31 m,,-37 million usd,0.0
0.0,doll_2.61 m,,-24 million usd,0.0
0.0,0,,,0.0
0.0,doll_2.5 m,,458 million usd,0.0
0.0,doll_3.67 m,,148 million usd,0.0
0.0,0,,,0.0
doll_120.0 m,0,476 million usd,,doll_804.0 m
doll_105.0 m,doll_1.7 m,105 million usd,48 million usd,doll_4.2 b
