06-MarScoToc-industry,06-MarScoToc-headquarter,06-MarScoToc-name
non-profit,"new delhi, india",seed csr
it services & consulting,"milpitas, california, united states (usa)",spanidea
telecom,"melbourne, australia",telstra
other,"hyderabad, india",jasper industries
engineering & construction,"abu dhabi, united arab emirates",al jaber group
media & entertainment,"chennai,tamil nadu, india",qube cinema technologies
auto components,"mumbai, india",msl driveline systems
fintech,"gurgaon/gurugram, haryana, india",hostbooks
it services & consulting,"ahmedabad, india",amnex infotechnologies
it services & consulting,"bangalore/bengaluru, karnataka, india",smarter biz technologies
logistics,"bangalore,karnataka, india",blowhorn
software product,"bengaluru/bangalore, karnataka, india",vyapar
it services & consulting,,hudson agile ventures
management consulting,"new delhi, delhi, india",grant thornton bharat
agriculture,"patna,bihar, india",dehaat
jewellery,"hong kong, china",kgk group
it services & consulting,"noida,uttar pradesh, india",qualtech consultants
chemicals,"chennai, india",sanmar group
auto components,"ahmedabad, gujarat, india",kiran motors
telecom,"london, united kingdom (uk)",vectone mobile
it services & consulting,"livonia, michigan, united states (usa)",cignex
content development,"new york, new york, usa",crimson interactive
it services & consulting,"chandigarh, chandigarh, india",code brew labs
engineering & construction,"navi mumbai, india",gem engserv
software product,"kolkata, west bengal, india",embee software
engineering & construction,"bangalore, india",secon private limited bangalore india
power,"faridabad, haryana, india",nhpc
chemicals,"tokyo, japan",toyo ink
it services & consulting,"edison, new jersey, united states (usa)",trigyn technologies
real estate,"pune, maharashtra, india",goel ganga group
fashion & textile,"mumbai, maharashtra, india",aym syntex
real estate,"bologna, italy",maccaferri
healthcare,"jaipur, rajasthan, india",apex hospital
it services & consulting,"new delhi, india",fourth dimension solutions
it services & consulting,"san diego,california, united states",smart drive systems
events,"mumbai, maharashtra, india",adlabs imagica
travel & tourism,"rostock, germany",aida cruises
healthcare,"nellore, india",narayana medical college & hospital
,"new delhi, india",the web plant
auto components,"sonipat, india",meneta automotive components
automobile,"vadodara, gujarat, india",amar cars
auto components,"delhi/ncr, delhi, india",neolite zkw lightings
industrial machinery,"kolkata, india",utkarsh india
logistics,"houstan, united states (usa)",wm logistics
pharma,"delhi/ncr, delhi, india",jagsonpal pharmaceuticals
industrial machinery,"mohali, punjab, india",cheema boilers
engineering & construction,"new delhi, delhi, india",varindera constructions
telecom,"delhi/ncr, new delhi, india",aksh optifibre
food processing,"mumbai, maharashtra, india",monginis foods
it services & consulting,"london, england",dotsquares
auto components,"rietheim-weilheim, germany",marquardt
fitness & wellness,"bangalore/bengaluru, karnataka, india",sami-sabinsa group
it services & consulting,"chennai, tamil nadu, india",satvat infosol
it services & consulting,"hyderabad, india",infoesearch ites
healthcare,"mumbai, maharashtra, india",ashish life science
recruitment,"tacoma,washington, united states",trueblue
it services & consulting,"kolkata, west bengal, india",brainium information technologies
retail,"jeddah, saudi arabia",panda retail company
it services & consulting,"gurgaon/gurugram, haryana, india",bigstep technologies
it services & consulting,"berlin, germany",avendata gmbh
logistics,"veghel, north brabant, netherlands",vanderlande industries
it services & consulting,"new jersey, united states (usa)",orion innovation
medical equipment,"chennai, tamil nadu, india",prochant
real estate,,shalimar corp
,,flipkart wholesale
education & training,"mumbai, india",edwise international
recruitment,"bangalore/bengaluru, karnataka, india",alp consulting
engineering & construction,"issy-les-moulineaux,hauts-de-seine, france",ramky group
real estate,"gurgaon/gurugram, haryana, india",geetanjali homestate
defence & aerospace,"new delhi, delhi, india",indian coast guard
analytics & kpo,"mumbai, india",decimal point analytics
government,"mumbai, india",municipal corporation of greater mumbai
industrial machinery,"downers grove, illinois, united states",dover india
internet,"mumbai,maharashtra, india",carwale
software product,"gurgaon/gurugram, haryana, india",quadlabs technologies
fmcg,"mumbai, maharashtra, india",repro india
semiconductors,"geneva,geneva, switzerland",stmicroelectronics
industrial machinery,"noida, india",kobelco construction equipment india
edtech,"ahmedabad,gujarat, india",educational initiatives
internet,"san francisco,california, united states",airbnb
financial services,,motilal oswal securities
it services & consulting,"bangalore/bengaluru, karnataka, india",puthur infotech
metals & mining,"kolkata, india",crescent foundry
fashion & textile,"mumbai, maharashtra, india",gini & jony
internet,"santa clara,california, united states",upwork
retail,"new delhi, india",dlf brands
petrochemicals,"mumbai, maharashtra, india",mutual industries
healthcare,"mumbai, maharashtra, india",lilavati hospital & research centre
engineering & construction,"delhi/ncr, delhi, india",urs scott wilson india
ports & shipping,"kolkata, india",garden reach shipbuilders & engineers
medical equipment,"jaipur, rajasthan, india",vitromed healthcare
it services & consulting,"kolkata, india",rt network solutions
logistics,"gurugram, india",nippon konpo
engineering & construction,"mumbai, india",ray engineering
agriculture,"raipur, india",vnr seeds
fmcg,"kolkata, west bengal, india",linc
electronics manufacturing,"pune, maharashtra, india",ctr manufacturing industries
it services & consulting,"san mateo, unitedstates",stpl
auto components,"bangalore/bengaluru, karnataka, india",mandovi motors
software product,"bangalore,karnataka, india",relyon softech
government,"new delhi, india",ministry of rural development india
healthcare,"mumbai, india",tata memorial centre
hospitality,"bangalore/bengaluru, karnataka, india",orchid hotel
healthcare,"new delhi, india",dr. ram manohar lohia hospital
agro chemicals,"mumbai, india",swal corporation
software product,"redwood city, united states",informatica business solutions
it services & consulting,"mumbai, india",stt global data centres india
law enforcement & security,"mumbai, india",modern v.r. security force
banking,"abu dhabi, abu dhabi, united arab emirates (uae)",first abu dhabi bank
healthcare,"longwood, florida, united states (usa)",billedright healthcare solutions
fashion & textile,"chennai, tamil nadu, india",pothys
it services & consulting,"lucknow, uttar pradesh, india",pie infocomm
oil & gas,"espoo, finland",valmet
it services & consulting,"pleasanton, usa",vhs consulting
building material,"mumbai, maharashtra, india",man industries
real estate,"kolkata, west bengal, india",dtc projects
internet,,tata digital
,,ambit finvest
management consulting,"boston, massachusetts, united states (usa)",vistra international expansion
it services & consulting,"mumbai, maharashtra, india",rave technologies
it services & consulting,"noida, uttar pradesh, india",cetpa infotech
industrial machinery,"kadi, india",hitachi home & life solutions
marketing & advertising,"new york, new york, united states (usa)",annalect
auto components,"chennai, tamil nadu, india",jayem automotives
it services & consulting,"london,england, united kingdom",rategain
it services & consulting,"milpitas, united states (usa)",rs software
engineering & construction,singapore,keppel offshore & marine
architecture & interior design,"osaka, japan",takenaka
edtech,"gurgaon,haryana, india",camp k-12
edtech,"noida, uttar pradesh, india",nerdy turtlez
fashion & textile,"gurgaon, india",ritu kumar
pulp & paper,"kolkata, india",orient paper mill
fashion & textile,"chennai, tamil nadu, india",indian terrain fashions
bpo,"new york, united states",exl service sez bpo solutions
industrial machinery,"faridabad, haryana, india",sadhu forging
industrial machinery,"pune, maharashtra, india",maschio gaspardo
hospitality,"paris, france",sofitel luxury hotel
recruitment,,reliance hr services
it services & consulting,"troy, united states (usa)",cibersites india
pharma,"ahmedabad, india",amanta healthcare
financial services,"mumbai, india",edelweiss broking
chemicals,"ahmedabad, india",kutch chemical industries
defence & aerospace,"hyderabad, india",tata sikorsky aerospace
financial services,"gurgaon,",comvision
iron & steel,"hyderabad/secunderabad, telangana, india",sathavahana ispat
education & training,"ghaziabad, uttar pradesh, india",hi-tech
engineering & construction,"bremen, germany",kaefer
it services & consulting,"london, greater london, united kingdom (uk)",the smart cube
agro chemicals,"montreal, canada",wsp
industrial machinery,"düsseldorf, germany",sms group
industrial machinery,"faridabad, haryana, india",sadhu forging
financial services,"mumbai, india",edelweiss broking
industrial machinery,"pune, maharashtra, india",maschio gaspardo
pharma,"ahmedabad, india",amanta healthcare
it services & consulting,"troy, united states (usa)",cibersites india
defence & aerospace,"hyderabad, india",tata sikorsky aerospace
retail,"mumbai, india",praxis home retail
chemicals,"ahmedabad, india",kutch chemical industries
auto components,"auburn hills, united states",joyson safety systems
engineering & construction,"muscat, oman",oman national engineering & investment company
petrochemicals,"mumbai, maharashtra, india",bhansali engineering polymers
,,quantzig
internet,"bangalore,karnataka, india",medibuddy
it services & consulting,"bangalore/bengaluru, karnataka, india",dynpro
financial services,"pune, maharashtra, india",altum credo home finance
fashion & textile,"arteixo, a coruna, spain",inditex
investment banking / venture capital / private equity,"ahmedabad, gujarat, india",prudent corporate advisory services
it services & consulting,"broomfield, colorado, united states (usa)",betsol
education & training,"ambala, india",maharishi markandeshwar university
engineering & construction,"mumbai, india",b. e. billimoria
pharma,"mumbai, india",arch pharmalabs
it services & consulting,"banglore, india",incture technologies
non-profit,"chennai, tamil nadu, india",sankara nethralaya
engineering & construction,"mumbai, india",leena powertech engineers
fashion & textile,"coimbatore, tamil nadu, india",sp apparels
software product,"fairfax, virginia, united states of america",teoco software
internet,"chandigarh, chandigarh, india",dynamic beneficial accord marketing
engineering & construction,"hyderabad,telangana, india",pebs pennar
it services & consulting,"ahmedabad , india",riddhi corporate services
it services & consulting,"mysore,karnataka, india",excelsoft technologies
auto components,"bangalore/bengaluru, karnataka, india",trident automobiles
automobile,"salzburg, austria",benteler automotive
industrial machinery,"kolkata, west bengal, india",macmet engineering
it services & consulting,"ghaziabad, uttar pradesh, india",ga digital web word
financial services,"mumbai, maharashtra, india",centrumdirect
auto components,"pithampur, india",pinnacle industries
education & training,"ambala, india",maharishi markandeshwar university
facility management services,"luxembourg city, luxembourg",regus
industrial machinery,"ahmedabad, gujarat, india",windsor machines
engineering & construction,"al jubail, saudi arabia",aytb
power,"mumbai,maharashtra, india",avaada energy
software product,"fairfax, virginia, united states of america",teoco software
education & training,"noida, india",amity international school
retail,"gurgaon, india",mayasheel retail llp
jewellery,"bhubaneswar, odisha, india",arundhati jewellers
,"fort lauderdale, united states",citrix r&d india pvt. lit
engineering & construction,"mumbai, maharashtra, india",dogus soma jv office
engineering & construction,"hyderabad,telangana, india",pebs pennar
internet,"chandigarh, chandigarh, india",dynamic beneficial accord marketing
pharma,"faridabad, india",psychotropics india
pharma,"mumbai, maharashtra, india",kopran
internet,"mumbai,maharashtra, india",shaadi.com
software product,"tiruchirappalli, tamil nadu, india",qr crypher
it services & consulting,"princeton, united states",navitas life sciences
it services & consulting,"jaguariãºna, michigan, us",stefanini
waste management,"ahmedabad, india",doshion
pulp & paper,"mumbai, maharashtra, india",century textiles and industries
industrial machinery,"frankenthal, germany",ksb limited - irrigation & process division (ipd)
agriculture,"mumbai, india",mahindra agri solutions
automobile,,cummins turbo technologies
petrochemicals,"sandefjord, norway",jotun paints
engineering & construction,"new york, new york state, united states (usa)",turner construction
telecom,"hamilton, united states",global cloud xchange
logistics,"mumbai, india",drive india enterprise solutions limited (diesl)
auto components,"delhi/ncr, delhi, india",metro tyres
management consulting,"chennai, india",cholamandalam ms risk services
power,"kolkata, india",damodar valley corporation
fashion & textile,"mumbai, maharashtra, india",texport industries
it services & consulting,"bengaluru, india",cryptograph technologies
auto components,"pune, india",tata autocomp gy batteries
food processing,"kolkata, west bengal, india",haldiram bhujiawala
non-profit,"bangalore, india",agastya international foundation
pharma,"hyderabad, india",optimus drugs
pharma,"mumbai, maharashtra, india",umedica laboratories
bpo,"chandigarh, india",dr itm
it services & consulting,"chennai, india",care it solutions
agriculture,"anand, india",gcmmf
software product,"jaipur, rajasthan, india",kdk software
power,"bengaluru, india",emmvee photovoltaic power
pharma,"bangalore/bengaluru, karnataka, india",pharmed
it services & consulting,"pune, maharashtra, india",atidiv
auto components,"chennai, tamil nadu, india",india pistons
healthcare,"gurugram, india",eye-q super speciality eye hospitals
financial services,"gurgaon,haryana, india",indifi technologies
it services & consulting,"west carrollton, ohio, united states (usa)",corbus
automobile,"faridabad, haryana, india",vipul motors
agriculture,"hyderabad, india",sneha farms
engineering & construction,"dubai, uae",al naboodah
metals & mining,"kolkata, india",jms mining services
electronics manufacturing,"dubai, united arab emirates",aczet
fintech,"mumbai, india",nearby technologies
,,coronis it systems
engineering & construction,"milan, italy",salini impregilo
it services & consulting,"chennai,tamil nadu, india",botree software international
hospitality,"dallas, unitedstates",t.g.i. friday's
auto components,"denklingen, germany",hirschvogel components
real estate,"delhi,nct, india",smart works
industrial machinery,"noida, uttar pradesh, india",smc pneumatics india
it services & consulting,"southborough, united states",virtusa software services
semiconductors,"noida, india",smiiel - a unit of motherson sumi system
internet,"bengaluru/bangalore, karnataka, india",bikayi
consulting,,protean egov technologies
fashion & textile,"kochi/cochin, kerala, india",kitex garments
hardware & networking,"chennai, tamil nadu, india",jasmin infotech
financial services,"mumbai, india",aditya birla sunlife asset management company
accounting & auditing,"paris, france",mazars
engineering & construction,"pune, maharashtra, india",onkar dies
education & training,"new delhi, india",jamia hamdard university
industrial machinery,"navi mumbai, maharashtra, india",das offshore engineering
oil & gas,"pune, india",maharashtra natural gas
financial services,"new delhi,",uas international
auto components,"auburn hills, unitedstates",gkn sinter metals
internet,"noida, india",99acres
it services & consulting,"mumbai, maharashtra, india",paramatrix technologies
semiconductors,"gandhidham, india",genus electrotech
healthcare,"delhi/ncr, delhi, india",holy family hospital
food processing,"hyderabad, india",nsl sugars
fashion & textile,"mumbai, india",j.k. helene curtis
electronics manufacturing,"udaipur, rajasthan, india",pyrotech electronics
electrical equipment,"kolkata, west bengal, india",electrical manufacturing company
fashion & textile,"mumbai, india",j.k. helene curtis
it services & consulting,"bangalore/bengaluru, karnataka, india",skillmine technology consulting
healthcare,"delhi/ncr, delhi, india",holy family hospital
semiconductors,"gandhidham, india",genus electrotech
internet,"noida, india",99acres
bpo,"east haven, connecticut, united states of america",lester infoservices
hardware & networking,"cupertino, california, united states (usa)",synophic systems
healthcare,"satara, maharashtra, india",nipro india corporation
edtech,"mumbai, maharashtra, india",esense learning
financial services,"new delhi,",uas international
it services & consulting,"ahmedabad, gujarat, india",sapphire software solutions (india)
power,"delhi, india",hindustan powerprojects
it services & consulting,"austin, united states",emds
education & training,"mumbai, maharashtra, india",viztar international
financial services,"mumbai, india",fortune integrated assets finance
education & training,"new delhi, india",jamia hamdard university
packaging,"mumbai, maharashtra, india",montage enterprises
pharma,"radnor, pennsylvania, united states (usa)",vwr international
software product,"fremont, california, united states (usa)",digital nirvana information systems
nbfc,"mumbai, maharashtra, india",bell finvest
food processing,"mumbai, maharashtra, india",roha dyechem
facility management services,"dubai, uae",emrill services llc
education & training,"gurgaon, haryana, india",k r mangalam university
engineering & construction,"bengaluru, india",ajax fiori engineering
industrial machinery,"mehsana, india",ammann apollo
logistics,"mumbai, india",avvashya cci logistics
education & training,,gandhi institute for technology
pharma,,sushima pharmaceuticals
automobile,"chennai, india",tmtl
healthcare,"pittsburgh, pennsylvania, united states (usa)",american oncology institute
education & training,"mumbai, india",tata strive skill development centre
it services & consulting,,funlabtech
edtech,"bengaluru/bangalore, karnataka, india",teachmint
recruitment,"aurangabad, maharashtra, india",internin
,,khy electronic
internet,"gurgaon/gurugram, haryana, india",house of beauty
fashion & textile,,walkaroo international
printing & publishing,"gurgaon/gurugram, haryana, india",scholastic
healthcare,"kolkata, west bengal, india",peerless hospital
it services & consulting,"andover, united states",navisite
auto components,"pune, india",automotive stampings and assemblies
financial services,"delhi,nct, india",indialends
it services & consulting,"chennai, tamil nadu, india",amnet systems
chemicals,"mumbai, maharashtra, india",prasol chemicals
printing & publishing,"kottayam, india",malayala manorama
non-profit,"new delhi, india",pradan
education & training,"lucknow, uttar pradesh, india",city montessori school
engineering & construction,"mumbai, maharashtra, india",chetak enterprises
chemicals / agri inputs,"gurgaon, india",ester industries
fintech,"bangalore, india",zerodha
pharma,"secunderabad, india",hy gro chemicals pharmtek
non-profit,"new delhi, india",tech mahindra foundation
banking,"pune, maharashtra, india",the cosmos co-operative bank
medical equipment,"kolkata, india",vision rx lab
education & training,"jaipur, rajasthan, india",nims university
healthcare,"delhi/ncr, new delhi, india",batra hospital
healthcare,"kolkata, india",rabindranath tagore international institute of cardiac sciences
industrial machinery,"mumbai, india",gmm pfaudler
chemicals,"mumbai, maharashtra, india",rossari biotech
automobile,"medina, minnesota, us",polaris
it services & consulting,"montvale, united states",advanced technology consulting service
it services & consulting,"woodland hills, united states",osi technologies
it services & consulting,"princeton, new jersey, united states (usa)",latentview analytics
food processing,"hyderabad, india",dukes
agro chemicals,"hyderabad/secunderabad, telangana, india",nava bharath fertilizers
power,"kolkata, india",west bengal state electricity distribution company
it services & consulting,"mumbai, maharashtra, india",apmosys technologies
engineering & construction,"al jubail, saudi arabia",sendan international co
it services & consulting,"gurgaon/gurugram, haryana, india",sequelone
recruitment,"new delhi, india",head field solutions
engineering & construction,"doha, qatar",dopet
engineering & construction,"surajpur, india",barbrik project
engineering & construction,"navi mumbai, maharashtra, india",tpf engineering
beauty & personal care,"noida, india",kama ayurveda
fashion & textile,"kanpur, uttar pradesh, india",rahman industries
it services & consulting,"florida, united states (usa)",scio management solutions
non-profit,"delhi/ncr, delhi, india",learning links foundation
engineering & construction,"new delhi, india",platinum waltech
logistics,"bangalore,karnataka, india",letstransport
emerging technologies,"bangalore,karnataka, india",themathcompany
food processing,"manesar, india",haldiram manufacturing co.
auto components,"pune, india",divgi torqtransfer systems
internet,"mumbai, maharashtra, india",tata cliq
industrial machinery,"palwal, india",siac skh india cabs manufacturing
metals & mining,"faridabad, haryana, india",oswal castings
healthcare,"bangalore/bengaluru, karnataka, india",aster cmi hospital
agriculture,"mumbai, maharashtra, india",star agriwarehousing and collateral management
real estate,"hyderabad, india",maxinfra
industrial machinery,"pune, india",wika instruments india
defence & aerospace,"chicago, united states",tata boeing aerospace
food processing,"gurgaon, india",lots wholesale solutions
engineering & construction,"bangalore, india",hombale constructions and estates
automobile,"chennai, tamil nadu, india",tvs upasana engineering
oil & gas,,reliance bp mobility
it services & consulting,"bangalore/bengaluru, karnataka, india",fragma data systems
edtech,"allahabad,uttar pradesh, india",physicswallah
software product,"mumbai, maharashtra, india",wovvtech
media & entertainment,"noida, india",india today group
pharma,"chennai, tamil nadu, india",stedman pharmaceuticals
education & training,"new delhi, india",iit delhi
chemicals / agri inputs,"leverkusen, germany",covestro
telecom,"new delhi,",bharat broadband network
logistics,"noida, india",sigma supply chain solutions
hospitality,"canton, unitedstates",dunkin' donuts
electrical equipment,"bengaluru, india",sasmos het technologies
power,"bremen, bremen, germany",enercon
internet,"mumbai,maharashtra, india",bookmyshow
import & export,"moradabad, uttar pradesh, india",designco
industrial machinery,"montpellier, france",cape east
edtech,"delhi/ncr, delhi, india",global opportunities
hospitality,"mumbai, india",citrus hotels
fashion & textile,"baghpat, uttar pradesh, india",weavetex overseas
telecom,"singapore, singapore",plintron global technology solutions
it services & consulting,"mohali, punjab, india",toxsl technologies
it services & consulting,"irving, texas, united states (usa)",in2it technologies
software product,"blue bell, pennsylvania, united states (usa)",avasoft
pharma,"hyderabad/secunderabad, telangana, india",multiplier brand solutions
education & training,"aligarh, india",aligarh muslim university
it services & consulting,"chennai, tamil nadu, india",doodleblue innovation
retail,"kolkata, west bengal, india",emami frank ross
automobile,"kancheepuram, india",sakura autoparts
iron & steel,"koppal, karnataka, india",hospet steels
real estate,"bangalore/bengaluru, karnataka, india",total environment building systems
edtech,"bangalore,karnataka, india",edureka!
fashion & textile,"mumbai, india",creative garments
management consulting,"menlo park, united states",protiviti
furniture & furnishing,"faridabad, haryana, india",vamani overseas
media & entertainment,"mumbai, india",sony pictures networks distribution india pvt.ltd
engineering & construction,"ulhasnagar, india",eagle infra
consumer electronics & appliances,"duluth,georgia, united states",barco electronic systems
chemicals,"chandigarh, india",indian acrylics
retail,"chennai, tamil nadu, india",viveks
industrial machinery,"singapore, singapore",clearpack
it services & consulting,"new york, ny, united states",shore infotech india
industrial machinery,"gurgaon/gurugram, haryana, india",flowmore
nbfc,"gurgaon, india",india infoline housing finance
fashion & textile,,j g hosiery
oil & gas,"pune, maharashtra, india",renom energy services
beverage,"new delhi, india",nv group
it services & consulting,"new york, usa",epiq systems
education & training,"hyderabad, india",dream india schools
,,deloitte support services block a
fashion & textile,"kolkata, india",turtle
retail,"tokyo, japan",uniqlo
internet,"bangalore,karnataka, india",mfine
industrial machinery,,sandvik mining and rock technology
it services & consulting,"dubai, united arab emirates",redington gulf
chemicals / agri inputs,"mumbai, india",institute of chemical technology
edtech,"mumbai,maharashtra, india",board infinity
broadcasting,,etv bharat
retail,"gurgaon/gurugram, haryana, india",archies
it services & consulting,"gurgaon/gurugram, haryana, india",zucol group
it services & consulting,"saint paul, minnesota, united states (usa)",sagitec solutions
telecom,"bangalore/bengaluru, karnataka, india",vis networks
it services & consulting,"nagpur , india",dhandhania infotech
media & entertainment,"mumbai, maharashtra, india",shemaroo entertainment
education & training,"jaipur, india",jaipur national university
chemicals,"baar, zug, switzerland",sika
it services & consulting,"frankfurt am main, germany",sphinx worldbiz
food processing,"kolkata, india",khaitan electricals
internet,"san jose,california, united states",automation anywhere
it services & consulting,"atlanta, united states",sun technologies
real estate,"bangalore/bengaluru, karnataka, india",ds-max properties
recruitment,"noida, uttar pradesh, india",isource
architecture & interior design,"mumbai, india",architect hafeez contractor
engineering & construction,"mumbai, india",bygging india
it services & consulting,"chennai, tamil nadu, india",object frontier software
fashion & textile,"noida, uttar pradesh, india",radiant export
beauty & personal care,"mumbai, maharashtra, india",intercraft trading
fmcg,"kolkata, west bengal, india",ganesh grains
telecom,"gurgaon/gurugram, haryana, india",coslight india telecom
pharma,"vadodara/baroda, gujarat, india",apothecon pharmaceuticals
electronics manufacturing,"mumbai, maharashtra, india",schreiber dynamix dairies
accounting & auditing,"mumbai, maharashtra, india",bdo
bpo,"seattle, unitedstates",hyperquality
software product,"dallas, texas, usa",annet technologies
real estate,"delhi/ncr, delhi, india",parsvnath developers
it services & consulting,"bengaluru/bangalore, karnataka, india",sbl
agriculture,"jakarta, indonesia",japfa comfeed
telecom,"gurgaon/gurugram, haryana, india",videocon telecommunications
bpo,"london, united kingdom",lycatel bpo
education & training,"coimbatore, india",texila educational and management services
facility management services,"chicago,illinois, united states",enova facilities management llc
it services & consulting,"miami, united states",exusia
iron & steel,"khopoli, maharashtra, india",mahindra sanyo special steel
gaming,"mohali, punjab, india",chicmic
chemicals,"new york, united states",international flavors & fragrances
engineering & construction,"jeddah , saudi arabia",arabian bemco contracting co
food processing,"noida, uttar pradesh, india",creamy foods
food processing,"mumbai, maharashtra, india",allana group of companies
aviation,"gurugram, haryana, india",three d integrated solutions ltd
industrial machinery,"delhi/ncr, new delhi, india",air india engineering services
engineering & construction,"ahmedabad, gujarat, india",scc infrastructure
building material,"mumbai, maharashtra, india",toto india industries
pharma,"haridwar, india",pure & cure healthcare
ports & shipping,"mumbai, maharashtra, india",reliance naval and engineering
auto components,"ludhiana, punjab, india",kayjay forging
engineering & construction,"mumbai, maharashtra, india",desai construction
other,"geneva, geneva, switzerland",cotecna inspection india
it services & consulting,"kolkata, india",qualsquad infotech
defence & aerospace,"coimbatore, india",lakshmi life sciences
real estate,"hyderabad/secunderabad, telangana, india",aurobindo realty & infrastructure
it services & consulting,"bangalore,karnataka, india",bridgei2i analytics solutions
education & training,"chennai, tamil nadu, india",chennais amirta international institute of hotel management
real estate,"kerala, india",lulu international shopping mall
fmcg,"kolkata, west bengal, india",bg distributors
recruitment,"bengaluru, india",xylem resource management
auto components,"mysore, india",automotive axles
clinical research,"sirmour, india",pontika aerotech
building material,,prism cement - prism johnson
building material,,prism cement - prism johnson
it services & consulting,,acs solution
insurance,"noida,uttar pradesh, india",easypolicy.com
chemicals,"delhi/ncr, new delhi, india",british paints
auto components,"troy, michigan, united states (usa)",inteva products
industrial automation,"plano, united states",siemens plm software
it services & consulting,"noida, uttar pradesh, india",algoworks technologies
banking,"mangaluru/mangalore, karnataka, india",corporation bank
it services & consulting,"mumbai, maharashtra, india",netcore solutions
design,"bangalore, india",ace creative learning
education & training,"delhi/ncr, delhi, india",koenig solutions
education & training,"sonepat, haryana, india",o p jindal global university
pharma,"waltham,massachusetts, united states",perkinelmer
management consulting,"new york,",marsh
it services & consulting,"pune, maharashtra, india",i-source infosystems
management consulting,"irving, texas, united states (usa)",entercoms
healthcare,"dehradun, india",shri mahant indiresh hospital
auto components,"chennai, india",hwashin automotive
software product,"hyderabad/secunderabad, telangana, india",focus softnet
retail,"new delhi, india",sargam electronics
engineering & construction,"mira bhayander, maharashtra, india",coastal marine construction & engineering
financial services,"noida, india",altezzasys
power,"gurgaon, india",egis
pharma,"noida, india",laxmi remote india
marketing & advertising,"palo alto, united states",advids.co
defence & aerospace,"hyderabad, india",nucon aerospace
other,"noida, uttar pradesh, india",mogli labs
management consulting,"santa clara, california, united states (usa)",frost & sullivan
internet,"mumbai, maharashtra, india",the mobilestore
nbfc,"johnston, united states",john deere financial
oil & gas,"algiers, algeria",sonatrach
beauty & personal care,"delhi/ncr, delhi, india",modicare
education & training,"bangalore/bengaluru, karnataka, india",chrysalis high
engineering & construction,"new delhi, india",smcc construction india
industrial machinery,"greater noida, uttar pradesh, india",river engineering
metals & mining,"paris, france",calderys india refractories
pharma,"mumbai, india",hegde & hegde pharmaceutica
fashion & textile,"ludhiana, punjab, india",nahar spinning mills
internet,"goregaon,maharashtra, india",kartavya healtheon
financial services,"new delhi, india",bonanza portfolio
financial services,"northbrook, illinois, united states",underwriters laboratories
analytics & kpo,"mumbai, maharashtra, india",aranca
industrial machinery,"singapore, singapore",sembcorp marine
engineering & construction,"pune, maharashtra, india",isc projects
oil & gas,"ahmedabad, gujarat, india",deep industries
chemicals,"mumbai, india",inventys research
retail,"mumbai, india",inorbit mall
pharma,"roorkee, uttarakhand, india",axa parenterals
consumer electronics & appliances,"mumbai,maharashtra, india",atomberg technologies
building material,,astral pipe
automobile,"noida, india",ts tech sun india
it services & consulting,"chennai, tamil nadu, india",infoservice
accounting & auditing,"andheri, india",veeraraghavan & company
auto components,"yeongcheon-ro, south korea",hyundai transys india
,india,ugro capital
fintech,,google pay
management consulting,"parramatta,new south wales, australia",befree business resourceing
iron & steel,"new delhi, india",jindal group of companies
banking,"mumbai, india",reserve bank of india
education & training,"new delhi, india",niit foundation
logistics,"thane, india",radhakrishna foodland
fmcg,"new york, unitedstates",philip morris international
it services & consulting,"acton, massachusetts, united states",apps associates
chemicals / agri inputs,"hyderabad/secunderabad, telangana, india",vishnu chemicals
fmcg,"mumbai, maharashtra, india",rich graviss products
bpo,"gurgaon/gurugram, haryana, india",strategic learning solutions
pharma,"thane, maharashtra, india",fermenta biotech
media & entertainment,"thousand oaks, united states",sage publications
internet,"mumbai,maharashtra, india",meru cabs
metals & mining,"fort worth, texas, united states (usa)",weir minerals
education & training,"brooklyn,",abcd
engineering & construction,"ahemdabad, india",corrtech international
telecom,"bridgewater,new jersey, united states",synchronoss technologies
beauty & personal care,"chennai, india",vcare (india)
it services & consulting,"dubai, dubai, united arab emirates (uae)",paraminfo
hospitality,"paris, france",mövenpick hotels & resorts
beverage,"ludhiana, india",ludhiana beverages
financial services,"los angeles,",n+a
marketing & advertising,"boston, ma, usa",vsynergize outsourcing
marketing & advertising,"gurgaon/gurugram, haryana, india",adglobal360
automobile,"coimbatore, india",abt maruti
pulp & paper,"mumbai, india",bilt graphic paper products
government,"male, maldives",ministry of education
food processing,"hyderabad/secunderabad, telangana, india",gandour india food processing
non-profit,"noida, india",hcl foundation
facility management services,"kolkata, india",s&ib services
oil & gas,"chennai, tamil nadu, india",shriram epc
pharma,"mumbai, india",unimark remedies
it services & consulting,"visakhapatnam, india",inspiredge it solutions
oil & gas,"mumbai, maharashtra, india",npcc engineering
industrial machinery,"ahmedabad, gujarat, india",mehta cad cam systems
petrochemicals,"new delhi, india",klj group
telecom,"bengaluru, india",ascend telecom infrastructure
consumer electronics & appliances,"seoul, south korea",samsung sds
internet,"mumbai, india",vistaprint
healthcare,"delhi/ncr, new delhi, india",accuster technologies
automobile,"gurgaon/gurugram, haryana, india",pasco automobiles
industrial machinery,"pune, india",renata precision components
industrial machinery,"jhajjar, haryana, india",zeco aircon
beauty & personal care,"delhi/ncr, delhi, india",vanesa care
auto components,"mumbai, india",atc tires
fashion & textile,,any brand
