06-MarScoToc-industry,06-MarScoToc-headquarter,06-MarScoToc-name
retail,"gurgaon/gurugram, haryana, india",vishal mega mart
it services & consulting,"gurgaon/gurugram, haryana, india",kochartech
logistics,"san francisco,california, united states",ekart logistics
auto components,"chennai, tamil nadu, india",mrf tyres
consumer electronics & appliances,"mumbai, maharashtra, india",bajaj electricals
other,"mumbai,maharashtra, india",titan company
telecom,"noida,uttar pradesh, india",lava international
it services & consulting,"new york, new york, united states (usa)",publicis sapient
banking,"charlotte, unitedstates",bank of america
auto components,"mumbai, maharashtra, india",ceat tyres
it services & consulting,"gurgaon/gurugram, haryana, india",huawei technologies
insurance,"mumbai, maharashtra, india",tata aia life insurance
iron & steel,"delhi/ncr, new delhi, india",jindal steel and power
fmcg,"mumbai, maharashtra, india",rspl group
pharma,"ahmedabad, gujrat, india",torrent pharmaceuticals
it services & consulting,"bangalore/bengaluru, karnataka, india",itc infotech india
insurance,"mumbai, maharashtra, india",pnb metlife
automobile,"chennai, tamil nadu, india",tractors and farm equipment
banking,"mumbai, maharashtra, india",rbl bank
building material,"mumbai, maharashtra, india",acc
financial services,"mumbai, india",state street syntel
biotechnology,"bangalore/bengaluru, karnataka, india",biocon biologics india
bpo/kpo,"indore, madhya pradesh, india",capita
logistics,"boston,massachusetts, united states",indigo
banking,"varanasi,uttar pradesh, india",utkarsh small finance bank
chemicals,"kolkata, west bengal, india",berger paints
retail,"san francisco,california, united states",future retail
insurance,"mumbai, maharashtra, india",kotak mahindara life insurance
chemicals,"mumbai, maharashtra, india",aarti industries
insurance,"mumbai, maharashtra, india",hdfc ergo general insurance
fmcg,"ghaziabad, uttar pradesh, india",dabur
bpo,"noida, uttar pradesh, india",cogent e services
bpo,"culver city, california, united states (usa)",gebbs healthcare solutions
auto components,"gurgaon/gurugram, haryana, india",apollo tyres
it services & consulting,"pune, maharashtra, india",persistent systems
software product,"pune, maharashtra, india",kpit technologies
building material,"gurgaon/gurugram, haryana, india",jk cement
accounting & auditing,"murray, utah, united states (usa)",r1 rcm
fmcg,"haridwar, uttarakhand, india",patanjali ayurved
engineering & construction,"bhopal, madhya pradesh, india",dilip buildcon
electronics manufacturing,"san jose, singapore",flex
fintech,"gurgaon,haryana, india",policybazaar
internet,"gurgaon,haryana, india",rivigo
retail,"mumbai, maharashtra, india",reliance digital
telecom,"mumbai, maharashtra, india",tata teleservices
internet,"bangalore, india",ola cabs
it services & consulting,"dallas,texas, united states",access healthcare
insurance,"mumbai, maharashtra, india",tata aig
edtech,"new delhi, delhi, india",aakash educational services
real estate,"mumbai, maharashtra, india",afcons infrastructure
consumer electronics & appliances,"mumbai, maharashtra, india",eureka forbes
logistics,"mumbai, maharashtra, india",blue dart express
hospitality,"minnetonka, minnesota, united states (usa)",radisson hotels
retail,"dubai marina, dubai, united arab emirates (uae)",landmark group
healthcare,"gurgaon/gurugram, haryana, india",paras hospital
engineering & construction,"mumbai, maharashtra, india",jmc projects
automobile,"faridabad, haryana, india",escorts group
pharma,"new delhi, delhi, india",mankind pharma
healthcare,"bangalore/bengaluru, karnataka, india",legato health technologies
food processing,"vevey, switzerland",nestle
retail,"bangalore/bengaluru, karnataka, india",lifestyle
healthcare,"delhi/ncr, new delhi, india",max healthcare
it services & consulting,"new york, new york, united states (usa)",synechron
bpo,"new delhi, india",statestreet hcl services
recruitment,"mumbai, maharashtra, india",i process services
it services & consulting,"pune, maharashtra, india",birlasoft
financial services,"brookfield,wisconsin, united states",fiserv
financial services,"gurgaon/gurugram, haryana, india",g4s
consumer electronics & appliances,"mumbai, maharashtra, india",voltas
it services & consulting,"pune, maharashtra, india",zensar technologies
insurance,"mumbai, maharashtra, india",birla sun life insurance
agro chemicals,"mumbai, maharashtra, india",united phosphorus
pharma,"chennai, tamil nadu, india",pfizer
software product,"washington dc, united states (usa)",ags health
retail,"bangalore/bengaluru, karnataka, india",walmart
other,"faridabad, haryana, india",lenskart
insurance,"mumbai, india",life insurance corporation of india
it services & consulting,"noida, uttar pradesh, india",hcl infosystems
metals & mining,"mumbai, maharashtra, india",aditya birla group
financial services,"mumbai, maharashtra, india",hdfc sales
bpo,"mumbai, india",reliance smsl
education & training,"greater noida, uttar pradesh, india",delhi public school
it services & consulting,"singapore, singapore",tata technologies
telecom,"bengaluru/bangalore, karnataka, india",act fibernet
pharma,"bangalore/bengaluru, karnataka, india",micro labs
,,samsung electronics
,,samsung electronics
logistics,"chennai, tamil nadu, india",tvs supply chain solutions
pharma,"mumbai, maharashtra, india",ajanta pharma
edtech,"noida,uttar pradesh, india",extramarks education
auto components,"kolkata, west bengal, india",exide industries
food processing,"harrison, new york, united states (usa)",pepsico
insurance,"chennai, tamil nadu, india",cholamandalam ms general insurance
financial services,,bajaj allianz general insurance company ltd
